代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
000655.SZ,金岭矿业,2010-01-04,18.40,18.02,11091188485
000655.SZ,金岭矿业,2010-01-05,18.02,18.45,11353138186
000655.SZ,金岭矿业,2010-01-06,18.45,18.62,11460299428
000655.SZ,金岭矿业,2010-01-07,18.66,18.57,11430532416
000655.SZ,金岭矿业,2010-01-08,18.38,18.22,11216209933
000655.SZ,金岭矿业,2010-01-11,18.38,18.00,11079281680
000655.SZ,金岭矿业,2010-01-12,17.99,18.16,11180489519
000655.SZ,金岭矿业,2010-01-13,17.80,17.42,10722077542
000655.SZ,金岭矿业,2010-01-14,17.43,17.97,11061421473
000655.SZ,金岭矿业,2010-01-15,17.90,17.83,10972120439
000655.SZ,金岭矿业,2010-01-18,17.87,18.28,11251930347
000655.SZ,金岭矿业,2010-01-19,18.41,18.94,11656761703
000655.SZ,金岭矿业,2010-01-20,19.02,17.99,11073328278
000655.SZ,金岭矿业,2010-01-21,17.98,17.95,11049514669
000655.SZ,金岭矿业,2010-01-22,17.72,17.36,10686357128
000655.SZ,金岭矿业,2010-01-25,17.41,17.12,10537522071
000655.SZ,金岭矿业,2010-01-26,17.26,15.99,9840974002
000655.SZ,金岭矿业,2010-01-27,16.02,16.08,9894554623
000655.SZ,金岭矿业,2010-01-28,16.07,16.06,9882647818
000655.SZ,金岭矿业,2010-01-29,16.01,16.07,9888601220
000655.SZ,金岭矿业,2010-02-01,15.96,15.19,9346841611
000655.SZ,金岭矿业,2010-02-02,15.48,15.36,9454002852
000655.SZ,金岭矿业,2010-02-03,15.53,16.01,9852880806
000655.SZ,金岭矿业,2010-02-04,15.86,16.01,9852880806
000655.SZ,金岭矿业,2010-02-05,15.38,15.63,9620698117
000655.SZ,金岭矿业,2010-02-08,15.64,15.76,9698092347
000655.SZ,金岭矿业,2010-02-09,15.65,15.96,9823113795
000655.SZ,金岭矿业,2010-02-10,16.15,16.18,9960042048
000655.SZ,金岭矿业,2010-02-11,16.19,16.46,10132690715
000655.SZ,金岭矿业,2010-02-12,16.48,16.43,10114830508
000655.SZ,金岭矿业,2010-02-22,16.47,16.52,10168411128
000655.SZ,金岭矿业,2010-02-23,16.45,16.27,10013622669
000655.SZ,金岭矿业,2010-02-24,16.10,16.54,10180317933
000655.SZ,金岭矿业,2010-02-25,16.55,16.73,10299385979
000655.SZ,金岭矿业,2010-02-26,16.75,16.64,10239851956
000655.SZ,金岭矿业,2010-03-01,17.00,16.78,10329152990
000655.SZ,金岭矿业,2010-03-02,16.78,16.56,10192224738
000655.SZ,金岭矿业,2010-03-03,16.95,17.59,10829238784
000655.SZ,金岭矿业,2010-03-04,17.55,16.78,10329152990
000655.SZ,金岭矿业,2010-03-05,16.98,18.38,11311464370
000655.SZ,金岭矿业,2010-03-08,17.99,18.38,11311464370
000655.SZ,金岭矿业,2010-03-09,18.39,18.86,11609134485
000655.SZ,金岭矿业,2010-03-10,18.69,18.56,11424579014
000655.SZ,金岭矿业,2010-03-11,18.67,19.23,11835363772
000655.SZ,金岭矿业,2010-03-12,19.24,18.45,11359091588
000655.SZ,金岭矿业,2010-03-15,18.62,18.44,11347184784
000655.SZ,金岭矿业,2010-03-16,18.38,18.93,11650808301
000655.SZ,金岭矿业,2010-03-17,19.14,19.99,12305682554
000655.SZ,金岭矿业,2010-03-18,20.00,20.22,12442610807
000655.SZ,金岭矿业,2010-03-19,20.23,20.50,12615259474
000655.SZ,金岭矿业,2010-03-22,20.51,20.25,12466424416
000655.SZ,金岭矿业,2010-03-23,20.33,20.05,12341402968
000655.SZ,金岭矿业,2010-03-24,20.12,20.22,12442610807
000655.SZ,金岭矿业,2010-03-25,20.07,20.27,12478331221
000655.SZ,金岭矿业,2010-03-26,20.51,20.12,12383076784
000655.SZ,金岭矿业,2010-03-29,20.59,20.71,12746234324
000655.SZ,金岭矿业,2010-03-30,20.69,20.34,12520005037
000655.SZ,金岭矿业,2010-03-31,20.29,19.56,12037779451
000655.SZ,金岭矿业,2010-04-01,19.54,19.77,12168754301
000655.SZ,金岭矿业,2010-04-02,19.85,19.85,12216381520
000655.SZ,金岭矿业,2010-04-06,19.98,20.65,12710513910
000655.SZ,金岭矿业,2010-04-07,20.89,21.20,13049857842
000655.SZ,金岭矿业,2010-04-08,21.30,21.22,13061764646
000655.SZ,金岭矿业,2010-04-09,21.36,21.45,13204646301
000655.SZ,金岭矿业,2010-04-12,21.62,21.04,12948650002
000655.SZ,金岭矿业,2010-04-13,20.92,20.45,12585492462
000655.SZ,金岭矿业,2010-04-14,20.50,20.69,12734327520
000655.SZ,金岭矿业,2010-04-15,20.80,20.79,12793861543
000655.SZ,金岭矿业,2010-04-16,20.75,20.25,12466424416
000655.SZ,金岭矿业,2010-04-19,19.93,18.67,11490066439
000655.SZ,金岭矿业,2010-04-20,18.81,19.05,11722249129
000655.SZ,金岭矿业,2010-04-21,19.07,19.53,12019919244
000655.SZ,金岭矿业,2010-04-22,19.44,19.18,11805596761
000655.SZ,金岭矿业,2010-04-23,19.15,18.70,11507926646
000655.SZ,金岭矿业,2010-04-26,18.89,19.36,11918711405
000655.SZ,金岭矿业,2010-04-27,19.35,19.28,11865130784
000655.SZ,金岭矿业,2010-04-28,18.86,19.32,11888944393
000655.SZ,金岭矿业,2010-04-29,19.72,19.75,12156847497
000655.SZ,金岭矿业,2010-04-30,19.95,20.42,12567632255
000655.SZ,金岭矿业,2010-05-04,19.93,20.08,12359263175
000655.SZ,金岭矿业,2010-05-05,19.63,19.59,12055639658
000655.SZ,金岭矿业,2010-05-06,18.96,18.21,11210256531
000655.SZ,金岭矿业,2010-05-07,17.22,16.45,10126737312
000655.SZ,金岭矿业,2010-05-10,16.46,16.64,10239851956
000655.SZ,金岭矿业,2010-05-11,17.10,16.20,9971948852
000655.SZ,金岭矿业,2010-05-12,16.10,16.20,9971948852
000655.SZ,金岭矿业,2010-05-13,16.39,16.82,10352966600
000655.SZ,金岭矿业,2010-05-14,16.60,16.91,10406547220
000655.SZ,金岭矿业,2010-05-17,16.44,15.53,9561164094
000655.SZ,金岭矿业,2010-05-18,15.49,15.84,9751672967
000655.SZ,金岭矿业,2010-05-19,15.59,15.53,9561164094
000655.SZ,金岭矿业,2010-05-20,15.45,15.65,9632604921
000655.SZ,金岭矿业,2010-05-21,15.01,15.92,9799300186
000655.SZ,金岭矿业,2010-05-24,16.20,16.61,10221991749
000655.SZ,金岭矿业,2010-05-25,16.44,16.18,9960042048
000655.SZ,金岭矿业,2010-05-26,16.15,16.48,10144597519
000655.SZ,金岭矿业,2010-05-27,16.36,17.00,10466081243
000655.SZ,金岭矿业,2010-05-28,17.10,16.68,10269618968
000655.SZ,金岭矿业,2010-05-31,16.59,15.93,9805253588
000655.SZ,金岭矿业,2010-06-01,15.94,16.12,9924321634
000655.SZ,金岭矿业,2010-06-02,16.13,16.53,10174364531
000655.SZ,金岭矿业,2010-06-03,16.64,16.13,9930275036
000655.SZ,金岭矿业,2010-06-04,15.98,16.11,9918368232
000655.SZ,金岭矿业,2010-06-07,15.77,15.41,9483769864
000655.SZ,金岭矿业,2010-06-08,15.48,15.52,9555210692
000655.SZ,金岭矿业,2010-06-09,15.73,16.02,9858834209
000655.SZ,金岭矿业,2010-06-10,15.80,15.73,9680232140
000655.SZ,金岭矿业,2010-06-11,15.82,15.83,9745719565
000655.SZ,金岭矿业,2010-06-17,15.83,15.83,9745719565
000655.SZ,金岭矿业,2010-06-18,15.75,15.10,9293260990
000655.SZ,金岭矿业,2010-06-21,15.22,15.33,9436142646
000655.SZ,金岭矿业,2010-06-22,15.17,15.28,9406375634
000655.SZ,金岭矿业,2010-06-23,15.07,14.85,9138472530
000655.SZ,金岭矿业,2010-06-24,14.75,14.78,9096798714
000655.SZ,金岭矿业,2010-06-25,14.65,14.29,8793175197
000655.SZ,金岭矿业,2010-06-28,14.28,13.80,8495505082
000655.SZ,金岭矿业,2010-06-29,13.95,12.93,7959698875
000655.SZ,金岭矿业,2010-06-30,12.77,12.51,7697749174
000655.SZ,金岭矿业,2010-07-01,12.51,12.51,7697749174
000655.SZ,金岭矿业,2010-07-02,12.36,12.38,7620354944
000655.SZ,金岭矿业,2010-07-05,12.29,13.14,8090673726
000655.SZ,金岭矿业,2010-07-06,13.06,13.70,8430017657
000655.SZ,金岭矿业,2010-07-07,13.54,13.63,8388343841
000655.SZ,金岭矿业,2010-07-08,13.69,13.30,8185928162
000655.SZ,金岭矿业,2010-07-09,13.30,13.68,8406204048
000655.SZ,金岭矿业,2010-07-12,13.56,13.62,8370483634
000655.SZ,金岭矿业,2010-07-13,13.37,13.07,8031139703
000655.SZ,金岭矿业,2010-07-14,13.01,13.32,8185928162
000655.SZ,金岭矿业,2010-07-15,13.31,12.85,7900164852
000655.SZ,金岭矿业,2010-07-16,12.80,13.04,8013279496
000655.SZ,金岭矿业,2010-07-19,12.83,13.73,8435971059
000655.SZ,金岭矿业,2010-07-20,13.77,14.16,8703874163
000655.SZ,金岭矿业,2010-07-21,14.09,14.00,8602666324
000655.SZ,金岭矿业,2010-07-22,13.93,14.32,8799128599
000655.SZ,金岭矿业,2010-07-23,14.42,14.32,8799128599
000655.SZ,金岭矿业,2010-07-26,14.36,14.48,8900336438
000655.SZ,金岭矿业,2010-07-27,14.48,14.24,8751501381
000655.SZ,金岭矿业,2010-07-28,14.23,14.82,9108705519
000655.SZ,金岭矿业,2010-07-29,14.88,14.94,9180146347
000655.SZ,金岭矿业,2010-07-30,15.00,15.04,9245633772
000655.SZ,金岭矿业,2010-08-02,15.18,16.21,9960042048
000655.SZ,金岭矿业,2010-08-03,16.27,16.01,9840974002
000655.SZ,金岭矿业,2010-08-04,15.93,16.28,10007669266
000655.SZ,金岭矿业,2010-08-05,16.28,16.12,9906461427
000655.SZ,金岭矿业,2010-08-06,16.08,16.25,9989809059
