,家具制造业,石油加工、炼焦及核燃料加工业,非金属矿物制造业,通用设备制造业,农业,建筑安装业,金属制品业,邮政业,其他制造业,燃气生产和供应业,生态保护和环境治理业,住宿业,黑色金属矿采选业,专用设备制造业,黑色金属加工,机动车、电子产品和日用品服务业,公共设施管理业,卫生业,计算机、通信和其他电子设备制造业,畜牧业,餐饮业,煤炭开采和洗选业,研究和试验发展,道路运输业,仪器仪表制造业,建筑装饰和其他安装业,电力、热力生产和供应业,农、林、牧、渔服务业,林业,航空运输业,专业技术服务业,仓储业,农副食品加工业,铁路、船舶、航空航天和其他运输模式设备制造业,石油和天然气开采业,电信、广播电视和卫星传输服务,零售业,文化艺术业,房屋建筑业,电气机械及器材制造业,酒、饮料和精制茶制造业,化学原料及化学制品制造业,教育业,土木工程建筑业,纺织服装、服饰业,文教、工美、体育和娱乐用品制造业,有色金属加工,装卸搬运及其他运输代理,食品制造业,商务服务业,货币金融服务,纺织业,木材加工及木、竹、藤、棕、草制品业,铁路运输业,租赁业,皮革、毛皮、羽毛及其,科技推广和应用服务业,广播、电视、电影和影视录音制作业,资本市场服务,有色金属矿采选业,橡胶和塑料制造业,非金属矿采选业,废弃资源综合利用业,水上运输业,汽车制造业,开采辅助活动,综合,水的生产和供应业,印刷和记录媒介复制业,化学纤维制造业,渔业,体育业,新闻和出版业,医药制造业,批发业,互联网和相关服务,软件和信息技术服务业,造纸及纸制品业,其他金融业
家具制造业,1.0,0.37258442584978185,0.8467177155810921,0.49550863788135746,0.4439640889036639,-0.13571537380888157,0.8496772498814359,0.9267217599994345,0.8549692725738546,0.6766830023547755,0.6709981870933386,0.8279513706760612,-0.009537556356163115,0.7000583306021035,0.7320752539314362,0.16181081345407614,0.6389683275147024,0.7894629677251505,0.8134204000396447,0.759531116063636,0.12147128191234509,-0.04113782792480058,0.6705657262381326,0.6729049030887893,0.8447435068854173,0.40852457726377506,0.8411132513191711,-0.20671410720682973,0.24086396768694063,0.8653297566001931,0.8204160863358066,0.7856066561783781,0.7468739680898057,0.5117709423840157,-0.40521958489333526,0.3280326138408422,0.8207725111992624,0.7990765077654869,-0.23044365236979006,0.8328649969003956,0.8453181666169458,0.8254909910794326,0.7625858418802007,0.4981710255628748,0.5012488143295597,0.8167638468391165,0.6041339869997658,0.8081315486301577,0.837487500656012,0.7104832285064416,0.9472534554874411,0.5867865284702255,0.5761820665384796,0.5625236598331381,-0.1902878767517565,0.19917193463909677,0.5685981057972789,0.31480544020072976,0.5522718258526359,-0.10084711122470276,0.8028309401580466,0.5468219537269992,0.6714178180437167,0.36455182926728175,0.8305103811622242,-0.17687177757427414,0.021108253681042622,0.3386512291667463,0.7241430469344877,0.8715770336426764,-0.5962424665742507,-0.01657309286333386,0.5046806002379247,0.789314838533978,0.34004298644880754,0.8248787728957986,0.741452221244956,0.8370773019556642,0.9087537532543687
石油加工、炼焦及核燃料加工业,0.37258442584978185,1.0,0.24084549203874583,0.7131245108705733,0.7299602888600595,0.5861020056886165,0.3427173930240296,0.44436772408905173,0.48092817223839734,0.5174569131852552,0.5333683196462885,0.5706225787334683,0.5732828859083764,0.040165003736563634,0.6940676138083195,0.3229001618336693,0.23427839258242122,0.1287948177976059,0.20253360797727624,0.18436856716925232,0.3988381672016403,0.3013118456871089,0.05190642784617406,0.7486222585596043,0.5267905173832378,0.5653961413166275,0.6032872308969822,0.2643293215593531,0.6695353313267628,0.33380166589468335,0.3906013805428425,0.47134203211119613,0.10463709021441522,0.5525224771055418,0.34156627347714763,0.32405587050006557,0.4706834219633465,0.2650144450894646,0.6344269296551605,0.17153372438919517,0.0924449865100971,0.3303770277261646,0.48803331640552416,0.7611318044683996,0.7945447526739664,0.25158015469732,0.442737546913218,0.26255019950087943,0.1006806004781459,0.09400889381129945,0.3638198714069935,0.22312684967535293,0.766647281007447,0.5740630845680073,0.6431519438937905,0.534799327745561,0.7036882440707857,0.4784574653312359,0.5834796779687539,0.4758721313575204,0.3833861674327761,0.29575197355969907,0.5106970980730894,0.7184759369821696,0.32912982778962274,0.026124215845608752,0.5899528507762041,0.7411625816599119,0.5715910401273159,0.33661106797565715,0.24099986426616907,0.6290059154721861,0.5992264301721657,0.10305138420460246,0.6838336162577815,0.3455114049946898,0.2117885848452792,0.39454041093616515,0.3515389090910868
非金属矿物制造业,0.8467177155810921,0.24084549203874583,1.0,0.5062881024199599,0.43404611981970903,-0.50512454397566,0.9749571415591153,0.8478129006346613,0.799736576063459,0.4932225491328531,0.46447856752232886,0.7158837237070427,0.17602298225655857,0.9443059446389208,0.7120840892645568,-0.5003292761854553,0.8305286622301272,0.9529238818184499,0.9606709235614355,0.9269982177694351,0.04722359563611021,0.11178323740663852,0.8537411554272956,0.4648957548726483,0.8078874592734072,0.2969870150527599,0.709746221250599,0.17261278065770475,0.11240652910412943,0.8678057757871377,0.6654346584000416,0.6941895068381765,0.9455894565261286,0.5545740428872488,-0.4887312787899433,0.3108642142989774,0.9045928212974307,0.8958464902230837,-0.3088642917847828,0.9709527932854388,0.9571355797181696,0.9699237582293114,0.7181896121718813,0.272900600024014,0.29416574591302586,0.8532942079133634,0.6416885356861609,0.8989744483063792,0.97041203130207,0.9044977869647719,0.8695048121309019,0.6927638920055157,0.33774092861504257,0.4217094337960791,-0.28493835732388667,-0.023305156867463348,0.2417436451458267,0.050339360499859216,0.620340821959579,0.1498673011200484,0.907912365205862,0.5808067633243676,0.5480218246305633,0.26939073752306464,0.8343870507012324,0.012936593282684459,-0.09699708503611165,0.09404877786634357,0.6032680418763005,0.9576874989623274,-0.5388616025677272,-0.39940034155546766,0.2838412580143519,0.9610837505515852,0.212731334525356,0.8511436035479792,0.9240455786246922,0.8429263686545637,0.8622210550554558
通用设备制造业,0.49550863788135746,0.7131245108705733,0.5062881024199599,1.0,0.9234661149503487,0.10010571988051492,0.5985423931689845,0.5492277057886428,0.734172453365977,0.7239378596476537,0.7525829352960066,0.7942952860963073,0.6680678147115904,0.43065943567762294,0.7784611341066248,-0.14811559883238565,0.5585978269641313,0.5395984489292348,0.5350617173188267,0.4118927028989173,0.6697364266875663,-0.0005052990408309764,0.5314353887004564,0.7960148032232359,0.7773602656644203,0.7543697732917791,0.7468055449766522,0.35793564134064076,0.5936413041156381,0.4766222891237617,0.4356461365073854,0.7715872732945617,0.48785300395029146,0.9364199572480626,0.15532190330749926,0.7400811022323146,0.7307210645413407,0.6898145186822539,0.5286003380840059,0.5036720922483943,0.3056686263494288,0.616543964939438,0.8113162071892455,0.7472139741166894,0.8237751056140088,0.6444936604116347,0.4677981008844915,0.5462715641985788,0.4153841760153939,0.4943285962817899,0.47468242582671305,0.5780027924146629,0.7779603685836362,0.635802275337946,0.6047411391241965,0.6267462340472001,0.6741496016401176,0.6671325314209792,0.858620984014452,0.3098276699076741,0.7160338947360543,0.7073490680092839,0.7015823284339351,0.8008650865890342,0.6889227875024712,0.43187646589632384,0.6919396478280988,0.7493243194571151,0.806835618807606,0.5740672042002656,0.1406444166082231,0.11605426293312153,0.7854696297599687,0.4684043769093269,0.8734410711140501,0.6688152493990803,0.6333394449762152,0.6869078882328988,0.44752653610283916
农业,0.4439640889036639,0.7299602888600595,0.43404611981970903,0.9234661149503487,1.0,0.3472359032640238,0.5127798096143443,0.5217972727654008,0.6452923246030602,0.6754245603119611,0.7827595710357389,0.7364352565595862,0.6711425888709152,0.3275987085846503,0.7515370218367045,0.004516055160569587,0.5541044478212805,0.41763334804251284,0.45635299795391243,0.32225477652979667,0.6862679786322612,0.016246557554581577,0.3917044357770742,0.7727259955569507,0.6970725046810211,0.7417741798389484,0.6671332660450588,0.33146751693598914,0.5303640533684645,0.356061926249847,0.5043521863996523,0.705477336947367,0.4010596248844349,0.8542430622720247,0.17208539554626348,0.7099486205452672,0.6749170986833706,0.5860272813706031,0.531766695943833,0.4074307321406911,0.22153544520621848,0.5412082908717235,0.7578291087066771,0.7271693521440707,0.7941957519289881,0.5177814583711298,0.5081596202116702,0.5386773065630177,0.317983154946964,0.3965141340705673,0.38886018083815793,0.45059742893980154,0.7712384102162176,0.6020217582951471,0.6332244405519927,0.5971598724158356,0.6934346492462928,0.642733057975042,0.7698232021049322,0.34053153158499977,0.6412111213778533,0.6530812871891122,0.6899553481480979,0.7527277330457584,0.5910886418746548,0.47212764697075044,0.6818605815373431,0.7625881350355898,0.7244700235318448,0.5062980784578164,0.1907074352166059,0.18785519034642578,0.7334440510489579,0.39648060032831345,0.8721954180472115,0.627772258062743,0.5391256094475846,0.6023399359091388,0.3614477646752727
建筑安装业,-0.13571537380888157,0.5861020056886165,-0.50512454397566,0.10010571988051492,0.3472359032640238,1.0,-0.4723488165859048,0.04561422896349913,-0.33059726779897436,0.28223947708774666,0.5392416020176722,-0.010984319925452601,0.1854697842631633,-0.5636005765713469,0.07103463101641379,0.7288516397877238,-0.2879506513758148,-0.5483641711210091,-0.47874747440734333,-0.583222844532389,0.410436638479923,0.03644971584596834,-0.6062296712563903,0.5797273880473401,-0.19840671800013507,0.45309762433871614,-0.28365512533108234,-0.34181588609218144,0.24618297981822027,-0.6832022976541499,0.37475478325534395,0.02962289881547454,-0.46896073304587504,-0.10255716099249623,0.5642655366897943,0.007402135846845303,-0.28978350569104216,-0.4460831967425565,0.599941869919464,-0.495762394705103,-0.6120635440978865,-0.37320146137710597,-0.12294969094594901,0.7675370656929439,0.7007218914482463,-0.5416812940032129,0.16213872269684687,-0.22703818946783494,-0.5795040651397367,-0.4453122932085214,-0.5883539032587121,-0.2333254867926255,0.6619072852863495,0.30472838248536177,0.7533755166137965,0.6492162043205966,0.6685442398522924,0.7989298897499281,-0.27202536016227663,0.02561881692416937,-0.2818512652493371,-0.03371007159116769,0.39599153917088536,0.40931378578534355,-0.24349575012685448,0.07274780117115247,0.6515714427852466,0.7071026721340765,0.09091133415683557,-0.35187269559514206,0.7923509382036669,0.5555511033976239,0.6136355214723638,-0.45931198390310063,0.5221178492253385,-0.1968905272063906,-0.47198104279389513,-0.1485627451407042,-0.5491384112129859
金属制品业,0.8496772498814359,0.3427173930240296,0.9749571415591153,0.5985423931689845,0.5127798096143443,-0.4723488165859048,1.0,0.87012619876606,0.8613541638127455,0.5564300168732252,0.530838809303429,0.7629584341687908,0.21907629602325815,0.919039644295777,0.7282683062903793,-0.5210073876390169,0.8317140726438383,0.9425227493500207,0.9519203886624997,0.9343862211826829,0.15583016773410915,0.050199512947200035,0.8525715799012565,0.5735014030081654,0.8700445748552659,0.3968405042890435,0.7702286671742494,0.1906939600297482,0.23298153485184261,0.8800867020992208,0.6399462540256198,0.7372202282234199,0.9263275541163465,0.6356915416445202,-0.4636574762179142,0.3922191588208961,0.9260453151230921,0.91383889836668,-0.1824414098553537,0.9456047977086822,0.9261142584441359,0.9667904012844437,0.7829663549689909,0.3658036122497681,0.3995285856428506,0.887042368784107,0.5822716390056991,0.904137169363423,0.9490226855458829,0.9046122507448773,0.8754704136703513,0.673394226985827,0.45132939605216815,0.4583479951242993,-0.17678980539362946,0.08591959945365768,0.3143805758867641,0.15751102742790551,0.6846585699613944,0.17504635605122457,0.9284880520924653,0.5528183870378397,0.6195071136320444,0.3484508320042587,0.8447108952389529,0.05152766967640045,0.024225727379071346,0.20488614823768525,0.7011285252650887,0.9469237925140296,-0.5006062022600505,-0.3140626148510001,0.39675930291562295,0.9484868416485592,0.3323637761786027,0.8908461036334803,0.9341170562842291,0.8563403703293108,0.8572036778794917
邮政业,0.9267217599994345,0.44436772408905173,0.8478129006346613,0.5492277057886428,0.5217972727654008,0.04561422896349913,0.87012619876606,1.0,0.8364633238524604,0.6172302069907304,0.692726346191199,0.8018416575087228,0.10941405349640847,0.7181121592329897,0.7244200186848646,-0.09883306650913373,0.6965132478678406,0.7813509705731273,0.8154651525651414,0.7582532502280599,0.24209857120813744,-0.034764918931888454,0.6350462442399879,0.6835369868590039,0.8554533250261864,0.5047380158774305,0.7907861055298168,-0.1139676744766743,0.26153012612942156,0.7735449397050745,0.7861180170387327,0.8041405924663548,0.7755555984828132,0.5417975126941404,-0.44048002885724846,0.3125460843483232,0.8309104876883792,0.799353078844861,-0.13371538809888261,0.8372540861299932,0.8120157720222202,0.8548272535039747,0.7890167173847294,0.495322633131793,0.5349768349463151,0.7897394718114105,0.6119098759752611,0.8371165708690386,0.8188991361259159,0.744338766464571,0.8859866380334529,0.6521653706738623,0.5992328645732253,0.46321418194080677,-0.14467286067651228,0.24095651437070997,0.5157217759798998,0.2754311655031555,0.5723745470659614,0.05089266940100705,0.8727019389075539,0.6040509027398121,0.7434460470849218,0.3101783161691505,0.8484584214606963,-0.11779190911379896,0.05970556853910982,0.3522423971395405,0.7083774518908584,0.8612484271172648,-0.5380037158436243,0.024924980682477085,0.4750267668292006,0.804654565579796,0.3856772302599656,0.8429409188751882,0.7616638835891113,0.8891914817782639,0.834059797505718
其他制造业,0.8549692725738546,0.48092817223839734,0.799736576063459,0.734172453365977,0.6452923246030602,-0.33059726779897436,0.8613541638127455,0.8364633238524604,1.0,0.8095672409425008,0.7523081107164343,0.856671876799811,0.1687874128823987,0.7165637997948248,0.7443960874490795,-0.40682283017569326,0.7290289680432954,0.8192450139821903,0.82676496137569,0.7673148684725597,0.39005021903251846,-0.17191998441778392,0.8004208746517316,0.8305486512047431,0.9650422638986028,0.6422851637822111,0.9329146820407377,-0.017760231044434457,0.3705697466421339,0.8352514058896928,0.6571866567405931,0.8507721326724742,0.7331214711990229,0.7837783533624533,-0.29127018030111834,0.6585625981063403,0.8437818375778666,0.8847907889026452,0.07063167597759715,0.783322916399787,0.7405557604936716,0.816912630997076,0.9017584447074063,0.6656552625808179,0.6804778496244271,0.9094888445338405,0.4317818187227062,0.7911313857683632,0.7778883750591242,0.7380859861648975,0.869359765595139,0.5796802908221779,0.72386546414716,0.6438939016973463,0.05247364079025894,0.4402428291642143,0.5898921056128716,0.5631683695034646,0.7753189236484391,0.004787724053926774,0.8579926055820757,0.604359713979442,0.7954430069028776,0.5296019483562202,0.8512335034198384,0.09869593724944377,0.3698862374400185,0.5274109959934845,0.9080880461561535,0.8133214204331657,-0.4102772635246825,-0.15496093174464742,0.7302465918385176,0.7705386195933784,0.625766926538496,0.9127674054960956,0.8439375521457984,0.8275133894347819,0.8204228170061887
燃气生产和供应业,0.6766830023547755,0.5174569131852552,0.4932225491328531,0.7239378596476537,0.6754245603119611,0.28223947708774666,0.5564300168732252,0.6172302069907304,0.8095672409425008,1.0,0.8030883604428659,0.7383338285704748,0.12966656059281403,0.3654635885571197,0.6637228214626709,0.546708718363942,0.46006626154548724,0.5196362267294208,0.5308784222104319,0.4098309619105984,0.4944531404889645,-0.24327607112466884,0.5565364038656582,0.8314907503263305,0.8074090632987343,0.7346079314188758,0.8631220332620102,-0.161819387323917,0.5352296433239779,0.6030871187007805,0.5693153690210856,0.7699518913187011,0.4144757642981879,0.7610516305120768,0.07121717851279181,0.7382187604951846,0.6199548876846058,0.6716668243610907,0.24246285185869626,0.47871373733236033,0.4159928475988834,0.5301639478793025,0.7748031409827505,0.8230303174427489,0.7228883371595742,0.6757134920545516,0.32116870524425795,0.5550908903203137,0.46603154907436567,0.41571785463469735,0.6828193732211233,0.3510227783915739,0.7437139089029161,0.7770579076909697,0.2967428118418201,0.5759701407124705,0.745638019068846,0.7622614078691294,0.7250784664493262,-0.1342151050696364,0.599053218365019,0.008401883547179316,0.7340121238423563,0.621522800324164,0.6677926830781271,0.23087883330630993,0.5908987985952956,0.7190642900607433,0.8398933820506399,0.5290868101041009,-0.27634280662603017,-0.07111539977889571,0.8511137453696638,0.45869955286273667,0.7425405751569901,0.7262925501019003,0.5688894325041127,0.6353033852192173,0.6405775968677888
