代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
300081.SZ,恒信东方,2010-05-20,8.28,7.74,2631760000
300081.SZ,恒信东方,2010-05-21,6.98,7.53,2558060000
300081.SZ,恒信东方,2010-05-24,7.41,7.72,2625730000
300081.SZ,恒信东方,2010-05-25,7.59,7.46,2535950000
300081.SZ,恒信东方,2010-05-26,7.79,7.70,2617690000
300081.SZ,恒信东方,2010-05-27,7.59,7.98,2713500000
300081.SZ,恒信东方,2010-05-28,8.05,7.96,2704790000
300081.SZ,恒信东方,2010-05-31,7.88,7.40,2516520000
300081.SZ,恒信东方,2010-06-01,7.23,6.91,2350360000
300081.SZ,恒信东方,2010-06-02,6.87,7.00,2379170000
300081.SZ,恒信东方,2010-06-03,7.00,6.80,2312840000
300081.SZ,恒信东方,2010-06-04,6.71,6.91,2350360000
300081.SZ,恒信东方,2010-06-07,6.77,7.10,2414010000
300081.SZ,恒信东方,2010-06-08,7.07,7.18,2439470000
300081.SZ,恒信东方,2010-06-09,7.21,7.25,2464260000
300081.SZ,恒信东方,2010-06-10,7.22,7.45,2532600000
300081.SZ,恒信东方,2010-06-11,7.45,7.62,2590220000
300081.SZ,恒信东方,2010-06-17,7.64,7.16,2432770000
300081.SZ,恒信东方,2010-06-18,7.14,6.90,2344330000
300081.SZ,恒信东方,2010-06-21,6.90,7.18,2442150000
300081.SZ,恒信东方,2010-06-22,7.17,7.24,2459570000
300081.SZ,恒信东方,2010-06-23,7.19,7.25,2464260000
300081.SZ,恒信东方,2010-06-24,7.23,7.25,2465600000
300081.SZ,恒信东方,2010-06-25,7.18,6.97,2370460000
300081.SZ,恒信东方,2010-06-28,6.97,6.96,2364430000
300081.SZ,恒信东方,2010-06-29,6.96,6.40,2176830000
300081.SZ,恒信东方,2010-06-30,6.40,6.43,2186880000
300081.SZ,恒信东方,2010-07-01,6.40,6.28,2133950000
300081.SZ,恒信东方,2010-07-02,6.31,6.33,2152040000
300081.SZ,恒信东方,2010-07-05,6.25,6.21,2110500000
300081.SZ,恒信东方,2010-07-06,6.16,6.33,2152710000
300081.SZ,恒信东方,2010-07-07,6.33,6.34,2155390000
300081.SZ,恒信东方,2010-07-08,6.35,6.34,2154720000
300081.SZ,恒信东方,2010-07-09,6.36,6.50,2209660000
300081.SZ,恒信东方,2010-07-12,6.44,6.49,2207650000
300081.SZ,恒信东方,2010-07-13,6.43,6.37,2165440000
300081.SZ,恒信东方,2010-07-14,6.33,6.37,2165440000
300081.SZ,恒信东方,2010-07-15,6.37,6.23,2117200000
300081.SZ,恒信东方,2010-07-16,6.21,6.23,2117200000
300081.SZ,恒信东方,2010-07-19,6.13,6.33,2150700000
300081.SZ,恒信东方,2010-07-20,6.33,6.47,2200950000
300081.SZ,恒信东方,2010-07-21,6.48,6.52,2215690000
300081.SZ,恒信东方,2010-07-22,6.49,6.56,2230430000
300081.SZ,恒信东方,2010-07-23,6.54,6.57,2233780000
300081.SZ,恒信东方,2010-07-26,6.58,6.62,2251200000
300081.SZ,恒信东方,2010-07-27,6.62,6.51,2213680000
300081.SZ,恒信东方,2010-07-28,6.52,6.61,2247850000
300081.SZ,恒信东方,2010-07-29,6.62,6.68,2269960000
300081.SZ,恒信东方,2010-07-30,6.68,6.70,2278670000
300081.SZ,恒信东方,2010-08-02,6.71,6.79,2309490000
300081.SZ,恒信东方,2010-08-03,6.79,6.62,2251200000
300081.SZ,恒信东方,2010-08-04,6.64,6.62,2251870000
300081.SZ,恒信东方,2010-08-05,6.63,6.63,2255220000
300081.SZ,恒信东方,2010-08-06,6.66,6.83,2322890000
