代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
300564.SZ,筑博设计,2019-11-08,26.89,32.26,3267000000
300564.SZ,筑博设计,2019-11-11,35.49,35.49,3594000000
300564.SZ,筑博设计,2019-11-12,39.04,39.04,3953000000
300564.SZ,筑博设计,2019-11-13,42.94,42.94,4348000000
300564.SZ,筑博设计,2019-11-14,47.23,47.23,4783000000
300564.SZ,筑博设计,2019-11-15,51.83,51.96,5261000000
300564.SZ,筑博设计,2019-11-18,52.21,49.37,4999000000
300564.SZ,筑博设计,2019-11-19,46.42,51.07,5171000000
300564.SZ,筑博设计,2019-11-20,50.25,45.99,4657000000
300564.SZ,筑博设计,2019-11-21,44.53,43.37,4392000000
300564.SZ,筑博设计,2019-11-22,43.16,44.06,4462000000
300564.SZ,筑博设计,2019-11-25,43.50,40.92,4144000000
300564.SZ,筑博设计,2019-11-26,40.00,37.89,3837000000
300564.SZ,筑博设计,2019-11-27,37.74,38.31,3879000000
300564.SZ,筑博设计,2019-11-28,38.22,38.28,3876000000
300564.SZ,筑博设计,2019-11-29,37.90,38.91,3940000000
300564.SZ,筑博设计,2019-12-02,38.91,37.82,3830000000
300564.SZ,筑博设计,2019-12-03,37.28,36.75,3721000000
300564.SZ,筑博设计,2019-12-04,36.49,36.62,3708000000
300564.SZ,筑博设计,2019-12-05,36.76,36.91,3737000000
300564.SZ,筑博设计,2019-12-06,36.65,35.84,3629000000
300564.SZ,筑博设计,2019-12-09,35.94,36.47,3693000000
300564.SZ,筑博设计,2019-12-10,36.24,37.06,3753000000
300564.SZ,筑博设计,2019-12-11,37.33,38.73,3922000000
300564.SZ,筑博设计,2019-12-12,38.14,36.44,3690000000
300564.SZ,筑博设计,2019-12-13,36.34,36.70,3716000000
300564.SZ,筑博设计,2019-12-16,37.02,37.15,3762000000
300564.SZ,筑博设计,2019-12-17,37.13,37.48,3795000000
300564.SZ,筑博设计,2019-12-18,38.16,37.70,3818000000
300564.SZ,筑博设计,2019-12-19,37.19,36.94,3741000000
300564.SZ,筑博设计,2019-12-20,37.13,37.02,3749000000
300564.SZ,筑博设计,2019-12-23,36.74,35.53,3598000000
300564.SZ,筑博设计,2019-12-24,35.69,35.84,3629000000
300564.SZ,筑博设计,2019-12-25,35.56,35.36,3581000000
300564.SZ,筑博设计,2019-12-26,35.37,35.83,3628000000
300564.SZ,筑博设计,2019-12-27,35.88,36.11,3657000000
300564.SZ,筑博设计,2019-12-30,35.73,36.93,3740000000
300564.SZ,筑博设计,2019-12-31,36.74,36.76,3722000000
300564.SZ,筑博设计,2020-01-02,36.93,37.05,3752000000
300564.SZ,筑博设计,2020-01-03,37.03,36.34,3680000000
300564.SZ,筑博设计,2020-01-06,35.91,35.96,3641000000
300564.SZ,筑博设计,2020-01-07,35.92,36.39,3685000000
300564.SZ,筑博设计,2020-01-08,36.14,36.06,3651000000
300564.SZ,筑博设计,2020-01-09,36.20,36.34,3680000000
300564.SZ,筑博设计,2020-01-10,36.61,36.84,3730000000
300564.SZ,筑博设计,2020-01-13,37.03,37.44,3791000000
300564.SZ,筑博设计,2020-01-14,37.47,37.91,3839000000
300564.SZ,筑博设计,2020-01-15,38.01,37.66,3813000000
300564.SZ,筑博设计,2020-01-16,37.53,36.90,3736000000
300564.SZ,筑博设计,2020-01-17,36.91,36.39,3685000000
300564.SZ,筑博设计,2020-01-20,36.11,36.41,3687000000
300564.SZ,筑博设计,2020-01-21,36.30,36.24,3670000000
300564.SZ,筑博设计,2020-01-22,36.23,35.69,3614000000
300564.SZ,筑博设计,2020-01-23,35.34,33.58,3400000000
300564.SZ,筑博设计,2020-02-03,30.22,30.22,3060000000
300564.SZ,筑博设计,2020-02-04,27.21,28.15,2850000000
300564.SZ,筑博设计,2020-02-05,28.05,28.56,2892000000
300564.SZ,筑博设计,2020-02-06,28.64,28.99,2936000000
300564.SZ,筑博设计,2020-02-07,29.06,29.10,2947000000
300564.SZ,筑博设计,2020-02-10,29.13,30.02,3040000000
300564.SZ,筑博设计,2020-02-11,29.82,29.77,3015000000
300564.SZ,筑博设计,2020-02-12,29.64,30.17,3055000000
300564.SZ,筑博设计,2020-02-13,30.04,29.56,2993000000
300564.SZ,筑博设计,2020-02-14,29.38,29.72,3009000000
300564.SZ,筑博设计,2020-02-17,29.66,30.63,3102000000
300564.SZ,筑博设计,2020-02-18,30.62,31.33,3172000000
300564.SZ,筑博设计,2020-02-19,31.21,30.83,3122000000
300564.SZ,筑博设计,2020-02-20,30.83,31.22,3161000000
300564.SZ,筑博设计,2020-02-21,31.17,31.37,3177000000
300564.SZ,筑博设计,2020-02-24,31.24,31.57,3197000000
300564.SZ,筑博设计,2020-02-25,30.71,30.65,3104000000
300564.SZ,筑博设计,2020-02-26,30.12,32.24,3265000000
300564.SZ,筑博设计,2020-02-27,32.24,34.01,3444000000
300564.SZ,筑博设计,2020-02-28,32.45,31.04,3143000000
300564.SZ,筑博设计,2020-03-02,31.15,34.14,3457000000
300564.SZ,筑博设计,2020-03-03,36.48,35.59,3604000000
300564.SZ,筑博设计,2020-03-04,34.59,36.80,3726000000
300564.SZ,筑博设计,2020-03-05,36.72,35.74,3619000000
300564.SZ,筑博设计,2020-03-06,35.65,34.43,3486000000
300564.SZ,筑博设计,2020-03-09,33.25,32.08,3248000000
300564.SZ,筑博设计,2020-03-10,32.00,32.94,3336000000
300564.SZ,筑博设计,2020-03-11,32.89,32.01,3241000000
300564.SZ,筑博设计,2020-03-12,31.15,30.74,3113000000
300564.SZ,筑博设计,2020-03-13,29.23,29.87,3025000000
300564.SZ,筑博设计,2020-03-16,30.20,29.13,2950000000
300564.SZ,筑博设计,2020-03-17,29.64,29.57,2994000000
300564.SZ,筑博设计,2020-03-18,29.80,29.53,2990000000
300564.SZ,筑博设计,2020-03-19,29.48,29.89,3027000000
300564.SZ,筑博设计,2020-03-20,30.11,30.35,3073000000
300564.SZ,筑博设计,2020-03-23,29.58,28.98,2935000000
300564.SZ,筑博设计,2020-03-24,29.52,29.56,2993000000
300564.SZ,筑博设计,2020-03-25,30.11,30.12,3050000000
300564.SZ,筑博设计,2020-03-26,30.05,29.51,2988000000
300564.SZ,筑博设计,2020-03-27,29.92,30.34,3072000000
