代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
601226.SH,华电重工,2014-12-11,7.78,9.34,11088000000
601226.SH,华电重工,2014-12-12,10.27,10.27,12196800000
601226.SH,华电重工,2014-12-15,11.30,11.30,13413400000
601226.SH,华电重工,2014-12-16,12.43,12.43,14753200000
601226.SH,华电重工,2014-12-17,13.67,13.67,16231600000
601226.SH,华电重工,2014-12-18,13.58,15.04,17856300000
601226.SH,华电重工,2014-12-19,15.56,15.73,18680200000
601226.SH,华电重工,2014-12-22,14.53,14.16,16809100000
601226.SH,华电重工,2014-12-23,12.74,12.96,15384600000
601226.SH,华电重工,2014-12-24,12.84,13.17,15631000000
601226.SH,华电重工,2014-12-25,12.97,13.56,16100700000
601226.SH,华电重工,2014-12-26,13.23,13.22,15700300000
601226.SH,华电重工,2014-12-29,13.09,12.51,14853300000
601226.SH,华电重工,2014-12-30,12.65,11.98,14229600000
601226.SH,华电重工,2014-12-31,11.93,12.04,14291200000
601226.SH,华电重工,2015-01-05,11.95,11.81,14021700000
601226.SH,华电重工,2015-01-06,11.73,12.22,14514500000
601226.SH,华电重工,2015-01-07,12.17,11.93,14160300000
601226.SH,华电重工,2015-01-08,11.82,11.84,14060200000
601226.SH,华电重工,2015-01-09,11.77,12.04,14298900000
601226.SH,华电重工,2015-01-12,12.03,11.22,13321000000
601226.SH,华电重工,2015-01-13,11.10,11.18,13274800000
601226.SH,华电重工,2015-01-14,11.18,11.37,13498100000
601226.SH,华电重工,2015-01-15,11.38,11.42,13559700000
601226.SH,华电重工,2015-01-16,11.35,11.60,13775300000
601226.SH,华电重工,2015-01-19,11.21,11.30,13413400000
601226.SH,华电重工,2015-01-20,11.33,12.08,14337400000
601226.SH,华电重工,2015-01-21,12.06,12.14,14414400000
601226.SH,华电重工,2015-01-22,12.21,12.44,14768600000
601226.SH,华电重工,2015-01-23,12.45,12.06,14314300000
601226.SH,华电重工,2015-01-26,11.97,12.08,14337400000
601226.SH,华电重工,2015-01-27,12.03,11.86,14083300000
601226.SH,华电重工,2015-01-28,11.80,11.76,13967800000
601226.SH,华电重工,2015-01-29,11.68,11.63,13806100000
601226.SH,华电重工,2015-01-30,11.71,12.79,15184400000
601226.SH,华电重工,2015-02-02,13.03,12.81,15215200000
601226.SH,华电重工,2015-02-03,12.39,12.45,14784000000
601226.SH,华电重工,2015-02-04,12.49,12.11,14375900000
