代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
002337.SZ,赛象科技,2010-01-15,8.22,8.36,5247600000
002337.SZ,赛象科技,2010-01-18,8.27,8.05,5053200000
002337.SZ,赛象科技,2010-01-19,8.03,8.16,5124000000
002337.SZ,赛象科技,2010-01-20,8.08,7.91,4969200000
002337.SZ,赛象科技,2010-01-21,7.84,7.69,4826400000
002337.SZ,赛象科技,2010-01-22,7.58,7.21,4527600000
002337.SZ,赛象科技,2010-01-25,7.07,7.08,4448400000
002337.SZ,赛象科技,2010-01-26,7.10,6.66,4180800000
002337.SZ,赛象科技,2010-01-27,6.69,6.72,4219200000
002337.SZ,赛象科技,2010-01-28,6.71,6.67,4190400000
002337.SZ,赛象科技,2010-01-29,6.61,6.75,4240800000
002337.SZ,赛象科技,2010-02-01,6.69,6.34,3981600000
002337.SZ,赛象科技,2010-02-02,6.38,6.36,3992400000
002337.SZ,赛象科技,2010-02-03,6.36,6.33,3974400000
002337.SZ,赛象科技,2010-02-04,6.31,6.28,3942000000
002337.SZ,赛象科技,2010-02-05,6.10,6.31,3962400000
002337.SZ,赛象科技,2010-02-08,6.28,6.38,4005600000
002337.SZ,赛象科技,2010-02-09,6.38,6.30,3958800000
002337.SZ,赛象科技,2010-02-10,6.31,6.38,4008000000
002337.SZ,赛象科技,2010-02-11,6.38,6.45,4051200000
002337.SZ,赛象科技,2010-02-12,6.48,6.45,4047600000
002337.SZ,赛象科技,2010-02-22,6.41,6.31,3961200000
002337.SZ,赛象科技,2010-02-23,6.31,6.18,3882000000
002337.SZ,赛象科技,2010-02-24,6.16,6.42,4032000000
002337.SZ,赛象科技,2010-02-25,6.42,6.42,4032000000
002337.SZ,赛象科技,2010-02-26,6.56,6.71,4210800000
002337.SZ,赛象科技,2010-03-01,6.63,6.71,4215600000
002337.SZ,赛象科技,2010-03-02,6.72,6.74,4233600000
002337.SZ,赛象科技,2010-03-03,6.74,6.78,4257600000
002337.SZ,赛象科技,2010-03-04,6.78,6.46,4057200000
002337.SZ,赛象科技,2010-03-05,6.44,6.45,4048800000
002337.SZ,赛象科技,2010-03-08,6.49,6.52,4095600000
002337.SZ,赛象科技,2010-03-09,6.50,6.55,4110000000
002337.SZ,赛象科技,2010-03-10,6.56,6.42,4034400000
002337.SZ,赛象科技,2010-03-11,6.42,6.44,4045200000
002337.SZ,赛象科技,2010-03-12,6.48,6.64,4170000000
002337.SZ,赛象科技,2010-03-15,6.67,6.67,4186800000
002337.SZ,赛象科技,2010-03-16,6.67,6.64,4167600000
002337.SZ,赛象科技,2010-03-17,6.65,6.77,4248000000
002337.SZ,赛象科技,2010-03-18,6.77,6.73,4224000000
002337.SZ,赛象科技,2010-03-19,6.72,6.68,4195200000
002337.SZ,赛象科技,2010-03-22,6.67,6.76,4246800000
002337.SZ,赛象科技,2010-03-23,6.75,6.69,4202400000
002337.SZ,赛象科技,2010-03-24,6.69,6.94,4356000000
002337.SZ,赛象科技,2010-03-25,6.93,7.01,4399200000
002337.SZ,赛象科技,2010-03-26,6.98,6.96,4368000000
002337.SZ,赛象科技,2010-03-29,6.96,6.91,4336800000
002337.SZ,赛象科技,2010-03-30,6.88,7.11,4461600000
002337.SZ,赛象科技,2010-03-31,7.13,7.29,4579200000
002337.SZ,赛象科技,2010-04-01,7.29,7.29,4575600000
002337.SZ,赛象科技,2010-04-02,7.19,7.16,4497600000
002337.SZ,赛象科技,2010-04-06,7.16,7.28,4574400000
002337.SZ,赛象科技,2010-04-07,7.29,7.38,4632000000
002337.SZ,赛象科技,2010-04-08,7.37,7.17,4504800000
002337.SZ,赛象科技,2010-04-09,7.18,7.23,4542000000
002337.SZ,赛象科技,2010-04-12,7.20,7.34,4606800000
002337.SZ,赛象科技,2010-04-13,7.30,6.96,4369200000
002337.SZ,赛象科技,2010-04-14,6.95,6.84,4296000000
002337.SZ,赛象科技,2010-04-15,6.84,6.49,4074000000
002337.SZ,赛象科技,2010-04-16,6.46,6.53,4101600000
002337.SZ,赛象科技,2010-04-19,6.50,6.39,4010400000
002337.SZ,赛象科技,2010-04-20,6.39,6.53,4099200000
002337.SZ,赛象科技,2010-04-21,6.53,6.62,4158000000
002337.SZ,赛象科技,2010-04-22,6.62,6.62,4158000000
002337.SZ,赛象科技,2010-04-23,6.64,6.56,4119600000
