代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
603396.SH,金辰股份,2017-10-18,16.25,19.51,2118608943
603396.SH,金辰股份,2017-10-19,21.46,21.46,2330167610
603396.SH,金辰股份,2017-10-20,23.60,23.60,2562882145
603396.SH,金辰股份,2017-10-23,25.96,25.96,2819019246
603396.SH,金辰股份,2017-10-24,28.55,28.55,3100845614
603396.SH,金辰股份,2017-10-25,31.40,31.40,3410627948
603396.SH,金辰股份,2017-10-26,34.54,34.54,3751388517
603396.SH,金辰股份,2017-10-27,38.00,38.00,4126905152
603396.SH,金辰股份,2017-10-30,40.08,39.56,4296152086
603396.SH,金辰股份,2017-10-31,37.43,37.18,4037748284
603396.SH,金辰股份,2017-11-01,36.57,37.62,4086104551
603396.SH,金辰股份,2017-11-02,37.08,34.91,3791433550
603396.SH,金辰股份,2017-11-03,34.72,34.56,3753655217
603396.SH,金辰股份,2017-11-06,35.10,35.57,3862456817
603396.SH,金辰股份,2017-11-07,35.19,35.05,3806544883
603396.SH,金辰股份,2017-11-08,34.99,36.80,3996947684
603396.SH,金辰股份,2017-11-09,36.25,37.15,4034726018
603396.SH,金辰股份,2017-11-10,36.89,40.87,4438198620
603396.SH,金辰股份,2017-11-13,43.83,42.67,4633890387
603396.SH,金辰股份,2017-11-14,43.83,45.25,4914205622
603396.SH,金辰股份,2017-11-15,43.83,40.73,4423087286
603396.SH,金辰股份,2017-11-16,39.75,37.85,4110282685
603396.SH,金辰股份,2017-11-17,36.91,35.14,3816367250
603396.SH,金辰股份,2017-11-20,35.22,37.07,4026414784
603396.SH,金辰股份,2017-11-21,36.80,34.15,3709076783
603396.SH,金辰股份,2017-11-22,33.78,33.19,3604808583
603396.SH,金辰股份,2017-11-23,33.28,32.76,3557963449
603396.SH,金辰股份,2017-11-24,32.01,30.67,3331293448
603396.SH,金辰股份,2017-11-27,30.64,29.62,3216447314
603396.SH,金辰股份,2017-11-28,29.80,30.50,3312404281
603396.SH,金辰股份,2017-11-29,30.54,29.99,3257247914
603396.SH,金辰股份,2017-11-30,30.04,30.60,3323737781
603396.SH,金辰股份,2017-12-01,29.92,30.31,3292003981
603396.SH,金辰股份,2017-12-04,30.04,27.29,2963332480
603396.SH,金辰股份,2017-12-05,27.06,26.60,2889286946
603396.SH,金辰股份,2017-12-06,26.54,27.43,2979199380
603396.SH,金辰股份,2017-12-07,27.31,27.07,2939909913
603396.SH,金辰股份,2017-12-08,27.06,27.81,3020755547
603396.SH,金辰股份,2017-12-11,27.69,28.16,3057778313
603396.SH,金辰股份,2017-12-12,27.90,26.58,2887020246
603396.SH,金辰股份,2017-12-13,26.53,27.11,2943687746
603396.SH,金辰股份,2017-12-14,27.06,26.94,2925554146
603396.SH,金辰股份,2017-12-15,26.71,27.28,2962576913
603396.SH,金辰股份,2017-12-18,27.55,26.95,2927065280
603396.SH,金辰股份,2017-12-19,27.05,27.20,2953510113
603396.SH,金辰股份,2017-12-20,27.06,26.34,2860575413
603396.SH,金辰股份,2017-12-21,26.17,26.37,2863597679
603396.SH,金辰股份,2017-12-22,26.38,29.00,3149957447
603396.SH,金辰股份,2017-12-25,28.45,29.06,3156001981
603396.SH,金辰股份,2017-12-26,28.77,30.38,3298804081
603396.SH,金辰股份,2017-12-27,29.95,29.14,3164313214
603396.SH,金辰股份,2017-12-28,28.86,29.18,3168846614
603396.SH,金辰股份,2017-12-29,29.22,28.64,3110667980
603396.SH,金辰股份,2018-01-02,29.16,29.23,3174891147
603396.SH,金辰股份,2018-01-03,29.07,28.99,3148446314
603396.SH,金辰股份,2018-01-04,28.98,29.64,3219469581
603396.SH,金辰股份,2018-01-05,29.37,28.93,3141646214
603396.SH,金辰股份,2018-01-08,28.96,29.12,3162802081
603396.SH,金辰股份,2018-01-09,28.84,29.73,3228536381
603396.SH,金辰股份,2018-01-10,29.49,30.03,3261781314
603396.SH,金辰股份,2018-01-11,29.57,31.16,3384183115
603396.SH,金辰股份,2018-01-12,30.96,30.35,3295781815
603396.SH,金辰股份,2018-01-15,30.61,29.09,3159779814
603396.SH,金辰股份,2018-01-16,28.56,29.78,3234580914
603396.SH,金辰股份,2018-01-17,29.78,31.41,3411383515
603396.SH,金辰股份,2018-01-18,31.01,30.88,3353960448
603396.SH,金辰股份,2018-01-19,30.65,30.43,3304848615
603396.SH,金辰股份,2018-01-22,29.63,28.00,3041155847
603396.SH,金辰股份,2018-01-23,27.90,28.18,3060800580
603396.SH,金辰股份,2018-01-24,28.18,28.49,3094045514
603396.SH,金辰股份,2018-01-25,28.39,28.01,3041911413
603396.SH,金辰股份,2018-01-26,27.62,27.01,2933865380
603396.SH,金辰股份,2018-01-29,26.92,27.28,2962576913
603396.SH,金辰股份,2018-01-30,27.27,27.01,2933865380
603396.SH,金辰股份,2018-01-31,27.01,25.15,2731373512
603396.SH,金辰股份,2018-02-01,25.15,24.11,2618794078
603396.SH,金辰股份,2018-02-02,24.07,24.13,2620305212
603396.SH,金辰股份,2018-02-05,23.64,22.85,2481280944
603396.SH,金辰股份,2018-02-06,22.26,20.57,2233455077
603396.SH,金辰股份,2018-02-07,21.14,21.19,2301456077
603396.SH,金辰股份,2018-02-08,21.18,21.60,2346034510
603396.SH,金辰股份,2018-02-09,21.09,20.93,2273500110
603396.SH,金辰股份,2018-02-12,21.18,22.17,2407990977
603396.SH,金辰股份,2018-02-13,22.37,21.76,2362656977
603396.SH,金辰股份,2018-02-14,21.73,21.50,2335456577
603396.SH,金辰股份,2018-02-22,21.71,21.84,2371723777
603396.SH,金辰股份,2018-02-23,21.83,22.12,2401946444
603396.SH,金辰股份,2018-02-26,22.51,22.90,2486569911
603396.SH,金辰股份,2018-02-27,22.76,23.13,2511503611
603396.SH,金辰股份,2018-02-28,23.00,22.65,2460125078
603396.SH,金辰股份,2018-03-01,22.40,23.11,2509992478
603396.SH,金辰股份,2018-03-02,22.83,23.22,2521325978
603396.SH,金辰股份,2018-03-05,22.96,23.57,2559859878
603396.SH,金辰股份,2018-03-06,23.57,23.77,2581771311
603396.SH,金辰股份,2018-03-07,23.58,23.74,2577993478
603396.SH,金辰股份,2018-03-08,23.69,24.73,2685283945
603396.SH,金辰股份,2018-03-09,25.05,25.72,2793329979
603396.SH,金辰股份,2018-03-12,26.01,27.01,2933865380
603396.SH,金辰股份,2018-03-13,27.06,26.49,2877197879
603396.SH,金辰股份,2018-03-14,26.31,26.36,2862842113
603396.SH,金辰股份,2018-03-15,26.09,25.31,2748751545
603396.SH,金辰股份,2018-03-16,25.43,26.81,2911953946
603396.SH,金辰股份,2018-03-19,26.65,27.23,2957287946
603396.SH,金辰股份,2018-03-20,24.56,25.89,2812219146
603396.SH,金辰股份,2018-03-21,25.53,24.93,2707195379
603396.SH,金辰股份,2018-03-22,24.92,25.11,2726840112
603396.SH,金辰股份,2018-03-23,24.14,22.60,2454080544
603396.SH,金辰股份,2018-03-26,21.79,22.96,2493370011
603396.SH,金辰股份,2018-03-27,23.24,23.72,2576482345
603396.SH,金辰股份,2018-03-28,23.39,23.59,2562126578
603396.SH,金辰股份,2018-03-29,24.02,24.61,2672439312
603396.SH,金辰股份,2018-03-30,24.48,25.55,2774440812
603396.SH,金辰股份,2018-04-02,25.65,25.48,2767640712
603396.SH,金辰股份,2018-04-03,25.05,26.67,2896087046
603396.SH,金辰股份,2018-04-04,29.32,29.33,3185469081
603396.SH,金辰股份,2018-04-09,31.43,29.24,3175646714
603396.SH,金辰股份,2018-04-10,28.18,27.66,3004133080
603396.SH,金辰股份,2018-04-11,27.48,27.59,2995821847
603396.SH,金辰股份,2018-04-12,27.43,27.03,2935376513
603396.SH,金辰股份,2018-04-13,27.10,26.60,2889286946
603396.SH,金辰股份,2018-04-16,26.35,26.78,2908176113
603396.SH,金辰股份,2018-04-17,26.80,25.27,2744218145
603396.SH,金辰股份,2018-04-18,25.53,25.85,2806930179
603396.SH,金辰股份,2018-04-19,25.87,26.90,2921776313
603396.SH,金辰股份,2018-04-20,26.44,25.63,2783507612
603396.SH,金辰股份,2018-04-23,25.74,27.20,2953510113
603396.SH,金辰股份,2018-04-24,27.13,28.25,3067600680
603396.SH,金辰股份,2018-04-25,27.82,27.80,3019244413
603396.SH,金辰股份,2018-04-26,27.83,27.22,2955776813
603396.SH,金辰股份,2018-04-27,27.38,25.94,2816752546
603396.SH,金辰股份,2018-05-02,25.73,25.79,2800885646
603396.SH,金辰股份,2018-05-03,25.94,26.28,2854530879
603396.SH,金辰股份,2018-05-04,26.02,25.64,2784263179
603396.SH,金辰股份,2018-05-07,25.92,26.98,2930087546
603396.SH,金辰股份,2018-05-08,26.68,27.43,2979199380
603396.SH,金辰股份,2018-05-09,27.48,27.66,3004133080
603396.SH,金辰股份,2018-05-10,27.38,28.05,3046444813
603396.SH,金辰股份,2018-05-11,27.82,26.81,2911953946
603396.SH,金辰股份,2018-05-14,26.80,26.60,2888531379
603396.SH,金辰股份,2018-05-15,26.55,27.67,3004888647
603396.SH,金辰股份,2018-05-16,27.75,27.12,2945198880
603396.SH,金辰股份,2018-05-17,27.23,28.04,3044933680
603396.SH,金辰股份,2018-05-18,27.97,28.50,3095556647
603396.SH,金辰股份,2018-05-21,28.45,28.35,3078934180
603396.SH,金辰股份,2018-05-22,28.36,28.82,3129557147
603396.SH,金辰股份,2018-05-23,28.52,28.01,3041911413
603396.SH,金辰股份,2018-05-24,28.00,28.00,3041155847
603396.SH,金辰股份,2018-05-25,27.97,28.48,3093289947
603396.SH,金辰股份,2018-05-28,28.35,29.39,3192269181
603396.SH,金辰股份,2018-05-29,29.43,28.09,3050978213
603396.SH,金辰股份,2018-05-30,28.09,25.37,2755551645
603396.SH,金辰股份,2018-05-31,25.53,25.93,2815996979
603396.SH,金辰股份,2018-06-01,25.65,25.37,2754796079
603396.SH,金辰股份,2018-06-04,24.00,24.02,2608216145
603396.SH,金辰股份,2018-06-05,23.84,24.76,2689061779
603396.SH,金辰股份,2018-06-06,24.68,25.27,2744218145
603396.SH,金辰股份,2018-06-07,25.29,24.91,2705684245
603396.SH,金辰股份,2018-06-08,24.61,25.12,2728351245
603396.SH,金辰股份,2018-06-11,25.08,24.81,2694350745
603396.SH,金辰股份,2018-06-12,25.48,25.86,2808441312
603396.SH,金辰股份,2018-06-13,26.44,24.98,2712484345
603396.SH,金辰股份,2018-06-14,24.27,25.41,2759329479
603396.SH,金辰股份,2018-06-15,25.31,24.53,2664128078
603396.SH,金辰股份,2018-06-19,24.03,22.08,2377012744
603396.SH,金辰股份,2018-06-20,22.07,22.81,2455591678
603396.SH,金辰股份,2018-06-21,22.85,21.91,2358879144
603396.SH,金辰股份,2018-06-22,21.46,22.45,2417057777
603396.SH,金辰股份,2018-06-25,23.03,22.52,2424613444
603396.SH,金辰股份,2018-06-26,22.38,23.24,2501681244
603396.SH,金辰股份,2018-06-27,23.14,23.53,2532659478
603396.SH,金辰股份,2018-06-28,23.52,23.18,2495636711
603396.SH,金辰股份,2018-06-29,23.09,23.69,2550037511
603396.SH,金辰股份,2018-07-02,23.71,23.05,2481280944
603396.SH,金辰股份,2018-07-03,23.51,24.03,2586304711
603396.SH,金辰股份,2018-07-04,23.91,23.17,2494125578
603396.SH,金辰股份,2018-07-05,22.67,22.04,2372479344
603396.SH,金辰股份,2018-07-06,22.08,22.64,2437458077
603396.SH,金辰股份,2018-07-09,22.61,23.38,2516792578
603396.SH,金辰股份,2018-07-10,23.32,23.86,2568926678
603396.SH,金辰股份,2018-07-11,23.59,23.60,2540215145
603396.SH,金辰股份,2018-07-12,23.23,24.50,2636927678
603396.SH,金辰股份,2018-07-13,24.36,24.75,2664128078
603396.SH,金辰股份,2018-07-16,24.68,24.23,2608216145
603396.SH,金辰股份,2018-07-17,25.09,24.21,2605949445
603396.SH,金辰股份,2018-07-18,23.87,23.74,2555326478
603396.SH,金辰股份,2018-07-19,23.74,23.09,2485814344
603396.SH,金辰股份,2018-07-20,23.10,23.51,2531148344
603396.SH,金辰股份,2018-07-23,23.42,23.60,2540970711
603396.SH,金辰股份,2018-07-24,23.59,24.08,2592349245
603396.SH,金辰股份,2018-07-25,23.99,23.82,2564393278
603396.SH,金辰股份,2018-07-26,23.68,23.31,2509236911
603396.SH,金辰股份,2018-07-27,23.23,23.20,2497147844
603396.SH,金辰股份,2018-07-30,23.16,22.85,2460125078
603396.SH,金辰股份,2018-07-31,23.00,22.69,2442747044
603396.SH,金辰股份,2018-08-01,22.71,22.12,2381546144
603396.SH,金辰股份,2018-08-02,22.04,21.21,2283322477
603396.SH,金辰股份,2018-08-03,21.26,21.01,2261411043
603396.SH,金辰股份,2018-08-06,21.11,20.33,2188876643
603396.SH,金辰股份,2018-08-07,20.50,21.05,2265944443
603396.SH,金辰股份,2018-08-08,20.92,20.31,2186609943
603396.SH,金辰股份,2018-08-09,20.31,20.87,2247055277
603396.SH,金辰股份,2018-08-10,20.71,21.06,2266700010
603396.SH,金辰股份,2018-08-13,20.82,21.39,2302211643
603396.SH,金辰股份,2018-08-14,21.44,21.21,2283322477
603396.SH,金辰股份,2018-08-15,21.09,20.32,2187365510
603396.SH,金辰股份,2018-08-16,20.18,20.31,2186609943
603396.SH,金辰股份,2018-08-17,20.45,19.77,2127675743
603396.SH,金辰股份,2018-08-20,19.69,19.83,2134475843
603396.SH,金辰股份,2018-08-21,19.88,19.79,2130698009
603396.SH,金辰股份,2018-08-22,19.65,19.18,2064208142
603396.SH,金辰股份,2018-08-23,19.18,19.60,2109542143
603396.SH,金辰股份,2018-08-24,19.77,19.77,2128431309
603396.SH,金辰股份,2018-08-27,19.86,20.94,2253855377
603396.SH,金辰股份,2018-08-28,20.62,20.66,2224388276
603396.SH,金辰股份,2018-08-29,20.70,20.40,2196432310
603396.SH,金辰股份,2018-08-30,20.43,20.43,2198699010
603396.SH,金辰股份,2018-08-31,20.43,20.11,2164698510
603396.SH,金辰股份,2018-09-03,21.48,20.83,2242521877
603396.SH,金辰股份,2018-09-04,20.21,20.48,2204743543
603396.SH,金辰股份,2018-09-05,20.34,19.77,2127675743
603396.SH,金辰股份,2018-09-06,19.59,19.58,2107275443
603396.SH,金辰股份,2018-09-07,19.58,19.58,2108031009
603396.SH,金辰股份,2018-09-10,19.55,19.15,2061185876
603396.SH,金辰股份,2018-09-11,19.15,19.30,2077808342
603396.SH,金辰股份,2018-09-12,19.18,19.32,2080075043
603396.SH,金辰股份,2018-09-13,19.53,19.60,2110297709
603396.SH,金辰股份,2018-09-14,19.61,19.25,2071763809
603396.SH,金辰股份,2018-09-17,19.25,18.74,2017363009
603396.SH,金辰股份,2018-09-18,18.61,19.17,2063452576
603396.SH,金辰股份,2018-09-19,19.15,19.34,2082341743
603396.SH,金辰股份,2018-09-20,19.12,18.95,2040030009
603396.SH,金辰股份,2018-09-21,18.95,19.44,2092919676
603396.SH,金辰股份,2018-09-25,19.44,19.44,2092164109
603396.SH,金辰股份,2018-09-26,19.40,19.39,2087630709
603396.SH,金辰股份,2018-09-27,19.39,18.78,2021140842
603396.SH,金辰股份,2018-09-28,18.87,19.21,2067985976
603396.SH,金辰股份,2018-10-08,18.88,18.41,1981851375
603396.SH,金辰股份,2018-10-09,18.47,18.56,1997718275
603396.SH,金辰股份,2018-10-10,18.71,19.30,2077808342
603396.SH,金辰股份,2018-10-11,18.75,17.55,1888916675
603396.SH,金辰股份,2018-10-12,17.51,17.55,1888916675
603396.SH,金辰股份,2018-10-15,17.62,16.62,1789181875
603396.SH,金辰股份,2018-10-16,16.38,16.15,1738558908
603396.SH,金辰股份,2018-10-17,16.23,16.25,1749136841
603396.SH,金辰股份,2018-10-18,16.13,16.29,1753670241
603396.SH,金辰股份,2018-10-19,16.05,16.66,1792959708
603396.SH,金辰股份,2018-10-22,16.71,17.26,1857938442
603396.SH,金辰股份,2018-10-23,16.80,16.78,1805804341
603396.SH,金辰股份,2018-10-24,16.78,16.78,1805804341
603396.SH,金辰股份,2018-10-25,16.21,16.54,1780870641
603396.SH,金辰股份,2018-10-26,16.78,16.74,1802026508
603396.SH,金辰股份,2018-10-29,16.76,17.16,1847360508
603396.SH,金辰股份,2018-10-30,17.12,17.07,1837538141
603396.SH,金辰股份,2018-10-31,17.12,17.14,1845093808
603396.SH,金辰股份,2018-11-01,17.15,17.21,1852649475
603396.SH,金辰股份,2018-11-02,17.35,17.55,1889672242
603396.SH,金辰股份,2018-11-05,17.97,17.81,1917628208
603396.SH,金辰股份,2018-11-06,17.79,17.31,1863227408
603396.SH,金辰股份,2018-11-07,17.26,17.36,1868516375
603396.SH,金辰股份,2018-11-08,17.54,17.28,1860205142
603396.SH,金辰股份,2018-11-09,17.22,17.29,1861716275
603396.SH,金辰股份,2018-11-12,17.32,17.98,1935761809
603396.SH,金辰股份,2018-11-13,17.78,18.12,1950873142
603396.SH,金辰股份,2018-11-14,18.18,18.09,1947850875
603396.SH,金辰股份,2018-11-15,18.42,19.55,2105008743
603396.SH,金辰股份,2018-11-16,19.51,19.81,2132209143
603396.SH,金辰股份,2018-11-19,19.81,19.93,2145809343
603396.SH,金辰股份,2018-11-20,19.74,19.96,2148831609
603396.SH,金辰股份,2018-11-21,19.66,19.93,2145053776
603396.SH,金辰股份,2018-11-22,20.35,19.98,2150342743
603396.SH,金辰股份,2018-11-23,19.81,19.37,2085364009
603396.SH,金辰股份,2018-11-26,18.95,18.41,1981851375
603396.SH,金辰股份,2018-11-27,18.54,18.57,1998473842
603396.SH,金辰股份,2018-11-28,18.67,18.94,2038518876
603396.SH,金辰股份,2018-11-29,18.80,18.09,1947095309
603396.SH,金辰股份,2018-11-30,18.07,19.16,2062697009
603396.SH,金辰股份,2018-12-03,19.27,19.55,2104253176
603396.SH,金辰股份,2018-12-04,19.44,19.55,2104253176
603396.SH,金辰股份,2018-12-05,19.17,19.38,2086119576
603396.SH,金辰股份,2018-12-06,19.30,19.02,2047585676
603396.SH,金辰股份,2018-12-07,19.02,19.10,2055896909
603396.SH,金辰股份,2018-12-10,18.85,18.86,2030207642
603396.SH,金辰股份,2018-12-11,18.89,18.94,2039274442
603396.SH,金辰股份,2018-12-12,19.06,19.08,2053630209
603396.SH,金辰股份,2018-12-13,19.13,19.00,2045318976
603396.SH,金辰股份,2018-12-14,18.96,18.38,1978829109
603396.SH,金辰股份,2018-12-17,18.17,18.43,1984118075
603396.SH,金辰股份,2018-12-18,18.32,18.31,1971273442
603396.SH,金辰股份,2018-12-19,18.35,18.42,1982606942
603396.SH,金辰股份,2018-12-20,18.39,18.69,2012074042
603396.SH,金辰股份,2018-12-21,18.67,18.68,2011318476
603396.SH,金辰股份,2018-12-24,18.52,18.90,2034741042
603396.SH,金辰股份,2018-12-25,18.63,18.82,2026429809
603396.SH,金辰股份,2018-12-26,18.89,19.02,2047585676
603396.SH,金辰股份,2018-12-27,19.16,18.64,2006785076
603396.SH,金辰股份,2018-12-28,18.74,18.64,2006785076
603396.SH,金辰股份,2019-01-02,18.32,18.34,1974295709
603396.SH,金辰股份,2019-01-03,18.19,17.60,1894205642
603396.SH,金辰股份,2019-01-04,17.60,18.10,1948606442
603396.SH,金辰股份,2019-01-07,18.13,18.61,2003762809
603396.SH,金辰股份,2019-01-08,18.53,18.64,2006029509
603396.SH,金辰股份,2019-01-09,18.64,18.47,1988651475
603396.SH,金辰股份,2019-01-10,18.38,18.81,2024918676
603396.SH,金辰股份,2019-01-11,18.85,18.80,2023407542
603396.SH,金辰股份,2019-01-14,18.99,18.02,1940295209
603396.SH,金辰股份,2019-01-15,17.90,18.31,1970517875
603396.SH,金辰股份,2019-01-16,18.31,18.46,1987140342
603396.SH,金辰股份,2019-01-17,18.46,18.14,1952384275
603396.SH,金辰股份,2019-01-18,18.05,18.28,1967495609
603396.SH,金辰股份,2019-01-21,18.18,18.59,2000740542
603396.SH,金辰股份,2019-01-22,18.40,18.61,2003762809
603396.SH,金辰股份,2019-01-23,18.60,19.07,2052874642
603396.SH,金辰股份,2019-01-24,19.02,19.34,2082341743
