代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
003010.SZ,若羽臣,2020-09-25,18.24,21.89,2664009498
003010.SZ,若羽臣,2020-09-28,24.08,24.08,2930532147
003010.SZ,若羽臣,2020-09-29,26.49,26.49,3223828762
003010.SZ,若羽臣,2020-09-30,29.14,29.14,3546333338
003010.SZ,若羽臣,2020-10-09,32.05,32.05,3900479872
003010.SZ,若羽臣,2020-10-12,35.26,35.26,4291136358
003010.SZ,若羽臣,2020-10-13,38.79,38.79,4720736794
003010.SZ,若羽臣,2020-10-14,42.67,42.67,5192932173
003010.SZ,若羽臣,2020-10-15,46.94,46.94,5712590490
003010.SZ,若羽臣,2020-10-16,51.63,51.63,6283362739
003010.SZ,若羽臣,2020-10-19,54.01,53.50,6510941440
003010.SZ,若羽臣,2020-10-20,51.00,52.80,6425751552
003010.SZ,若羽臣,2020-10-21,54.80,52.75,6419666560
003010.SZ,若羽臣,2020-10-22,49.01,47.48,5778308403
003010.SZ,若羽臣,2020-10-23,48.26,46.31,5635919590
003010.SZ,若羽臣,2020-10-26,45.50,45.97,5594541645
003010.SZ,若羽臣,2020-10-27,46.00,46.68,5680948531
003010.SZ,若羽臣,2020-10-28,45.99,44.00,5354792960
003010.SZ,若羽臣,2020-10-29,42.60,43.81,5331669990
003010.SZ,若羽臣,2020-10-30,44.36,40.87,4973872461
003010.SZ,若羽臣,2020-11-02,41.20,41.62,5065147341
003010.SZ,若羽臣,2020-11-03,41.60,43.70,5318283008
003010.SZ,若羽臣,2020-11-04,43.43,43.15,5251348096
003010.SZ,若羽臣,2020-11-05,44.00,43.07,5241612109
003010.SZ,若羽臣,2020-11-06,42.88,41.20,5014033408
003010.SZ,若羽臣,2020-11-09,41.61,44.36,5398604902
003010.SZ,若羽臣,2020-11-10,43.41,41.81,5088270310
003010.SZ,若羽臣,2020-11-11,41.00,40.63,4944664499
003010.SZ,若羽臣,2020-11-12,41.15,38.98,4743859763
003010.SZ,若羽臣,2020-11-13,38.99,39.66,4826615654
003010.SZ,若羽臣,2020-11-16,39.55,40.31,4905720550
003010.SZ,若羽臣,2020-11-17,40.09,40.29,4903286554
003010.SZ,若羽臣,2020-11-18,40.00,40.00,4867993600
003010.SZ,若羽臣,2020-11-19,39.89,40.08,4877729587
003010.SZ,若羽臣,2020-11-20,40.27,39.19,4769416730
003010.SZ,若羽臣,2020-11-23,39.00,38.79,4720736794
003010.SZ,若羽臣,2020-11-24,38.32,38.18,4646499891
003010.SZ,若羽臣,2020-11-25,38.15,37.53,4567394995
003010.SZ,若羽臣,2020-11-26,37.53,38.40,4673273856
003010.SZ,若羽臣,2020-11-27,38.24,37.39,4550357018
003010.SZ,若羽臣,2020-11-30,37.05,37.30,4539404032
003010.SZ,若羽臣,2020-12-01,37.37,38.03,4628244915
003010.SZ,若羽臣,2020-12-02,39.22,39.25,4776718720
003010.SZ,若羽臣,2020-12-03,38.70,40.18,4889899571
003010.SZ,若羽臣,2020-12-04,40.18,39.52,4809577677
003010.SZ,若羽臣,2020-12-07,39.14,39.98,4865559603
003010.SZ,若羽臣,2020-12-08,39.89,39.15,4764548736
003010.SZ,若羽臣,2020-12-09,38.87,37.85,4606338944
003010.SZ,若羽臣,2020-12-10,37.67,36.85,4484639104
003010.SZ,若羽臣,2020-12-11,36.85,34.42,4188908493
003010.SZ,若羽臣,2020-12-14,34.50,34.89,4246107418
003010.SZ,若羽臣,2020-12-15,34.53,34.50,4198644480
003010.SZ,若羽臣,2020-12-16,34.26,33.50,4076944640
003010.SZ,若羽臣,2020-12-17,33.28,33.79,4112237594
003010.SZ,若羽臣,2020-12-18,33.98,32.90,4003924736
003010.SZ,若羽臣,2020-12-21,32.35,32.20,3918734848
003010.SZ,若羽臣,2020-12-22,32.12,30.44,3704543130
003010.SZ,若羽臣,2020-12-23,30.51,30.02,3653429197
003010.SZ,若羽臣,2020-12-24,30.04,30.23,3678986163
003010.SZ,若羽臣,2020-12-25,29.97,30.41,3700892134
003010.SZ,若羽臣,2020-12-28,30.30,29.33,3569456307
003010.SZ,若羽臣,2020-12-29,29.05,29.65,3608400256
003010.SZ,若羽臣,2020-12-30,30.00,30.27,3683854157
003010.SZ,若羽臣,2020-12-31,30.68,31.74,3862752922

数据来源: Wind
