代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
600242.SH,*ST中昌,2010-01-04,7.59,7.37,1282599810
600242.SH,*ST中昌,2010-01-05,7.38,7.48,1301743091
600242.SH,*ST中昌,2010-01-06,7.45,7.38,1284340108
600242.SH,*ST中昌,2010-01-07,7.35,7.15,1244313249
600242.SH,*ST中昌,2010-01-08,7.11,7.20,1253014740
600242.SH,*ST中昌,2010-01-11,7.20,7.27,1265196828
600242.SH,*ST中昌,2010-01-12,7.29,7.39,1286080407
600242.SH,*ST中昌,2010-01-13,7.29,7.33,1275638617
600242.SH,*ST中昌,2010-01-14,7.35,7.50,1305223687
600242.SH,*ST中昌,2010-01-15,7.50,7.60,1322626670
600242.SH,*ST中昌,2010-01-18,7.60,7.66,1333068459
600242.SH,*ST中昌,2010-01-19,7.70,7.65,1331328161
600242.SH,*ST中昌,2010-01-20,7.65,7.30,1270417722
600242.SH,*ST中昌,2010-01-21,7.37,7.34,1277378915
600242.SH,*ST中昌,2010-01-22,7.28,7.27,1265196828
600242.SH,*ST中昌,2010-01-25,7.16,7.23,1258235635
600242.SH,*ST中昌,2010-01-26,7.23,6.88,1197325196
600242.SH,*ST中昌,2010-01-27,6.95,6.81,1185143108
600242.SH,*ST中昌,2010-01-28,6.89,7.15,1244313249
600242.SH,*ST中昌,2010-01-29,7.27,7.27,1265196828
600242.SH,*ST中昌,2010-02-01,7.24,7.30,1270417722
600242.SH,*ST中昌,2010-02-02,7.31,7.32,1273898319
600242.SH,*ST中昌,2010-02-03,7.32,7.44,1294781898
600242.SH,*ST中昌,2010-02-04,7.42,7.25,1261716231
600242.SH,*ST中昌,2010-02-05,6.99,6.94,1207766985
600242.SH,*ST中昌,2010-02-08,6.92,6.93,1206026687
600242.SH,*ST中昌,2010-02-09,6.92,6.92,1204286389
600242.SH,*ST中昌,2010-02-10,6.57,7.20,1253014740
600242.SH,*ST中昌,2010-02-11,7.06,7.07,1230390863
600242.SH,*ST中昌,2010-02-12,7.06,7.26,1263456529
600242.SH,*ST中昌,2010-02-22,7.30,7.39,1286080407
600242.SH,*ST中昌,2010-02-23,7.41,7.37,1282599810
600242.SH,*ST中昌,2010-02-24,7.42,7.47,1300002793
600242.SH,*ST中昌,2010-02-25,7.44,7.49,1303483389
600242.SH,*ST中昌,2010-02-26,7.49,7.49,1303483389
600242.SH,*ST中昌,2010-03-01,7.49,7.55,1313925179
600242.SH,*ST中昌,2010-03-02,7.60,7.47,1300002793
600242.SH,*ST中昌,2010-03-03,7.50,7.52,1308704284
600242.SH,*ST中昌,2010-03-04,7.56,7.22,1256495336
600242.SH,*ST中昌,2010-03-05,7.18,7.25,1261716231
600242.SH,*ST中昌,2010-03-08,7.15,7.33,1275638617
600242.SH,*ST中昌,2010-03-09,7.33,7.70,1340029652
600242.SH,*ST中昌,2010-03-10,7.70,7.54,1312184880
600242.SH,*ST中昌,2010-03-11,7.58,7.52,1308704284
600242.SH,*ST中昌,2010-03-12,7.52,7.55,1313925179
600242.SH,*ST中昌,2010-03-15,7.55,7.81,1359172933
600242.SH,*ST中昌,2010-03-16,7.83,7.71,1341769951
600242.SH,*ST中昌,2010-03-17,7.90,7.90,1374835617
600242.SH,*ST中昌,2010-03-18,7.80,7.69,1338289354
600242.SH,*ST中昌,2010-03-19,7.65,7.68,1336549056
600242.SH,*ST中昌,2010-03-22,7.71,7.84,1364393828
600242.SH,*ST中昌,2010-03-23,7.84,7.87,1369614723
600242.SH,*ST中昌,2010-03-24,7.94,7.79,1355692337
600242.SH,*ST中昌,2010-03-25,7.79,7.60,1322626670
600242.SH,*ST中昌,2010-03-26,7.55,7.83,1362653530
600242.SH,*ST中昌,2010-03-29,7.85,7.74,1346990845
600242.SH,*ST中昌,2010-03-30,7.69,7.73,1345250547
600242.SH,*ST中昌,2010-03-31,7.79,7.88,1371355021
600242.SH,*ST中昌,2010-04-01,7.88,8.01,1393978898
600242.SH,*ST中昌,2010-04-02,8.02,8.05,1400940091
600242.SH,*ST中昌,2010-04-06,8.10,8.17,1421823670
600242.SH,*ST中昌,2010-04-07,8.17,8.27,1439226653
600242.SH,*ST中昌,2010-04-08,8.27,8.28,1440966951
600242.SH,*ST中昌,2010-04-09,8.28,8.33,1449668442
600242.SH,*ST中昌,2010-04-12,8.35,8.51,1480993811
600242.SH,*ST中昌,2010-04-13,8.52,8.27,1439226653
600242.SH,*ST中昌,2010-04-14,8.21,8.42,1465331126
600242.SH,*ST中昌,2010-04-15,8.42,8.48,1475772916
600242.SH,*ST中昌,2010-04-16,8.46,8.70,1514059477
600242.SH,*ST中昌,2010-04-19,8.52,8.43,1467071425
600242.SH,*ST中昌,2010-04-20,8.32,8.75,1522760969
600242.SH,*ST中昌,2010-04-21,8.76,9.19,1599334092
600242.SH,*ST中昌,2010-04-22,9.19,9.23,1606295285
600242.SH,*ST中昌,2010-04-23,9.24,9.24,1608035583
600242.SH,*ST中昌,2010-04-26,9.24,9.24,1608035583
600242.SH,*ST中昌,2010-04-27,9.26,8.96,1559307232
600242.SH,*ST中昌,2010-04-28,8.90,8.51,1480993811
600242.SH,*ST中昌,2010-04-29,8.54,8.26,1437486354
600242.SH,*ST中昌,2010-04-30,8.20,7.92,1378316214
600242.SH,*ST中昌,2010-05-04,7.75,7.91,1376575916
600242.SH,*ST中昌,2010-05-05,7.81,8.31,1446187846
600242.SH,*ST中昌,2010-05-06,8.29,8.16,1420083372
600242.SH,*ST中昌,2010-05-07,8.00,8.08,1406160986
600242.SH,*ST中昌,2010-05-10,8.13,8.15,1418343074
600242.SH,*ST中昌,2010-05-11,8.26,7.74,1346990845
600242.SH,*ST中昌,2010-05-12,7.73,7.35,1279119214
600242.SH,*ST中昌,2010-05-13,7.20,7.42,1291301301
600242.SH,*ST中昌,2010-05-14,7.32,7.33,1275638617
600242.SH,*ST中昌,2010-05-17,7.32,6.96,1211247582
600242.SH,*ST中昌,2010-05-18,6.75,7.13,1240832652
600242.SH,*ST中昌,2010-05-19,7.13,7.13,1240832652
600242.SH,*ST中昌,2010-05-20,7.13,7.13,1240832652
600242.SH,*ST中昌,2010-05-21,7.13,7.13,1240832652
600242.SH,*ST中昌,2010-05-24,7.13,7.13,1240832652
600242.SH,*ST中昌,2010-05-25,7.49,7.49,1303483389
600242.SH,*ST中昌,2010-05-26,7.86,7.86,1367874424
600242.SH,*ST中昌,2010-05-27,8.25,7.94,1381796810
600242.SH,*ST中昌,2010-05-28,7.66,7.55,1313925179
600242.SH,*ST中昌,2010-05-31,7.50,7.17,1247793845
600242.SH,*ST中昌,2010-06-01,7.05,6.86,1193844599
600242.SH,*ST中昌,2010-06-02,6.86,7.12,1239092354
600242.SH,*ST中昌,2010-06-03,7.15,6.91,1202546091
600242.SH,*ST中昌,2010-06-04,6.82,7.04,1225169968
600242.SH,*ST中昌,2010-06-07,6.83,6.87,1195584898
600242.SH,*ST中昌,2010-06-08,6.85,6.89,1199065494
600242.SH,*ST中昌,2010-06-09,7.00,7.09,1233871459
600242.SH,*ST中昌,2010-06-10,7.08,7.10,1235611757
600242.SH,*ST中昌,2010-06-11,7.10,7.14,1242572950
600242.SH,*ST中昌,2010-06-17,7.17,7.07,1230390863
600242.SH,*ST中昌,2010-06-18,7.02,6.79,1181662512
600242.SH,*ST中昌,2010-06-21,6.79,6.98,1214728178
600242.SH,*ST中昌,2010-06-22,6.89,6.99,1216468477
600242.SH,*ST中昌,2010-06-23,6.95,7.03,1223429670
600242.SH,*ST中昌,2010-06-24,7.04,7.02,1221689371
600242.SH,*ST中昌,2010-06-25,7.02,7.02,1221689371
600242.SH,*ST中昌,2010-06-28,7.24,7.04,1225169968
600242.SH,*ST中昌,2010-06-29,7.04,6.69,1164259529
600242.SH,*ST中昌,2010-06-30,6.60,6.36,1106829687
600242.SH,*ST中昌,2010-07-01,6.27,6.20,1078984915
600242.SH,*ST中昌,2010-07-02,6.06,6.13,1066802827
600242.SH,*ST中昌,2010-07-05,6.10,6.00,1044178950
600242.SH,*ST中昌,2010-07-06,6.00,6.07,1056361038
600242.SH,*ST中昌,2010-07-07,6.02,6.17,1073764020
600242.SH,*ST中昌,2010-07-08,6.18,6.10,1061581932
600242.SH,*ST中昌,2010-07-09,6.15,6.41,1115531178
600242.SH,*ST中昌,2010-07-12,6.43,6.41,1115531178
600242.SH,*ST中昌,2010-07-13,6.35,6.30,1096387897
600242.SH,*ST中昌,2010-07-14,6.30,6.35,1105089389
600242.SH,*ST中昌,2010-07-15,6.39,6.18,1075504318
600242.SH,*ST中昌,2010-07-16,6.18,6.22,1082465511
600242.SH,*ST中昌,2010-07-19,6.16,6.29,1094647599
600242.SH,*ST中昌,2010-07-20,6.29,6.53,1136414757
600242.SH,*ST中昌,2010-07-21,6.78,6.77,1178181915
600242.SH,*ST中昌,2010-07-22,6.76,7.01,1219949073
600242.SH,*ST中昌,2010-07-23,6.95,7.17,1247793845
600242.SH,*ST中昌,2010-07-26,7.17,7.05,1226910266
600242.SH,*ST中昌,2010-07-27,7.06,6.96,1211247582
600242.SH,*ST中昌,2010-07-28,6.91,7.05,1226910266
600242.SH,*ST中昌,2010-07-29,7.05,7.05,1226910266
600242.SH,*ST中昌,2010-07-30,7.01,7.16,1246053547
600242.SH,*ST中昌,2010-08-02,7.16,7.19,1251274442
600242.SH,*ST中昌,2010-08-03,7.25,7.02,1221689371
600242.SH,*ST中昌,2010-08-04,6.98,7.10,1235611757
600242.SH,*ST中昌,2010-08-05,7.10,7.23,1258235635
600242.SH,*ST中昌,2010-08-06,7.31,7.41,1289561003
600242.SH,*ST中昌,2010-08-09,7.41,7.39,1286080407
600242.SH,*ST中昌,2010-08-10,7.40,7.18,1249534143
600242.SH,*ST中昌,2010-08-11,7.11,7.27,1265196828
600242.SH,*ST中昌,2010-08-12,7.24,7.13,1240832652
600242.SH,*ST中昌,2010-08-13,7.16,7.22,1256495336
600242.SH,*ST中昌,2010-08-16,7.22,7.33,1275638617
600242.SH,*ST中昌,2010-08-17,7.31,7.46,1298262494
600242.SH,*ST中昌,2010-08-18,7.43,7.47,1300002793
600242.SH,*ST中昌,2010-08-19,7.43,7.49,1303483389
600242.SH,*ST中昌,2010-08-20,7.48,7.55,1313925179
600242.SH,*ST中昌,2010-08-23,7.50,7.93,1380056512
600242.SH,*ST中昌,2010-08-24,7.95,8.01,1393978898
600242.SH,*ST中昌,2010-08-25,8.00,7.80,1357432635
600242.SH,*ST中昌,2010-08-26,8.19,7.95,1383537109
600242.SH,*ST中昌,2010-08-27,7.86,7.67,1334808758
600242.SH,*ST中昌,2010-08-30,7.76,7.70,1340029652
600242.SH,*ST中昌,2010-08-31,7.66,7.68,1336549056
600242.SH,*ST中昌,2010-09-01,7.71,7.79,1355692337
600242.SH,*ST中昌,2010-09-02,7.79,7.82,1360913231
600242.SH,*ST中昌,2010-09-03,7.80,8.05,1400940091
600242.SH,*ST中昌,2010-09-06,8.26,8.05,1400940091
600242.SH,*ST中昌,2010-09-07,8.10,7.98,1388758003
600242.SH,*ST中昌,2010-09-08,8.06,8.03,1397459495
600242.SH,*ST中昌,2010-09-09,8.18,8.25,1435746056
600242.SH,*ST中昌,2010-09-10,8.15,8.11,1411381881
600242.SH,*ST中昌,2010-09-13,8.12,8.10,1409641582
600242.SH,*ST中昌,2010-09-14,8.10,8.03,1397459495
600242.SH,*ST中昌,2010-09-15,8.06,7.92,1378316214
600242.SH,*ST中昌,2010-09-16,7.92,7.55,1313925179
600242.SH,*ST中昌,2010-09-17,7.48,7.46,1298262494
600242.SH,*ST中昌,2010-09-20,7.52,7.52,2055481855
600242.SH,*ST中昌,2010-09-21,7.52,7.58,2071881976
600242.SH,*ST中昌,2010-09-27,7.58,7.61,2080082036
