代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
002711.SZ,*ST欧浦,2014-01-27,3.05,3.67,3951263400
002711.SZ,*ST欧浦,2014-01-28,4.03,4.03,4345789700
002711.SZ,*ST欧浦,2014-01-29,4.43,4.27,4599306600
002711.SZ,*ST欧浦,2014-01-30,4.27,4.69,5059837300
002711.SZ,*ST欧浦,2014-02-07,4.84,4.79,5163344200
002711.SZ,*ST欧浦,2014-02-10,4.72,5.14,5538369200
002711.SZ,*ST欧浦,2014-02-11,5.12,5.30,5715381000
002711.SZ,*ST欧浦,2014-02-12,5.32,5.55,5983898900
002711.SZ,*ST欧浦,2014-02-13,5.62,5.12,5517367800
002711.SZ,*ST欧浦,2014-02-14,5.13,5.47,5892392800
002711.SZ,*ST欧浦,2014-02-17,5.57,5.87,6325921700
002711.SZ,*ST欧浦,2014-02-18,5.75,5.64,6075405000
002711.SZ,*ST欧浦,2014-02-19,5.55,5.41,5835389000
002711.SZ,*ST欧浦,2014-02-20,5.31,5.39,5805387000
002711.SZ,*ST欧浦,2014-02-21,5.29,5.65,6090406000
002711.SZ,*ST欧浦,2014-02-24,5.57,5.48,5908893900
002711.SZ,*ST欧浦,2014-02-25,5.59,5.60,6040902700
002711.SZ,*ST欧浦,2014-02-26,5.36,5.29,5701880100
002711.SZ,*ST欧浦,2014-02-27,5.19,4.86,5235349000
002711.SZ,*ST欧浦,2014-02-28,4.76,5.15,5550370000
002711.SZ,*ST欧浦,2014-03-03,5.09,5.56,5998899900
002711.SZ,*ST欧浦,2014-03-04,5.50,5.72,6163910900
002711.SZ,*ST欧浦,2014-03-05,5.79,6.29,6780452000
002711.SZ,*ST欧浦,2014-03-06,6.50,6.92,7458497200
002711.SZ,*ST欧浦,2014-03-07,7.24,6.55,7056470400
002711.SZ,*ST欧浦,2014-03-10,6.28,6.27,6754950300
002711.SZ,*ST欧浦,2014-03-11,6.28,6.05,6525435000
002711.SZ,*ST欧浦,2014-03-12,5.96,6.12,6600440000
002711.SZ,*ST欧浦,2014-03-13,6.05,5.98,6447429800
002711.SZ,*ST欧浦,2014-03-14,5.91,6.41,6915461000
002711.SZ,*ST欧浦,2014-03-17,6.30,6.52,7033968900
002711.SZ,*ST欧浦,2014-03-18,6.43,6.32,6810454000
002711.SZ,*ST欧浦,2014-03-19,6.23,6.24,6732448800
002711.SZ,*ST欧浦,2014-03-20,6.24,5.86,6316921100
002711.SZ,*ST欧浦,2014-03-21,5.78,5.71,6150410000
002711.SZ,*ST欧浦,2014-03-24,5.67,5.36,5782885500
002711.SZ,*ST欧浦,2014-03-25,5.26,5.41,5835389000
002711.SZ,*ST欧浦,2014-03-26,5.41,5.23,5635875700
002711.SZ,*ST欧浦,2014-03-27,5.21,4.84,5212847500
002711.SZ,*ST欧浦,2014-03-28,4.80,4.90,5284852300
002711.SZ,*ST欧浦,2014-03-31,4.86,4.91,5290852700
002711.SZ,*ST欧浦,2014-04-01,4.85,5.21,5613374200
002711.SZ,*ST欧浦,2014-04-02,5.14,5.39,5808387200
002711.SZ,*ST欧浦,2014-04-03,5.29,5.27,5680878700
002711.SZ,*ST欧浦,2014-04-04,5.25,5.19,5595373000
002711.SZ,*ST欧浦,2014-04-08,5.05,5.19,5590872700
002711.SZ,*ST欧浦,2014-04-09,5.23,5.31,5722881500
002711.SZ,*ST欧浦,2014-04-10,5.32,5.37,5787385800
002711.SZ,*ST欧浦,2014-04-11,5.22,5.16,5557870500
002711.SZ,*ST欧浦,2014-04-14,5.14,5.07,5469364600
002711.SZ,*ST欧浦,2014-04-15,5.04,5.12,5524868300
002711.SZ,*ST欧浦,2014-04-16,5.09,4.95,5337355800
002711.SZ,*ST欧浦,2014-04-17,4.97,4.98,5370358000
002711.SZ,*ST欧浦,2014-04-18,4.98,4.98,5370358000
002711.SZ,*ST欧浦,2014-04-21,4.90,5.05,5439362600
002711.SZ,*ST欧浦,2014-04-22,5.01,4.93,5313354200
002711.SZ,*ST欧浦,2014-04-23,4.90,4.94,5325355000
002711.SZ,*ST欧浦,2014-04-24,4.94,5.02,5409360600
002711.SZ,*ST欧浦,2014-04-25,4.95,4.82,5197846500
002711.SZ,*ST欧浦,2014-04-28,4.79,4.34,4678811900
002711.SZ,*ST欧浦,2014-04-29,4.31,4.38,4722314800
002711.SZ,*ST欧浦,2014-04-30,4.35,4.36,4695313000
002711.SZ,*ST欧浦,2014-05-05,4.35,4.53,4879825300
002711.SZ,*ST欧浦,2014-05-06,4.51,4.65,5010334000
002711.SZ,*ST欧浦,2014-05-07,4.58,4.71,5077838500
002711.SZ,*ST欧浦,2014-05-08,4.67,4.54,4897826500
002711.SZ,*ST欧浦,2014-05-09,4.49,4.36,4699813300
002711.SZ,*ST欧浦,2014-05-12,4.45,4.47,4815321000
