代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
300648.SZ,星云股份,2017-04-25,9.42,11.30,1534759000
300648.SZ,星云股份,2017-04-26,12.43,12.43,1688438000
300648.SZ,星云股份,2017-04-27,13.68,13.68,1857011000
300648.SZ,星云股份,2017-04-28,15.04,15.04,2042509000
300648.SZ,星云股份,2017-05-02,16.55,16.55,2246963000
300648.SZ,星云股份,2017-05-03,18.20,18.20,2471727000
300648.SZ,星云股份,2017-05-04,20.02,20.02,2718832000
300648.SZ,星云股份,2017-05-05,22.03,22.03,2990986000
300648.SZ,星云股份,2017-05-08,24.23,24.23,3290220000
300648.SZ,星云股份,2017-05-09,26.65,26.65,3619242000
300648.SZ,星云股份,2017-05-10,29.32,29.32,3981437000
300648.SZ,星云股份,2017-05-11,29.41,30.07,4082987000
300648.SZ,星云股份,2017-05-12,29.45,28.52,3872440000
300648.SZ,星云股份,2017-05-15,30.17,30.41,4129700000
300648.SZ,星云股份,2017-05-16,29.70,30.92,4198754000
300648.SZ,星云股份,2017-05-17,31.46,29.90,4060646000
300648.SZ,星云股份,2017-05-18,29.47,29.07,3946910000
300648.SZ,星云股份,2017-05-19,29.12,27.44,3726208000
300648.SZ,星云股份,2017-05-22,27.42,24.88,3378907000
300648.SZ,星云股份,2017-05-23,24.78,24.42,3316623000
300648.SZ,星云股份,2017-05-24,24.28,25.18,3418850000
300648.SZ,星云股份,2017-05-25,24.95,24.60,3340995000
300648.SZ,星云股份,2017-05-26,24.43,24.98,3391770000
300648.SZ,星云股份,2017-05-31,26.00,24.90,3380938000
300648.SZ,星云股份,2017-06-01,23.96,22.41,3043115000
300648.SZ,星云股份,2017-06-02,21.94,22.62,3072226000
300648.SZ,星云股份,2017-06-05,23.16,22.75,3089828000
300648.SZ,星云股份,2017-06-06,22.29,22.69,3081027000
300648.SZ,星云股份,2017-06-07,22.75,23.70,3217781000
300648.SZ,星云股份,2017-06-08,23.68,23.73,3221843000
300648.SZ,星云股份,2017-06-09,23.72,23.46,3185285000
300648.SZ,星云股份,2017-06-12,22.93,21.69,2944950000
300648.SZ,星云股份,2017-06-13,21.54,23.86,3239445000
300648.SZ,星云股份,2017-06-14,23.86,24.37,3309176000
300648.SZ,星云股份,2017-06-15,24.18,24.83,3372137000
300648.SZ,星云股份,2017-06-16,24.93,24.73,3357920000
300648.SZ,星云股份,2017-06-19,25.03,24.58,3337610000
300648.SZ,星云股份,2017-06-20,24.45,24.67,3350473000
300648.SZ,星云股份,2017-06-21,24.53,24.28,3296990000
300648.SZ,星云股份,2017-06-22,24.22,22.80,3095921000
300648.SZ,星云股份,2017-06-23,22.64,22.82,3098629000
300648.SZ,星云股份,2017-06-26,22.81,23.52,3194086000
300648.SZ,星云股份,2017-06-27,23.43,23.38,3175130000
300648.SZ,星云股份,2017-06-28,23.43,23.09,3135187000
300648.SZ,星云股份,2017-06-29,23.05,22.88,3106753000
300648.SZ,星云股份,2017-06-30,22.61,23.76,3226582000
300648.SZ,星云股份,2017-07-03,23.64,24.40,3313238000
300648.SZ,星云股份,2017-07-04,24.17,24.12,3274649000
300648.SZ,星云股份,2017-07-05,24.09,24.97,3391093000
300648.SZ,星云股份,2017-07-06,24.90,25.60,3476395000
300648.SZ,星云股份,2017-07-07,25.20,27.17,3689650000
300648.SZ,星云股份,2017-07-10,26.56,25.69,3487904000
300648.SZ,星云股份,2017-07-11,26.17,24.73,3358597000
300648.SZ,星云股份,2017-07-12,24.61,26.06,3539356000
300648.SZ,星云股份,2017-07-13,25.83,25.16,3416142000
300648.SZ,星云股份,2017-07-14,25.69,25.77,3498736000
300648.SZ,星云股份,2017-07-17,24.96,23.19,3148727000
300648.SZ,星云股份,2017-07-18,22.56,23.11,3137895000
300648.SZ,星云股份,2017-07-19,22.93,23.32,3167006000
300648.SZ,星云股份,2017-07-20,23.41,23.50,3190701000
300648.SZ,星云股份,2017-07-21,23.21,23.36,3171745000
300648.SZ,星云股份,2017-07-24,22.99,23.82,3234029000
300648.SZ,星云股份,2017-07-25,23.58,23.78,3228613000
300648.SZ,星云股份,2017-07-26,23.69,23.26,3158882000
300648.SZ,星云股份,2017-07-27,23.20,24.38,3310530000
300648.SZ,星云股份,2017-07-28,24.34,24.49,3325424000
300648.SZ,星云股份,2017-07-31,24.26,24.92,3383646000
300648.SZ,星云股份,2017-08-01,24.89,26.82,3641583000
300648.SZ,星云股份,2017-08-02,26.57,27.36,3714699000
300648.SZ,星云股份,2017-08-03,27.08,26.86,3647676000
300648.SZ,星云股份,2017-08-04,26.92,26.96,3660539000
300648.SZ,星云股份,2017-08-07,27.27,28.03,3806094000
300648.SZ,星云股份,2017-08-08,28.12,28.32,3845360000
300648.SZ,星云股份,2017-08-09,28.01,28.73,3900874000
300648.SZ,星云股份,2017-08-10,28.91,29.73,4037628000
300648.SZ,星云股份,2017-08-11,29.32,28.93,3927954000
300648.SZ,星云股份,2017-08-14,28.42,31.82,4320614000
300648.SZ,星云股份,2017-08-15,31.91,33.19,4507466000
300648.SZ,星云股份,2017-08-16,33.50,34.36,4665207000
300648.SZ,星云股份,2017-08-17,34.35,33.98,4614432000
300648.SZ,星云股份,2017-08-18,33.15,32.66,4434350000
300648.SZ,星云股份,2017-08-21,32.67,32.41,4400500000
300648.SZ,星云股份,2017-08-22,32.51,32.44,4405239000
300648.SZ,星云股份,2017-08-23,32.41,31.84,4323999000
300648.SZ,星云股份,2017-08-24,31.54,31.49,4275932000
300648.SZ,星云股份,2017-08-25,31.26,31.85,4324676000
300648.SZ,星云股份,2017-08-28,31.91,34.15,4637450000
300648.SZ,星云股份,2017-08-29,33.90,32.83,4458722000
300648.SZ,星云股份,2017-08-30,32.41,32.49,4412009000
300648.SZ,星云股份,2017-08-31,32.26,32.70,4439766000
300648.SZ,星云股份,2017-09-01,32.70,32.90,4468200000
300648.SZ,星云股份,2017-09-04,32.90,33.26,4516267000
300648.SZ,星云股份,2017-09-05,32.92,35.20,4779620000
300648.SZ,星云股份,2017-09-06,34.90,35.65,4840550000
300648.SZ,星云股份,2017-09-07,35.52,34.35,4664530000
300648.SZ,星云股份,2017-09-08,34.09,32.92,4470908000
300648.SZ,星云股份,2017-09-11,33.43,36.22,4917728000
300648.SZ,星云股份,2017-09-12,37.66,35.10,4766080000
300648.SZ,星云股份,2017-09-13,34.20,36.44,4948870000
300648.SZ,星云股份,2017-09-14,36.01,35.95,4881170000
300648.SZ,星云股份,2017-09-15,35.90,35.97,4884555000
300648.SZ,星云股份,2017-09-18,35.90,37.02,5026725000
300648.SZ,星云股份,2017-09-19,37.14,35.56,4829041000
300648.SZ,星云股份,2017-09-20,35.81,35.59,4832426000
300648.SZ,星云股份,2017-09-21,35.33,34.29,4656406000
300648.SZ,星云股份,2017-09-22,33.91,33.91,4604277000
300648.SZ,星云股份,2017-09-25,33.47,33.10,4494603000
300648.SZ,星云股份,2017-09-26,32.56,33.52,4551471000
300648.SZ,星云股份,2017-09-27,34.30,35.85,4867630000
300648.SZ,星云股份,2017-09-28,35.85,37.92,5148585000
300648.SZ,星云股份,2017-09-29,37.98,37.54,5097810000
300648.SZ,星云股份,2017-10-09,38.09,37.00,5024694000
300648.SZ,星云股份,2017-10-10,37.07,36.65,4976627000
300648.SZ,星云股份,2017-10-11,36.73,37.20,5051097000
300648.SZ,星云股份,2017-10-12,36.99,35.21,4780974000
300648.SZ,星云股份,2017-10-13,35.65,35.55,4827010000
300648.SZ,星云股份,2017-10-16,35.69,34.80,4725460000
300648.SZ,星云股份,2017-10-17,34.08,35.16,4774204000
300648.SZ,星云股份,2017-10-18,35.23,34.45,4678070000
300648.SZ,星云股份,2017-10-19,34.45,34.67,4707858000
300648.SZ,星云股份,2017-10-20,34.30,37.29,5063960000
300648.SZ,星云股份,2017-10-23,36.99,37.21,5053128000
300648.SZ,星云股份,2017-10-24,37.34,36.88,5007769000
300648.SZ,星云股份,2017-10-25,36.73,37.26,5059221000
300648.SZ,星云股份,2017-10-26,36.79,37.69,5118120000
300648.SZ,星云股份,2017-10-27,37.26,37.34,5070730000
300648.SZ,星云股份,2017-10-30,37.88,39.14,5314450000
300648.SZ,星云股份,2017-10-31,38.88,39.49,5361840000
300648.SZ,星云股份,2017-11-01,39.48,42.13,5720650000
300648.SZ,星云股份,2017-11-02,41.85,42.08,5713880000
300648.SZ,星云股份,2017-11-03,42.05,41.02,5570356000
300648.SZ,星云股份,2017-11-06,40.98,40.96,5562232000
300648.SZ,星云股份,2017-11-07,40.98,40.93,5558170000
300648.SZ,星云股份,2017-11-08,40.77,43.80,5947445000
300648.SZ,星云股份,2017-11-09,43.27,42.72,5801213000
300648.SZ,星云股份,2017-11-10,42.69,42.46,5765332000
300648.SZ,星云股份,2017-11-13,43.28,43.30,5879745000
300648.SZ,星云股份,2017-11-14,43.32,40.91,5554785000
300648.SZ,星云股份,2017-11-15,40.98,38.19,5185820000
300648.SZ,星云股份,2017-11-16,38.39,37.17,5047712000
300648.SZ,星云股份,2017-11-17,37.64,35.30,4793160000
300648.SZ,星云股份,2017-11-20,35.30,36.43,4946839000
300648.SZ,星云股份,2017-11-21,35.83,34.53,4688225000
300648.SZ,星云股份,2017-11-22,34.79,35.27,4789775000
300648.SZ,星云股份,2017-11-23,34.90,33.40,4535900000
300648.SZ,星云股份,2017-11-24,33.07,33.40,4535223000
300648.SZ,星云股份,2017-11-27,33.60,33.80,4590060000
300648.SZ,星云股份,2017-11-28,33.90,36.22,4918405000
300648.SZ,星云股份,2017-11-29,36.22,36.64,4975950000
300648.SZ,星云股份,2017-11-30,36.20,36.25,4921790000
300648.SZ,星云股份,2017-12-01,36.15,36.23,4919759000
300648.SZ,星云股份,2017-12-04,34.92,32.61,4427580000
300648.SZ,星云股份,2017-12-05,32.41,30.19,4099912000
300648.SZ,星云股份,2017-12-06,30.21,30.79,4181152000
300648.SZ,星云股份,2017-12-07,30.29,30.43,4131731000
300648.SZ,星云股份,2017-12-08,30.43,31.33,4254945000
300648.SZ,星云股份,2017-12-11,31.27,32.70,4439766000
300648.SZ,星云股份,2017-12-12,32.88,33.10,4495280000
300648.SZ,星云股份,2017-12-13,33.00,33.22,4510851000
300648.SZ,星云股份,2017-12-14,33.23,34.90,4739000000
300648.SZ,星云股份,2017-12-15,34.75,33.86,4598184000
300648.SZ,星云股份,2017-12-18,33.41,33.64,4568396000
300648.SZ,星云股份,2017-12-19,32.90,33.70,4575843000
300648.SZ,星云股份,2017-12-20,33.25,33.08,4491895000
300648.SZ,星云股份,2017-12-21,32.76,33.70,4576520000
300648.SZ,星云股份,2017-12-22,33.40,34.34,4663176000
300648.SZ,星云股份,2017-12-25,34.30,34.10,4630680000
300648.SZ,星云股份,2017-12-26,33.92,34.72,4715305000
300648.SZ,星云股份,2017-12-27,34.80,34.15,4637450000
300648.SZ,星云股份,2017-12-28,34.35,33.90,4603600000
300648.SZ,星云股份,2017-12-29,33.99,33.74,4581936000
300648.SZ,星云股份,2018-01-02,33.80,34.08,4627295000
300648.SZ,星云股份,2018-01-03,34.15,35.05,4759310000
300648.SZ,星云股份,2018-01-04,35.05,35.34,4798576000
300648.SZ,星云股份,2018-01-05,35.30,34.40,4670623000
300648.SZ,星云股份,2018-01-08,34.65,33.71,4577197000
300648.SZ,星云股份,2018-01-09,33.71,32.99,4480386000
300648.SZ,星云股份,2018-01-10,33.30,31.81,4319260000
300648.SZ,星云股份,2018-01-11,31.51,32.41,4400500000
300648.SZ,星云股份,2018-01-12,32.09,31.46,4271870000
300648.SZ,星云股份,2018-01-15,31.46,30.01,4075540000
300648.SZ,星云股份,2018-01-16,30.06,29.96,4068093000
