代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
603556.SH,海兴电力,2016-11-10,20.02,24.03,12704760200
603556.SH,海兴电力,2016-11-11,26.43,26.43,13974116200
603556.SH,海兴电力,2016-11-14,29.07,29.07,15370407800
603556.SH,海兴电力,2016-11-15,31.98,31.98,16908568600
603556.SH,海兴电力,2016-11-16,35.18,35.18,18599798800
603556.SH,海兴电力,2016-11-17,38.69,38.69,20459032000
603556.SH,海兴电力,2016-11-18,42.56,42.56,22504935200
603556.SH,海兴电力,2016-11-21,45.19,42.11,22265997600
603556.SH,海兴电力,2016-11-22,40.95,45.63,24128964200
603556.SH,海兴电力,2016-11-23,44.84,45.78,24207365600
603556.SH,海兴电力,2016-11-24,45.15,46.36,24513504400
603556.SH,海兴电力,2016-11-25,46.52,45.57,24095363600
603556.SH,海兴电力,2016-11-28,45.19,42.65,22553469400
603556.SH,海兴电力,2016-11-29,42.46,41.46,21922524800
603556.SH,海兴电力,2016-11-30,41.21,40.34,21332647600
603556.SH,海兴电力,2016-12-01,40.39,41.54,21967325600
603556.SH,海兴电力,2016-12-02,40.96,40.20,21257979600
603556.SH,海兴电力,2016-12-05,39.73,40.65,21493183800
603556.SH,海兴电力,2016-12-06,40.45,40.66,21496917200
603556.SH,海兴电力,2016-12-07,40.95,40.87,21608919200
603556.SH,海兴电力,2016-12-08,40.82,40.62,21478250200
603556.SH,海兴电力,2016-12-09,40.32,38.45,20328363000
603556.SH,海兴电力,2016-12-12,38.45,35.26,18644599600
603556.SH,海兴电力,2016-12-13,35.40,35.51,18775268600
603556.SH,海兴电力,2016-12-14,35.51,34.31,18144324000
603556.SH,海兴电力,2016-12-15,34.24,34.64,18316060400
603556.SH,海兴电力,2016-12-16,34.39,35.36,18696867200
603556.SH,海兴电力,2016-12-19,35.11,35.00,18506463800
603556.SH,海兴电力,2016-12-20,34.90,35.02,18517664000
603556.SH,海兴电力,2016-12-21,35.09,35.13,18577398400
603556.SH,海兴电力,2016-12-22,35.14,34.63,18312327000
603556.SH,海兴电力,2016-12-23,34.63,33.19,17546980000
603556.SH,海兴电力,2016-12-26,32.97,33.05,17476045400
603556.SH,海兴电力,2016-12-27,32.97,32.94,17420044400
603556.SH,海兴电力,2016-12-28,32.97,32.22,17035504200
603556.SH,海兴电力,2016-12-29,32.21,32.06,16953369400
603556.SH,海兴电力,2016-12-30,31.96,31.74,16785366400
603556.SH,海兴电力,2017-01-03,31.77,32.58,17225907600
603556.SH,海兴电力,2017-01-04,32.44,32.59,17233374400
603556.SH,海兴电力,2017-01-05,32.62,32.02,16930969000
603556.SH,海兴电力,2017-01-06,31.84,30.66,16214156200
603556.SH,海兴电力,2017-01-09,30.43,30.35,16046153200
603556.SH,海兴电力,2017-01-10,30.42,30.24,15990152200
603556.SH,海兴电力,2017-01-11,30.28,29.12,15396541600
603556.SH,海兴电力,2017-01-12,28.95,28.67,15157604000
603556.SH,海兴电力,2017-01-13,28.73,27.86,14731996400
603556.SH,海兴电力,2017-01-16,27.73,26.96,14254121200
603556.SH,海兴电力,2017-01-17,26.83,28.52,15079202600
603556.SH,海兴电力,2017-01-18,28.38,27.40,14485592000
603556.SH,海兴电力,2017-01-19,27.03,27.68,14638661400
603556.SH,海兴电力,2017-01-20,27.68,28.36,14997067800
603556.SH,海兴电力,2017-01-23,28.37,28.55,15097869600
603556.SH,海兴电力,2017-01-24,28.31,28.52,15079202600
603556.SH,海兴电力,2017-01-25,28.23,28.81,15232272000
603556.SH,海兴电力,2017-01-26,29.01,28.77,15209871600
603556.SH,海兴电力,2017-02-03,28.70,28.28,14956000400
603556.SH,海兴电力,2017-02-06,28.39,29.28,15482409800
603556.SH,海兴电力,2017-02-07,29.16,29.06,15366674400
603556.SH,海兴电力,2017-02-08,28.89,29.64,15672813200
603556.SH,海兴电力,2017-02-09,29.76,30.44,16094687400
603556.SH,海兴电力,2017-02-10,30.47,30.19,15964018400
603556.SH,海兴电力,2017-02-13,30.28,31.34,16572562600
603556.SH,海兴电力,2017-02-14,31.47,31.11,16449360400
603556.SH,海兴电力,2017-02-15,31.11,30.73,16247756800
603556.SH,海兴电力,2017-02-16,30.68,30.81,16292557600
603556.SH,海兴电力,2017-02-17,30.93,30.60,16180555600
603556.SH,海兴电力,2017-02-20,30.38,30.10,15915484200
603556.SH,海兴电力,2017-02-21,30.11,30.40,16076020400
603556.SH,海兴电力,2017-02-22,30.45,30.09,15911750800
603556.SH,海兴电力,2017-02-23,30.10,30.70,16232823200
603556.SH,海兴电力,2017-02-24,30.50,31.61,16714431800
603556.SH,海兴电力,2017-02-27,31.60,31.23,16512828200
603556.SH,海兴电力,2017-02-28,31.15,31.19,16494161200
603556.SH,海兴电力,2017-03-01,31.20,30.89,16333625000
603556.SH,海兴电力,2017-03-02,30.95,30.93,16356025400
603556.SH,海兴电力,2017-03-03,31.02,30.75,16258957000
603556.SH,海兴电力,2017-03-06,30.64,31.70,16759232600
603556.SH,海兴电力,2017-03-07,31.91,31.64,16729365400
603556.SH,海兴电力,2017-03-08,31.68,32.13,16990703400
603556.SH,海兴电力,2017-03-09,32.16,31.24,16520295000
603556.SH,海兴电力,2017-03-10,31.35,31.28,16538962000
603556.SH,海兴电力,2017-03-13,31.14,31.40,16602429800
603556.SH,海兴电力,2017-03-14,31.31,31.74,16785366400
603556.SH,海兴电力,2017-03-15,31.52,31.30,16550162200
603556.SH,海兴电力,2017-03-16,31.42,32.62,17248308000
603556.SH,海兴电力,2017-03-17,32.62,31.82,16822700400
603556.SH,海兴电力,2017-03-20,31.73,32.45,17158706400
603556.SH,海兴电力,2017-03-21,32.44,32.46,17166173200
603556.SH,海兴电力,2017-03-22,32.20,33.00,17449911600
603556.SH,海兴电力,2017-03-23,33.75,34.78,18390728400
603556.SH,海兴电力,2017-03-24,34.35,35.26,18644599600
603556.SH,海兴电力,2017-03-27,35.16,35.92,18995539200
