代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
000428.SZ,华天酒店,2010-01-04,6.67,6.68,4861045800
000428.SZ,华天酒店,2010-01-05,6.69,6.67,4849985400
000428.SZ,华天酒店,2010-01-06,6.67,6.65,4838925000
000428.SZ,华天酒店,2010-01-07,6.64,6.61,4811274000
000428.SZ,华天酒店,2010-01-08,6.54,6.55,4761502200
000428.SZ,华天酒店,2010-01-11,6.58,6.58,4783623000
000428.SZ,华天酒店,2010-01-12,6.55,6.80,4949529000
000428.SZ,华天酒店,2010-01-13,6.68,6.77,4921878000
000428.SZ,华天酒店,2010-01-14,6.76,7.01,5098844400
000428.SZ,华天酒店,2010-01-15,6.98,7.12,5176267200
000428.SZ,华天酒店,2010-01-18,7.14,7.12,5176267200
000428.SZ,华天酒店,2010-01-19,7.12,6.99,5087784000
000428.SZ,华天酒店,2010-01-20,6.98,6.68,4861045800
000428.SZ,华天酒店,2010-01-21,6.64,6.72,4888696800
000428.SZ,华天酒店,2010-01-22,6.64,6.55,4767032400
000428.SZ,华天酒店,2010-01-25,6.55,6.55,4767032400
000428.SZ,华天酒店,2010-01-26,6.55,6.23,4529233800
000428.SZ,华天酒店,2010-01-27,6.23,6.22,4523703600
000428.SZ,华天酒店,2010-01-28,6.09,6.34,4612186800
000428.SZ,华天酒店,2010-01-29,6.33,6.30,4584535800
000428.SZ,华天酒店,2010-02-01,6.30,6.55,4761502200
000428.SZ,华天酒店,2010-02-02,6.55,6.52,4739381400
000428.SZ,华天酒店,2010-02-03,6.51,6.49,4722790800
000428.SZ,华天酒店,2010-02-04,6.56,7.14,5192857800
000428.SZ,华天酒店,2010-02-05,6.97,6.94,5049072600
000428.SZ,华天酒店,2010-02-08,6.85,6.84,4977180000
000428.SZ,华天酒店,2010-02-09,6.83,6.74,4899757200
000428.SZ,华天酒店,2010-02-10,6.90,6.86,4988240400
000428.SZ,华天酒店,2010-02-11,6.83,6.76,4916347800
000428.SZ,华天酒店,2010-02-12,6.80,6.88,5004831000
000428.SZ,华天酒店,2010-02-22,6.91,6.85,4982710200
000428.SZ,华天酒店,2010-02-23,6.84,6.94,5049072600
000428.SZ,华天酒店,2010-02-24,6.87,7.21,5242629600
000428.SZ,华天酒店,2010-02-25,7.22,7.28,5292401400
000428.SZ,华天酒店,2010-02-26,7.30,7.69,5596562400
000428.SZ,华天酒店,2010-03-01,7.69,7.69,5596562400
000428.SZ,华天酒店,2010-03-02,7.83,7.81,5685045600
000428.SZ,华天酒店,2010-03-03,7.78,7.84,5701636200
000428.SZ,华天酒店,2010-03-04,7.81,7.50,5452777200
000428.SZ,华天酒店,2010-03-05,7.49,7.59,5524669800
000428.SZ,华天酒店,2010-03-08,7.64,7.98,5806710000
000428.SZ,华天酒店,2010-03-09,7.94,7.87,5723757000
000428.SZ,华天酒店,2010-03-10,7.83,7.68,5585502000
000428.SZ,华天酒店,2010-03-11,7.69,7.76,5640804000
000428.SZ,华天酒店,2010-03-12,7.74,7.72,5607622800
000428.SZ,华天酒店,2010-03-15,7.63,7.52,5463837600
000428.SZ,华天酒店,2010-03-16,7.44,7.55,5485958400
000428.SZ,华天酒店,2010-03-17,7.57,7.68,5579971800
000428.SZ,华天酒店,2010-03-18,7.68,7.68,5579971800
000428.SZ,华天酒店,2010-03-19,7.74,7.84,5696106000
