代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
601007.SH,金陵饭店,2010-01-04,7.74,7.71,2541000000
601007.SH,金陵饭店,2010-01-05,7.72,7.71,2541000000
601007.SH,金陵饭店,2010-01-06,7.72,7.66,2526000000
601007.SH,金陵饭店,2010-01-07,7.65,7.51,2475000000
601007.SH,金陵饭店,2010-01-08,7.47,7.57,2496000000
601007.SH,金陵饭店,2010-01-11,7.65,7.77,2559000000
601007.SH,金陵饭店,2010-01-12,7.76,7.90,2604000000
601007.SH,金陵饭店,2010-01-13,7.76,7.97,2625000000
601007.SH,金陵饭店,2010-01-14,7.96,8.05,2652000000
601007.SH,金陵饭店,2010-01-15,8.06,8.07,2658000000
601007.SH,金陵饭店,2010-01-18,8.05,8.15,2685000000
601007.SH,金陵饭店,2010-01-19,8.17,8.05,2652000000
601007.SH,金陵饭店,2010-01-20,8.05,7.76,2556000000
601007.SH,金陵饭店,2010-01-21,7.78,8.07,2661000000
601007.SH,金陵饭店,2010-01-22,7.99,7.91,2607000000
601007.SH,金陵饭店,2010-01-25,7.77,8.14,2682000000
601007.SH,金陵饭店,2010-01-26,8.15,7.66,2523000000
601007.SH,金陵饭店,2010-01-27,7.51,7.58,2499000000
601007.SH,金陵饭店,2010-01-28,7.49,7.60,2505000000
601007.SH,金陵饭店,2010-01-29,7.52,7.62,2511000000
601007.SH,金陵饭店,2010-02-01,7.55,7.87,2595000000
601007.SH,金陵饭店,2010-02-02,7.87,7.67,2529000000
601007.SH,金陵饭店,2010-02-03,7.69,8.02,2643000000
601007.SH,金陵饭店,2010-02-04,7.95,8.28,2730000000
601007.SH,金陵饭店,2010-02-05,8.11,8.17,2694000000
601007.SH,金陵饭店,2010-02-08,8.17,8.13,2679000000
601007.SH,金陵饭店,2010-02-09,8.13,8.34,2748000000
601007.SH,金陵饭店,2010-02-10,8.34,8.27,2727000000
601007.SH,金陵饭店,2010-02-11,8.49,8.06,2655000000
601007.SH,金陵饭店,2010-02-12,8.06,8.11,2673000000
601007.SH,金陵饭店,2010-02-22,8.07,8.09,2667000000
601007.SH,金陵饭店,2010-02-23,8.10,8.12,2676000000
601007.SH,金陵饭店,2010-02-24,8.07,8.32,2742000000
601007.SH,金陵饭店,2010-02-25,8.30,8.37,2760000000
601007.SH,金陵饭店,2010-02-26,8.37,8.54,2814000000
601007.SH,金陵饭店,2010-03-01,8.58,8.90,2934000000
601007.SH,金陵饭店,2010-03-02,8.88,8.96,2952000000
601007.SH,金陵饭店,2010-03-03,8.96,8.91,2937000000
601007.SH,金陵饭店,2010-03-04,8.92,8.40,2769000000
601007.SH,金陵饭店,2010-03-05,8.47,8.50,2802000000
601007.SH,金陵饭店,2010-03-08,8.50,8.60,2835000000
601007.SH,金陵饭店,2010-03-09,8.63,8.53,2811000000
601007.SH,金陵饭店,2010-03-10,8.54,8.60,2835000000
601007.SH,金陵饭店,2010-03-11,8.56,8.37,2760000000
601007.SH,金陵饭店,2010-03-12,8.39,8.22,2709000000
601007.SH,金陵饭店,2010-03-15,8.27,8.16,2688000000
601007.SH,金陵饭店,2010-03-16,8.12,8.26,2721000000
601007.SH,金陵饭店,2010-03-17,8.31,8.46,2787000000
601007.SH,金陵饭店,2010-03-18,8.47,8.48,2793000000
601007.SH,金陵饭店,2010-03-19,8.46,8.61,2838000000
601007.SH,金陵饭店,2010-03-22,8.64,8.71,2871000000
601007.SH,金陵饭店,2010-03-23,8.67,8.70,2868000000
601007.SH,金陵饭店,2010-03-24,8.69,8.58,2829000000
601007.SH,金陵饭店,2010-03-25,8.62,8.36,2754000000
601007.SH,金陵饭店,2010-03-26,8.37,8.63,2844000000
601007.SH,金陵饭店,2010-03-29,8.67,8.72,2874000000
601007.SH,金陵饭店,2010-03-30,8.70,8.79,2898000000
601007.SH,金陵饭店,2010-03-31,8.79,8.99,2964000000
601007.SH,金陵饭店,2010-04-01,9.01,9.05,2982000000
601007.SH,金陵饭店,2010-04-02,9.15,9.09,2997000000
601007.SH,金陵饭店,2010-04-06,9.16,9.12,3006000000
601007.SH,金陵饭店,2010-04-07,9.08,8.99,2964000000
601007.SH,金陵饭店,2010-04-08,9.00,9.17,3021000000
601007.SH,金陵饭店,2010-04-09,9.19,9.24,3045000000
601007.SH,金陵饭店,2010-04-12,9.26,9.40,3099000000
601007.SH,金陵饭店,2010-04-13,9.38,9.25,3048000000
601007.SH,金陵饭店,2010-04-14,9.26,9.46,3117000000
601007.SH,金陵饭店,2010-04-15,9.41,9.20,3033000000
601007.SH,金陵饭店,2010-04-16,9.09,9.18,3024000000
601007.SH,金陵饭店,2010-04-19,9.10,8.78,2892000000
601007.SH,金陵饭店,2010-04-20,8.76,8.84,2913000000
601007.SH,金陵饭店,2010-04-21,8.86,9.08,2994000000
601007.SH,金陵饭店,2010-04-22,9.08,9.12,3006000000
601007.SH,金陵饭店,2010-04-23,9.11,9.04,2979000000
601007.SH,金陵饭店,2010-04-26,9.04,8.78,2895000000
601007.SH,金陵饭店,2010-04-27,8.75,8.47,2790000000
601007.SH,金陵饭店,2010-04-28,8.41,8.55,2817000000
601007.SH,金陵饭店,2010-04-29,8.54,8.33,2745000000
601007.SH,金陵饭店,2010-04-30,8.45,8.40,2769000000
601007.SH,金陵饭店,2010-05-04,8.25,8.29,2733000000
601007.SH,金陵饭店,2010-05-05,8.19,8.54,2814000000
601007.SH,金陵饭店,2010-05-06,8.65,8.56,2820000000
601007.SH,金陵饭店,2010-05-07,8.19,8.35,2751000000
601007.SH,金陵饭店,2010-05-10,8.36,8.35,2751000000
601007.SH,金陵饭店,2010-05-11,8.49,8.16,2688000000
601007.SH,金陵饭店,2010-05-12,8.09,7.68,2532000000
601007.SH,金陵饭店,2010-05-13,7.66,7.75,2553000000
601007.SH,金陵饭店,2010-05-14,7.66,7.67,2529000000
601007.SH,金陵饭店,2010-05-17,7.57,7.04,2319000000
601007.SH,金陵饭店,2010-05-18,7.03,7.02,2313000000
601007.SH,金陵饭店,2010-05-19,6.93,7.09,2337000000
601007.SH,金陵饭店,2010-05-20,7.07,6.93,2283000000
601007.SH,金陵饭店,2010-05-21,6.72,7.00,2307000000
601007.SH,金陵饭店,2010-05-24,7.05,7.23,2382000000
601007.SH,金陵饭店,2010-05-25,7.16,7.16,2358000000
601007.SH,金陵饭店,2010-05-26,7.15,7.11,2343000000
601007.SH,金陵饭店,2010-05-27,7.18,7.26,2394000000
601007.SH,金陵饭店,2010-05-28,7.38,7.38,2433000000
601007.SH,金陵饭店,2010-05-31,7.36,7.09,2337000000
601007.SH,金陵饭店,2010-06-01,7.00,7.00,2307000000
601007.SH,金陵饭店,2010-06-02,6.96,7.08,2334000000
601007.SH,金陵饭店,2010-06-03,7.11,6.93,2283000000
601007.SH,金陵饭店,2010-06-04,6.87,6.95,2289000000
601007.SH,金陵饭店,2010-06-07,6.83,6.89,2271000000
601007.SH,金陵饭店,2010-06-08,6.89,6.95,2292000000
601007.SH,金陵饭店,2010-06-09,7.01,7.16,2361000000
601007.SH,金陵饭店,2010-06-10,7.10,7.19,2370000000
601007.SH,金陵饭店,2010-06-11,7.20,7.12,2346000000
601007.SH,金陵饭店,2010-06-17,7.18,7.08,2334000000
601007.SH,金陵饭店,2010-06-18,7.11,6.88,2268000000
601007.SH,金陵饭店,2010-06-21,6.90,7.14,2352000000
601007.SH,金陵饭店,2010-06-22,7.09,7.26,2391000000
601007.SH,金陵饭店,2010-06-23,7.19,7.16,2361000000
601007.SH,金陵饭店,2010-06-24,7.23,7.21,2376000000
601007.SH,金陵饭店,2010-06-25,7.13,7.16,2358000000
601007.SH,金陵饭店,2010-06-28,7.16,7.05,2325000000
601007.SH,金陵饭店,2010-06-29,7.05,7.05,2325000000
601007.SH,金陵饭店,2010-06-30,6.47,6.45,2124000000
601007.SH,金陵饭店,2010-07-01,6.45,6.34,2091000000
601007.SH,金陵饭店,2010-07-02,6.34,6.32,2082000000
601007.SH,金陵饭店,2010-07-05,6.27,6.34,2088000000
601007.SH,金陵饭店,2010-07-06,6.30,6.45,2127000000
601007.SH,金陵饭店,2010-07-07,6.48,6.55,2157000000
601007.SH,金陵饭店,2010-07-08,6.55,6.50,2142000000
601007.SH,金陵饭店,2010-07-09,6.50,6.65,2193000000
601007.SH,金陵饭店,2010-07-12,6.65,6.69,2205000000
601007.SH,金陵饭店,2010-07-13,6.65,6.57,2166000000
601007.SH,金陵饭店,2010-07-14,6.61,6.64,2187000000
601007.SH,金陵饭店,2010-07-15,6.65,6.45,2127000000
