代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
002858.SZ,力盛赛车,2017-03-24,6.36,7.63,970137600
002858.SZ,力盛赛车,2017-03-27,8.40,8.40,1067404000
002858.SZ,力盛赛车,2017-03-28,9.24,9.24,1174144400
002858.SZ,力盛赛车,2017-03-29,10.16,10.16,1291622000
002858.SZ,力盛赛车,2017-03-30,11.18,11.18,1421100000
002858.SZ,力盛赛车,2017-03-31,12.30,12.30,1563210000
002858.SZ,力盛赛车,2017-04-05,13.53,13.53,1719846800
002858.SZ,力盛赛车,2017-04-06,14.88,14.88,1891642000
002858.SZ,力盛赛车,2017-04-07,16.38,16.38,2081122000
002858.SZ,力盛赛车,2017-04-10,18.02,18.02,2289550000
002858.SZ,力盛赛车,2017-04-11,18.02,18.02,2289550000
002858.SZ,力盛赛车,2017-04-12,18.02,18.02,2289550000
002858.SZ,力盛赛车,2017-04-13,18.02,18.02,2289550000
002858.SZ,力盛赛车,2017-04-14,19.82,19.82,2518820800
002858.SZ,力盛赛车,2017-04-17,21.80,21.80,2770829200
002858.SZ,力盛赛车,2017-04-18,23.98,23.98,3048101600
002858.SZ,力盛赛车,2017-04-19,26.39,26.39,3353164400
002858.SZ,力盛赛车,2017-04-20,26.39,26.39,3353164400
002858.SZ,力盛赛车,2017-04-21,26.39,26.39,3353164400
002858.SZ,力盛赛车,2017-04-24,26.39,26.39,3353164400
002858.SZ,力盛赛车,2017-04-25,26.39,26.39,3353164400
002858.SZ,力盛赛车,2017-04-26,26.39,26.39,3353164400
002858.SZ,力盛赛车,2017-04-27,29.02,29.02,3688544000
002858.SZ,力盛赛车,2017-04-28,31.93,31.93,4057398400
002858.SZ,力盛赛车,2017-05-02,35.12,35.12,4462885600
002858.SZ,力盛赛车,2017-05-03,38.20,38.63,4909426800
002858.SZ,力盛赛车,2017-05-04,39.26,38.84,4935322400
002858.SZ,力盛赛车,2017-05-05,39.76,35.42,4500781600
002858.SZ,力盛赛车,2017-05-08,34.71,35.42,4500781600
002858.SZ,力盛赛车,2017-05-09,35.29,33.57,4266458000
002858.SZ,力盛赛车,2017-05-10,32.85,32.65,4149612000
002858.SZ,力盛赛车,2017-05-11,32.10,31.25,3971500800
002858.SZ,力盛赛车,2017-05-12,31.71,31.64,4021397200
002858.SZ,力盛赛车,2017-05-15,31.54,34.81,4423726400
002858.SZ,力盛赛车,2017-05-16,33.56,35.19,4471728000
002858.SZ,力盛赛车,2017-05-17,34.45,33.35,4238036000
002858.SZ,力盛赛车,2017-05-18,32.41,31.56,4011291600
002858.SZ,力盛赛车,2017-05-19,31.66,30.17,3833812000
002858.SZ,力盛赛车,2017-05-22,29.72,27.15,3450430800
002858.SZ,力盛赛车,2017-05-23,26.34,26.19,3327900400
002858.SZ,力盛赛车,2017-05-24,26.40,26.75,3399271200
002858.SZ,力盛赛车,2017-05-25,26.74,26.02,3307057600
002858.SZ,力盛赛车,2017-05-26,26.03,26.75,3399271200
002858.SZ,力盛赛车,2017-05-31,27.63,25.99,3303268000
002858.SZ,力盛赛车,2017-06-01,25.50,23.39,2972941200
002858.SZ,力盛赛车,2017-06-02,22.73,23.46,2981152000
002858.SZ,力盛赛车,2017-06-05,24.09,23.46,2981152000
002858.SZ,力盛赛车,2017-06-06,23.15,24.00,3050628000
002858.SZ,力盛赛车,2017-06-07,24.10,24.83,3155473600
002858.SZ,力盛赛车,2017-06-08,24.68,24.76,3145999600
002858.SZ,力盛赛车,2017-06-09,24.46,24.68,3136525600
002858.SZ,力盛赛车,2017-06-12,24.25,23.01,2924308000
002858.SZ,力盛赛车,2017-06-13,23.15,23.85,3031048400
002858.SZ,力盛赛车,2017-06-14,23.84,23.65,3005784400
002858.SZ,力盛赛车,2017-06-15,23.50,24.28,3085997600
002858.SZ,力盛赛车,2017-06-16,24.45,24.46,3108103600
002858.SZ,力盛赛车,2017-06-19,24.51,24.05,3056944000
002858.SZ,力盛赛车,2017-06-20,24.18,23.83,3028522000
002858.SZ,力盛赛车,2017-06-21,24.09,24.40,3100524400
002858.SZ,力盛赛车,2017-06-22,24.44,23.95,3043048800
002858.SZ,力盛赛车,2017-06-23,23.69,23.58,2996942000
002858.SZ,力盛赛车,2017-06-26,23.57,25.10,3190211600
