代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
002059.SZ,云南旅游,2010-01-04,4.90,4.92,2197300000
002059.SZ,云南旅游,2010-01-05,4.93,4.94,2208050000
002059.SZ,云南旅游,2010-01-06,4.93,4.84,2165050000
002059.SZ,云南旅游,2010-01-07,4.81,4.69,2094100000
002059.SZ,云南旅游,2010-01-08,4.68,4.75,2124200000
002059.SZ,云南旅游,2010-01-11,4.77,4.70,2102700000
002059.SZ,云南旅游,2010-01-12,4.70,4.85,2169350000
002059.SZ,云南旅游,2010-01-13,4.79,4.92,2197300000
002059.SZ,云南旅游,2010-01-14,4.90,4.97,2223100000
002059.SZ,云南旅游,2010-01-15,4.96,5.10,2281150000
002059.SZ,云南旅游,2010-01-18,5.08,5.09,2272550000
002059.SZ,云南旅游,2010-01-19,5.09,5.02,2244600000
002059.SZ,云南旅游,2010-01-20,5.00,4.79,2139250000
002059.SZ,云南旅游,2010-01-21,4.79,4.87,2175800000
002059.SZ,云南旅游,2010-01-22,4.84,4.73,2113450000
002059.SZ,云南旅游,2010-01-25,4.74,5.01,2238150000
002059.SZ,云南旅游,2010-01-26,5.01,4.76,2128500000
002059.SZ,云南旅游,2010-01-27,4.71,4.59,2051100000
002059.SZ,云南旅游,2010-01-28,4.59,4.60,2057550000
002059.SZ,云南旅游,2010-01-29,4.61,4.69,2096250000
002059.SZ,云南旅游,2010-02-01,4.67,4.55,2031750000
002059.SZ,云南旅游,2010-02-02,4.56,4.47,1999500000
002059.SZ,云南旅游,2010-02-03,4.51,4.55,2031750000
002059.SZ,云南旅游,2010-02-04,4.54,4.64,2072600000
002059.SZ,云南旅游,2010-02-05,4.54,4.49,2005950000
002059.SZ,云南旅游,2010-02-08,4.44,4.53,2023150000
002059.SZ,云南旅游,2010-02-09,4.52,4.53,2023150000
002059.SZ,云南旅游,2010-02-10,4.57,4.57,2040350000
002059.SZ,云南旅游,2010-02-11,4.57,4.59,2051100000
002059.SZ,云南旅游,2010-02-12,4.58,4.61,2059700000
002059.SZ,云南旅游,2010-02-22,4.62,4.64,2072600000
002059.SZ,云南旅游,2010-02-23,4.64,4.65,2076900000
002059.SZ,云南旅游,2010-02-24,4.65,4.80,2143550000
002059.SZ,云南旅游,2010-02-25,4.74,5.04,2253200000
002059.SZ,云南旅游,2010-02-26,4.99,5.01,2240300000
002059.SZ,云南旅游,2010-03-01,5.00,5.02,2244600000
002059.SZ,云南旅游,2010-03-02,5.05,5.12,2289750000
002059.SZ,云南旅游,2010-03-03,5.12,5.25,2347800000
002059.SZ,云南旅游,2010-03-04,5.25,4.92,2199450000
002059.SZ,云南旅游,2010-03-05,4.93,4.98,2225250000
002059.SZ,云南旅游,2010-03-08,4.99,4.99,2231700000
002059.SZ,云南旅游,2010-03-09,5.00,4.94,2208050000
002059.SZ,云南旅游,2010-03-10,4.94,4.98,2225250000
002059.SZ,云南旅游,2010-03-11,4.96,4.87,2177950000
002059.SZ,云南旅游,2010-03-12,4.87,4.76,2128500000
002059.SZ,云南旅游,2010-03-15,4.74,4.82,2154300000
002059.SZ,云南旅游,2010-03-16,4.81,4.83,2160750000
002059.SZ,云南旅游,2010-03-17,4.85,4.93,2201600000
002059.SZ,云南旅游,2010-03-18,4.96,4.93,2201600000
002059.SZ,云南旅游,2010-03-19,4.93,4.96,2216650000
002059.SZ,云南旅游,2010-03-22,4.96,4.95,2210200000
002059.SZ,云南旅游,2010-03-23,5.05,5.13,2291900000
002059.SZ,云南旅游,2010-03-24,5.05,5.01,2238150000
002059.SZ,云南旅游,2010-03-25,5.01,4.91,2193000000
002059.SZ,云南旅游,2010-03-26,4.86,5.18,2313400000
002059.SZ,云南旅游,2010-03-29,5.14,5.08,2270400000
002059.SZ,云南旅游,2010-03-30,5.08,5.09,2274700000
002059.SZ,云南旅游,2010-03-31,5.08,4.96,2218800000
002059.SZ,云南旅游,2010-04-01,4.98,5.05,2255350000
002059.SZ,云南旅游,2010-04-02,5.04,5.09,2272550000
002059.SZ,云南旅游,2010-04-06,5.09,5.21,2330600000
002059.SZ,云南旅游,2010-04-07,5.19,5.14,2298350000
002059.SZ,云南旅游,2010-04-08,5.14,5.30,2367150000
002059.SZ,云南旅游,2010-04-09,5.31,5.36,2397250000
002059.SZ,云南旅游,2010-04-12,5.35,5.33,2380050000
002059.SZ,云南旅游,2010-04-13,5.33,5.20,2322000000
002059.SZ,云南旅游,2010-04-14,5.18,5.28,2360700000
002059.SZ,云南旅游,2010-04-15,5.29,5.19,2319850000
002059.SZ,云南旅游,2010-04-16,5.19,5.19,2319850000
002059.SZ,云南旅游,2010-04-19,5.12,4.90,2188700000
002059.SZ,云南旅游,2010-04-20,4.88,4.96,2214500000
002059.SZ,云南旅游,2010-04-21,4.96,5.06,2261800000
002059.SZ,云南旅游,2010-04-22,5.08,5.12,2287600000
002059.SZ,云南旅游,2010-04-23,5.03,5.00,2236000000
002059.SZ,云南旅游,2010-04-26,5.00,5.19,2319850000
002059.SZ,云南旅游,2010-04-27,5.20,5.11,2285450000
002059.SZ,云南旅游,2010-04-28,5.10,5.22,2332750000
002059.SZ,云南旅游,2010-04-29,5.22,4.93,2201600000
002059.SZ,云南旅游,2010-04-30,4.82,4.44,1982300000
002059.SZ,云南旅游,2010-05-04,4.11,4.37,1952200000
002059.SZ,云南旅游,2010-05-05,4.20,4.39,1960800000
002059.SZ,云南旅游,2010-05-06,4.38,4.34,1939300000
002059.SZ,云南旅游,2010-05-07,4.14,4.08,1825350000
002059.SZ,云南旅游,2010-05-10,4.03,4.03,1801700000
002059.SZ,云南旅游,2010-05-11,4.09,3.95,1765150000
002059.SZ,云南旅游,2010-05-12,3.95,3.98,1778050000
002059.SZ,云南旅游,2010-05-13,4.02,4.28,1913500000
002059.SZ,云南旅游,2010-05-14,4.28,4.32,1932850000
002059.SZ,云南旅游,2010-05-17,4.22,4.16,1859750000
002059.SZ,云南旅游,2010-05-18,3.99,4.08,1823200000
002059.SZ,云南旅游,2010-05-19,4.08,3.96,1769450000
002059.SZ,云南旅游,2010-05-20,3.92,3.69,1651200000
002059.SZ,云南旅游,2010-05-21,3.58,3.67,1638300000
002059.SZ,云南旅游,2010-05-24,3.67,3.94,1760850000
002059.SZ,云南旅游,2010-05-25,3.84,3.83,1713550000
002059.SZ,云南旅游,2010-05-26,3.83,3.79,1694200000
002059.SZ,云南旅游,2010-05-27,3.77,3.85,1722150000
002059.SZ,云南旅游,2010-05-28,3.88,3.85,1720000000
002059.SZ,云南旅游,2010-05-31,3.85,3.83,1713550000
002059.SZ,云南旅游,2010-06-01,3.81,3.79,1692050000
002059.SZ,云南旅游,2010-06-02,3.75,3.96,1769450000
002059.SZ,云南旅游,2010-06-03,3.96,3.96,1769450000
002059.SZ,云南旅游,2010-06-04,3.84,3.88,1735050000
002059.SZ,云南旅游,2010-06-07,3.80,3.78,1687750000
002059.SZ,云南旅游,2010-06-08,3.76,3.91,1745800000
002059.SZ,云南旅游,2010-06-09,4.00,4.09,1829650000
002059.SZ,云南旅游,2010-06-10,4.03,4.02,1797400000
002059.SZ,云南旅游,2010-06-11,4.04,4.02,1795250000
002059.SZ,云南旅游,2010-06-17,4.02,3.98,1778050000
002059.SZ,云南旅游,2010-06-18,3.98,3.79,1692050000
002059.SZ,云南旅游,2010-06-21,3.79,3.87,1730750000
002059.SZ,云南旅游,2010-06-22,3.84,3.90,1741500000
002059.SZ,云南旅游,2010-06-23,3.87,3.83,1711400000
002059.SZ,云南旅游,2010-06-24,3.83,3.84,1715700000
002059.SZ,云南旅游,2010-06-25,3.83,3.78,1689900000
002059.SZ,云南旅游,2010-06-28,3.71,3.75,1677000000
002059.SZ,云南旅游,2010-06-29,3.73,3.51,1569500000
002059.SZ,云南旅游,2010-06-30,3.51,3.40,1520050000
002059.SZ,云南旅游,2010-07-01,3.40,3.24,1449100000
002059.SZ,云南旅游,2010-07-02,3.26,3.18,1421150000
002059.SZ,云南旅游,2010-07-05,3.09,3.17,1416850000
002059.SZ,云南旅游,2010-07-06,3.17,3.25,1453400000
002059.SZ,云南旅游,2010-07-07,3.24,3.32,1483500000
002059.SZ,云南旅游,2010-07-08,3.32,3.35,1496400000
002059.SZ,云南旅游,2010-07-09,3.30,3.41,1522200000
002059.SZ,云南旅游,2010-07-12,3.41,3.43,1535100000
002059.SZ,云南旅游,2010-07-13,3.40,3.38,1511450000
002059.SZ,云南旅游,2010-07-14,3.38,3.53,1575950000
002059.SZ,云南旅游,2010-07-15,3.46,3.57,1597450000
002059.SZ,云南旅游,2010-07-16,3.63,3.73,1666250000
002059.SZ,云南旅游,2010-07-19,3.66,3.74,1672700000
002059.SZ,云南旅游,2010-07-20,3.75,3.74,1670550000
002059.SZ,云南旅游,2010-07-21,3.69,3.74,1670550000
002059.SZ,云南旅游,2010-07-22,3.69,3.76,1679150000
002059.SZ,云南旅游,2010-07-23,3.73,3.69,1649050000
002059.SZ,云南旅游,2010-07-26,3.69,3.69,1649050000
002059.SZ,云南旅游,2010-07-27,3.69,4.06,1814600000
