代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
603099.SH,长白山,2014-08-22,5.31,6.38,1744021800
603099.SH,长白山,2014-08-25,7.01,7.01,1917357300
603099.SH,长白山,2014-08-26,7.71,7.71,2109359700
603099.SH,长白山,2014-08-27,8.48,8.48,2320029000
603099.SH,长白山,2014-08-28,9.33,9.33,2552031900
603099.SH,长白山,2014-08-29,10.27,10.27,2808035100
603099.SH,长白山,2014-09-01,11.29,11.29,3088038600
603099.SH,长白山,2014-09-02,12.42,12.42,3397375800
603099.SH,长白山,2014-09-03,13.66,13.66,3736046700
603099.SH,长白山,2014-09-04,15.03,15.03,4109384700
603099.SH,长白山,2014-09-05,16.53,16.53,4520056500
603099.SH,长白山,2014-09-09,17.55,17.12,4680058500
603099.SH,长白山,2014-09-10,16.09,17.35,4744059300
603099.SH,长白山,2014-09-11,17.20,16.96,4637391300
603099.SH,长白山,2014-09-12,16.68,16.64,4549390200
603099.SH,长白山,2014-09-15,16.50,16.47,4504056300
603099.SH,长白山,2014-09-16,16.44,15.38,4205385900
603099.SH,长白山,2014-09-17,15.42,15.62,4272053400
603099.SH,长白山,2014-09-18,15.49,15.21,4160052000
603099.SH,长白山,2014-09-19,15.17,15.35,4197385800
603099.SH,长白山,2014-09-22,15.21,16.88,4616057700
603099.SH,长白山,2014-09-23,17.36,16.96,4637391300
603099.SH,长白山,2014-09-24,16.43,16.33,4466722500
603099.SH,长白山,2014-09-25,16.07,15.82,4325387400
603099.SH,长白山,2014-09-26,15.60,15.88,4341387600
603099.SH,长白山,2014-09-29,15.90,15.76,4309387200
603099.SH,长白山,2014-09-30,15.75,15.71,4296053700
603099.SH,长白山,2014-10-08,15.61,15.55,4253386500
603099.SH,长白山,2014-10-09,15.60,15.76,4309387200
603099.SH,长白山,2014-10-10,15.60,15.31,4186719000
603099.SH,长白山,2014-10-13,15.21,15.23,4165385400
603099.SH,长白山,2014-10-14,15.24,15.11,4130718300
603099.SH,长白山,2014-10-15,15.08,15.14,4138718400
603099.SH,长白山,2014-10-16,15.08,14.96,4090717800
603099.SH,长白山,2014-10-17,14.84,15.51,4240053000
603099.SH,长白山,2014-10-20,15.39,15.51,4240053000
603099.SH,长白山,2014-10-21,15.52,15.59,4264053300
603099.SH,长白山,2014-10-22,15.51,15.64,4277386800
603099.SH,长白山,2014-10-23,15.60,15.84,4330720800
603099.SH,长白山,2014-10-24,15.59,15.19,4154718600
603099.SH,长白山,2014-10-27,15.19,14.18,3877381800
603099.SH,长白山,2014-10-28,14.30,14.47,3957382800
603099.SH,长白山,2014-10-29,14.55,14.79,4045383900
603099.SH,长白山,2014-10-30,14.88,14.73,4026717000
603099.SH,长白山,2014-10-31,14.58,14.76,4034717100
603099.SH,长白山,2014-11-03,14.78,14.99,4098717900
603099.SH,长白山,2014-11-04,15.00,14.74,4029383700
603099.SH,长白山,2014-11-05,14.72,15.61,4269386700
603099.SH,长白山,2014-11-06,15.58,15.87,4338720900
603099.SH,长白山,2014-11-07,15.92,17.46,4773393000
603099.SH,长白山,2014-11-10,17.46,18.74,5125397400
603099.SH,长白山,2014-11-11,18.14,17.47,4776059700
603099.SH,长白山,2014-11-12,17.26,18.51,5061396600
603099.SH,长白山,2014-11-13,17.96,18.31,5008062600
603099.SH,长白山,2014-11-14,17.92,16.48,4506723000
603099.SH,长白山,2014-11-17,15.93,16.27,4448055600
603099.SH,长白山,2014-11-18,16.34,16.81,4597390800
603099.SH,长白山,2014-11-19,16.58,16.59,4536056700
603099.SH,长白山,2014-11-20,16.41,17.37,4749392700
603099.SH,长白山,2014-11-21,17.24,17.23,4712058900
603099.SH,长白山,2014-11-24,17.39,17.82,4872060900
