代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
002867.SZ,周大生,2017-04-27,14.71,17.65,13704738000
002867.SZ,周大生,2017-04-28,19.41,19.41,15076167500
002867.SZ,周大生,2017-05-02,21.36,21.36,16586173500
002867.SZ,周大生,2017-05-03,23.49,23.49,18244313000
002867.SZ,周大生,2017-05-04,25.84,25.84,20069700000
002867.SZ,周大生,2017-05-05,28.36,27.45,21316888500
002867.SZ,周大生,2017-05-08,26.46,24.71,19190456000
002867.SZ,周大生,2017-05-09,24.00,24.67,19161785000
002867.SZ,周大生,2017-05-10,24.49,23.17,17991052500
002867.SZ,周大生,2017-05-11,23.20,22.91,17790355500
002867.SZ,周大生,2017-05-12,22.91,22.73,17656557500
002867.SZ,周大生,2017-05-15,22.65,24.13,18741277000
002867.SZ,周大生,2017-05-16,23.58,24.01,18650485500
002867.SZ,周大生,2017-05-17,24.02,23.71,18411560500
002867.SZ,周大生,2017-05-18,23.71,22.67,17603994000
002867.SZ,周大生,2017-05-19,22.38,21.98,17073580500
002867.SZ,周大生,2017-05-22,21.92,20.62,16017532000
002867.SZ,周大生,2017-05-23,20.63,19.95,15491897000
002867.SZ,周大生,2017-05-24,19.84,20.17,15663923000
002867.SZ,周大生,2017-05-25,20.11,20.15,15649587500
002867.SZ,周大生,2017-05-26,20.23,20.48,15907626500
002867.SZ,周大生,2017-05-31,21.29,20.26,15730822000
002867.SZ,周大生,2017-06-01,19.94,18.75,14564868000
002867.SZ,周大生,2017-06-02,18.63,19.18,14894584500
002867.SZ,周大生,2017-06-05,19.50,19.25,14947148000
002867.SZ,周大生,2017-06-06,19.26,19.29,14980597500
002867.SZ,周大生,2017-06-07,19.38,19.86,15420219500
002867.SZ,周大生,2017-06-08,19.85,19.49,15138288000
002867.SZ,周大生,2017-06-09,19.40,19.39,15057053500
002867.SZ,周大生,2017-06-12,19.16,18.66,14493190500
002867.SZ,周大生,2017-06-13,18.64,19.03,14779900500
002867.SZ,周大生,2017-06-14,18.96,19.09,14827685500
002867.SZ,周大生,2017-06-15,18.97,19.38,15052275000
002867.SZ,周大生,2017-06-16,19.30,19.15,14870692000
002867.SZ,周大生,2017-06-19,19.14,19.30,14985376000
002867.SZ,周大生,2017-06-20,19.30,19.43,15090503000
002867.SZ,周大生,2017-06-21,19.44,19.33,15009268500
002867.SZ,周大生,2017-06-22,19.30,18.93,14698666000
002867.SZ,周大生,2017-06-23,18.83,18.71,14531418500
002867.SZ,周大生,2017-06-26,18.61,18.91,14689109000
002867.SZ,周大生,2017-06-27,18.84,18.86,14650881000
002867.SZ,周大生,2017-06-28,18.77,18.62,14459741000
002867.SZ,周大生,2017-06-29,18.64,18.78,14583982000
002867.SZ,周大生,2017-06-30,18.69,19.00,14756008000
002867.SZ,周大生,2017-07-03,19.00,19.06,14803793000
002867.SZ,周大生,2017-07-04,19.06,19.20,14908920000
002867.SZ,周大生,2017-07-05,19.20,19.33,15009268500
002867.SZ,周大生,2017-07-06,19.39,19.20,14913698500
002867.SZ,周大生,2017-07-07,19.20,19.57,15200408500
002867.SZ,周大生,2017-07-10,19.41,18.85,14641324000
002867.SZ,周大生,2017-07-11,18.82,18.67,14502747500
002867.SZ,周大生,2017-07-12,18.86,19.03,14779900500
002867.SZ,周大生,2017-07-13,19.02,18.96,14722558500
002867.SZ,周大生,2017-07-14,18.91,18.90,14679552000
002867.SZ,周大生,2017-07-17,18.77,17.56,13637839000
002867.SZ,周大生,2017-07-18,17.56,17.84,13857650000
002867.SZ,周大生,2017-07-19,17.83,17.88,13599611000
002867.SZ,周大生,2017-07-20,17.82,17.72,13475370000
002867.SZ,周大生,2017-07-21,17.72,17.50,13308122500
002867.SZ,周大生,2017-07-24,17.40,17.50,13312901000
002867.SZ,周大生,2017-07-25,17.45,17.37,13207774000
002867.SZ,周大生,2017-07-26,17.33,17.20,13078754500
002867.SZ,周大生,2017-07-27,17.21,17.67,13437142000
002867.SZ,周大生,2017-07-28,17.65,17.49,13298565500
002867.SZ,周大生,2017-07-31,17.47,17.55,13351129000
002867.SZ,周大生,2017-08-01,17.51,17.67,13441920500
002867.SZ,周大生,2017-08-02,17.60,17.29,13150432000
002867.SZ,周大生,2017-08-03,17.30,17.32,13174324500
002867.SZ,周大生,2017-08-04,17.38,17.33,13183881500
002867.SZ,周大生,2017-08-07,17.28,17.43,13255559000
002867.SZ,周大生,2017-08-08,17.43,17.36,13202995500
002867.SZ,周大生,2017-08-09,17.33,17.36,13202995500
002867.SZ,周大生,2017-08-10,17.41,17.38,13222109500
002867.SZ,周大生,2017-08-11,17.38,17.61,13394135500
002867.SZ,周大生,2017-08-14,17.48,17.71,13465813000
002867.SZ,周大生,2017-08-15,17.70,17.67,13437142000
002867.SZ,周大生,2017-08-16,17.64,17.77,13513598000
002867.SZ,周大生,2017-08-17,17.81,17.86,13580497000
002867.SZ,周大生,2017-08-18,17.76,17.65,13427585000
002867.SZ,周大生,2017-08-21,17.74,17.79,13532712000
002867.SZ,周大生,2017-08-22,17.80,17.91,13618725000
002867.SZ,周大生,2017-08-23,17.94,17.74,13494484000
002867.SZ,周大生,2017-08-24,17.71,17.53,13332015000
002867.SZ,周大生,2017-08-25,17.54,17.77,13518376500
002867.SZ,周大生,2017-08-28,17.86,18.35,13953220000
002867.SZ,周大生,2017-08-29,18.45,18.53,14091796500
002867.SZ,周大生,2017-08-30,18.59,18.22,13857650000
002867.SZ,周大生,2017-08-31,18.23,18.50,14072682500
002867.SZ,周大生,2017-09-01,18.63,18.50,14067904000
002867.SZ,周大生,2017-09-04,18.52,18.39,13986669500
002867.SZ,周大生,2017-09-05,18.40,18.31,13929327500
002867.SZ,周大生,2017-09-06,18.35,18.21,13852871500
002867.SZ,周大生,2017-09-07,18.18,18.16,13814643500
002867.SZ,周大生,2017-09-08,18.25,18.25,13876764000
002867.SZ,周大生,2017-09-11,18.28,18.51,14077461000
002867.SZ,周大生,2017-09-12,18.50,18.22,13857650000
002867.SZ,周大生,2017-09-13,18.19,18.35,13953220000
002867.SZ,周大生,2017-09-14,18.33,18.32,13934106000
002867.SZ,周大生,2017-09-15,18.30,18.08,13752523000
002867.SZ,周大生,2017-09-18,18.08,18.11,13771637000
002867.SZ,周大生,2017-09-19,18.11,17.97,13666510000
002867.SZ,周大生,2017-09-20,17.96,18.07,13742966000
002867.SZ,周大生,2017-09-21,18.04,18.10,13766858500
002867.SZ,周大生,2017-09-22,18.05,17.97,13666510000
002867.SZ,周大生,2017-09-25,17.97,17.94,13647396000
002867.SZ,周大生,2017-09-26,17.99,17.77,13513598000
002867.SZ,周大生,2017-09-27,17.75,17.81,13547047500
002867.SZ,周大生,2017-09-28,17.84,17.72,13480148500
002867.SZ,周大生,2017-09-29,17.76,17.84,13570940000
002867.SZ,周大生,2017-10-09,17.95,17.91,13618725000
002867.SZ,周大生,2017-10-10,17.92,18.18,13828979000
002867.SZ,周大生,2017-10-11,18.21,18.01,13695181000
002867.SZ,周大生,2017-10-12,18.04,17.95,13652174500
002867.SZ,周大生,2017-10-13,17.98,18.23,13867207000
002867.SZ,周大生,2017-10-16,18.23,17.87,13590054000
