代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
603059.SH,倍加洁,2018-03-02,27.42,27.42,2772800000
603059.SH,倍加洁,2018-03-05,30.16,30.16,3050400000
603059.SH,倍加洁,2018-03-06,33.18,33.18,3355200000
603059.SH,倍加洁,2018-03-07,36.49,36.49,3690400000
603059.SH,倍加洁,2018-03-08,37.97,40.14,4059200000
603059.SH,倍加洁,2018-03-09,41.92,41.37,4184000000
603059.SH,倍加洁,2018-03-12,39.96,41.33,4180000000
603059.SH,倍加洁,2018-03-13,40.37,39.34,3978400000
603059.SH,倍加洁,2018-03-14,38.96,40.81,4127200000
603059.SH,倍加洁,2018-03-15,38.76,38.11,3854400000
603059.SH,倍加洁,2018-03-16,38.35,38.17,3860000000
603059.SH,倍加洁,2018-03-19,37.97,39.16,3960800000
603059.SH,倍加洁,2018-03-20,38.21,38.36,3879200000
603059.SH,倍加洁,2018-03-21,38.60,38.76,3920000000
603059.SH,倍加洁,2018-03-22,38.96,42.64,4312000000
603059.SH,倍加洁,2018-03-23,40.40,42.47,4295200000
603059.SH,倍加洁,2018-03-26,40.40,43.81,4430400000
603059.SH,倍加洁,2018-03-27,43.42,45.29,4580800000
603059.SH,倍加洁,2018-03-28,43.09,41.53,4200000000
603059.SH,倍加洁,2018-03-29,41.13,42.06,4253600000
603059.SH,倍加洁,2018-03-30,42.00,41.69,4216800000
603059.SH,倍加洁,2018-04-02,41.70,40.49,4095200000
603059.SH,倍加洁,2018-04-03,38.88,40.81,4127200000
603059.SH,倍加洁,2018-04-04,41.29,42.51,4299200000
603059.SH,倍加洁,2018-04-09,41.86,43.74,4423200000
603059.SH,倍加洁,2018-04-10,43.11,43.28,4377600000
603059.SH,倍加洁,2018-04-11,42.80,43.46,4395200000
603059.SH,倍加洁,2018-04-12,42.68,42.29,4276800000
603059.SH,倍加洁,2018-04-13,42.00,43.84,4433600000
603059.SH,倍加洁,2018-04-16,43.98,43.39,4388000000
603059.SH,倍加洁,2018-04-17,43.59,39.73,4018400000
603059.SH,倍加洁,2018-04-18,39.73,38.95,3939200000
603059.SH,倍加洁,2018-04-19,39.16,37.73,3816000000
603059.SH,倍加洁,2018-04-20,37.18,35.13,3552800000
603059.SH,倍加洁,2018-04-23,35.44,35.78,3618400000
603059.SH,倍加洁,2018-04-24,35.87,36.95,3736800000
603059.SH,倍加洁,2018-04-25,36.39,36.75,3716800000
603059.SH,倍加洁,2018-04-26,36.39,35.36,3576000000
603059.SH,倍加洁,2018-04-27,35.46,34.01,3440000000
603059.SH,倍加洁,2018-05-02,34.17,33.04,3341600000
603059.SH,倍加洁,2018-05-03,33.22,34.14,3452800000
603059.SH,倍加洁,2018-05-04,33.89,33.37,3375200000
603059.SH,倍加洁,2018-05-07,33.38,34.38,3476800000
603059.SH,倍加洁,2018-05-08,34.49,35.11,3550400000
603059.SH,倍加洁,2018-05-09,34.95,35.16,3556000000
603059.SH,倍加洁,2018-05-10,35.12,34.96,3536000000
603059.SH,倍加洁,2018-05-11,35.24,34.68,3507200000
