代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
300803.SZ,指南针,2019-11-18,7.49,8.98,3644999991
300803.SZ,指南针,2019-11-19,9.88,9.88,4009499990
300803.SZ,指南针,2019-11-20,10.87,10.87,4410449989
300803.SZ,指南针,2019-11-21,11.96,11.96,4851899988
300803.SZ,指南针,2019-11-22,13.16,13.16,5337899987
300803.SZ,指南针,2019-11-25,14.47,14.47,5872499986
300803.SZ,指南针,2019-11-26,15.92,15.92,6459749984
300803.SZ,指南针,2019-11-27,17.52,17.52,7107749982
300803.SZ,指南针,2019-11-28,19.28,19.28,7820549981
300803.SZ,指南针,2019-11-29,21.20,21.20,8602199979
300803.SZ,指南针,2019-12-02,23.32,23.32,9460799977
300803.SZ,指南针,2019-12-03,25.65,25.65,10408499974
300803.SZ,指南针,2019-12-04,28.22,28.22,11449349972
300803.SZ,指南针,2019-12-05,31.04,31.04,12595499969
300803.SZ,指南针,2019-12-06,34.15,34.15,13855049966
300803.SZ,指南针,2019-12-09,36.90,37.56,15240149962
300803.SZ,指南针,2019-12-10,38.64,39.83,16159499960
300803.SZ,指南针,2019-12-11,38.78,40.23,16321499960
300803.SZ,指南针,2019-12-12,39.74,40.51,16434899959
300803.SZ,指南针,2019-12-13,42.62,41.38,16791299959
300803.SZ,指南针,2019-12-16,39.40,41.37,16787249959
300803.SZ,指南针,2019-12-17,41.03,42.75,17346149957
300803.SZ,指南针,2019-12-18,43.87,44.72,18143999955
300803.SZ,指南针,2019-12-19,43.41,41.42,16807499958
300803.SZ,指南针,2019-12-20,41.92,39.11,15867899961
300803.SZ,指南针,2019-12-23,38.71,43.02,17455499957
300803.SZ,指南针,2019-12-24,42.19,40.93,16604999959
300803.SZ,指南针,2019-12-25,40.43,41.30,16754849959
300803.SZ,指南针,2019-12-26,40.92,42.02,17050499958
300803.SZ,指南针,2019-12-27,41.66,40.19,16305299960
300803.SZ,指南针,2019-12-30,39.03,38.47,15608699961
300803.SZ,指南针,2019-12-31,38.40,37.81,15341399962
300803.SZ,指南针,2020-01-02,38.93,39.32,15952949961
300803.SZ,指南针,2020-01-03,39.73,41.83,16973549958
300803.SZ,指南针,2020-01-06,40.93,42.81,17370449957
300803.SZ,指南针,2020-01-07,43.44,47.09,19107899953
300803.SZ,指南针,2020-01-08,45.80,44.82,18184499955
300803.SZ,指南针,2020-01-09,46.31,45.63,18512549954
300803.SZ,指南针,2020-01-10,45.60,43.43,17621549956
300803.SZ,指南针,2020-01-13,43.12,44.52,18062999955
300803.SZ,指南针,2020-01-14,44.62,43.44,17625599956
300803.SZ,指南针,2020-01-15,42.92,43.92,17819999956
300803.SZ,指南针,2020-01-16,43.92,43.82,17779499956
300803.SZ,指南针,2020-01-17,43.95,42.72,17333999957
300803.SZ,指南针,2020-01-20,41.95,42.27,17151749958
300803.SZ,指南针,2020-01-21,41.92,42.41,17208449958
300803.SZ,指南针,2020-01-22,42.35,44.14,17909099956
300803.SZ,指南针,2020-01-23,43.92,43.25,17548649957
300803.SZ,指南针,2020-02-03,38.93,38.93,15794999961
300803.SZ,指南针,2020-02-04,35.04,36.73,14903999963
300803.SZ,指南针,2020-02-05,36.68,37.23,15106499963
300803.SZ,指南针,2020-02-06,36.95,37.91,15381899962
300803.SZ,指南针,2020-02-07,37.53,38.63,15673499961
300803.SZ,指南针,2020-02-10,39.03,41.03,16645499959
300803.SZ,指南针,2020-02-11,40.53,39.81,16151399960
300803.SZ,指南针,2020-02-12,39.53,40.26,16333649960
300803.SZ,指南针,2020-02-13,40.03,38.93,15794999961
300803.SZ,指南针,2020-02-14,39.13,41.44,16815599958
300803.SZ,指南针,2020-02-17,42.45,45.59,18496349954
300803.SZ,指南针,2020-02-18,45.59,47.29,19188899953
300803.SZ,指南针,2020-02-19,46.87,52.03,21108599948
300803.SZ,指南针,2020-02-20,52.04,57.23,23218649943
300803.SZ,指南针,2020-02-21,59.89,62.95,25539299937
300803.SZ,指南针,2020-02-24,61.89,69.24,28094849931
300803.SZ,指南针,2020-02-25,67.22,69.16,28062449931
300803.SZ,指南针,2020-02-26,63.96,62.25,25255799938
300803.SZ,指南针,2020-02-27,61.92,59.60,24182549940
300803.SZ,指南针,2020-02-28,55.63,53.64,21764699946
300803.SZ,指南针,2020-03-02,55.00,56.95,23105249943
300803.SZ,指南针,2020-03-03,57.34,58.41,23700599941
300803.SZ,指南针,2020-03-04,58.28,64.15,26029349936
300803.SZ,指南针,2020-03-05,64.88,66.35,26920349934
300803.SZ,指南针,2020-03-06,63.93,59.79,24259499940
300803.SZ,指南针,2020-03-09,55.90,54.62,22161599945
300803.SZ,指南针,2020-03-10,54.86,60.08,24376949940
300803.SZ,指南针,2020-03-11,60.38,58.31,23660099942
300803.SZ,指南针,2020-03-12,57.89,62.69,25433999937
300803.SZ,指南针,2020-03-13,57.89,64.68,26243999935
300803.SZ,指南针,2020-03-16,64.78,58.48,23728949941
300803.SZ,指南针,2020-03-17,60.04,60.30,24466049940
300803.SZ,指南针,2020-03-18,61.14,55.80,22639499944
300803.SZ,指南针,2020-03-19,55.39,57.08,23157899943
300803.SZ,指南针,2020-03-20,57.49,55.25,22416749945
300803.SZ,指南针,2020-03-23,52.33,49.73,20177099950
300803.SZ,指南针,2020-03-24,50.92,50.91,20654999949
300803.SZ,指南针,2020-03-25,52.16,51.61,20938499948
300803.SZ,指南针,2020-03-26,50.91,50.62,20537549949
