代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
601318.SH,中国平安,2010-01-04,22.96,22.30,395824924169
601318.SH,中国平安,2010-01-05,22.36,22.58,400819560436
601318.SH,中国平安,2010-01-06,22.51,22.10,392299298569
601318.SH,中国平安,2010-01-07,22.10,21.69,385027695768
601318.SH,中国平安,2010-01-08,21.69,21.57,382750729235
601318.SH,中国平安,2010-01-11,22.56,21.67,384660443102
601318.SH,中国平安,2010-01-12,21.52,21.88,388259519235
601318.SH,中国平安,2010-01-13,21.40,20.83,369603083767
601318.SH,中国平安,2010-01-14,21.02,21.10,374450818967
601318.SH,中国平安,2010-01-15,21.11,21.14,375185324301
601318.SH,中国平安,2010-01-18,21.01,20.83,369676534300
601318.SH,中国平安,2010-01-19,20.80,20.93,371512797634
601318.SH,中国平安,2010-01-20,20.98,20.26,359613811233
601318.SH,中国平安,2010-01-21,20.32,20.66,366738512967
601318.SH,中国平安,2010-01-22,20.28,20.68,367032315100
601318.SH,中国平安,2010-01-25,20.44,20.59,365416403366
601318.SH,中国平安,2010-01-26,20.60,20.13,357263394166
601318.SH,中国平安,2010-01-27,20.20,19.70,349697989232
601318.SH,中国平安,2010-01-28,19.73,19.36,343675045498
601318.SH,中国平安,2010-01-29,19.33,19.23,341324628431
601318.SH,中国平安,2010-02-01,19.43,19.80,351460802032
601318.SH,中国平安,2010-02-02,19.87,19.64,348522780698
601318.SH,中国平安,2010-02-03,19.76,20.62,366004007633
601318.SH,中国平安,2010-02-04,20.36,20.40,362111129366
601318.SH,中国平安,2010-02-05,19.97,19.89,353076713765
601318.SH,中国平安,2010-02-08,19.88,19.90,353223614832
601318.SH,中国平安,2010-02-09,19.96,20.17,357924448966
601318.SH,中国平安,2010-02-10,20.36,20.70,367399567767
601318.SH,中国平安,2010-02-11,20.68,20.65,366518161367
601318.SH,中国平安,2010-02-12,20.78,20.73,367840270967
601318.SH,中国平安,2010-02-22,20.69,20.31,360495217633
601318.SH,中国平安,2010-02-23,19.82,18.51,328470785096
601318.SH,中国平安,2010-02-24,18.29,18.46,327662829230
601318.SH,中国平安,2010-02-25,18.56,18.71,332143311763
601318.SH,中国平安,2010-02-26,18.64,18.63,330674301097
601318.SH,中国平安,2010-03-01,19.03,19.33,343013990698
601318.SH,中国平安,2010-03-02,19.33,19.28,342132584298
601318.SH,中国平安,2010-03-03,19.30,19.21,340957375764
601318.SH,中国平安,2010-03-04,19.23,18.65,330968103230
601318.SH,中国平安,2010-03-05,18.75,18.83,334126476164
601318.SH,中国平安,2010-03-08,18.87,19.10,339047661897
601318.SH,中国平安,2010-03-09,19.12,19.47,345584759365
601318.SH,中国平安,2010-03-10,19.48,19.55,346980319498
601318.SH,中国平安,2010-03-11,19.55,19.45,345217506698
601318.SH,中国平安,2010-03-12,19.44,19.31,342646738031
601318.SH,中国平安,2010-03-15,19.29,18.88,335007882564
601318.SH,中国平安,2010-03-16,18.87,18.90,335375135230
601318.SH,中国平安,2010-03-17,18.98,20.00,354912977099
601318.SH,中国平安,2010-03-18,19.87,19.87,352562560032
601318.SH,中国平安,2010-03-19,19.89,20.06,355941284566
601318.SH,中国平安,2010-03-22,20.04,20.03,355427130832
601318.SH,中国平安,2010-03-23,20.09,19.73,350138692432
601318.SH,中国平安,2010-03-24,19.83,19.81,351607703099
601318.SH,中国平安,2010-03-25,19.81,19.53,346686517365
601318.SH,中国平安,2010-03-26,19.51,19.96,354325372832
601318.SH,中国平安,2010-03-29,20.15,20.79,369015479500
601318.SH,中国平安,2010-03-30,20.80,21.04,373422511501
601318.SH,中国平安,2010-03-31,20.96,20.86,370190688034
601318.SH,中国平安,2010-04-01,20.86,21.22,376580884434
601318.SH,中国平安,2010-04-02,21.27,21.32,378343697234
601318.SH,中国平安,2010-04-06,21.52,21.08,374083566301
601318.SH,中国平安,2010-04-07,20.97,21.04,373349060967
601318.SH,中国平安,2010-04-08,21.01,20.56,364902249633
601318.SH,中国平安,2010-04-09,20.67,20.98,372394204034
601318.SH,中国平安,2010-04-12,20.98,20.66,366665062433
601318.SH,中国平安,2010-04-13,20.71,21.48,381134817501
601318.SH,中国平安,2010-04-14,21.52,21.61,383558685101
601318.SH,中国平安,2010-04-15,21.52,21.74,385835651635
601318.SH,中国平安,2010-04-16,21.60,21.14,375258774834
601318.SH,中国平安,2010-04-19,20.90,20.37,361450074566
601318.SH,中国平安,2010-04-20,20.61,20.95,371806599767
601318.SH,中国平安,2010-04-21,20.98,21.53,382089674435
601318.SH,中国平安,2010-04-22,21.40,21.43,380253411101
