代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
300261.SZ,雅本化学,2011-09-06,3.06,2.93,2435295000
300261.SZ,雅本化学,2011-09-07,2.99,3.22,2679278000
300261.SZ,雅本化学,2011-09-08,3.30,3.47,2880632000
300261.SZ,雅本化学,2011-09-09,3.39,3.27,2721000000
300261.SZ,雅本化学,2011-09-13,3.17,3.37,2801723000
300261.SZ,雅本化学,2011-09-14,3.37,3.50,2909656000
300261.SZ,雅本化学,2011-09-15,3.47,3.40,2828026000
300261.SZ,雅本化学,2011-09-16,3.34,3.18,2642091000
300261.SZ,雅本化学,2011-09-19,3.11,2.99,2483366000
300261.SZ,雅本化学,2011-09-20,2.94,3.04,2530530000
300261.SZ,雅本化学,2011-09-21,3.00,3.22,2679278000
300261.SZ,雅本化学,2011-09-22,3.16,2.92,2430760000
300261.SZ,雅本化学,2011-09-23,2.82,2.90,2413527000
300261.SZ,雅本化学,2011-09-26,2.84,2.82,2340967000
300261.SZ,雅本化学,2011-09-27,2.85,2.86,2375433000
300261.SZ,雅本化学,2011-09-28,2.87,2.60,2163195000
300261.SZ,雅本化学,2011-09-29,2.56,2.48,2063425000
300261.SZ,雅本化学,2011-09-30,2.48,2.44,2026238000
300261.SZ,雅本化学,2011-10-10,2.46,2.44,2031680000
300261.SZ,雅本化学,2011-10-11,2.51,2.53,2101519000
300261.SZ,雅本化学,2011-10-12,2.44,2.64,2190405000
300261.SZ,雅本化学,2011-10-13,2.64,2.68,2223964000
300261.SZ,雅本化学,2011-10-14,2.66,2.71,2250267000
300261.SZ,雅本化学,2011-10-17,2.72,2.78,2313757000
300261.SZ,雅本化学,2011-10-18,2.77,2.58,2145055000
300261.SZ,雅本化学,2011-10-19,2.60,2.57,2139613000
300261.SZ,雅本化学,2011-10-20,2.55,2.60,2158660000
300261.SZ,雅本化学,2011-10-21,2.55,2.44,2030773000
300261.SZ,雅本化学,2011-10-24,2.46,2.48,2065239000
300261.SZ,雅本化学,2011-10-25,2.43,2.60,2160474000
300261.SZ,雅本化学,2011-10-26,2.56,2.61,2170451000
300261.SZ,雅本化学,2011-10-27,2.59,2.66,2213080000
300261.SZ,雅本化学,2011-10-28,2.70,2.68,2225778000
300261.SZ,雅本化学,2011-10-31,2.67,2.72,2256616000
300261.SZ,雅本化学,2011-11-01,2.66,2.70,2245732000
300261.SZ,雅本化学,2011-11-02,2.64,2.80,2324641000
300261.SZ,雅本化学,2011-11-03,2.79,2.72,2263872000
300261.SZ,雅本化学,2011-11-04,2.72,2.74,2276570000
300261.SZ,雅本化学,2011-11-07,2.70,2.78,2308315000
300261.SZ,雅本化学,2011-11-08,2.78,2.66,2206731000
300261.SZ,雅本化学,2011-11-09,2.66,2.66,2206731000
300261.SZ,雅本化学,2011-11-10,2.69,2.71,2250267000
300261.SZ,雅本化学,2011-11-11,2.67,2.60,2163195000
300261.SZ,雅本化学,2011-11-14,2.63,2.86,2379968000
300261.SZ,雅本化学,2011-11-15,2.91,2.85,2366363000
300261.SZ,雅本化学,2011-11-16,2.84,2.82,2341874000
300261.SZ,雅本化学,2011-11-17,2.84,2.90,2412620000
300261.SZ,雅本化学,2011-11-18,2.84,2.85,2367270000
300261.SZ,雅本化学,2011-11-21,2.83,2.67,2222150000
300261.SZ,雅本化学,2011-11-22,2.64,2.68,2224871000
