代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
600486.SH,扬农化工,2010-01-04,15.10,15.20,5259010925
600486.SH,扬农化工,2010-01-05,15.22,15.54,5376878458
600486.SH,扬农化工,2010-01-06,15.54,15.39,5323904286
600486.SH,扬农化工,2010-01-07,15.40,14.89,5150413873
600486.SH,扬农化工,2010-01-08,14.90,14.95,5170279187
600486.SH,扬农化工,2010-01-11,15.16,15.87,5488124219
600486.SH,扬农化工,2010-01-12,15.89,16.21,5608640460
600486.SH,扬农化工,2010-01-13,15.79,16.30,5639100609
600486.SH,扬农化工,2010-01-14,16.50,17.52,6058920922
600486.SH,扬农化工,2010-01-15,17.44,17.30,5983432727
600486.SH,扬农化工,2010-01-18,17.25,17.99,6221816501
600486.SH,扬农化工,2010-01-19,17.92,18.17,6286709862
600486.SH,扬农化工,2010-01-20,18.18,17.32,5992703208
600486.SH,扬农化工,2010-01-21,17.39,17.31,5988730145
600486.SH,扬农化工,2010-01-22,16.92,16.70,5778157811
600486.SH,扬农化工,2010-01-25,16.46,16.40,5673533821
600486.SH,扬农化工,2010-01-26,16.46,15.84,5477529385
600486.SH,扬农化工,2010-01-27,15.83,15.80,5466934550
600486.SH,扬农化工,2010-01-28,15.80,16.11,5572882894
600486.SH,扬农化工,2010-01-29,16.06,16.07,5556990643
600486.SH,扬农化工,2010-02-01,15.97,15.47,5350391372
600486.SH,扬农化工,2010-02-02,15.58,14.81,5122602432
600486.SH,扬农化工,2010-02-03,14.77,15.16,5244443028
600486.SH,扬农化工,2010-02-04,15.12,14.93,5163657416
600486.SH,扬农化工,2010-02-05,14.59,14.74,5100088409
600486.SH,扬农化工,2010-02-08,14.63,14.86,5139819038
600486.SH,扬农化工,2010-02-09,14.90,15.18,5249740445
600486.SH,扬农化工,2010-02-10,15.28,15.25,5274903177
600486.SH,扬农化工,2010-02-11,15.28,15.58,5390122001
600486.SH,扬农化工,2010-02-12,15.64,15.77,5456339716
600486.SH,扬农化工,2010-02-22,15.87,15.51,5363634915
600486.SH,扬农化工,2010-02-23,15.38,15.43,5335823475
600486.SH,扬农化工,2010-02-24,15.22,16.19,5600694335
600486.SH,扬农化工,2010-02-25,16.20,16.32,5645722381
600486.SH,扬农化工,2010-02-26,16.32,16.52,5714588804
600486.SH,扬农化工,2010-03-01,16.45,16.47,5697372199
600486.SH,扬农化工,2010-03-02,16.46,16.25,5619235295
600486.SH,扬农化工,2010-03-03,16.16,16.34,5651019798
600486.SH,扬农化工,2010-03-04,16.39,15.40,5327877349
600486.SH,扬农化工,2010-03-05,15.43,15.34,5305363326
600486.SH,扬农化工,2010-03-08,15.38,15.43,5337147829
600486.SH,扬农化工,2010-03-09,15.43,15.30,5293444137
600486.SH,扬农化工,2010-03-10,15.31,15.04,5203388045
600486.SH,扬农化工,2010-03-11,15.04,15.48,5355688789
600486.SH,扬农化工,2010-03-12,15.47,15.32,5298741554
600486.SH,扬农化工,2010-03-15,15.16,15.42,5333174766
600486.SH,扬农化工,2010-03-16,15.49,15.37,5317282514
600486.SH,扬农化工,2010-03-17,15.28,15.70,5429852630
600486.SH,扬农化工,2010-03-18,15.72,15.77,5455015362
600486.SH,扬农化工,2010-03-19,15.87,15.81,5468258905
600486.SH,扬农化工,2010-03-22,15.92,15.82,5472231968
600486.SH,扬农化工,2010-03-23,15.93,15.66,5416609087
600486.SH,扬农化工,2010-03-24,15.74,15.42,5333174766
600486.SH,扬农化工,2010-03-25,15.39,15.85,5481502448
600486.SH,扬农化工,2010-03-26,15.87,16.23,5613937878
600486.SH,扬农化工,2010-03-29,16.27,16.30,5637776255
600486.SH,扬农化工,2010-03-30,16.54,16.40,5673533821
600486.SH,扬农化工,2010-03-31,16.39,16.40,5673533821
600486.SH,扬农化工,2010-04-01,16.46,16.40,5673533821
600486.SH,扬农化工,2010-04-02,16.38,16.87,5833780692
600486.SH,扬农化工,2010-04-06,17.04,16.82,5817888440
600486.SH,扬农化工,2010-04-07,16.80,16.53,5718561867
600486.SH,扬农化工,2010-04-08,16.23,16.07,5559639351
600486.SH,扬农化工,2010-04-09,16.05,16.47,5696047844
600486.SH,扬农化工,2010-04-12,16.57,15.56,5380851521
600486.SH,扬农化工,2010-04-13,15.31,14.50,5016654088
600486.SH,扬农化工,2010-04-14,14.43,14.48,5007383608
600486.SH,扬农化工,2010-04-15,14.51,14.19,4906732682
600486.SH,扬农化工,2010-04-16,14.20,14.26,4931895413
600486.SH,扬农化工,2010-04-19,14.24,13.71,4743837103
600486.SH,扬农化工,2010-04-20,13.73,13.41,4639213113
600486.SH,扬农化工,2010-04-21,13.37,13.84,4786216440
600486.SH,扬农化工,2010-04-22,13.82,14.17,4900110910
600486.SH,扬农化工,2010-04-23,14.24,14.28,4938517185
600486.SH,扬农化工,2010-04-26,14.15,14.02,4851109801
600486.SH,扬农化工,2010-04-27,13.99,13.44,4648483593
600486.SH,扬农化工,2010-04-28,13.27,13.09,4526642997
600486.SH,扬农化工,2010-04-29,13.14,12.95,4480290597
600486.SH,扬农化工,2010-04-30,13.02,12.66,4379639670
600486.SH,扬农化工,2010-05-04,12.37,12.59,4354476938
600486.SH,扬农化工,2010-05-05,12.45,12.90,4463073991
600486.SH,扬农化工,2010-05-06,13.09,12.68,4387585796
600486.SH,扬农化工,2010-05-07,12.68,12.68,4387585796
600486.SH,扬农化工,2010-05-10,12.68,12.31,4259123429
600486.SH,扬农化工,2010-05-11,12.46,11.90,4114768810
600486.SH,扬农化工,2010-05-12,11.83,11.70,4047226741
600486.SH,扬农化工,2010-05-13,11.68,11.96,4138607188
600486.SH,扬农化工,2010-05-14,11.91,11.80,4082984307
600486.SH,扬农化工,2010-05-17,11.82,11.07,3828708281
600486.SH,扬农化工,2010-05-18,11.07,11.18,3865790202
600486.SH,扬农化工,2010-05-19,11.10,11.05,3820762156
600486.SH,扬农化工,2010-05-20,10.20,10.88,3737725141
600486.SH,扬农化工,2010-05-21,10.48,10.80,3710178571
600486.SH,扬农化工,2010-05-24,10.88,11.26,3866849685
600486.SH,扬农化工,2010-05-25,11.17,11.27,3872014667
600486.SH,扬农化工,2010-05-26,11.23,11.16,3834138134
600486.SH,扬农化工,2010-05-27,11.08,11.27,3872014667
600486.SH,扬农化工,2010-05-28,11.43,11.41,3918499503
600486.SH,扬农化工,2010-05-31,11.40,10.92,3751498426
600486.SH,扬农化工,2010-06-01,10.79,10.52,3615487239
600486.SH,扬农化工,2010-06-02,10.42,10.52,3615487239
600486.SH,扬农化工,2010-06-03,10.64,10.46,3593105651
600486.SH,扬农化工,2010-06-04,10.22,10.45,3589662330
600486.SH,扬农化工,2010-06-07,10.26,11.14,3827251492
600486.SH,扬农化工,2010-06-08,11.09,11.11,3816921528
600486.SH,扬农化工,2010-06-09,11.18,11.17,3837581455
600486.SH,扬农化工,2010-06-10,11.08,11.01,3782488316
600486.SH,扬农化工,2010-06-11,11.07,10.87,3734281820
600486.SH,扬农化工,2010-06-17,11.00,10.89,3741168462
600486.SH,扬农化工,2010-06-18,10.86,10.55,3624095542
600486.SH,扬农化工,2010-06-21,10.31,10.69,3670580378
600486.SH,扬农化工,2010-06-22,10.68,10.69,3672302038
600486.SH,扬农化工,2010-06-23,10.57,10.43,3584497348
600486.SH,扬农化工,2010-06-24,10.33,10.40,3572445724
600486.SH,扬农化工,2010-06-25,10.32,10.19,3501857640
600486.SH,扬农化工,2010-06-28,10.20,10.12,3476032731
600486.SH,扬农化工,2010-06-29,10.12,9.62,3303866672
600486.SH,扬农化工,2010-06-30,9.57,8.89,3052504226
600486.SH,扬农化工,2010-07-01,8.77,8.74,3002576069
600486.SH,扬农化工,2010-07-02,8.73,8.42,2894111452
600486.SH,扬农化工,2010-07-05,8.35,8.38,2880338167
600486.SH,扬农化工,2010-07-06,8.39,8.58,2945761269
600486.SH,扬农化工,2010-07-07,8.59,8.86,3043895923
600486.SH,扬农化工,2010-07-08,8.92,8.67,2976751160
600486.SH,扬农化工,2010-07-09,8.63,8.85,3040452602
600486.SH,扬农化工,2010-07-12,8.89,9.01,3093824080
600486.SH,扬农化工,2010-07-13,8.90,8.66,2975029500
600486.SH,扬农化工,2010-07-14,8.66,8.63,2962977875
600486.SH,扬农化工,2010-07-15,8.60,8.33,2861399901
600486.SH,扬农化工,2010-07-16,8.32,8.31,2854513258
600486.SH,扬农化工,2010-07-19,8.21,8.63,2964699536
600486.SH,扬农化工,2010-07-20,8.63,9.30,3195402055
600486.SH,扬农化工,2010-07-21,9.32,9.88,3395114683
600486.SH,扬农化工,2010-07-22,9.72,9.86,3388228041
600486.SH,扬农化工,2010-07-23,9.89,9.94,3415774611
600486.SH,扬农化工,2010-07-26,9.95,9.90,3402001326
600486.SH,扬农化工,2010-07-27,9.80,9.74,3346908187
600486.SH,扬农化工,2010-07-28,9.73,10.19,3501857640
600486.SH,扬农化工,2010-07-29,10.21,10.27,3527682549
600486.SH,扬农化工,2010-07-30,10.32,10.15,3488084355
600486.SH,扬农化工,2010-08-02,10.16,10.94,3758385068
600486.SH,扬农化工,2010-08-03,10.84,10.62,3648198790
600486.SH,扬农化工,2010-08-04,10.55,10.56,3629260524
600486.SH,扬农化工,2010-08-05,10.72,10.90,3742890123
600486.SH,扬农化工,2010-08-06,10.82,11.65,4002860872
600486.SH,扬农化工,2010-08-09,11.63,12.11,4159531985
600486.SH,扬农化工,2010-08-10,12.09,11.48,3942602751
600486.SH,扬农化工,2010-08-11,11.43,11.55,3968427660
600486.SH,扬农化工,2010-08-12,11.33,10.96,3763550050
600486.SH,扬农化工,2010-08-13,10.94,11.26,3866849685
600486.SH,扬农化工,2010-08-16,11.27,11.94,4102717186
600486.SH,扬农化工,2010-08-17,11.94,11.93,4099273865
600486.SH,扬农化工,2010-08-18,11.90,11.95,4106160507
600486.SH,扬农化工,2010-08-19,11.76,11.82,4059675671
600486.SH,扬农化工,2010-08-20,11.73,11.38,3908169539
600486.SH,扬农化工,2010-08-23,11.29,11.36,3901282897
600486.SH,扬农化工,2010-08-24,11.53,11.37,3906447879
600486.SH,扬农化工,2010-08-25,11.26,10.94,3758385068
600486.SH,扬农化工,2010-08-26,10.98,11.12,3818643189
600486.SH,扬农化工,2010-08-27,11.07,11.34,3894396255
600486.SH,扬农化工,2010-08-30,11.38,11.72,4025242459
600486.SH,扬农化工,2010-08-31,11.70,11.68,4013190835
600486.SH,扬农化工,2010-09-01,11.68,11.47,3939159430
600486.SH,扬农化工,2010-09-02,11.58,11.68,4011469175
600486.SH,扬农化工,2010-09-03,11.68,11.48,3942602751
600486.SH,扬农化工,2010-09-06,11.48,11.84,4068283974
600486.SH,扬农化工,2010-09-07,11.85,11.75,4037294084
600486.SH,扬农化工,2010-09-08,11.63,11.77,4042459065
600486.SH,扬农化工,2010-09-09,12.28,12.26,4211181803
600486.SH,扬农化工,2010-09-10,12.02,13.49,4632988648
600486.SH,扬农化工,2010-09-13,13.77,13.46,4624380345
600486.SH,扬农化工,2010-09-14,13.41,13.04,4479760855
600486.SH,扬农化工,2010-09-15,13.02,12.79,4393677826
600486.SH,扬农化工,2010-09-16,13.09,12.52,4302429814
600486.SH,扬农化工,2010-09-17,12.63,12.41,4264553281
600486.SH,扬农化工,2010-09-20,12.30,11.98,4114768810
600486.SH,扬农化工,2010-09-21,12.19,12.46,4280048227
600486.SH,扬农化工,2010-09-27,12.46,12.98,4459100928
600486.SH,扬农化工,2010-09-28,12.98,13.07,4488369158
600486.SH,扬农化工,2010-09-29,13.01,12.82,4402286129
600486.SH,扬农化工,2010-09-30,12.75,12.66,4350636311
600486.SH,扬农化工,2010-10-08,12.73,13.08,4491812479
600486.SH,扬农化工,2010-10-11,13.12,13.68,4698411750
600486.SH,扬农化工,2010-10-12,13.73,13.87,4765556513
600486.SH,扬农化工,2010-10-13,13.71,13.52,4643318611
600486.SH,扬农化工,2010-10-14,13.58,13.13,4509029085
600486.SH,扬农化工,2010-10-15,12.94,13.00,4465987570
600486.SH,扬农化工,2010-10-18,12.96,12.91,4433276019
