代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
000403.SZ,双林生物,2013-02-08,11.12,10.75,5268924989
000403.SZ,双林生物,2013-02-18,11.29,11.29,5533325260
000403.SZ,双林生物,2013-02-19,11.29,11.07,5424294220
000403.SZ,双林生物,2013-02-20,11.24,11.63,5696871819
000403.SZ,双林生物,2013-02-21,11.92,11.57,5669614059
000403.SZ,双林生物,2013-02-22,11.40,11.03,5402488012
000403.SZ,双林生物,2013-02-25,11.07,11.01,5397036460
000403.SZ,双林生物,2013-02-26,10.98,11.13,5451551980
000403.SZ,双林生物,2013-02-27,11.13,11.46,5615098539
000403.SZ,双林生物,2013-02-28,11.39,12.03,5895853466
000403.SZ,双林生物,2013-03-01,12.40,12.40,6078480458
000403.SZ,双林生物,2013-03-04,11.80,11.79,5775919323
000403.SZ,双林生物,2013-03-05,11.69,11.84,5803177083
000403.SZ,双林生物,2013-03-06,11.89,12.12,5936740106
000403.SZ,双林生物,2013-03-07,12.28,12.11,5934014330
000403.SZ,双林生物,2013-03-08,11.99,11.55,5658710955
000403.SZ,双林生物,2013-03-11,11.40,11.45,5612372763
000403.SZ,双林生物,2013-03-12,11.48,10.93,5356149820
000403.SZ,双林生物,2013-03-13,10.87,10.62,5206232141
000403.SZ,双林生物,2013-03-14,10.58,10.10,4947283422
000403.SZ,双林生物,2013-03-15,10.00,10.21,5001798942
000403.SZ,双林生物,2013-03-18,10.09,10.00,4900945230
000403.SZ,双林生物,2013-03-19,10.03,9.92,4862784366
000403.SZ,双林生物,2013-03-20,9.97,10.39,5091749549
000403.SZ,双林生物,2013-03-21,10.32,10.37,5083572221
000403.SZ,双林生物,2013-03-22,10.32,10.57,5178974381
000403.SZ,双林生物,2013-03-25,10.57,10.45,5121733085
000403.SZ,双林生物,2013-03-26,10.39,9.97,4887316350
000403.SZ,双林生物,2013-03-27,9.98,10.12,4958186526
000403.SZ,双林生物,2013-03-28,10.07,10.18,4988170062
000403.SZ,双林生物,2013-03-29,10.18,10.29,5039959806
000403.SZ,双林生物,2013-04-01,10.43,10.07,4933654542
000403.SZ,双林生物,2013-04-02,9.90,9.57,4688334703
000403.SZ,双林生物,2013-04-03,9.46,9.51,4661076943
000403.SZ,双林生物,2013-04-08,9.46,9.53,4671980047
000403.SZ,双林生物,2013-04-09,9.56,9.67,4740124447
000403.SZ,双林生物,2013-04-10,9.62,9.46,4633819183
000403.SZ,双林生物,2013-04-11,9.45,9.55,4680157375
000403.SZ,双林生物,2013-04-12,9.47,9.32,4565674783
000403.SZ,双林生物,2013-04-15,9.27,8.99,4404854000
000403.SZ,双林生物,2013-04-16,8.84,8.97,4396676672
000403.SZ,双林生物,2013-04-17,8.92,9.23,4524788143
000403.SZ,双林生物,2013-04-18,9.21,9.46,4636544959
000403.SZ,双林生物,2013-04-19,9.52,9.62,4715592463
000403.SZ,双林生物,2013-04-22,9.68,10.11,4952734974
000403.SZ,双林生物,2013-04-23,10.06,9.78,4794639966
000403.SZ,双林生物,2013-04-24,9.68,10.26,5026330926
000403.SZ,双林生物,2013-04-25,10.26,10.26,5026330926
000403.SZ,双林生物,2013-04-26,10.26,10.26,5026330926
000403.SZ,双林生物,2013-05-02,10.26,10.26,5026330926
000403.SZ,双林生物,2013-05-03,10.26,10.26,5026330926
000403.SZ,双林生物,2013-05-06,10.01,9.75,4775559534
000403.SZ,双林生物,2013-05-07,9.63,9.78,4794639966
000403.SZ,双林生物,2013-05-08,9.78,9.78,4794639966
000403.SZ,双林生物,2013-05-09,9.78,9.78,4794639966
000403.SZ,双林生物,2013-05-10,9.78,9.78,4794639966
000403.SZ,双林生物,2013-05-13,9.78,9.78,4794639966
000403.SZ,双林生物,2013-05-14,9.78,9.78,4794639966
000403.SZ,双林生物,2013-05-15,9.78,9.78,4794639966
000403.SZ,双林生物,2013-05-16,9.78,9.78,4794639966
000403.SZ,双林生物,2013-05-17,9.78,9.78,4794639966
000403.SZ,双林生物,2013-05-20,9.78,9.78,4794639966
000403.SZ,双林生物,2013-05-21,9.78,9.78,4794639966
000403.SZ,双林生物,2013-05-22,9.78,9.78,4794639966
000403.SZ,双林生物,2013-05-23,9.78,9.78,4794639966
000403.SZ,双林生物,2013-05-24,9.78,9.78,4794639966
000403.SZ,双林生物,2013-05-27,9.78,9.78,4794639966
000403.SZ,双林生物,2013-05-28,9.78,9.78,4794639966
000403.SZ,双林生物,2013-05-29,9.78,9.78,4794639966
000403.SZ,双林生物,2013-05-30,9.30,9.30,4554771679
000403.SZ,双林生物,2013-05-31,8.96,8.83,4325806496
000403.SZ,双林生物,2013-06-03,8.84,8.86,4339435376
000403.SZ,双林生物,2013-06-04,8.82,8.45,4140453729
000403.SZ,双林生物,2013-06-05,8.46,8.56,4194969249
000403.SZ,双林生物,2013-06-06,8.50,8.42,4126824849
000403.SZ,双林生物,2013-06-07,8.61,8.47,4151356833
000403.SZ,双林生物,2013-06-13,8.23,8.29,4061406225
000403.SZ,双林生物,2013-06-14,8.32,8.40,4115921745
000403.SZ,双林生物,2013-06-17,8.38,8.82,4323080720
000403.SZ,双林生物,2013-06-18,8.83,8.72,4274016752
000403.SZ,双林生物,2013-06-19,8.68,8.74,4284919856
000403.SZ,双林生物,2013-06-20,8.73,8.31,4069583553
000403.SZ,双林生物,2013-06-21,8.18,8.22,4028696913
000403.SZ,双林生物,2013-06-24,8.26,7.81,3826989490
000403.SZ,双林生物,2013-06-25,7.80,7.42,3636185171
000403.SZ,双林生物,2013-06-26,7.45,7.72,3783377074
