代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
688336.SH,三生国健,2020-07-22,44.00,54.10,33337037443
688336.SH,三生国健,2020-07-23,52.96,53.95,33244605731
688336.SH,三生国健,2020-07-24,52.51,50.10,30872191791
688336.SH,三生国健,2020-07-27,50.14,45.60,28099240433
688336.SH,三生国健,2020-07-28,46.17,46.20,28468967281
688336.SH,三生国健,2020-07-29,45.88,46.61,28721613960
688336.SH,三生国健,2020-07-30,47.10,46.67,28758586645
688336.SH,三生国健,2020-07-31,45.75,47.30,29146799835
688336.SH,三生国健,2020-08-03,47.35,48.25,29732200677
688336.SH,三生国健,2020-08-04,48.30,47.70,29393284400
688336.SH,三生国健,2020-08-05,46.90,46.35,28561398993
688336.SH,三生国健,2020-08-06,46.18,45.16,27828107411
688336.SH,三生国健,2020-08-07,45.29,43.20,26620333042
688336.SH,三生国健,2020-08-10,43.13,43.60,26866817607
688336.SH,三生国健,2020-08-11,43.60,42.11,25948662601
688336.SH,三生国健,2020-08-12,41.88,38.83,23927489167
688336.SH,三生国健,2020-08-13,39.15,38.35,23631707689
688336.SH,三生国健,2020-08-14,38.53,38.81,23915164939
688336.SH,三生国健,2020-08-17,38.70,39.04,24056893564
688336.SH,三生国健,2020-08-18,38.80,38.49,23717977286
688336.SH,三生国健,2020-08-19,38.25,36.28,22356150064
688336.SH,三生国健,2020-08-20,35.99,35.75,22029558015
688336.SH,三生国健,2020-08-21,35.96,35.82,22072692814
688336.SH,三生国健,2020-08-24,35.82,36.75,22645769428
688336.SH,三生国健,2020-08-25,36.76,36.75,22645769428
688336.SH,三生国健,2020-08-26,36.75,35.74,22023395901
688336.SH,三生国健,2020-08-27,35.68,35.49,21869343047
688336.SH,三生国健,2020-08-28,35.35,35.93,22140476069
688336.SH,三生国健,2020-08-31,36.04,35.75,22029558015
688336.SH,三生国健,2020-09-01,35.78,35.70,21998747444
688336.SH,三生国健,2020-09-02,35.75,35.39,21807721906
688336.SH,三生国健,2020-09-03,35.11,35.89,22115827613
688336.SH,三生国健,2020-09-04,35.22,35.27,21733776537
688336.SH,三生国健,2020-09-07,35.10,33.20,20458218912
688336.SH,三生国健,2020-09-08,33.50,33.13,20415084113
688336.SH,三生国健,2020-09-09,32.73,31.39,19342876254
688336.SH,三生国健,2020-09-10,31.74,30.88,19028608433
688336.SH,三生国健,2020-09-11,30.82,32.67,20131626863
688336.SH,三生国健,2020-09-14,32.85,32.62,20100816292
688336.SH,三生国健,2020-09-15,32.67,32.50,20026870922
688336.SH,三生国健,2020-09-16,32.51,32.19,19835845384
688336.SH,三生国健,2020-09-17,32.16,33.57,20686217134
688336.SH,三生国健,2020-09-18,33.56,33.27,20501353711
688336.SH,三生国健,2020-09-21,33.30,32.29,19897466526
688336.SH,三生国健,2020-09-22,32.18,31.99,19712603102
688336.SH,三生国健,2020-09-23,32.48,33.02,20347300857
688336.SH,三生国健,2020-09-24,32.62,32.05,19749575787
688336.SH,三生国健,2020-09-25,32.25,31.50,19410659510
688336.SH,三生国健,2020-09-28,31.58,30.99,19096391689
688336.SH,三生国健,2020-09-29,31.02,30.83,18997797863
688336.SH,三生国健,2020-09-30,30.75,30.90,19040932662
688336.SH,三生国健,2020-10-09,31.45,31.58,19459956423
688336.SH,三生国健,2020-10-12,31.61,32.75,20180923776
688336.SH,三生国健,2020-10-13,32.68,32.92,20285679716
688336.SH,三生国健,2020-10-14,32.93,32.36,19940601325
688336.SH,三生国健,2020-10-15,32.53,31.95,19687954645
688336.SH,三生国健,2020-10-16,31.95,31.80,19595522933
688336.SH,三生国健,2020-10-19,31.88,30.93,19059419004
688336.SH,三生国健,2020-10-20,30.80,30.91,19047094776
688336.SH,三生国健,2020-10-21,30.92,30.70,18917690379
688336.SH,三生国健,2020-10-22,30.34,30.65,18886879808
688336.SH,三生国健,2020-10-23,31.20,29.48,18165912455
688336.SH,三生国健,2020-10-26,29.26,28.80,17746888694
688336.SH,三生国健,2020-10-27,28.91,29.23,18011859602
688336.SH,三生国健,2020-10-28,29.01,28.89,17802347722
688336.SH,三生国健,2020-10-29,28.60,28.48,17549701042
688336.SH,三生国健,2020-10-30,28.48,27.35,16853382146
688336.SH,三生国健,2020-11-02,27.14,26.40,16267981303
688336.SH,三生国健,2020-11-03,26.57,27.47,16927327515
688336.SH,三生国健,2020-11-04,27.67,27.70,17069056140
688336.SH,三生国健,2020-11-05,28.31,27.84,17155325738
688336.SH,三生国健,2020-11-06,27.90,27.10,16699329292
688336.SH,三生国健,2020-11-09,27.36,28.03,17272405906
688336.SH,三生国健,2020-11-10,28.05,27.82,17143001510
688336.SH,三生国健,2020-11-11,27.84,27.80,17130677281
688336.SH,三生国健,2020-11-12,27.79,27.53,16964300200
688336.SH,三生国健,2020-11-13,27.65,27.23,16779436776
688336.SH,三生国健,2020-11-16,27.48,27.46,16921165401
688336.SH,三生国健,2020-11-17,27.28,27.00,16637708151
688336.SH,三生国健,2020-11-18,27.11,27.21,16767112548
688336.SH,三生国健,2020-11-19,27.15,27.20,16760950434
688336.SH,三生国健,2020-11-20,27.12,27.39,16878030602
688336.SH,三生国健,2020-11-23,27.48,27.70,17069056140
688336.SH,三生国健,2020-11-24,27.70,27.54,16970462314
688336.SH,三生国健,2020-11-25,27.54,27.17,16742464091
688336.SH,三生国健,2020-11-26,27.03,26.84,16539114325
688336.SH,三生国健,2020-11-27,26.98,26.60,16391223586
688336.SH,三生国健,2020-11-30,26.65,26.68,16440520499
688336.SH,三生国健,2020-12-01,26.68,26.92,16588411238
688336.SH,三生国健,2020-12-02,26.90,27.03,16656194493
688336.SH,三生国健,2020-12-03,26.91,27.11,16705491406
688336.SH,三生国健,2020-12-04,27.11,26.90,16576087010
688336.SH,三生国健,2020-12-07,26.87,26.54,16354250901
688336.SH,三生国健,2020-12-08,26.50,26.43,16286467646
688336.SH,三生国健,2020-12-09,26.44,25.63,15793498515
688336.SH,三生国健,2020-12-10,25.53,25.45,15682580461
688336.SH,三生国健,2020-12-11,25.32,24.98,15392961097
688336.SH,三生国健,2020-12-14,25.88,25.18,15516203379
688336.SH,三生国健,2020-12-15,25.24,25.60,15775012173
688336.SH,三生国健,2020-12-16,26.06,25.30,15590148749
688336.SH,三生国健,2020-12-17,25.30,25.44,15676418347
688336.SH,三生国健,2020-12-18,25.60,25.12,15479230695
688336.SH,三生国健,2020-12-21,25.13,25.16,15503879151
688336.SH,三生国健,2020-12-22,25.12,25.07,15448420124
688336.SH,三生国健,2020-12-23,25.17,24.58,15146476532
688336.SH,三生国健,2020-12-24,24.42,23.48,14468643977
688336.SH,三生国健,2020-12-25,23.96,23.59,14536427233
688336.SH,三生国健,2020-12-28,23.41,23.56,14517940890
688336.SH,三生国健,2020-12-29,24.18,24.23,14930802537
688336.SH,三生国健,2020-12-30,24.30,24.15,14881505624
688336.SH,三生国健,2020-12-31,24.18,24.65,15189611330

数据来源: Wind
