代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
000150.SZ,宜华健康,2010-01-04,4.00,3.94,2530440000
000150.SZ,宜华健康,2010-01-05,3.93,3.90,2504520000
000150.SZ,宜华健康,2010-01-06,3.88,3.89,2501280000
000150.SZ,宜华健康,2010-01-07,3.89,3.85,2475360000
000150.SZ,宜华健康,2010-01-08,3.84,3.93,2527200000
000150.SZ,宜华健康,2010-01-11,3.99,3.86,2478600000
000150.SZ,宜华健康,2010-01-12,3.85,3.97,2549880000
000150.SZ,宜华健康,2010-01-13,3.97,3.97,2549880000
000150.SZ,宜华健康,2010-01-14,3.97,3.97,2549880000
000150.SZ,宜华健康,2010-01-15,3.97,3.97,2549880000
000150.SZ,宜华健康,2010-01-18,3.97,3.97,2549880000
000150.SZ,宜华健康,2010-01-19,3.97,3.97,2549880000
000150.SZ,宜华健康,2010-01-20,3.97,3.97,2549880000
000150.SZ,宜华健康,2010-01-21,3.97,3.97,2549880000
000150.SZ,宜华健康,2010-01-22,3.97,3.97,2549880000
000150.SZ,宜华健康,2010-01-25,3.97,3.97,2549880000
000150.SZ,宜华健康,2010-01-26,3.97,3.97,2549880000
000150.SZ,宜华健康,2010-01-27,3.97,3.97,2549880000
000150.SZ,宜华健康,2010-01-28,3.97,3.97,2549880000
000150.SZ,宜华健康,2010-01-29,3.97,3.97,2549880000
000150.SZ,宜华健康,2010-02-01,3.97,3.97,2549880000
000150.SZ,宜华健康,2010-02-02,3.97,3.97,2549880000
000150.SZ,宜华健康,2010-02-03,3.97,3.97,2549880000
000150.SZ,宜华健康,2010-02-04,3.97,3.97,2549880000
000150.SZ,宜华健康,2010-02-05,3.97,3.97,2549880000
000150.SZ,宜华健康,2010-02-08,3.97,3.97,2549880000
000150.SZ,宜华健康,2010-02-09,3.97,3.97,2549880000
000150.SZ,宜华健康,2010-02-10,3.97,3.97,2549880000
000150.SZ,宜华健康,2010-02-11,3.97,3.97,2549880000
000150.SZ,宜华健康,2010-02-12,3.93,3.79,2433240000
000150.SZ,宜华健康,2010-02-22,3.74,3.69,2371680000
000150.SZ,宜华健康,2010-02-23,3.66,3.72,2391120000
000150.SZ,宜华健康,2010-02-24,3.68,3.80,2439720000
000150.SZ,宜华健康,2010-02-25,3.80,3.96,2546640000
