代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
600896.SH,览海医疗,2010-01-04,8.91,8.79,5156270907
600896.SH,览海医疗,2010-01-05,8.86,9.18,5388797216
600896.SH,览海医疗,2010-01-06,9.18,9.04,5307413007
600896.SH,览海医疗,2010-01-07,8.99,9.40,5516686686
600896.SH,览海医疗,2010-01-08,9.31,9.59,5627136683
600896.SH,览海医疗,2010-01-11,9.90,9.58,5621323525
600896.SH,览海医疗,2010-01-12,9.51,9.64,5656202471
600896.SH,览海医疗,2010-01-13,9.41,9.15,5371357743
600896.SH,览海医疗,2010-01-14,9.20,9.26,5435302478
600896.SH,览海医疗,2010-01-15,9.26,9.25,5429489320
600896.SH,览海医疗,2010-01-18,9.27,9.71,5696894575
600896.SH,览海医疗,2010-01-19,9.65,9.75,5720147206
600896.SH,览海医疗,2010-01-20,9.77,9.60,5632949840
600896.SH,览海医疗,2010-01-21,9.59,9.41,5522499844
600896.SH,览海医疗,2010-01-22,9.25,9.13,5359731427
600896.SH,览海医疗,2010-01-25,9.09,9.01,5289973534
600896.SH,览海医疗,2010-01-26,9.05,8.61,5051634067
600896.SH,览海医疗,2010-01-27,8.60,8.46,4964436701
600896.SH,览海医疗,2010-01-28,8.49,8.80,5162084064
600896.SH,览海医疗,2010-01-29,8.68,8.81,5167897222
600896.SH,览海医疗,2010-02-01,8.92,8.96,5260907746
600896.SH,览海医疗,2010-02-02,8.95,8.83,5179523537
600896.SH,览海医疗,2010-02-03,8.85,9.35,5487620897
600896.SH,览海医疗,2010-02-04,9.30,10.08,5917794569
600896.SH,览海医疗,2010-02-05,10.08,10.08,5917794569
600896.SH,览海医疗,2010-02-08,9.41,9.77,5731773522
600896.SH,览海医疗,2010-02-09,9.49,9.13,5359731427
600896.SH,览海医疗,2010-02-10,9.21,9.12,5353918269
600896.SH,览海医疗,2010-02-11,9.16,9.06,5319039323
600896.SH,览海医疗,2010-02-12,9.12,9.19,5394610373
600896.SH,览海医疗,2010-02-22,9.18,8.98,5272534061
600896.SH,览海医疗,2010-02-23,8.95,8.90,5220215642
600896.SH,览海医疗,2010-02-24,8.87,9.05,5313226165
600896.SH,览海医疗,2010-02-25,9.10,9.51,5580631421
600896.SH,览海医疗,2010-02-26,9.45,9.37,5499247213
600896.SH,览海医疗,2010-03-01,9.37,9.55,5603884052
600896.SH,览海医疗,2010-03-02,9.61,9.52,5586444579
600896.SH,览海医疗,2010-03-03,9.47,9.55,5603884052
600896.SH,览海医疗,2010-03-04,9.57,9.15,5371357743
600896.SH,览海医疗,2010-03-05,9.18,9.21,5406236689
600896.SH,览海医疗,2010-03-08,9.24,9.25,5429489320
600896.SH,览海医疗,2010-03-09,9.26,9.12,5353918269
600896.SH,览海医疗,2010-03-10,9.11,9.06,5319039323
600896.SH,览海医疗,2010-03-11,9.02,9.01,5289973534
600896.SH,览海医疗,2010-03-12,9.02,8.81,5167897222
600896.SH,览海医疗,2010-03-15,8.80,8.83,5179523537
600896.SH,览海医疗,2010-03-16,8.87,9.00,5284160377
600896.SH,览海医疗,2010-03-17,9.00,9.08,5330665638
600896.SH,览海医疗,2010-03-18,9.06,9.00,5284160377
600896.SH,览海医疗,2010-03-19,9.01,9.12,5353918269
600896.SH,览海医疗,2010-03-22,9.15,9.06,5319039323
600896.SH,览海医疗,2010-03-23,9.08,8.89,5214402484
600896.SH,览海医疗,2010-03-24,8.91,8.93,5237655115
600896.SH,览海医疗,2010-03-25,8.92,8.65,5074886698
600896.SH,览海医疗,2010-03-26,8.65,8.77,5144644591
600896.SH,览海医疗,2010-03-29,8.77,8.87,5202776168
600896.SH,览海医疗,2010-03-30,8.84,8.82,5173710380
600896.SH,览海医疗,2010-03-31,8.83,8.72,5115578802
600896.SH,览海医疗,2010-04-01,8.73,8.82,5173710380
600896.SH,览海医疗,2010-04-02,8.80,8.84,5185336695
600896.SH,览海医疗,2010-04-06,8.87,8.90,5220215642
600896.SH,览海医疗,2010-04-07,8.85,8.90,5220215642
600896.SH,览海医疗,2010-04-08,8.92,8.82,5173710380
600896.SH,览海医疗,2010-04-09,8.83,8.84,5185336695
600896.SH,览海医疗,2010-04-12,8.84,8.68,5092326171
600896.SH,览海医疗,2010-04-13,8.68,8.62,5057447225
600896.SH,览海医疗,2010-04-14,8.58,8.80,5162084064
600896.SH,览海医疗,2010-04-15,8.80,8.64,5069073541
600896.SH,览海医疗,2010-04-16,8.66,8.53,5005128806
600896.SH,览海医疗,2010-04-19,8.42,7.99,4691218288
600896.SH,览海医疗,2010-04-20,7.99,7.87,4615647238
600896.SH,览海医疗,2010-04-21,7.85,8.01,4702844604
600896.SH,览海医疗,2010-04-22,8.02,7.86,4609834080
600896.SH,览海医疗,2010-04-23,7.86,7.83,4592394607
600896.SH,览海医疗,2010-04-26,7.83,7.83,4592394607
600896.SH,览海医疗,2010-04-27,7.73,7.45,4371494613
600896.SH,览海医疗,2010-04-28,7.40,7.50,4400560402
600896.SH,览海医疗,2010-04-29,7.52,7.34,4307549878
600896.SH,览海医疗,2010-04-30,7.37,7.21,4231978827
600896.SH,览海医疗,2010-05-04,7.13,7.11,4173847250
600896.SH,览海医疗,2010-05-05,7.00,7.22,4237791985
600896.SH,览海医疗,2010-05-06,7.17,6.87,4034331465
600896.SH,览海医疗,2010-05-07,6.67,6.70,3929694625
