代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
603882.SH,金域医学,2017-09-08,9.90,9.90,4569688078
603882.SH,金域医学,2017-09-11,10.90,10.90,5027572655
603882.SH,金域医学,2017-09-12,11.99,11.99,5531245690
603882.SH,金域医学,2017-09-13,13.19,13.19,6085286028
603882.SH,金域医学,2017-09-14,14.51,14.51,6694272516
603882.SH,金域医学,2017-09-15,15.96,15.96,7362783998
603882.SH,金域医学,2017-09-18,17.56,17.56,8099978167
603882.SH,金域医学,2017-09-19,19.31,19.31,8910433868
603882.SH,金域医学,2017-09-20,21.25,21.25,9803308794
603882.SH,金域医学,2017-09-21,23.37,23.37,10783181788
603882.SH,金域医学,2017-09-22,25.71,25.71,11863789390
603882.SH,金域医学,2017-09-25,28.28,28.28,13049710444
603882.SH,金域医学,2017-09-26,31.11,31.11,14354681489
603882.SH,金域医学,2017-09-27,34.23,34.23,15792439061
603882.SH,金域医学,2017-09-28,37.65,37.65,17372140851
603882.SH,金域医学,2017-09-29,41.41,41.41,19107523398
603882.SH,金域医学,2017-10-09,43.46,39.21,18091019637
603882.SH,金域医学,2017-10-10,39.33,43.13,19899663716
603882.SH,金域医学,2017-10-11,46.64,41.84,19304413766
603882.SH,金域医学,2017-10-12,40.19,39.14,18058967717
603882.SH,金域医学,2017-10-13,38.31,38.53,17779658125
603882.SH,金域医学,2017-10-16,37.67,36.31,16753996672
603882.SH,金域医学,2017-10-17,36.60,37.08,17106567797
603882.SH,金域医学,2017-10-18,36.77,37.85,17463717767
603882.SH,金域医学,2017-10-19,37.91,39.15,18063546563
603882.SH,金域医学,2017-10-20,38.32,37.34,17230196633
603882.SH,金域医学,2017-10-23,37.11,37.71,17399613926
603882.SH,金域医学,2017-10-24,37.34,36.63,16900519737
603882.SH,金域医学,2017-10-25,36.66,37.23,17175250483
603882.SH,金域医学,2017-10-26,37.50,36.91,17028727419
603882.SH,金域医学,2017-10-27,36.84,34.99,16145010185
603882.SH,金域医学,2017-10-30,33.89,33.00,15224662185
603882.SH,金域医学,2017-10-31,32.90,34.24,15797017906
603882.SH,金域医学,2017-11-01,34.34,34.79,16053433270
603882.SH,金域医学,2017-11-02,34.93,36.09,16653262065
603882.SH,金域医学,2017-11-03,35.73,35.31,16291533250
603882.SH,金域医学,2017-11-06,35.39,37.67,17381298543
603882.SH,金域医学,2017-11-07,37.68,38.10,17578188911
603882.SH,金域医学,2017-11-08,38.01,38.22,17633135060
603882.SH,金域医学,2017-11-09,37.74,38.45,17738448513
603882.SH,金域医学,2017-11-10,37.96,37.62,17358404314
603882.SH,金域医学,2017-11-13,37.95,38.84,17921602344
603882.SH,金域医学,2017-11-14,38.95,40.09,18498536911
603882.SH,金域医学,2017-11-15,39.70,39.06,18022336951
603882.SH,金域医学,2017-11-16,38.70,39.27,18118492712
603882.SH,金域医学,2017-11-17,38.91,35.43,16346479399
603882.SH,金域医学,2017-11-20,35.43,34.86,16085485190
603882.SH,金域医学,2017-11-21,35.00,34.93,16117537110
603882.SH,金域医学,2017-11-22,35.13,35.04,16167904414
603882.SH,金域医学,2017-11-23,34.63,32.55,15018614126
603882.SH,金域医学,2017-11-24,32.33,32.46,14977404514
603882.SH,金域医学,2017-11-27,31.84,31.69,14620254544
603882.SH,金域医学,2017-11-28,31.97,32.16,14840039141
603882.SH,金域医学,2017-11-29,32.13,30.65,14139475738
603882.SH,金域医学,2017-11-30,30.70,30.16,13915112295
603882.SH,金域医学,2017-12-01,30.02,30.32,13988373827
603882.SH,金域医学,2017-12-04,30.55,28.45,13127550823
603882.SH,金域医学,2017-12-05,28.18,27.30,12596404713
603882.SH,金域医学,2017-12-06,27.25,28.17,12999343141
603882.SH,金域医学,2017-12-07,27.97,28.16,12994764295
603882.SH,金域医学,2017-12-08,28.38,29.84,13768589230
603882.SH,金域医学,2017-12-11,29.89,30.48,14061635360
603882.SH,金域医学,2017-12-12,30.45,29.47,13599171937
603882.SH,金域医学,2017-12-13,29.10,29.76,13731958464
603882.SH,金域医学,2017-12-14,29.67,29.90,13796062305
603882.SH,金域医学,2017-12-15,29.93,29.38,13553383479
603882.SH,金域医学,2017-12-18,29.07,28.79,13283231579
603882.SH,金域医学,2017-12-19,28.85,29.16,13452648872
603882.SH,金域医学,2017-12-20,29.28,28.54,13168760435
603882.SH,金域医学,2017-12-21,28.58,28.93,13347335420
603882.SH,金域医学,2017-12-22,28.88,29.77,13736537310
603882.SH,金域医学,2017-12-25,29.64,31.94,14734725688
603882.SH,金域医学,2017-12-26,31.56,32.58,15032350663
603882.SH,金域医学,2017-12-27,32.50,31.84,14688937230
603882.SH,金域医学,2017-12-28,31.61,31.96,14743883379
603882.SH,金域医学,2017-12-29,32.22,31.39,14482889171
603882.SH,金域医学,2018-01-02,31.63,32.17,14844617986
603882.SH,金域医学,2018-01-03,32.17,32.13,14826302603
603882.SH,金域医学,2018-01-04,31.91,31.44,14505783399
603882.SH,金域医学,2018-01-05,31.57,32.50,14995719897
603882.SH,金域医学,2018-01-08,32.25,32.14,14830881449
603882.SH,金域医学,2018-01-09,32.50,33.70,15549760235
603882.SH,金域医学,2018-01-10,33.11,32.09,14807987220
603882.SH,金域医学,2018-01-11,31.76,32.38,14940773748
603882.SH,金域医学,2018-01-12,32.14,31.75,14647727618
603882.SH,金域医学,2018-01-15,31.81,29.80,13750273847
603882.SH,金域医学,2018-01-16,29.87,30.03,13855587300
603882.SH,金域医学,2018-01-17,30.10,29.80,13750273847
603882.SH,金域医学,2018-01-18,29.82,29.66,13686170007
603882.SH,金域医学,2018-01-19,29.49,29.43,13580856554
603882.SH,金域医学,2018-01-22,29.08,28.97,13365650803
603882.SH,金域医学,2018-01-23,29.32,29.81,13754852693
603882.SH,金域医学,2018-01-24,29.51,29.96,13823535380
603882.SH,金域医学,2018-01-25,29.96,29.73,13718221927
603882.SH,金域医学,2018-01-26,30.02,29.16,13452648872
603882.SH,金域医学,2018-01-29,29.17,28.71,13246600813
603882.SH,金域医学,2018-01-30,28.68,28.83,13301546962
603882.SH,金域医学,2018-01-31,28.85,27.72,12788716236
603882.SH,金域医学,2018-02-01,27.70,27.07,12491091261
603882.SH,金域医学,2018-02-02,26.80,26.66,12298779738
603882.SH,金域医学,2018-02-05,26.30,26.35,12156835519
603882.SH,金域医学,2018-02-06,25.80,23.72,10943441390
603882.SH,金域医学,2018-02-07,24.46,24.42,11268539440
603882.SH,金域医学,2018-02-08,24.42,24.72,11405904813
603882.SH,金域医学,2018-02-09,24.02,23.68,10925126007
603882.SH,金域医学,2018-02-12,23.87,24.34,11231908674
603882.SH,金域医学,2018-02-13,24.43,24.25,11190699062
603882.SH,金域医学,2018-02-14,24.59,24.28,11204435599
603882.SH,金域医学,2018-02-22,24.41,24.77,11428799042
603882.SH,金域医学,2018-02-23,24.82,25.58,11804264395
603882.SH,金域医学,2018-02-26,25.81,26.52,12234675897
603882.SH,金域医学,2018-02-27,26.55,26.43,12193466286
603882.SH,金域医学,2018-02-28,26.00,26.34,12152256674
603882.SH,金域医学,2018-03-01,26.23,27.17,12536879718
603882.SH,金域医学,2018-03-02,27.08,26.61,12275885509
603882.SH,金域医学,2018-03-05,26.89,27.03,12472775877
603882.SH,金域医学,2018-03-06,26.96,27.61,12738348932
603882.SH,金域医学,2018-03-07,27.68,27.24,12568931639
603882.SH,金域医学,2018-03-08,27.10,28.03,12930660454
603882.SH,金域医学,2018-03-09,28.03,28.33,13072604673
603882.SH,金域医学,2018-03-12,28.49,29.79,13745695002
603882.SH,金域医学,2018-03-13,29.68,29.15,13448070026
603882.SH,金域医学,2018-03-14,28.97,29.33,13530489250
603882.SH,金域医学,2018-03-15,29.12,28.19,13008500833
603882.SH,金域医学,2018-03-16,28.19,28.16,12994764295
603882.SH,金域医学,2018-03-19,28.13,28.61,13200812355
603882.SH,金域医学,2018-03-20,28.28,29.73,13718221927
603882.SH,金域医学,2018-03-21,29.73,29.01,13383966186
603882.SH,金域医学,2018-03-22,29.21,29.45,13590014245
603882.SH,金域医学,2018-03-23,28.73,28.38,13095498902
603882.SH,金域医学,2018-03-26,28.26,29.74,13722800773
603882.SH,金域医学,2018-03-27,29.90,30.55,14093687280
603882.SH,金域医学,2018-03-28,30.09,30.83,14226473807
603882.SH,金域医学,2018-03-29,30.76,30.34,13997531519
603882.SH,金域医学,2018-03-30,30.49,30.65,14139475738
603882.SH,金域医学,2018-04-02,30.70,30.43,14038741131
603882.SH,金域医学,2018-04-03,30.07,30.11,13892218066
603882.SH,金域医学,2018-04-04,30.37,30.44,14043319977
603882.SH,金域医学,2018-04-09,30.42,31.07,14336366106
603882.SH,金域医学,2018-04-10,31.76,31.43,14501204554
603882.SH,金域医学,2018-04-11,31.16,31.02,14313471877
603882.SH,金域医学,2018-04-12,31.01,30.60,14116581509
603882.SH,金域医学,2018-04-13,31.36,30.80,14212737270
603882.SH,金域医学,2018-04-16,31.96,31.33,14455416096
603882.SH,金域医学,2018-04-17,30.86,29.60,13658696932
603882.SH,金域医学,2018-04-18,29.68,29.60,13658696932
603882.SH,金域医学,2018-04-19,29.38,29.67,13690748852
603882.SH,金域医学,2018-04-20,28.43,27.39,12637614325
603882.SH,金域医学,2018-04-23,27.36,27.56,12715454703
603882.SH,金域医学,2018-04-24,27.39,28.00,12916923917
603882.SH,金域医学,2018-04-25,27.70,28.62,13205391201
603882.SH,金域医学,2018-04-26,28.57,28.76,13269495041
603882.SH,金域医学,2018-04-27,28.81,29.73,13718221927
603882.SH,金域医学,2018-05-02,29.79,29.30,13516752713
603882.SH,金域医学,2018-05-03,29.11,29.11,13429754643
603882.SH,金域医学,2018-05-04,29.12,32.01,14771356454
603882.SH,金域医学,2018-05-07,33.21,32.02,14775935300
603882.SH,金域医学,2018-05-08,31.76,31.66,14606518006
603882.SH,金域医学,2018-05-09,31.35,31.99,14757619917
603882.SH,金域医学,2018-05-10,31.77,31.59,14574466086
603882.SH,金域医学,2018-05-11,31.56,31.35,14464573787
603882.SH,金域医学,2018-05-14,31.04,32.11,14817144912
603882.SH,金域医学,2018-05-15,31.67,32.90,15178873728
603882.SH,金域医学,2018-05-16,32.56,32.18,14849196832
603882.SH,金域医学,2018-05-17,31.94,31.32,14450837250
603882.SH,金域医学,2018-05-18,31.26,30.93,14272262265
603882.SH,金域医学,2018-05-21,30.90,31.10,14350102643
603882.SH,金域医学,2018-05-22,31.27,31.68,14615675698
603882.SH,金域医学,2018-05-23,31.68,31.68,14615675698
603882.SH,金域医学,2018-05-24,31.59,31.24,14414206484
603882.SH,金域医学,2018-05-25,30.84,31.25,14418785330
603882.SH,金域医学,2018-05-28,30.96,33.53,15471919857
603882.SH,金域医学,2018-05-29,33.59,32.41,14954510285
603882.SH,金域医学,2018-05-30,31.21,30.26,13960900753
603882.SH,金域医学,2018-05-31,30.44,30.64,14134896892
603882.SH,金域医学,2018-06-01,30.48,30.70,14166948812
603882.SH,金域医学,2018-06-04,30.96,30.36,14006689210
603882.SH,金域医学,2018-06-05,30.66,31.18,14386733409
603882.SH,金域医学,2018-06-06,31.26,31.18,14386733409
603882.SH,金域医学,2018-06-07,30.94,30.51,14075371897
603882.SH,金域医学,2018-06-08,30.29,28.98,13370229648
603882.SH,金域医学,2018-06-11,28.81,27.99,12912345071
603882.SH,金域医学,2018-06-12,28.18,28.46,13132129668
603882.SH,金域医学,2018-06-13,28.49,27.88,12861977768
603882.SH,金域医学,2018-06-14,27.97,28.25,13035973907
603882.SH,金域医学,2018-06-15,28.28,27.63,12747506624
603882.SH,金域医学,2018-06-19,27.23,25.37,11703529788
603882.SH,金域医学,2018-06-20,25.53,26.15,12065258604
603882.SH,金域医学,2018-06-21,26.15,25.68,11850052853
603882.SH,金域医学,2018-06-22,25.41,25.89,11946208614
603882.SH,金域医学,2018-06-25,26.23,26.44,12198045131
603882.SH,金域医学,2018-06-26,26.09,26.31,12138520136
603882.SH,金域医学,2018-06-27,26.29,26.38,12170572057
603882.SH,金域医学,2018-06-28,26.34,26.03,12010312455
603882.SH,金域医学,2018-06-29,25.97,26.60,12271306664
603882.SH,金域医学,2018-07-02,26.61,26.08,12033206684
603882.SH,金域医学,2018-07-03,26.03,26.19,12083573987
603882.SH,金域医学,2018-07-04,26.09,25.81,11909577848
603882.SH,金域医学,2018-07-05,25.63,24.82,11451693271
603882.SH,金域医学,2018-07-06,24.90,23.93,11007545231
603882.SH,金域医学,2018-07-09,24.11,24.57,11300591360
603882.SH,金域医学,2018-07-10,24.59,25.38,11671477868
603882.SH,金域医学,2018-07-11,24.89,25.13,11557006723
603882.SH,金域医学,2018-07-12,25.09,25.82,11872947082
603882.SH,金域医学,2018-07-13,25.74,26.08,11996575917
603882.SH,金域医学,2018-07-16,26.09,25.90,11909577848
603882.SH,金域医学,2018-07-17,25.91,26.04,11978260534
603882.SH,金域医学,2018-07-18,26.13,25.70,11818000932
603882.SH,金域医学,2018-07-19,25.70,25.08,11534112495
603882.SH,金域医学,2018-07-20,25.08,25.47,11712687480
603882.SH,金域医学,2018-07-23,24.97,24.66,11341800972
603882.SH,金域医学,2018-07-24,24.19,25.13,11557006723
603882.SH,金域医学,2018-07-25,25.37,25.22,11598216335
603882.SH,金域医学,2018-07-26,25.27,25.00,11497481728
603882.SH,金域医学,2018-07-27,25.14,25.01,11502060574
603882.SH,金域医学,2018-07-30,24.90,24.42,11231908674
603882.SH,金域医学,2018-07-31,24.30,23.85,10970914465
603882.SH,金域医学,2018-08-01,23.85,23.51,10810654863
603882.SH,金域医学,2018-08-02,23.51,22.48,10339033749
603882.SH,金域医学,2018-08-03,22.58,22.17,10197089530
603882.SH,金域医学,2018-08-06,21.90,22.03,10132985689
603882.SH,金域医学,2018-08-07,22.20,22.48,10339033749
603882.SH,金域医学,2018-08-08,22.48,22.44,10320718366
603882.SH,金域医学,2018-08-09,22.43,22.88,10522187579
603882.SH,金域医学,2018-08-10,22.70,23.58,10842706783
603882.SH,金域医学,2018-08-13,23.10,23.78,10938862545
603882.SH,金域医学,2018-08-14,23.78,23.75,10925126007
603882.SH,金域医学,2018-08-15,23.69,23.31,10719077948
603882.SH,金域医学,2018-08-16,22.99,22.93,10545081808
603882.SH,金域医学,2018-08-17,23.05,22.49,10343612594
603882.SH,金域医学,2018-08-20,22.53,22.49,10343612594
603882.SH,金域医学,2018-08-21,22.55,22.62,10403137589
603882.SH,金域医学,2018-08-22,22.63,21.90,10073460694
603882.SH,金域医学,2018-08-23,21.90,21.89,10068881848
603882.SH,金域医学,2018-08-24,22.10,21.53,9904043401
603882.SH,金域医学,2018-08-27,21.56,22.20,10210826067
603882.SH,金域医学,2018-08-28,22.23,22.26,10238299142
603882.SH,金域医学,2018-08-29,22.43,21.97,10105512614
603882.SH,金域医学,2018-08-30,22.10,21.43,9858254943
603882.SH,金域医学,2018-08-31,21.41,21.07,9688837649
603882.SH,金域医学,2018-09-03,21.07,21.06,9684258804
603882.SH,金域医学,2018-09-04,21.03,20.95,9633891500
603882.SH,金域医学,2018-09-05,20.91,19.61,9020326167
603882.SH,金域医学,2018-09-06,19.48,19.14,8800541570
603882.SH,金域医学,2018-09-07,19.29,19.25,8855487719
603882.SH,金域医学,2018-09-10,19.28,19.02,8745595421
603882.SH,金域医学,2018-09-11,18.52,18.07,8310605073
603882.SH,金域医学,2018-09-12,18.12,17.73,8154924316
603882.SH,金域医学,2018-09-13,18.00,17.58,8086241630
603882.SH,金域医学,2018-09-14,17.64,17.95,8255658923
603882.SH,金域医学,2018-09-17,17.89,17.77,8173239699
603882.SH,金域医学,2018-09-18,17.77,18.03,8292289689
603882.SH,金域医学,2018-09-19,17.97,18.05,8301447381
603882.SH,金域医学,2018-09-20,18.19,17.84,8205291620
603882.SH,金域医学,2018-09-21,17.92,18.23,8383866605
603882.SH,金域医学,2018-09-25,18.22,18.83,8658597351
603882.SH,金域医学,2018-09-26,18.82,18.83,8658597351
603882.SH,金域医学,2018-09-27,18.96,18.58,8544126207
603882.SH,金域医学,2018-09-28,18.58,18.80,8644860814
603882.SH,金域医学,2018-10-08,18.65,18.22,8379287759
603882.SH,金域医学,2018-10-09,18.28,18.16,8351814684
603882.SH,金域医学,2018-10-10,18.14,18.31,8420497371
603882.SH,金域医学,2018-10-11,17.90,17.33,7971770486
603882.SH,金域医学,2018-10-12,17.38,17.52,8058768555
603882.SH,金域医学,2018-10-15,17.62,17.95,8255658923
603882.SH,金域医学,2018-10-16,17.92,17.19,7907666645
603882.SH,金域医学,2018-10-17,17.32,17.18,7903087799
603882.SH,金域医学,2018-10-18,17.22,16.16,7431466685
603882.SH,金域医学,2018-10-19,16.03,16.83,7738249351
603882.SH,金域医学,2018-10-22,17.28,18.07,8310605073
603882.SH,金域医学,2018-10-23,18.07,17.92,8241922386
603882.SH,金域医学,2018-10-24,17.81,17.92,8241922386
603882.SH,金域医学,2018-10-25,17.50,17.67,8127451242
603882.SH,金域医学,2018-10-26,17.82,17.59,8090820476
603882.SH,金域医学,2018-10-29,17.52,17.33,7971770486
603882.SH,金域医学,2018-10-30,17.33,17.55,8072505093
603882.SH,金域医学,2018-10-31,17.72,17.85,8209870466
603882.SH,金域医学,2018-11-01,17.92,18.87,8676912734
603882.SH,金域医学,2018-11-02,19.17,19.76,9089008853
603882.SH,金域医学,2018-11-05,19.51,19.90,9153112694
603882.SH,金域医学,2018-11-06,19.90,20.90,9610997271
603882.SH,金域医学,2018-11-07,20.90,20.41,9386633828
603882.SH,金域医学,2018-11-08,20.50,20.14,9263004993
603882.SH,金域医学,2018-11-09,20.06,19.97,9185164615
603882.SH,金域医学,2018-11-12,19.64,20.49,9423264595
603882.SH,金域医学,2018-11-13,20.31,21.41,9844518406
603882.SH,金域医学,2018-11-14,21.70,21.27,9780414565
603882.SH,金域医学,2018-11-15,21.11,21.62,9945253012
603882.SH,金域医学,2018-11-16,21.45,21.27,9780414565
603882.SH,金域医学,2018-11-19,21.31,20.91,9615576117
603882.SH,金域医学,2018-11-20,20.90,20.91,9615576117
603882.SH,金域医学,2018-11-21,20.91,21.59,9931516475
603882.SH,金域医学,2018-11-22,21.62,21.59,9931516475
603882.SH,金域医学,2018-11-23,21.48,20.94,9629312654
603882.SH,金域医学,2018-11-26,20.94,21.53,9904043401
603882.SH,金域医学,2018-11-27,21.80,21.55,9913201092
603882.SH,金域医学,2018-11-28,21.45,21.68,9972726087
603882.SH,金域医学,2018-11-29,21.58,20.86,9592681888
603882.SH,金域医学,2018-11-30,20.71,21.67,9968147241
603882.SH,金域医学,2018-12-03,22.15,21.92,10082618386
603882.SH,金域医学,2018-12-04,21.58,22.27,10242877987
603882.SH,金域医学,2018-12-05,21.92,22.92,10540502963
603882.SH,金域医学,2018-12-06,22.80,22.56,10375664515
