代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
200056.SZ,皇庭B,2010-01-04,1.94,1.94,923776169
200056.SZ,皇庭B,2010-01-05,1.93,1.94,923671241
200056.SZ,皇庭B,2010-01-06,1.96,1.95,925584267
200056.SZ,皇庭B,2010-01-07,1.95,2.00,949144704
200056.SZ,皇庭B,2010-01-08,2.00,2.11,1005423168
200056.SZ,皇庭B,2010-01-11,2.11,2.11,1005411747
200056.SZ,皇庭B,2010-01-12,2.11,2.11,1005468850
200056.SZ,皇庭B,2010-01-13,2.11,2.11,1005434589
200056.SZ,皇庭B,2010-01-14,2.30,2.15,1020888195
200056.SZ,皇庭B,2010-01-15,2.07,2.14,1018550088
200056.SZ,皇庭B,2010-01-18,2.14,2.15,1024160294
200056.SZ,皇庭B,2010-01-19,2.16,2.19,1041224446
200056.SZ,皇庭B,2010-01-20,2.19,2.17,1031652290
200056.SZ,皇庭B,2010-01-21,2.18,2.19,1040644271
200056.SZ,皇庭B,2010-01-22,2.13,2.20,1043992471
200056.SZ,皇庭B,2010-01-25,2.15,2.21,1049670581
200056.SZ,皇庭B,2010-01-26,2.21,2.15,1019252974
200056.SZ,皇庭B,2010-01-27,2.12,2.17,1027929862
200056.SZ,皇庭B,2010-01-28,2.14,2.18,1033748333
200056.SZ,皇庭B,2010-01-29,2.14,2.21,1047742268
200056.SZ,皇庭B,2010-02-01,2.24,2.28,1083505198
200056.SZ,皇庭B,2010-02-02,2.28,2.26,1071696086
200056.SZ,皇庭B,2010-02-03,2.26,2.45,1165046098
200056.SZ,皇庭B,2010-02-04,2.45,2.49,1184450058
200056.SZ,皇庭B,2010-02-05,2.45,2.38,1127626763
200056.SZ,皇庭B,2010-02-08,2.44,2.42,1148897515
200056.SZ,皇庭B,2010-02-09,2.43,2.42,1148897515
200056.SZ,皇庭B,2010-02-10,2.42,2.40,1139479261
200056.SZ,皇庭B,2010-02-11,2.39,2.36,1118011642
200056.SZ,皇庭B,2010-02-12,2.35,2.34,1110323485
200056.SZ,皇庭B,2010-02-22,2.31,2.31,1097247328
200056.SZ,皇庭B,2010-02-23,2.33,2.35,1117023286
200056.SZ,皇庭B,2010-02-24,2.36,2.37,1126736532
200056.SZ,皇庭B,2010-02-25,2.40,2.45,1163408691
200056.SZ,皇庭B,2010-02-26,2.41,2.39,1136294705
200056.SZ,皇庭B,2010-03-01,2.41,2.38,1130711825
200056.SZ,皇庭B,2010-03-02,2.38,2.32,1103136156
200056.SZ,皇庭B,2010-03-03,2.29,2.31,1095616768
200056.SZ,皇庭B,2010-03-04,2.32,2.21,1049006707
200056.SZ,皇庭B,2010-03-05,2.21,2.20,1047004569
200056.SZ,皇庭B,2010-03-08,2.21,2.22,1056897297
200056.SZ,皇庭B,2010-03-09,2.22,2.25,1070935258
200056.SZ,皇庭B,2010-03-10,2.25,2.24,1062967440
200056.SZ,皇庭B,2010-03-11,2.21,2.23,1059249453
200056.SZ,皇庭B,2010-03-12,2.24,2.23,1061024173
200056.SZ,皇庭B,2010-03-15,2.23,2.26,1072927654
200056.SZ,皇庭B,2010-03-16,2.27,2.28,1082535464
200056.SZ,皇庭B,2010-03-17,2.28,2.29,1090061655
200056.SZ,皇庭B,2010-03-18,2.29,2.27,1078268382
200056.SZ,皇庭B,2010-03-19,2.29,2.26,1072586229
200056.SZ,皇庭B,2010-03-22,2.26,2.24,1066878231
200056.SZ,皇庭B,2010-03-23,2.28,2.27,1076411221
200056.SZ,皇庭B,2010-03-24,2.28,2.24,1064595968
200056.SZ,皇庭B,2010-03-25,2.23,2.21,1049197565
200056.SZ,皇庭B,2010-03-26,2.21,2.23,1058936436
200056.SZ,皇庭B,2010-03-29,2.23,2.24,1064402282
200056.SZ,皇庭B,2010-03-30,2.23,2.25,1070204958
200056.SZ,皇庭B,2010-03-31,2.25,2.25,1070156272
200056.SZ,皇庭B,2010-04-01,2.22,2.30,1091446065
200056.SZ,皇庭B,2010-04-02,2.29,2.31,1094931533
200056.SZ,皇庭B,2010-04-06,2.28,2.32,1100930988
200056.SZ,皇庭B,2010-04-07,2.30,2.31,1099214365
200056.SZ,皇庭B,2010-04-08,2.29,2.31,1095703980
200056.SZ,皇庭B,2010-04-09,2.29,2.32,1103813704
200056.SZ,皇庭B,2010-04-12,2.32,2.35,1115816061
200056.SZ,皇庭B,2010-04-13,2.34,2.34,1111384871
200056.SZ,皇庭B,2010-04-14,2.28,2.33,1109668933
200056.SZ,皇庭B,2010-04-15,2.33,2.32,1101619868
200056.SZ,皇庭B,2010-04-16,2.30,2.31,1097734084
200056.SZ,皇庭B,2010-04-19,2.31,2.17,1029557241
200056.SZ,皇庭B,2010-04-20,2.18,2.13,1010131633
200056.SZ,皇庭B,2010-04-21,2.15,2.19,1039246409
200056.SZ,皇庭B,2010-04-22,2.17,2.19,1039222772
200056.SZ,皇庭B,2010-04-23,2.21,2.25,1068554252
200056.SZ,皇庭B,2010-04-26,2.27,2.22,1054858511
200056.SZ,皇庭B,2010-04-27,2.24,2.17,1031276935
200056.SZ,皇庭B,2010-04-28,2.15,2.12,1005994772
200056.SZ,皇庭B,2010-04-29,2.13,2.12,1007627298
200056.SZ,皇庭B,2010-04-30,2.08,2.02,959264938
200056.SZ,皇庭B,2010-05-04,2.02,1.98,942131290
200056.SZ,皇庭B,2010-05-05,1.97,2.02,957366668
200056.SZ,皇庭B,2010-05-06,2.02,2.00,949480164
200056.SZ,皇庭B,2010-05-07,1.91,1.94,920754240
200056.SZ,皇庭B,2010-05-10,1.94,1.92,909424108
200056.SZ,皇庭B,2010-05-11,1.90,1.91,907092187
200056.SZ,皇庭B,2010-05-12,1.88,1.91,905123008
200056.SZ,皇庭B,2010-05-13,1.89,1.96,930128293
200056.SZ,皇庭B,2010-05-14,1.96,1.99,943757211
200056.SZ,皇庭B,2010-05-17,2.00,1.87,884984220
200056.SZ,皇庭B,2010-05-18,1.89,1.88,887640512
200056.SZ,皇庭B,2010-05-19,1.84,1.89,895038427
200056.SZ,皇庭B,2010-05-20,1.89,1.84,872079990
200056.SZ,皇庭B,2010-05-21,1.80,1.83,865843574
200056.SZ,皇庭B,2010-05-24,1.92,1.96,927678940
200056.SZ,皇庭B,2010-05-25,1.92,2.00,947330310
200056.SZ,皇庭B,2010-05-26,2.01,2.00,947384430
200056.SZ,皇庭B,2010-05-27,1.98,2.05,970832473
200056.SZ,皇庭B,2010-05-28,2.04,2.05,972481942
200056.SZ,皇庭B,2010-05-31,1.97,1.99,943025674
200056.SZ,皇庭B,2010-06-01,1.99,1.96,929343652
200056.SZ,皇庭B,2010-06-02,1.96,1.98,938702903
200056.SZ,皇庭B,2010-06-03,2.04,2.02,958232556
200056.SZ,皇庭B,2010-06-04,2.02,2.04,968220935
200056.SZ,皇庭B,2010-06-07,2.04,2.09,988912240
