代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
600790.SH,轻纺城,2010-01-04,3.93,4.00,5729867436
600790.SH,轻纺城,2010-01-05,3.98,4.13,5921688052
600790.SH,轻纺城,2010-01-06,4.13,4.26,6113508668
600790.SH,轻纺城,2010-01-07,4.25,4.22,6051631050
600790.SH,轻纺城,2010-01-08,4.21,4.30,6169198525
600790.SH,轻纺城,2010-01-11,4.34,4.31,6175386286
600790.SH,轻纺城,2010-01-12,4.29,4.35,6237263904
600790.SH,轻纺城,2010-01-13,4.28,4.25,6101133145
600790.SH,轻纺城,2010-01-14,4.26,4.39,6299141523
600790.SH,轻纺城,2010-01-15,4.37,4.48,6429084521
600790.SH,轻纺城,2010-01-18,4.52,4.50,6447647806
600790.SH,轻纺城,2010-01-19,4.51,4.50,6460023330
600790.SH,轻纺城,2010-01-20,4.50,4.37,6268202714
600790.SH,轻纺城,2010-01-21,4.36,4.38,6280578237
600790.SH,轻纺城,2010-01-22,4.33,4.28,6132071954
600790.SH,轻纺城,2010-01-25,4.23,4.28,6138259716
600790.SH,轻纺城,2010-01-26,4.31,4.09,5859810434
600790.SH,轻纺城,2010-01-27,4.06,4.07,5841247149
600790.SH,轻纺城,2010-01-28,4.09,4.12,5903124767
600790.SH,轻纺城,2010-01-29,4.09,4.14,5934063576
600790.SH,轻纺城,2010-02-01,4.13,4.10,5884561481
600790.SH,轻纺城,2010-02-02,4.11,4.17,5983565670
600790.SH,轻纺城,2010-02-03,4.18,4.29,6156823001
600790.SH,轻纺城,2010-02-04,4.30,4.27,6119696430
600790.SH,轻纺城,2010-02-05,4.14,4.05,5810308340
600790.SH,轻纺城,2010-02-08,4.12,4.18,6002128956
600790.SH,轻纺城,2010-02-09,4.21,4.27,6125884192
600790.SH,轻纺城,2010-02-10,4.29,4.32,6200137334
600790.SH,轻纺城,2010-02-11,4.35,4.35,6237263904
600790.SH,轻纺城,2010-02-12,4.37,4.46,6391957950
600790.SH,轻纺城,2010-02-22,4.44,4.46,6391957950
600790.SH,轻纺城,2010-02-23,4.50,4.43,6354831379
600790.SH,轻纺城,2010-02-24,4.44,4.51,6472398853
600790.SH,轻纺城,2010-02-25,4.53,4.55,6521900948
600790.SH,轻纺城,2010-02-26,4.55,4.47,6416708997
600790.SH,轻纺城,2010-03-01,4.47,4.48,6429084521
600790.SH,轻纺城,2010-03-02,4.51,4.61,6608529613
600790.SH,轻纺城,2010-03-03,4.59,4.59,6577590804
600790.SH,轻纺城,2010-03-04,4.62,4.52,6478586615
600790.SH,轻纺城,2010-03-05,4.53,4.45,6379582426
600790.SH,轻纺城,2010-03-08,4.48,4.45,6379582426
600790.SH,轻纺城,2010-03-09,4.45,4.46,6398145712
600790.SH,轻纺城,2010-03-10,4.52,4.43,6354831379
600790.SH,轻纺城,2010-03-11,4.43,4.36,6255827190
600790.SH,轻纺城,2010-03-12,4.37,4.24,6076382097
600790.SH,轻纺城,2010-03-15,4.22,4.22,6051631050
600790.SH,轻纺城,2010-03-16,4.26,4.30,6169198525
600790.SH,轻纺城,2010-03-17,4.31,4.40,6317704808
600790.SH,轻纺城,2010-03-18,4.43,4.43,6354831379
600790.SH,轻纺城,2010-03-19,4.46,4.63,6645656184
600790.SH,轻纺城,2010-03-22,4.61,4.56,6546651995
600790.SH,轻纺城,2010-03-23,4.61,4.55,6528088710
600790.SH,轻纺城,2010-03-24,4.55,4.56,6546651995
600790.SH,轻纺城,2010-03-25,4.57,4.49,6435272282
600790.SH,轻纺城,2010-03-26,4.49,4.57,6552839757
600790.SH,轻纺城,2010-03-29,4.58,4.61,6608529613
600790.SH,轻纺城,2010-03-30,4.59,4.57,6559027519
600790.SH,轻纺城,2010-03-31,4.68,4.60,6596154089
600790.SH,轻纺城,2010-04-01,4.60,4.59,6577590804
600790.SH,轻纺城,2010-04-02,4.56,4.56,6546651995
600790.SH,轻纺城,2010-04-06,4.57,4.48,6429084521
600790.SH,轻纺城,2010-04-07,4.49,4.55,6521900948
600790.SH,轻纺城,2010-04-08,4.57,4.55,6521900948
600790.SH,轻纺城,2010-04-09,4.56,4.55,6528088710
600790.SH,轻纺城,2010-04-12,4.54,4.67,6695158278
600790.SH,轻纺城,2010-04-13,4.66,4.72,6769411420
600790.SH,轻纺城,2010-04-14,4.72,4.75,6818913515
600790.SH,轻纺城,2010-04-15,4.75,4.75,6818913515
600790.SH,轻纺城,2010-04-16,4.76,4.67,6695158278
600790.SH,轻纺城,2010-04-19,4.60,4.46,6398145712
600790.SH,轻纺城,2010-04-20,4.48,4.56,6540464233
600790.SH,轻纺城,2010-04-21,4.56,4.72,6769411420
600790.SH,轻纺城,2010-04-22,4.72,4.71,6750848135
600790.SH,轻纺城,2010-04-23,4.67,4.71,6750848135
600790.SH,轻纺城,2010-04-26,4.74,4.86,6973607560
600790.SH,轻纺城,2010-04-27,4.94,4.78,6856040085
600790.SH,轻纺城,2010-04-28,4.70,4.60,6602341851
600790.SH,轻纺城,2010-04-29,4.63,4.41,6330080332
600790.SH,轻纺城,2010-04-30,4.44,4.36,6249639428
600790.SH,轻纺城,2010-05-04,4.26,4.36,6255827190
600790.SH,轻纺城,2010-05-05,4.31,4.50,6447647806
600790.SH,轻纺城,2010-05-06,4.52,4.41,6330080332
600790.SH,轻纺城,2010-05-07,4.31,4.06,5816496101
600790.SH,轻纺城,2010-05-10,4.03,3.87,5544234582
