代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
002061.SZ,浙江交科,2010-01-04,6.77,6.83,1998914400
002061.SZ,浙江交科,2010-01-05,6.85,6.86,2007313200
002061.SZ,浙江交科,2010-01-06,6.87,6.86,2007313200
002061.SZ,浙江交科,2010-01-07,6.86,6.62,1938723000
002061.SZ,浙江交科,2010-01-08,6.61,6.71,1965319200
002061.SZ,浙江交科,2010-01-11,6.74,6.65,1947121800
002061.SZ,浙江交科,2010-01-12,6.65,6.89,2017111800
002061.SZ,浙江交科,2010-01-13,6.77,7.06,2066104800
002061.SZ,浙江交科,2010-01-14,7.08,7.31,2138894400
002061.SZ,浙江交科,2010-01-15,7.32,7.41,2168290200
002061.SZ,浙江交科,2010-01-18,7.41,7.73,2263476600
002061.SZ,浙江交科,2010-01-19,7.79,7.66,2242479600
002061.SZ,浙江交科,2010-01-20,7.65,7.27,2127696000
002061.SZ,浙江交科,2010-01-21,7.28,7.57,2214483600
002061.SZ,浙江交科,2010-01-22,7.45,7.20,2106699000
002061.SZ,浙江交科,2010-01-25,7.13,7.12,2084302200
002061.SZ,浙江交科,2010-01-26,7.12,6.86,2008713000
002061.SZ,浙江交科,2010-01-27,6.86,6.80,1990515600
002061.SZ,浙江交科,2010-01-28,6.80,7.08,2071704000
002061.SZ,浙江交科,2010-01-29,7.06,7.00,2047907400
002061.SZ,浙江交科,2010-02-01,6.93,7.08,2071704000
002061.SZ,浙江交科,2010-02-02,7.08,6.97,2040908400
002061.SZ,浙江交科,2010-02-03,6.91,6.84,2001714000
002061.SZ,浙江交科,2010-02-04,6.77,6.69,1959720000
002061.SZ,浙江交科,2010-02-05,6.59,6.43,1882731000
002061.SZ,浙江交科,2010-02-08,6.40,6.50,1902328200
002061.SZ,浙江交科,2010-02-09,6.44,6.54,1914926400
002061.SZ,浙江交科,2010-02-10,6.57,6.60,1931724000
002061.SZ,浙江交科,2010-02-11,6.59,6.58,1927524600
002061.SZ,浙江交科,2010-02-12,6.61,6.62,1938723000
002061.SZ,浙江交科,2010-02-22,6.62,6.64,1944322200
002061.SZ,浙江交科,2010-02-23,6.69,6.64,1944322200
002061.SZ,浙江交科,2010-02-24,6.63,6.85,2005913400
002061.SZ,浙江交科,2010-02-25,6.86,6.90,2018511600
002061.SZ,浙江交科,2010-02-26,6.86,6.87,2010112800
002061.SZ,浙江交科,2010-03-01,6.93,7.00,2047907400
002061.SZ,浙江交科,2010-03-02,7.02,7.04,2061905400
002061.SZ,浙江交科,2010-03-03,7.04,7.07,2070304200
002061.SZ,浙江交科,2010-03-04,7.07,6.84,2001714000
002061.SZ,浙江交科,2010-03-05,6.84,6.84,2001714000
002061.SZ,浙江交科,2010-03-08,6.84,6.86,2008713000
002061.SZ,浙江交科,2010-03-09,6.85,6.88,2014312200
002061.SZ,浙江交科,2010-03-10,6.79,7.01,2050707000
002061.SZ,浙江交科,2010-03-11,6.94,7.08,2071704000
002061.SZ,浙江交科,2010-03-12,7.03,7.01,2052106800
002061.SZ,浙江交科,2010-03-15,7.01,6.82,1996114800
002061.SZ,浙江交科,2010-03-16,6.82,7.00,2049307200
002061.SZ,浙江交科,2010-03-17,7.08,7.23,2115097800
002061.SZ,浙江交科,2010-03-18,7.20,7.19,2103899400
002061.SZ,浙江交科,2010-03-19,7.19,7.35,2152892400
002061.SZ,浙江交科,2010-03-22,7.36,7.41,2169690000
002061.SZ,浙江交科,2010-03-23,7.45,7.39,2164090800
002061.SZ,浙江交科,2010-03-24,7.41,7.49,2192086800
002061.SZ,浙江交科,2010-03-25,7.49,7.19,2105299200
002061.SZ,浙江交科,2010-03-26,7.21,7.28,2130495600
002061.SZ,浙江交科,2010-03-29,7.33,7.16,2095500600
002061.SZ,浙江交科,2010-03-30,7.03,6.98,2043708000
002061.SZ,浙江交科,2010-03-31,6.94,7.05,2064705000
002061.SZ,浙江交科,2010-04-01,7.08,7.26,2124896400
002061.SZ,浙江交科,2010-04-02,7.22,7.13,2085702000
002061.SZ,浙江交科,2010-04-06,7.13,7.12,2082902400
002061.SZ,浙江交科,2010-04-07,7.12,7.22,2113698000
002061.SZ,浙江交科,2010-04-08,7.22,7.22,2113698000
002061.SZ,浙江交科,2010-04-09,7.24,7.23,2116497600
002061.SZ,浙江交科,2010-04-12,7.28,7.16,2095500600
002061.SZ,浙江交科,2010-04-13,7.13,7.16,2096900400
002061.SZ,浙江交科,2010-04-14,7.10,7.10,2078703000
002061.SZ,浙江交科,2010-04-15,7.10,6.84,2003113800
002061.SZ,浙江交科,2010-04-16,6.83,6.84,2001714000
002061.SZ,浙江交科,2010-04-19,6.83,6.55,1917726000
002061.SZ,浙江交科,2010-04-20,6.55,6.59,1930324200
002061.SZ,浙江交科,2010-04-21,6.62,6.75,1975117800
002061.SZ,浙江交科,2010-04-22,6.73,6.72,1968118800
002061.SZ,浙江交科,2010-04-23,6.72,6.72,1968118800
002061.SZ,浙江交科,2010-04-26,6.65,6.51,1906527600
002061.SZ,浙江交科,2010-04-27,6.47,6.21,1818340200
002061.SZ,浙江交科,2010-04-28,6.19,6.14,1798743000
002061.SZ,浙江交科,2010-04-29,6.14,5.73,1678360200
002061.SZ,浙江交科,2010-04-30,5.69,5.39,1578974400
002061.SZ,浙江交科,2010-05-04,5.22,5.39,1578974400
002061.SZ,浙江交科,2010-05-05,5.36,5.55,1625167800
002061.SZ,浙江交科,2010-05-06,5.55,5.23,1531381200
002061.SZ,浙江交科,2010-05-07,5.16,5.18,1515983400
002061.SZ,浙江交科,2010-05-10,5.19,5.29,1548178800
002061.SZ,浙江交科,2010-05-11,5.38,5.14,1504785000
002061.SZ,浙江交科,2010-05-12,5.15,4.98,1457191800
002061.SZ,浙江交科,2010-05-13,5.00,5.07,1483788000
002061.SZ,浙江交科,2010-05-14,5.07,5.08,1487987400
002061.SZ,浙江交科,2010-05-17,5.02,4.74,1388601600
002061.SZ,浙江交科,2010-05-18,4.68,4.70,1374603600
002061.SZ,浙江交科,2010-05-19,4.65,4.62,1353606600
002061.SZ,浙江交科,2010-05-20,4.59,4.66,1363405200
002061.SZ,浙江交科,2010-05-21,4.51,4.74,1387201800
002061.SZ,浙江交科,2010-05-24,4.81,4.94,1444593600
002061.SZ,浙江交科,2010-05-25,4.88,4.85,1420797000
002061.SZ,浙江交科,2010-05-26,4.85,4.91,1436194800
002061.SZ,浙江交科,2010-05-27,4.89,5.03,1471189800
002061.SZ,浙江交科,2010-05-28,5.07,5.07,1485187800
002061.SZ,浙江交科,2010-05-31,5.04,4.84,1416597600
002061.SZ,浙江交科,2010-06-01,4.77,4.68,1370404200
002061.SZ,浙江交科,2010-06-02,4.64,4.72,1383002400
002061.SZ,浙江交科,2010-06-03,4.77,4.67,1367604600
002061.SZ,浙江交科,2010-06-04,4.64,4.74,1388601600
002061.SZ,浙江交科,2010-06-07,4.63,5.07,1483788000
002061.SZ,浙江交科,2010-06-08,5.04,5.38,1573375200
002061.SZ,浙江交科,2010-06-09,5.36,5.35,1566376200
002061.SZ,浙江交科,2010-06-10,5.36,5.38,1574775000
002061.SZ,浙江交科,2010-06-11,5.37,5.18,1515983400
002061.SZ,浙江交科,2010-06-17,5.18,5.18,1515983400
002061.SZ,浙江交科,2010-06-18,5.05,4.93,1441794000
002061.SZ,浙江交科,2010-06-21,4.93,5.19,1520182800
002061.SZ,浙江交科,2010-06-22,5.16,5.28,1546779000
002061.SZ,浙江交科,2010-06-23,5.18,5.20,1522982400
002061.SZ,浙江交科,2010-06-24,5.20,5.09,1489387200
002061.SZ,浙江交科,2010-06-25,5.04,4.98,1458591600
002061.SZ,浙江交科,2010-06-28,4.97,5.16,1508984400
002061.SZ,浙江交科,2010-06-29,5.14,5.38,1576174800
002061.SZ,浙江交科,2010-06-30,5.26,5.14,1504785000
002061.SZ,浙江交科,2010-07-01,5.06,5.34,1562176800
002061.SZ,浙江交科,2010-07-02,5.27,5.56,1627967400
002061.SZ,浙江交科,2010-07-05,5.44,5.44,1592972400
002061.SZ,浙江交科,2010-07-06,5.38,5.67,1658763000
002061.SZ,浙江交科,2010-07-07,5.71,5.68,1661562600
002061.SZ,浙江交科,2010-07-08,5.66,5.54,1620968400
002061.SZ,浙江交科,2010-07-09,5.52,5.66,1655963400
002061.SZ,浙江交科,2010-07-12,5.65,5.59,1637766000
002061.SZ,浙江交科,2010-07-13,5.52,5.48,1604170800
002061.SZ,浙江交科,2010-07-14,5.43,5.53,1619568600
002061.SZ,浙江交科,2010-07-15,5.46,5.27,1542579600
002061.SZ,浙江交科,2010-07-16,5.31,5.24,1532781000
002061.SZ,浙江交科,2010-07-19,5.19,5.38,1573375200
002061.SZ,浙江交科,2010-07-20,5.37,5.53,1619568600
002061.SZ,浙江交科,2010-07-21,5.57,5.44,1592972400
002061.SZ,浙江交科,2010-07-22,5.49,5.65,1654563600
002061.SZ,浙江交科,2010-07-23,5.66,5.59,1636366200
002061.SZ,浙江交科,2010-07-26,5.55,5.62,1644765000
002061.SZ,浙江交科,2010-07-27,5.61,5.48,1602771000
002061.SZ,浙江交科,2010-07-28,5.46,5.66,1657363200
002061.SZ,浙江交科,2010-07-29,5.64,5.77,1689558600
002061.SZ,浙江交科,2010-07-30,5.75,5.68,1661562600
002061.SZ,浙江交科,2010-08-02,5.63,5.84,1710555600
002061.SZ,浙江交科,2010-08-03,5.80,5.73,1676960400
002061.SZ,浙江交科,2010-08-04,5.68,5.74,1679760000
002061.SZ,浙江交科,2010-08-05,5.73,5.66,1657363200
002061.SZ,浙江交科,2010-08-06,5.66,5.81,1699357200
002061.SZ,浙江交科,2010-08-09,5.82,5.89,1723153800
002061.SZ,浙江交科,2010-08-10,5.89,5.76,1685359200
002061.SZ,浙江交科,2010-08-11,5.70,5.73,1676960400
002061.SZ,浙江交科,2010-08-12,5.64,5.48,1604170800
002061.SZ,浙江交科,2010-08-13,5.45,5.59,1636366200
002061.SZ,浙江交科,2010-08-16,5.55,5.71,1671361200
002061.SZ,浙江交科,2010-08-17,5.71,5.77,1688158800
002061.SZ,浙江交科,2010-08-18,5.92,5.81,1700757000
002061.SZ,浙江交科,2010-08-19,5.78,5.90,1727353200
002061.SZ,浙江交科,2010-08-20,5.87,5.65,1654563600
002061.SZ,浙江交科,2010-08-23,5.66,5.63,1648964400
002061.SZ,浙江交科,2010-08-24,5.63,5.70,1667161800
002061.SZ,浙江交科,2010-08-25,5.61,5.56,1627967400
002061.SZ,浙江交科,2010-08-26,5.58,5.59,1637766000
002061.SZ,浙江交科,2010-08-27,5.57,5.51,1613969400
002061.SZ,浙江交科,2010-08-30,5.52,5.65,1654563600
002061.SZ,浙江交科,2010-08-31,5.63,5.73,1676960400
002061.SZ,浙江交科,2010-09-01,5.71,5.58,1633566600
002061.SZ,浙江交科,2010-09-02,5.63,5.66,1655963400
002061.SZ,浙江交科,2010-09-03,5.70,5.71,1672761000
002061.SZ,浙江交科,2010-09-06,5.73,5.86,1714755000
002061.SZ,浙江交科,2010-09-07,5.88,5.86,1714755000
002061.SZ,浙江交科,2010-09-08,5.81,5.90,1727353200
002061.SZ,浙江交科,2010-09-09,5.90,5.97,1746950400
002061.SZ,浙江交科,2010-09-10,5.97,6.27,1835137800
002061.SZ,浙江交科,2010-09-13,6.22,6.17,1807141800
002061.SZ,浙江交科,2010-09-14,6.14,6.03,1763748000
002061.SZ,浙江交科,2010-09-15,6.03,5.92,1731552600
002061.SZ,浙江交科,2010-09-16,5.92,5.74,1679760000
002061.SZ,浙江交科,2010-09-17,5.80,5.67,1660162800
002061.SZ,浙江交科,2010-09-20,5.69,5.67,1658763000
002061.SZ,浙江交科,2010-09-21,5.69,5.72,1675560600
002061.SZ,浙江交科,2010-09-27,5.73,5.82,1703556600
002061.SZ,浙江交科,2010-09-28,5.84,5.49,1605570600
002061.SZ,浙江交科,2010-09-29,5.48,5.29,1548178800
002061.SZ,浙江交科,2010-09-30,5.31,5.36,1567776000
002061.SZ,浙江交科,2010-10-08,5.40,5.46,1598571600
