代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
603959.SH,百利科技,2016-05-17,4.38,4.38,1944320000
603959.SH,百利科技,2016-05-18,4.81,4.81,2139200000
603959.SH,百利科技,2016-05-19,5.30,5.30,2354240000
603959.SH,百利科技,2016-05-20,5.83,5.83,2589440000
603959.SH,百利科技,2016-05-23,6.41,6.41,2849280000
603959.SH,百利科技,2016-05-24,7.05,7.05,3133760000
603959.SH,百利科技,2016-05-25,7.76,7.76,3447360000
603959.SH,百利科技,2016-05-26,8.53,8.53,3792320000
603959.SH,百利科技,2016-05-27,9.39,9.39,4170880000
603959.SH,百利科技,2016-05-30,10.32,10.32,4587520000
603959.SH,百利科技,2016-05-31,11.36,11.36,5046720000
603959.SH,百利科技,2016-06-01,12.49,12.49,5550720000
603959.SH,百利科技,2016-06-02,13.74,13.74,6106240000
603959.SH,百利科技,2016-06-03,15.12,15.12,6717760000
603959.SH,百利科技,2016-06-06,16.63,16.63,7389760000
603959.SH,百利科技,2016-06-07,18.29,18.29,8128960000
603959.SH,百利科技,2016-06-08,19.70,20.12,8942080000
603959.SH,百利科技,2016-06-13,19.66,20.23,8989120000
603959.SH,百利科技,2016-06-14,18.87,19.15,8509760000
603959.SH,百利科技,2016-06-15,18.55,19.71,8758400000
603959.SH,百利科技,2016-06-16,19.39,19.41,8624000000
603959.SH,百利科技,2016-06-17,19.16,21.35,9486400000
603959.SH,百利科技,2016-06-20,22.18,21.28,9455040000
603959.SH,百利科技,2016-06-21,20.82,21.62,9605120000
603959.SH,百利科技,2016-06-22,21.21,20.98,9320640000
603959.SH,百利科技,2016-06-23,20.88,20.82,9251200000
603959.SH,百利科技,2016-06-24,20.69,20.15,8953280000
603959.SH,百利科技,2016-06-27,19.53,20.70,9199680000
603959.SH,百利科技,2016-06-28,20.76,21.41,9511040000
603959.SH,百利科技,2016-06-29,21.44,22.87,10162880000
603959.SH,百利科技,2016-06-30,21.69,20.90,9284800000
603959.SH,百利科技,2016-07-01,21.07,21.09,9372160000
603959.SH,百利科技,2016-07-04,20.72,21.52,9560320000
603959.SH,百利科技,2016-07-05,21.58,22.41,9956800000
603959.SH,百利科技,2016-07-06,22.43,21.81,9692480000
603959.SH,百利科技,2016-07-07,21.58,24.00,10662400000
603959.SH,百利科技,2016-07-08,23.97,22.84,10149440000
603959.SH,百利科技,2016-07-11,22.78,21.43,9522240000
603959.SH,百利科技,2016-07-12,21.48,22.40,9952320000
603959.SH,百利科技,2016-07-13,22.18,21.95,9755200000
603959.SH,百利科技,2016-07-14,21.72,21.89,9728320000
603959.SH,百利科技,2016-07-15,21.89,21.96,9759680000
603959.SH,百利科技,2016-07-18,21.68,21.17,9405760000
603959.SH,百利科技,2016-07-19,21.12,21.33,9477440000
603959.SH,百利科技,2016-07-20,21.60,21.42,9515520000
603959.SH,百利科技,2016-07-21,21.24,20.83,9255680000
603959.SH,百利科技,2016-07-22,20.37,19.22,8538880000
603959.SH,百利科技,2016-07-25,18.80,18.88,8388800000
603959.SH,百利科技,2016-07-26,18.80,19.16,8514240000
603959.SH,百利科技,2016-07-27,19.17,17.64,7840000000
603959.SH,百利科技,2016-07-28,17.49,17.64,7837760000
603959.SH,百利科技,2016-07-29,17.64,17.57,7808640000
603959.SH,百利科技,2016-08-01,17.35,16.41,7293440000
603959.SH,百利科技,2016-08-02,16.39,16.59,7369600000
603959.SH,百利科技,2016-08-03,16.61,17.24,7660800000
603959.SH,百利科技,2016-08-04,17.14,17.11,7602560000
603959.SH,百利科技,2016-08-05,17.03,17.01,7560000000
603959.SH,百利科技,2016-08-08,16.96,17.90,7952000000
603959.SH,百利科技,2016-08-09,17.92,17.95,7976640000
603959.SH,百利科技,2016-08-10,17.95,17.96,7978880000
603959.SH,百利科技,2016-08-11,17.65,17.03,7568960000
603959.SH,百利科技,2016-08-12,16.94,17.22,7651840000
603959.SH,百利科技,2016-08-15,17.95,18.94,8417920000
603959.SH,百利科技,2016-08-16,19.91,20.04,8906240000
603959.SH,百利科技,2016-08-17,19.70,19.88,8834560000
603959.SH,百利科技,2016-08-18,19.76,19.28,8565760000
603959.SH,百利科技,2016-08-19,19.16,19.08,8476160000
603959.SH,百利科技,2016-08-22,18.98,18.14,8061760000
603959.SH,百利科技,2016-08-23,17.93,18.27,8120000000
603959.SH,百利科技,2016-08-24,18.31,18.12,8050560000
603959.SH,百利科技,2016-08-25,17.97,17.65,7844480000
603959.SH,百利科技,2016-08-26,17.80,17.44,7748160000
603959.SH,百利科技,2016-08-29,17.44,17.69,7860160000
603959.SH,百利科技,2016-08-30,17.82,17.63,7833280000
603959.SH,百利科技,2016-08-31,17.63,18.10,8041600000
603959.SH,百利科技,2016-09-01,18.10,18.15,8064000000
603959.SH,百利科技,2016-09-02,17.50,17.47,7761600000
603959.SH,百利科技,2016-09-05,17.50,17.00,7555520000
603959.SH,百利科技,2016-09-06,16.74,17.15,7620480000
603959.SH,百利科技,2016-09-07,17.21,16.93,7521920000
603959.SH,百利科技,2016-09-08,16.94,16.94,7526400000
603959.SH,百利科技,2016-09-09,17.02,16.86,7492800000
603959.SH,百利科技,2016-09-12,16.33,16.16,7179200000
603959.SH,百利科技,2016-09-13,16.23,16.26,7226240000
603959.SH,百利科技,2016-09-14,16.26,16.10,7152320000
603959.SH,百利科技,2016-09-19,16.12,16.30,7244160000
603959.SH,百利科技,2016-09-20,16.36,16.28,7232960000
603959.SH,百利科技,2016-09-21,16.30,16.22,7208320000
603959.SH,百利科技,2016-09-22,16.36,16.14,7172480000
603959.SH,百利科技,2016-09-23,16.16,15.81,7026880000
603959.SH,百利科技,2016-09-26,15.78,14.65,6509440000
603959.SH,百利科技,2016-09-27,14.65,14.88,6610240000
603959.SH,百利科技,2016-09-28,14.88,14.69,6525120000
603959.SH,百利科技,2016-09-29,14.63,14.67,6520640000
603959.SH,百利科技,2016-09-30,14.70,14.69,6525120000
603959.SH,百利科技,2016-10-10,14.79,15.17,6740160000
603959.SH,百利科技,2016-10-11,15.17,15.23,6767040000
603959.SH,百利科技,2016-10-12,15.15,15.78,7013440000
603959.SH,百利科技,2016-10-13,15.79,15.54,6905920000
603959.SH,百利科技,2016-10-14,15.40,15.28,6789440000
603959.SH,百利科技,2016-10-17,15.27,15.09,6706560000
603959.SH,百利科技,2016-10-18,15.00,15.37,6827520000
603959.SH,百利科技,2016-10-19,15.38,15.46,6870080000
603959.SH,百利科技,2016-10-20,15.48,15.38,6834240000
603959.SH,百利科技,2016-10-21,15.45,15.66,6959680000
603959.SH,百利科技,2016-10-24,15.73,16.35,7264320000
603959.SH,百利科技,2016-10-25,16.41,16.26,7224000000
603959.SH,百利科技,2016-10-26,16.22,16.16,7181440000
603959.SH,百利科技,2016-10-27,16.25,16.33,7257600000
603959.SH,百利科技,2016-10-28,16.33,15.99,7105280000
603959.SH,百利科技,2016-10-31,15.98,15.83,7033600000
603959.SH,百利科技,2016-11-01,15.86,16.14,7172480000
603959.SH,百利科技,2016-11-02,16.16,16.33,7257600000
603959.SH,百利科技,2016-11-03,16.18,16.52,7340480000
603959.SH,百利科技,2016-11-04,16.66,17.39,7725760000
603959.SH,百利科技,2016-11-07,17.69,17.41,7736960000
603959.SH,百利科技,2016-11-08,17.23,17.77,7896000000
603959.SH,百利科技,2016-11-09,17.64,17.32,7696640000
603959.SH,百利科技,2016-11-10,17.49,17.94,7972160000
603959.SH,百利科技,2016-11-11,17.94,17.61,7824320000
603959.SH,百利科技,2016-11-14,17.39,17.35,7710080000
603959.SH,百利科技,2016-11-15,17.26,17.21,7647360000
603959.SH,百利科技,2016-11-16,17.21,17.09,7593600000
603959.SH,百利科技,2016-11-17,17.02,16.85,7486080000
603959.SH,百利科技,2016-11-18,16.89,17.03,7566720000
603959.SH,百利科技,2016-11-21,16.89,18.73,8323840000
603959.SH,百利科技,2016-11-22,19.49,19.19,8525440000
603959.SH,百利科技,2016-11-23,19.05,18.19,8081920000
603959.SH,百利科技,2016-11-24,18.16,17.92,7960960000
603959.SH,百利科技,2016-11-25,17.75,17.71,7871360000
603959.SH,百利科技,2016-11-28,17.61,17.18,7633920000
603959.SH,百利科技,2016-11-29,17.23,17.23,7656320000
603959.SH,百利科技,2016-11-30,17.14,16.72,7430080000
603959.SH,百利科技,2016-12-01,16.79,16.86,7490560000
603959.SH,百利科技,2016-12-02,16.83,16.00,7107520000
603959.SH,百利科技,2016-12-05,15.63,16.01,7112000000
603959.SH,百利科技,2016-12-06,16.01,16.01,7114240000
603959.SH,百利科技,2016-12-07,16.03,16.09,7150080000
603959.SH,百利科技,2016-12-08,16.16,15.85,7044800000
603959.SH,百利科技,2016-12-09,15.93,15.49,6883520000
603959.SH,百利科技,2016-12-12,15.47,14.17,6296640000
603959.SH,百利科技,2016-12-13,14.18,14.26,6336960000
603959.SH,百利科技,2016-12-14,14.25,14.13,6278720000
603959.SH,百利科技,2016-12-15,14.11,14.52,6453440000
603959.SH,百利科技,2016-12-16,14.53,14.74,6549760000
603959.SH,百利科技,2016-12-19,14.77,14.76,6556480000
603959.SH,百利科技,2016-12-20,14.75,14.73,6545280000
603959.SH,百利科技,2016-12-21,14.87,15.77,7006720000
603959.SH,百利科技,2016-12-22,15.53,15.46,6870080000
603959.SH,百利科技,2016-12-23,15.33,14.83,6590080000
603959.SH,百利科技,2016-12-26,14.54,15.02,6675200000
603959.SH,百利科技,2016-12-27,15.00,14.83,6590080000
603959.SH,百利科技,2016-12-28,14.87,14.51,6446720000
603959.SH,百利科技,2016-12-29,14.51,14.48,6433280000
603959.SH,百利科技,2016-12-30,14.50,14.48,6435520000
603959.SH,百利科技,2017-01-03,14.48,14.84,6592320000
603959.SH,百利科技,2017-01-04,14.84,14.93,6632640000
603959.SH,百利科技,2017-01-05,15.01,14.93,6632640000
603959.SH,百利科技,2017-01-06,14.87,15.15,6731200000
603959.SH,百利科技,2017-01-09,15.12,14.85,6599040000
603959.SH,百利科技,2017-01-10,14.85,15.42,6849920000
603959.SH,百利科技,2017-01-11,15.15,15.14,6726720000
603959.SH,百利科技,2017-01-12,14.97,14.62,6496000000
603959.SH,百利科技,2017-01-13,14.67,13.99,6216000000
603959.SH,百利科技,2017-01-16,14.05,12.87,5718720000
603959.SH,百利科技,2017-01-17,12.80,13.07,5808320000
603959.SH,百利科技,2017-01-18,13.00,12.83,5700800000
603959.SH,百利科技,2017-01-19,12.79,12.93,5743360000
603959.SH,百利科技,2017-01-20,12.92,13.14,5837440000
603959.SH,百利科技,2017-01-23,13.13,13.29,5904640000
603959.SH,百利科技,2017-01-24,13.26,13.13,5835200000
603959.SH,百利科技,2017-01-25,13.13,13.18,5855360000
603959.SH,百利科技,2017-01-26,13.20,13.21,5868800000
603959.SH,百利科技,2017-02-03,13.29,13.22,5873280000
603959.SH,百利科技,2017-02-06,13.22,13.48,5989760000
603959.SH,百利科技,2017-02-07,13.48,13.32,5920320000
603959.SH,百利科技,2017-02-08,13.32,13.51,6003200000
603959.SH,百利科技,2017-02-09,13.51,13.59,6036800000
603959.SH,百利科技,2017-02-10,13.60,13.40,5956160000
603959.SH,百利科技,2017-02-13,13.38,13.59,6039040000
603959.SH,百利科技,2017-02-14,13.56,13.63,6056960000
603959.SH,百利科技,2017-02-15,13.64,13.70,6088320000
603959.SH,百利科技,2017-02-16,13.60,13.69,6083840000
603959.SH,百利科技,2017-02-17,13.76,13.46,5980800000
603959.SH,百利科技,2017-02-20,13.40,13.25,5888960000
603959.SH,百利科技,2017-02-21,13.25,13.42,5965120000
603959.SH,百利科技,2017-02-22,13.49,13.49,5994240000
603959.SH,百利科技,2017-02-23,13.42,13.55,6021120000
603959.SH,百利科技,2017-02-24,13.56,13.73,6101760000
603959.SH,百利科技,2017-02-27,13.81,13.55,6018880000
603959.SH,百利科技,2017-02-28,13.55,13.66,6068160000
603959.SH,百利科技,2017-03-01,13.65,13.71,6090560000
603959.SH,百利科技,2017-03-02,13.69,13.65,6065920000
603959.SH,百利科技,2017-03-03,13.59,13.35,5931520000
603959.SH,百利科技,2017-03-06,13.34,13.71,6092800000
603959.SH,百利科技,2017-03-07,13.78,14.10,6263040000
603959.SH,百利科技,2017-03-08,14.03,13.86,6157760000
603959.SH,百利科技,2017-03-09,13.86,13.97,6207040000
603959.SH,百利科技,2017-03-10,13.86,14.19,6303360000
603959.SH,百利科技,2017-03-13,14.12,14.36,6379520000
603959.SH,百利科技,2017-03-14,14.40,14.26,6334720000
603959.SH,百利科技,2017-03-15,14.12,14.05,6245120000
603959.SH,百利科技,2017-03-16,14.07,14.45,6419840000
603959.SH,百利科技,2017-03-17,14.44,14.04,6238400000
603959.SH,百利科技,2017-03-20,14.05,14.28,6343680000
603959.SH,百利科技,2017-03-21,14.28,14.51,6448960000
603959.SH,百利科技,2017-03-22,14.52,14.55,6464640000
603959.SH,百利科技,2017-03-23,14.34,14.65,6511680000
603959.SH,百利科技,2017-03-24,14.57,14.71,6536320000
603959.SH,百利科技,2017-03-27,14.72,14.87,6608000000
603959.SH,百利科技,2017-03-28,14.73,14.56,6469120000
603959.SH,百利科技,2017-03-29,14.52,14.00,6220480000
603959.SH,百利科技,2017-03-30,13.87,13.06,5803840000
603959.SH,百利科技,2017-03-31,13.21,13.13,5835200000
603959.SH,百利科技,2017-04-05,13.13,13.36,5938240000
603959.SH,百利科技,2017-04-06,13.36,13.32,5920320000
603959.SH,百利科技,2017-04-07,13.35,13.11,5826240000
603959.SH,百利科技,2017-04-10,13.11,12.64,5615680000
603959.SH,百利科技,2017-04-11,12.61,12.82,5698560000
603959.SH,百利科技,2017-04-12,12.75,12.67,5631360000
603959.SH,百利科技,2017-04-13,12.62,12.67,5631360000
603959.SH,百利科技,2017-04-14,12.73,13.04,5794880000
603959.SH,百利科技,2017-04-17,12.88,12.71,5647040000
603959.SH,百利科技,2017-04-18,12.69,12.11,5382720000
603959.SH,百利科技,2017-04-19,12.10,12.05,5353600000
603959.SH,百利科技,2017-04-20,12.05,11.72,5208000000
603959.SH,百利科技,2017-04-21,11.80,11.66,5178880000
603959.SH,百利科技,2017-04-24,11.67,11.09,4928000000
603959.SH,百利科技,2017-04-25,10.94,11.56,5138560000
603959.SH,百利科技,2017-04-26,11.54,11.73,5210240000
603959.SH,百利科技,2017-04-27,11.73,11.79,5239360000
603959.SH,百利科技,2017-04-28,11.80,11.89,5281920000
603959.SH,百利科技,2017-05-02,11.89,11.66,5181120000
603959.SH,百利科技,2017-05-03,11.65,11.76,5223680000
603959.SH,百利科技,2017-05-04,11.76,11.70,5196800000
603959.SH,百利科技,2017-05-05,11.49,11.41,5069120000
603959.SH,百利科技,2017-05-08,11.41,10.92,4851840000
603959.SH,百利科技,2017-05-09,10.92,11.32,5031040000
603959.SH,百利科技,2017-05-10,11.24,11.07,4916800000
603959.SH,百利科技,2017-05-11,11.08,10.64,4726400000
603959.SH,百利科技,2017-05-12,10.62,9.58,4258240000
603959.SH,百利科技,2017-05-15,9.43,9.20,4085760000
603959.SH,百利科技,2017-05-16,9.10,9.45,4197760000
603959.SH,百利科技,2017-05-17,9.40,9.55,4244800000
603959.SH,百利科技,2017-05-18,9.32,9.48,4211200000
603959.SH,百利科技,2017-05-19,9.48,9.48,4213440000
603959.SH,百利科技,2017-05-22,9.51,8.90,3953600000
603959.SH,百利科技,2017-05-23,9.00,8.37,3718400000
