代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
300336.SZ,新文化,2012-07-10,4.20,4.62,3052800000
300336.SZ,新文化,2012-07-11,4.51,4.18,2761920000
300336.SZ,新文化,2012-07-12,4.06,4.31,2842560000
300336.SZ,新文化,2012-07-13,4.18,4.01,2648640000
300336.SZ,新文化,2012-07-16,3.97,3.77,2487360000
300336.SZ,新文化,2012-07-17,3.79,3.84,2534400000
300336.SZ,新文化,2012-07-18,3.82,3.91,2582400000
300336.SZ,新文化,2012-07-19,3.86,3.91,2582400000
300336.SZ,新文化,2012-07-20,3.87,3.91,2580480000
300336.SZ,新文化,2012-07-23,3.85,4.03,2659200000
300336.SZ,新文化,2012-07-24,4.00,4.03,2658240000
300336.SZ,新文化,2012-07-25,4.02,4.09,2699520000
300336.SZ,新文化,2012-07-26,4.04,3.95,2611200000
300336.SZ,新文化,2012-07-27,3.97,3.98,2630400000
300336.SZ,新文化,2012-07-30,3.95,3.74,2471040000
300336.SZ,新文化,2012-07-31,3.71,3.55,2345280000
300336.SZ,新文化,2012-08-01,3.57,3.63,2400000000
300336.SZ,新文化,2012-08-02,3.60,3.58,2361600000
300336.SZ,新文化,2012-08-03,3.58,3.78,2496000000
300336.SZ,新文化,2012-08-06,3.72,3.83,2527680000
300336.SZ,新文化,2012-08-07,3.83,3.87,2558400000
300336.SZ,新文化,2012-08-08,3.83,3.83,2529600000
300336.SZ,新文化,2012-08-09,3.82,3.90,2573760000
300336.SZ,新文化,2012-08-10,3.90,3.83,2530560000
300336.SZ,新文化,2012-08-13,3.80,3.72,2457600000
300336.SZ,新文化,2012-08-14,3.69,3.79,2499840000
300336.SZ,新文化,2012-08-15,3.75,3.79,2503680000
300336.SZ,新文化,2012-08-16,3.78,3.73,2463360000
300336.SZ,新文化,2012-08-17,3.72,3.77,2491200000
300336.SZ,新文化,2012-08-20,3.72,3.90,2571840000
300336.SZ,新文化,2012-08-21,3.90,3.97,2619840000
300336.SZ,新文化,2012-08-22,3.95,3.91,2582400000
300336.SZ,新文化,2012-08-23,3.93,4.03,2663040000
300336.SZ,新文化,2012-08-24,4.01,3.88,2561280000
300336.SZ,新文化,2012-08-27,3.84,3.85,2544960000
300336.SZ,新文化,2012-08-28,3.84,3.96,2615040000
300336.SZ,新文化,2012-08-29,3.95,4.00,2643840000
300336.SZ,新文化,2012-08-30,3.98,3.86,2550720000
300336.SZ,新文化,2012-08-31,3.84,3.90,2572800000
300336.SZ,新文化,2012-09-03,3.91,4.20,2774400000
300336.SZ,新文化,2012-09-04,4.19,4.22,2784000000
300336.SZ,新文化,2012-09-05,4.18,4.13,2725440000
300336.SZ,新文化,2012-09-06,4.13,4.23,2793600000
300336.SZ,新文化,2012-09-07,4.28,4.27,2822400000
300336.SZ,新文化,2012-09-10,4.23,4.24,2796480000
300336.SZ,新文化,2012-09-11,4.22,4.19,2764800000
300336.SZ,新文化,2012-09-12,4.21,4.11,2716800000
300336.SZ,新文化,2012-09-13,4.11,4.08,2690880000
300336.SZ,新文化,2012-09-14,4.09,4.10,2709120000
300336.SZ,新文化,2012-09-17,4.10,3.84,2535360000
300336.SZ,新文化,2012-09-18,3.84,3.78,2498880000
300336.SZ,新文化,2012-09-19,3.80,3.81,2515200000
300336.SZ,新文化,2012-09-20,3.81,3.62,2388480000
300336.SZ,新文化,2012-09-21,3.65,3.61,2386560000
300336.SZ,新文化,2012-09-24,3.61,3.68,2431680000
300336.SZ,新文化,2012-09-25,3.66,3.54,2336640000
300336.SZ,新文化,2012-09-26,3.53,3.43,2261760000
300336.SZ,新文化,2012-09-27,3.43,3.51,2316480000
300336.SZ,新文化,2012-09-28,3.48,3.55,2342400000
300336.SZ,新文化,2012-10-08,3.55,3.49,2306880000
300336.SZ,新文化,2012-10-09,3.49,3.67,2424960000
300336.SZ,新文化,2012-10-10,3.62,3.72,2454720000
300336.SZ,新文化,2012-10-11,3.70,3.63,2395200000
300336.SZ,新文化,2012-10-12,3.74,3.62,2392320000
300336.SZ,新文化,2012-10-15,3.56,3.48,2298240000
300336.SZ,新文化,2012-10-16,3.47,3.53,2328000000
300336.SZ,新文化,2012-10-17,3.53,3.53,2328960000
300336.SZ,新文化,2012-10-18,3.55,3.59,2371200000
300336.SZ,新文化,2012-10-19,3.58,3.59,2367360000
300336.SZ,新文化,2012-10-22,3.54,3.61,2385600000
300336.SZ,新文化,2012-10-23,3.64,3.60,2378880000
300336.SZ,新文化,2012-10-24,3.56,3.58,2363520000
300336.SZ,新文化,2012-10-25,3.57,3.53,2328000000
300336.SZ,新文化,2012-10-26,3.55,3.50,2311680000
300336.SZ,新文化,2012-10-29,3.52,3.50,2313600000
300336.SZ,新文化,2012-10-30,3.52,3.57,2354880000
300336.SZ,新文化,2012-10-31,3.58,3.61,2385600000
300336.SZ,新文化,2012-11-01,3.62,3.63,2397120000
300336.SZ,新文化,2012-11-02,3.62,3.64,2400960000
300336.SZ,新文化,2012-11-05,3.63,3.62,2390400000
300336.SZ,新文化,2012-11-06,3.60,3.54,2337600000
300336.SZ,新文化,2012-11-07,3.54,3.54,2338560000
300336.SZ,新文化,2012-11-08,3.52,3.45,2280000000
300336.SZ,新文化,2012-11-09,3.44,3.48,2298240000
300336.SZ,新文化,2012-11-12,3.51,3.54,2334720000
300336.SZ,新文化,2012-11-13,3.54,3.45,2275200000
300336.SZ,新文化,2012-11-14,3.43,3.40,2246400000
300336.SZ,新文化,2012-11-15,3.37,3.35,2211840000
300336.SZ,新文化,2012-11-16,3.33,3.35,2209920000
300336.SZ,新文化,2012-11-19,3.35,3.30,2177280000
300336.SZ,新文化,2012-11-20,3.31,3.24,2136960000
300336.SZ,新文化,2012-11-21,3.25,3.29,2175360000
300336.SZ,新文化,2012-11-22,3.26,3.22,2128320000
300336.SZ,新文化,2012-11-23,3.23,3.23,2136000000
300336.SZ,新文化,2012-11-26,3.24,3.16,2087040000
300336.SZ,新文化,2012-11-27,3.14,2.88,1900800000
300336.SZ,新文化,2012-11-28,2.88,2.81,1856640000
300336.SZ,新文化,2012-11-29,2.82,2.76,1822080000
300336.SZ,新文化,2012-11-30,2.76,2.79,1840320000
300336.SZ,新文化,2012-12-03,2.79,2.62,1732800000
300336.SZ,新文化,2012-12-04,2.63,2.69,1776000000
300336.SZ,新文化,2012-12-05,2.69,2.81,1857600000
300336.SZ,新文化,2012-12-06,2.80,2.77,1830720000
300336.SZ,新文化,2012-12-07,2.78,2.86,1891200000
300336.SZ,新文化,2012-12-10,2.89,2.93,1935360000
300336.SZ,新文化,2012-12-11,2.90,2.87,1896000000
300336.SZ,新文化,2012-12-12,2.86,2.93,1936320000
300336.SZ,新文化,2012-12-13,2.91,2.84,1873920000
300336.SZ,新文化,2012-12-14,2.84,3.00,1977600000
300336.SZ,新文化,2012-12-17,3.01,3.00,1977600000
300336.SZ,新文化,2012-12-18,2.99,2.97,1960320000
300336.SZ,新文化,2012-12-19,2.96,3.00,1980480000
300336.SZ,新文化,2012-12-20,3.00,3.11,2052480000
300336.SZ,新文化,2012-12-21,3.13,3.36,2215680000
300336.SZ,新文化,2012-12-24,3.29,3.43,2267520000
300336.SZ,新文化,2012-12-25,3.41,3.50,2311680000
300336.SZ,新文化,2012-12-26,3.47,3.66,2413440000
300336.SZ,新文化,2012-12-27,3.66,3.47,2291520000
300336.SZ,新文化,2012-12-28,3.46,3.82,2520000000
300336.SZ,新文化,2012-12-31,3.84,3.83,2526720000
300336.SZ,新文化,2013-01-04,3.86,3.84,2534400000
300336.SZ,新文化,2013-01-07,3.80,3.85,2544000000
300336.SZ,新文化,2013-01-08,3.82,3.81,2516160000
300336.SZ,新文化,2013-01-09,3.74,3.65,2411520000
300336.SZ,新文化,2013-01-10,3.65,3.67,2423040000
300336.SZ,新文化,2013-01-11,3.74,3.78,2494080000
300336.SZ,新文化,2013-01-14,3.78,3.93,2594880000
300336.SZ,新文化,2013-01-15,3.95,3.93,2595840000
300336.SZ,新文化,2013-01-16,3.88,3.88,2559360000
300336.SZ,新文化,2013-01-17,3.93,3.84,2535360000
300336.SZ,新文化,2013-01-18,3.85,3.85,2539200000
300336.SZ,新文化,2013-01-21,3.84,4.07,2688960000
300336.SZ,新文化,2013-01-22,4.03,3.78,2498880000
