代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
600136.SH,当代文体,2010-01-04,5.86,5.86,1233483640
600136.SH,当代文体,2010-01-05,6.40,6.05,1273172360
600136.SH,当代文体,2010-01-06,5.95,5.86,1233483640
600136.SH,当代文体,2010-01-07,5.83,5.73,1205283760
600136.SH,当代文体,2010-01-08,5.68,5.63,1185439400
600136.SH,当代文体,2010-01-11,5.63,5.81,1221994800
600136.SH,当代文体,2010-01-12,5.78,5.84,1229305880
600136.SH,当代文体,2010-01-13,5.60,5.63,1185439400
600136.SH,当代文体,2010-01-14,5.63,5.78,1216772600
600136.SH,当代文体,2010-01-15,5.80,5.88,1236616960
600136.SH,当代文体,2010-01-18,5.92,5.93,1249150240
600136.SH,当代文体,2010-01-19,5.92,5.84,1229305880
600136.SH,当代文体,2010-01-20,5.84,5.93,1248105800
600136.SH,当代文体,2010-01-21,5.95,6.16,1297194480
600136.SH,当代文体,2010-01-22,6.23,6.32,1330616560
600136.SH,当代文体,2010-01-25,6.13,5.81,1221994800
600136.SH,当代文体,2010-01-26,5.71,5.39,1134261840
600136.SH,当代文体,2010-01-27,5.41,5.28,1112328600
600136.SH,当代文体,2010-01-28,5.28,5.30,1116506360
600136.SH,当代文体,2010-01-29,5.21,5.26,1107106400
600136.SH,当代文体,2010-02-01,5.24,5.18,1090395360
600136.SH,当代文体,2010-02-02,5.22,5.17,1088306480
600136.SH,当代文体,2010-02-03,5.19,5.45,1147839560
600136.SH,当代文体,2010-02-04,5.41,5.44,1144706240
600136.SH,当代文体,2010-02-05,5.34,5.24,1101884200
600136.SH,当代文体,2010-02-08,5.25,5.12,1076817640
600136.SH,当代文体,2010-02-09,5.16,5.11,1074728760
600136.SH,当代文体,2010-02-10,5.12,5.21,1096662000
600136.SH,当代文体,2010-02-11,5.22,5.17,1088306480
600136.SH,当代文体,2010-02-12,5.19,5.27,1109195280
600136.SH,当代文体,2010-02-22,5.30,5.25,1105017520
600136.SH,当代文体,2010-02-23,5.26,5.23,1100839760
600136.SH,当代文体,2010-02-24,5.23,5.35,1126950760
600136.SH,当代文体,2010-02-25,5.36,5.47,1150972880
600136.SH,当代文体,2010-02-26,5.43,5.45,1146795120
600136.SH,当代文体,2010-03-01,5.46,5.53,1163506160
600136.SH,当代文体,2010-03-02,5.53,5.64,1187528280
600136.SH,当代文体,2010-03-03,5.63,5.65,1189617160
600136.SH,当代文体,2010-03-04,5.65,5.37,1130084080
600136.SH,当代文体,2010-03-05,5.36,5.38,1132172960
600136.SH,当代文体,2010-03-08,5.36,5.42,1140528480
600136.SH,当代文体,2010-03-09,5.41,5.57,1171861680
600136.SH,当代文体,2010-03-10,5.53,5.60,1179172760
600136.SH,当代文体,2010-03-11,5.95,6.16,1297194480
600136.SH,当代文体,2010-03-12,6.34,5.95,1252283560
600136.SH,当代文体,2010-03-15,5.76,5.68,1195883800
600136.SH,当代文体,2010-03-16,5.62,5.72,1203194880
600136.SH,当代文体,2010-03-17,5.68,5.85,1230350320
600136.SH,当代文体,2010-03-18,5.80,5.93,1249150240
600136.SH,当代文体,2010-03-19,5.86,5.96,1254372440
600136.SH,当代文体,2010-03-22,5.94,5.97,1257505760
600136.SH,当代文体,2010-03-23,5.99,5.80,1219905920
600136.SH,当代文体,2010-03-24,5.78,5.91,1242883600
600136.SH,当代文体,2010-03-25,5.95,6.50,1367171960
600136.SH,当代文体,2010-03-26,6.94,6.99,1470571520
600136.SH,当代文体,2010-03-29,6.60,6.57,1381794120
600136.SH,当代文体,2010-03-30,6.48,6.58,1385971880
600136.SH,当代文体,2010-03-31,6.58,6.50,1368216400
600136.SH,当代文体,2010-04-01,6.42,6.56,1380749680
600136.SH,当代文体,2010-04-02,6.51,6.50,1367171960
600136.SH,当代文体,2010-04-06,6.51,6.62,1394327400
600136.SH,当代文体,2010-04-07,6.57,6.50,1367171960
600136.SH,当代文体,2010-04-08,6.50,6.34,1334794320
600136.SH,当代文体,2010-04-09,6.33,6.41,1349416480
600136.SH,当代文体,2010-04-12,6.41,6.38,1342105400
600136.SH,当代文体,2010-04-13,6.36,6.19,1302416680
600136.SH,当代文体,2010-04-14,6.19,6.25,1314949960
600136.SH,当代文体,2010-04-15,6.24,6.05,1274216800
600136.SH,当代文体,2010-04-16,6.03,6.04,1272127920
600136.SH,当代文体,2010-04-19,5.99,5.89,1239750280
600136.SH,当代文体,2010-04-20,5.81,5.55,1168728360
600136.SH,当代文体,2010-04-21,5.55,5.79,1217817040
600136.SH,当代文体,2010-04-22,5.74,5.73,1206328200
