代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
002996.SZ,顺博合金,2020-08-28,10.09,12.11,5316290000
002996.SZ,顺博合金,2020-08-31,13.32,13.32,5847480000
002996.SZ,顺博合金,2020-09-01,14.65,14.65,6431350000
002996.SZ,顺博合金,2020-09-02,16.12,16.12,7076680000
002996.SZ,顺博合金,2020-09-03,17.73,17.73,7783470000
002996.SZ,顺博合金,2020-09-04,19.50,18.34,8051260000
002996.SZ,顺博合金,2020-09-07,16.80,16.51,7247890000
002996.SZ,顺博合金,2020-09-08,14.86,15.14,6646460000
002996.SZ,顺博合金,2020-09-09,14.38,13.63,5983570000
002996.SZ,顺博合金,2020-09-10,13.64,13.23,5807970000
002996.SZ,顺博合金,2020-09-11,13.15,13.27,5825530000
002996.SZ,顺博合金,2020-09-14,13.08,13.19,5790410000
002996.SZ,顺博合金,2020-09-15,13.19,14.51,6369890000
002996.SZ,顺博合金,2020-09-16,14.59,14.85,6519150000
002996.SZ,顺博合金,2020-09-17,14.50,14.26,6260140000
002996.SZ,顺博合金,2020-09-18,14.00,13.88,6093320000
002996.SZ,顺博合金,2020-09-21,14.06,14.10,6189900000
002996.SZ,顺博合金,2020-09-22,13.90,13.80,6058200000
002996.SZ,顺博合金,2020-09-23,13.88,14.21,6238190000
002996.SZ,顺博合金,2020-09-24,13.92,13.69,6009910000
002996.SZ,顺博合金,2020-09-25,13.75,13.18,5786020000
002996.SZ,顺博合金,2020-09-28,13.17,12.62,5540180000
002996.SZ,顺博合金,2020-09-29,12.75,12.58,5522620000
002996.SZ,顺博合金,2020-09-30,12.47,12.73,5588470000
002996.SZ,顺博合金,2020-10-09,12.90,13.02,5715780000
002996.SZ,顺博合金,2020-10-12,13.10,13.26,5821140000
002996.SZ,顺博合金,2020-10-13,13.20,13.10,5750900000
002996.SZ,顺博合金,2020-10-14,13.18,13.29,5834310000
002996.SZ,顺博合金,2020-10-15,13.36,12.89,5658710000
002996.SZ,顺博合金,2020-10-16,12.88,12.75,5597250000
002996.SZ,顺博合金,2020-10-19,12.78,12.71,5579690000
002996.SZ,顺博合金,2020-10-20,12.67,12.88,5654320000
002996.SZ,顺博合金,2020-10-21,12.86,12.95,5685050000
002996.SZ,顺博合金,2020-10-22,12.94,13.03,5720170000
002996.SZ,顺博合金,2020-10-23,13.04,12.60,5531400000
002996.SZ,顺博合金,2020-10-26,12.54,12.56,5513840000
002996.SZ,顺博合金,2020-10-27,12.61,12.72,5584080000
002996.SZ,顺博合金,2020-10-28,12.75,12.81,5623590000
002996.SZ,顺博合金,2020-10-29,12.60,12.54,5505060000
002996.SZ,顺博合金,2020-10-30,12.56,11.82,5188980000
002996.SZ,顺博合金,2020-11-02,11.82,11.59,5088010000
002996.SZ,顺博合金,2020-11-03,11.62,12.15,5333850000
002996.SZ,顺博合金,2020-11-04,12.20,12.86,5645540000
002996.SZ,顺博合金,2020-11-05,12.89,13.14,5768460000
002996.SZ,顺博合金,2020-11-06,13.20,12.92,5671880000
002996.SZ,顺博合金,2020-11-09,13.05,13.64,5987960000
002996.SZ,顺博合金,2020-11-10,13.64,13.77,6045030000
002996.SZ,顺博合金,2020-11-11,13.75,14.70,6453300000
002996.SZ,顺博合金,2020-11-12,14.15,13.96,6128440000
002996.SZ,顺博合金,2020-11-13,13.57,14.26,6260140000
002996.SZ,顺博合金,2020-11-16,14.50,15.19,6668410000
002996.SZ,顺博合金,2020-11-17,14.98,14.23,6246970000
002996.SZ,顺博合金,2020-11-18,13.89,14.80,6497200000
002996.SZ,顺博合金,2020-11-19,14.92,14.61,6413790000
002996.SZ,顺博合金,2020-11-20,14.40,14.47,6352330000
002996.SZ,顺博合金,2020-11-23,14.52,14.46,6347940000
002996.SZ,顺博合金,2020-11-24,14.05,14.12,6198680000
002996.SZ,顺博合金,2020-11-25,14.35,13.69,6009910000
002996.SZ,顺博合金,2020-11-26,13.60,13.77,6045030000
002996.SZ,顺博合金,2020-11-27,13.65,13.49,5922110000
002996.SZ,顺博合金,2020-11-30,13.50,14.84,6514760000
002996.SZ,顺博合金,2020-12-01,15.33,16.32,7164480000
002996.SZ,顺博合金,2020-12-02,17.20,17.95,7880050000
002996.SZ,顺博合金,2020-12-03,16.60,17.65,7748350000
002996.SZ,顺博合金,2020-12-04,16.80,18.43,8090770000
002996.SZ,顺博合金,2020-12-07,17.22,16.85,7397150000
002996.SZ,顺博合金,2020-12-08,17.03,16.09,7063510000
002996.SZ,顺博合金,2020-12-09,15.80,15.86,6962540000
002996.SZ,顺博合金,2020-12-10,15.60,16.49,7239110000
002996.SZ,顺博合金,2020-12-11,16.51,14.84,6514760000
002996.SZ,顺博合金,2020-12-14,14.30,14.48,6356720000
002996.SZ,顺博合金,2020-12-15,14.68,14.59,6405010000
002996.SZ,顺博合金,2020-12-16,14.42,14.36,6304040000
002996.SZ,顺博合金,2020-12-17,14.29,15.80,6936200000
002996.SZ,顺博合金,2020-12-18,16.24,16.46,7225940000
002996.SZ,顺博合金,2020-12-21,16.22,16.30,7155700000
002996.SZ,顺博合金,2020-12-22,15.92,15.54,6822060000
002996.SZ,顺博合金,2020-12-23,15.57,15.37,6747430000
002996.SZ,顺博合金,2020-12-24,15.30,14.51,6369890000
002996.SZ,顺博合金,2020-12-25,14.70,15.96,7006440000
002996.SZ,顺博合金,2020-12-28,16.81,16.93,7432270000
002996.SZ,顺博合金,2020-12-29,16.73,15.24,6690360000
002996.SZ,顺博合金,2020-12-30,15.31,16.76,7357640000
002996.SZ,顺博合金,2020-12-31,17.15,16.27,7142530000

数据来源: Wind
