代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
600217.SH,中再资环,2010-01-04,5.78,5.78,3819424000
600217.SH,中再资环,2010-01-05,5.78,5.78,3819424000
600217.SH,中再资环,2010-01-06,5.78,5.78,3819424000
600217.SH,中再资环,2010-01-07,5.78,5.78,3819424000
600217.SH,中再资环,2010-01-08,5.78,5.78,3819424000
600217.SH,中再资环,2010-01-11,5.78,5.78,3819424000
600217.SH,中再资环,2010-01-12,5.78,5.78,3819424000
600217.SH,中再资环,2010-01-13,5.78,5.78,3819424000
600217.SH,中再资环,2010-01-14,5.78,5.78,3819424000
600217.SH,中再资环,2010-01-15,5.78,5.78,3819424000
600217.SH,中再资环,2010-01-18,5.78,5.78,3819424000
600217.SH,中再资环,2010-01-19,5.78,5.78,3819424000
600217.SH,中再资环,2010-01-20,5.78,5.78,3819424000
600217.SH,中再资环,2010-01-21,5.78,5.78,3819424000
600217.SH,中再资环,2010-01-22,5.78,5.78,3819424000
600217.SH,中再资环,2010-01-25,5.78,5.78,3819424000
600217.SH,中再资环,2010-01-26,5.78,5.78,3819424000
600217.SH,中再资环,2010-01-27,5.78,5.78,3819424000
600217.SH,中再资环,2010-01-28,5.78,5.78,3819424000
600217.SH,中再资环,2010-01-29,5.78,5.78,3819424000
600217.SH,中再资环,2010-02-01,5.78,5.78,3819424000
600217.SH,中再资环,2010-02-02,5.78,5.78,3819424000
600217.SH,中再资环,2010-02-03,6.07,6.07,4011056000
600217.SH,中再资环,2010-02-04,6.37,6.37,4209296000
600217.SH,中再资环,2010-02-05,6.69,6.69,4420752000
600217.SH,中再资环,2010-02-08,6.69,6.69,4420752000
600217.SH,中再资环,2010-02-09,7.02,7.02,4638816000
600217.SH,中再资环,2010-02-10,7.37,7.37,4870096000
600217.SH,中再资环,2010-02-11,7.65,7.02,4638816000
600217.SH,中再资环,2010-02-12,6.99,6.98,4612384000
600217.SH,中再资环,2010-02-22,7.00,7.05,4658640000
600217.SH,中再资环,2010-02-23,7.05,6.85,4526480000
600217.SH,中再资环,2010-02-24,6.82,6.93,4579344000
600217.SH,中再资环,2010-02-25,6.87,6.90,4559520000
600217.SH,中再资环,2010-02-26,6.87,6.88,4546304000
600217.SH,中再资环,2010-03-01,6.88,7.22,4770976000
600217.SH,中再资环,2010-03-02,7.47,7.22,4770976000
600217.SH,中再资环,2010-03-03,7.23,7.21,4764368000
600217.SH,中再资环,2010-03-04,7.18,6.91,4566128000
600217.SH,中再资环,2010-03-05,6.93,6.93,4579344000
600217.SH,中再资环,2010-03-08,6.91,6.94,4585952000
600217.SH,中再资环,2010-03-09,6.94,6.87,4539696000
600217.SH,中再资环,2010-03-10,6.91,6.87,4539696000
600217.SH,中再资环,2010-03-11,6.85,6.79,4486832000
600217.SH,中再资环,2010-03-12,6.79,6.59,4354672000
600217.SH,中再资环,2010-03-15,6.60,6.45,4262160000
600217.SH,中再资环,2010-03-16,6.41,6.42,4242336000
600217.SH,中再资环,2010-03-17,6.46,6.74,4453792000
600217.SH,中再资环,2010-03-18,6.68,6.68,4414144000
600217.SH,中再资环,2010-03-19,6.69,6.65,4394320000
600217.SH,中再资环,2010-03-22,6.65,6.50,4295200000
600217.SH,中再资环,2010-03-23,6.50,6.61,4367888000
600217.SH,中再资环,2010-03-24,6.63,6.58,4348064000
600217.SH,中再资环,2010-03-25,6.51,6.45,4262160000
600217.SH,中再资环,2010-03-26,6.45,6.53,4315024000
600217.SH,中再资环,2010-03-29,6.54,6.59,4354672000
600217.SH,中再资环,2010-03-30,6.62,6.60,4361280000
600217.SH,中再资环,2010-03-31,6.58,6.48,4281984000
600217.SH,中再资环,2010-04-01,6.45,6.56,4334848000
600217.SH,中再资环,2010-04-02,6.58,6.71,4433968000
600217.SH,中再资环,2010-04-06,6.71,6.66,4400928000
600217.SH,中再资环,2010-04-07,6.67,6.88,4546304000
600217.SH,中再资环,2010-04-08,6.89,6.86,4533088000
600217.SH,中再资环,2010-04-09,6.86,6.86,4533088000
600217.SH,中再资环,2010-04-12,7.00,6.98,4612384000
600217.SH,中再资环,2010-04-13,7.00,6.74,4453792000
600217.SH,中再资环,2010-04-14,6.69,6.73,4447184000
600217.SH,中再资环,2010-04-15,6.76,6.69,4420752000
600217.SH,中再资环,2010-04-16,6.69,6.72,4440576000
600217.SH,中再资环,2010-04-19,6.69,6.38,4215904000
600217.SH,中再资环,2010-04-20,6.35,6.23,4116784000
600217.SH,中再资环,2010-04-21,6.23,6.34,4189472000
600217.SH,中再资环,2010-04-22,6.30,6.21,4103568000
600217.SH,中再资环,2010-04-23,6.21,6.19,4090352000
600217.SH,中再资环,2010-04-26,6.25,6.19,4090352000
600217.SH,中再资环,2010-04-27,6.19,5.92,3911936000
600217.SH,中再资环,2010-04-28,5.94,5.79,3826032000
600217.SH,中再资环,2010-04-29,5.80,5.78,3819424000
600217.SH,中再资环,2010-04-30,5.80,5.54,3660832000
600217.SH,中再资环,2010-05-04,5.50,5.47,3614576000
600217.SH,中再资环,2010-05-05,5.40,5.74,3792992000
600217.SH,中再资环,2010-05-06,5.80,5.74,3792992000
600217.SH,中再资环,2010-05-07,5.74,5.74,3792992000
600217.SH,中再资环,2010-05-10,5.74,5.74,3792992000
