代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
603929.SH,亚翔集成,2016-12-30,6.79,6.79,1516989600
603929.SH,亚翔集成,2017-01-03,7.47,7.47,1668475200
603929.SH,亚翔集成,2017-01-04,8.22,8.22,1834896000
603929.SH,亚翔集成,2017-01-05,9.04,9.04,2018385600
603929.SH,亚翔集成,2017-01-06,9.95,9.95,2221077600
603929.SH,亚翔集成,2017-01-09,10.94,10.94,2442972000
603929.SH,亚翔集成,2017-01-10,12.04,12.04,2688336000
603929.SH,亚翔集成,2017-01-11,13.24,13.24,2957169600
603929.SH,亚翔集成,2017-01-12,14.57,14.57,3253740000
603929.SH,亚翔集成,2017-01-13,16.03,16.03,3580180800
603929.SH,亚翔集成,2017-01-16,17.64,17.64,3938625600
603929.SH,亚翔集成,2017-01-17,19.40,19.40,4333341600
603929.SH,亚翔集成,2017-01-18,21.34,21.34,4766462400
603929.SH,亚翔集成,2017-01-19,23.47,23.47,5242255200
603929.SH,亚翔集成,2017-01-20,24.28,25.82,5767120800
603929.SH,亚翔集成,2017-01-23,26.60,25.12,5609234400
603929.SH,亚翔集成,2017-01-24,25.01,25.07,5598566400
603929.SH,亚翔集成,2017-01-25,24.74,25.71,5741517600
603929.SH,亚翔集成,2017-01-26,25.49,25.95,5794857600
603929.SH,亚翔集成,2017-02-03,25.75,25.32,5654040000
603929.SH,亚翔集成,2017-02-06,25.70,27.85,6219444000
603929.SH,亚翔集成,2017-02-07,28.62,28.45,6353860800
603929.SH,亚翔集成,2017-02-08,27.99,29.20,6520281600
603929.SH,亚翔集成,2017-02-09,28.81,28.90,6454140000
603929.SH,亚翔集成,2017-02-10,28.95,28.40,6343192800
603929.SH,亚翔集成,2017-02-13,27.95,29.54,6597091200
603929.SH,亚翔集成,2017-02-14,29.32,29.41,6567220800
603929.SH,亚翔集成,2017-02-15,28.98,30.05,6710172000
603929.SH,亚翔集成,2017-02-16,29.63,29.34,6552285600
603929.SH,亚翔集成,2017-02-17,28.96,27.70,6185306400
603929.SH,亚翔集成,2017-02-20,27.70,27.26,6087160800
603929.SH,亚翔集成,2017-02-21,27.31,27.88,6225844800
603929.SH,亚翔集成,2017-02-22,27.91,28.23,6304788000
603929.SH,亚翔集成,2017-02-23,27.99,28.75,6420002400
603929.SH,亚翔集成,2017-02-24,28.59,29.36,6556552800
603929.SH,亚翔集成,2017-02-27,29.14,29.61,6612026400
603929.SH,亚翔集成,2017-02-28,29.45,30.85,6889394400
603929.SH,亚翔集成,2017-03-01,30.61,31.02,6927799200
603929.SH,亚翔集成,2017-03-02,30.82,31.37,7004608800
603929.SH,亚翔集成,2017-03-03,31.08,33.67,7518806400
603929.SH,亚翔集成,2017-03-06,33.33,33.67,7518806400
603929.SH,亚翔集成,2017-03-07,33.30,32.67,7296912000
603929.SH,亚翔集成,2017-03-08,32.85,32.70,7303312800
603929.SH,亚翔集成,2017-03-09,32.30,31.94,7132624800
603929.SH,亚翔集成,2017-03-10,31.79,31.64,7066483200
603929.SH,亚翔集成,2017-03-13,31.32,32.45,7247839200
603929.SH,亚翔集成,2017-03-14,32.48,32.58,7275576000
603929.SH,亚翔集成,2017-03-15,32.33,31.78,7096353600
603929.SH,亚翔集成,2017-03-16,31.92,32.88,7343851200
603929.SH,亚翔集成,2017-03-17,32.87,31.46,7025944800
603929.SH,亚翔集成,2017-03-20,31.58,32.72,7307580000
603929.SH,亚翔集成,2017-03-21,32.79,33.81,7550810400
603929.SH,亚翔集成,2017-03-22,33.44,34.73,7755636000
603929.SH,亚翔集成,2017-03-23,34.54,33.63,7510272000
603929.SH,亚翔集成,2017-03-24,33.36,35.20,7860182400
603929.SH,亚翔集成,2017-03-27,35.36,35.47,7922056800
603929.SH,亚翔集成,2017-03-28,34.39,33.04,7377988800
603929.SH,亚翔集成,2017-03-29,32.74,30.68,6850989600
603929.SH,亚翔集成,2017-03-30,30.57,29.61,6612026400
603929.SH,亚翔集成,2017-03-31,29.89,29.45,6575755200
603929.SH,亚翔集成,2017-04-05,29.43,30.42,6793382400
603929.SH,亚翔集成,2017-04-06,30.28,30.35,6778447200
603929.SH,亚翔集成,2017-04-07,30.39,29.33,6550152000
603929.SH,亚翔集成,2017-04-10,28.76,27.20,6074359200
603929.SH,亚翔集成,2017-04-11,27.42,28.10,6274917600
603929.SH,亚翔集成,2017-04-12,28.05,27.30,6095695200
603929.SH,亚翔集成,2017-04-13,27.32,27.39,6117031200
603929.SH,亚翔集成,2017-04-14,27.13,27.01,6031687200
603929.SH,亚翔集成,2017-04-17,26.07,25.30,5649772800
603929.SH,亚翔集成,2017-04-18,25.33,25.36,5662574400
603929.SH,亚翔集成,2017-04-19,25.32,26.24,5860999200
603929.SH,亚翔集成,2017-04-20,26.18,25.66,5730849600
603929.SH,亚翔集成,2017-04-21,25.60,25.41,5675376000
603929.SH,亚翔集成,2017-04-24,25.21,24.72,5519623200
603929.SH,亚翔集成,2017-04-25,24.67,25.15,5615635200
603929.SH,亚翔集成,2017-04-26,25.15,25.21,5630570400
603929.SH,亚翔集成,2017-04-27,25.08,26.43,5901537600
603929.SH,亚翔集成,2017-04-28,26.22,26.46,5910072000
603929.SH,亚翔集成,2017-05-02,25.70,25.70,5739384000
603929.SH,亚翔集成,2017-05-03,25.59,26.15,5839663200
603929.SH,亚翔集成,2017-05-04,26.02,25.65,5728716000
603929.SH,亚翔集成,2017-05-05,25.40,24.66,5506821600
603929.SH,亚翔集成,2017-05-08,24.36,23.70,5293461600
603929.SH,亚翔集成,2017-05-09,23.87,24.43,5455615200
603929.SH,亚翔集成,2017-05-10,24.44,23.82,5319064800
603929.SH,亚翔集成,2017-05-11,23.50,24.72,5519623200
603929.SH,亚翔集成,2017-05-12,24.65,24.80,5538825600
603929.SH,亚翔集成,2017-05-15,24.74,24.30,5425744800
603929.SH,亚翔集成,2017-05-16,24.30,25.07,5598566400
603929.SH,亚翔集成,2017-05-17,24.86,25.70,5739384000
603929.SH,亚翔集成,2017-05-18,25.30,25.19,5626303200
603929.SH,亚翔集成,2017-05-19,24.96,24.94,5568696000
603929.SH,亚翔集成,2017-05-22,25.08,23.53,5255056800
603929.SH,亚翔集成,2017-05-23,23.34,22.51,5026761600
603929.SH,亚翔集成,2017-05-24,22.45,22.74,5077968000
603929.SH,亚翔集成,2017-05-25,22.69,22.60,5048097600
603929.SH,亚翔集成,2017-05-26,22.73,22.61,5050231200
603929.SH,亚翔集成,2017-05-31,23.42,22.16,4947818400
603929.SH,亚翔集成,2017-06-01,21.97,20.14,4497628800
603929.SH,亚翔集成,2017-06-02,19.94,20.64,4608576000
603929.SH,亚翔集成,2017-06-05,20.83,20.78,4640580000
603929.SH,亚翔集成,2017-06-06,20.82,20.88,4664049600
603929.SH,亚翔集成,2017-06-07,20.83,21.74,4856073600
603929.SH,亚翔集成,2017-06-08,21.74,21.59,4821936000
603929.SH,亚翔集成,2017-06-09,21.60,21.58,4819802400
603929.SH,亚翔集成,2017-06-12,21.30,20.64,4608576000
603929.SH,亚翔集成,2017-06-13,20.64,21.35,4768596000
603929.SH,亚翔集成,2017-06-14,21.26,21.37,4772863200
603929.SH,亚翔集成,2017-06-15,21.34,21.92,4860340800
603929.SH,亚翔集成,2017-06-16,21.84,21.53,4772863200
603929.SH,亚翔集成,2017-06-19,21.41,21.53,4772863200
603929.SH,亚翔集成,2017-06-20,21.72,21.57,4783531200
603929.SH,亚翔集成,2017-06-21,21.57,21.48,4762195200
603929.SH,亚翔集成,2017-06-22,21.56,20.70,4589373600
603929.SH,亚翔集成,2017-06-23,20.75,21.09,4676851200
603929.SH,亚翔集成,2017-06-26,21.00,21.63,4796332800
603929.SH,亚翔集成,2017-06-27,21.57,21.49,4764328800
603929.SH,亚翔集成,2017-06-28,21.81,21.16,4691786400
603929.SH,亚翔集成,2017-06-29,22.71,21.53,4772863200
603929.SH,亚翔集成,2017-06-30,21.56,21.67,4804867200
603929.SH,亚翔集成,2017-07-03,21.73,21.97,4871008800
603929.SH,亚翔集成,2017-07-04,21.92,21.73,4817668800
603929.SH,亚翔集成,2017-07-05,21.75,22.07,4894478400
603929.SH,亚翔集成,2017-07-06,22.12,22.20,4922215200
603929.SH,亚翔集成,2017-07-07,22.20,22.72,5037429600
603929.SH,亚翔集成,2017-07-10,22.45,21.97,4871008800
603929.SH,亚翔集成,2017-07-11,21.85,21.06,4670450400
603929.SH,亚翔集成,2017-07-12,21.12,21.30,4721656800
603929.SH,亚翔集成,2017-07-13,21.10,20.98,4651248000
603929.SH,亚翔集成,2017-07-14,20.84,20.53,4550968800
603929.SH,亚翔集成,2017-07-17,20.35,18.48,4096512000
603929.SH,亚翔集成,2017-07-18,18.34,18.44,4087977600
603929.SH,亚翔集成,2017-07-19,18.34,18.60,4124248800
603929.SH,亚翔集成,2017-07-20,18.71,19.26,4271467200
603929.SH,亚翔集成,2017-07-21,19.11,18.97,4205325600
603929.SH,亚翔集成,2017-07-24,18.81,19.67,4361078400
603929.SH,亚翔集成,2017-07-25,19.69,19.61,4348276800
603929.SH,亚翔集成,2017-07-26,19.61,19.37,4294936800
603929.SH,亚翔集成,2017-07-27,19.34,20.30,4501896000
603929.SH,亚翔集成,2017-07-28,20.17,19.99,4431487200
603929.SH,亚翔集成,2017-07-31,19.80,19.98,4429353600
603929.SH,亚翔集成,2017-08-01,19.92,19.90,4412284800
603929.SH,亚翔集成,2017-08-02,19.96,19.30,4280001600
603929.SH,亚翔集成,2017-08-03,19.20,19.58,4341876000
603929.SH,亚翔集成,2017-08-04,19.52,19.14,4243730400
603929.SH,亚翔集成,2017-08-07,19.03,19.31,4282135200
603929.SH,亚翔集成,2017-08-08,19.25,19.17,4250131200
603929.SH,亚翔集成,2017-08-09,19.25,19.24,4265066400
603929.SH,亚翔集成,2017-08-10,19.23,18.86,4181856000
603929.SH,亚翔集成,2017-08-11,18.19,17.82,3951427200
