代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
002163.SZ,海南发展,2010-01-04,4.74,4.81,3006960000
002163.SZ,海南发展,2010-01-05,4.81,4.85,3031440000
002163.SZ,海南发展,2010-01-06,4.88,4.84,3025320000
002163.SZ,海南发展,2010-01-07,4.84,4.71,2943720000
002163.SZ,海南发展,2010-01-08,4.70,4.86,3039600000
002163.SZ,海南发展,2010-01-11,4.96,4.87,3045720000
002163.SZ,海南发展,2010-01-12,4.88,5.08,3176280000
002163.SZ,海南发展,2010-01-13,4.98,5.59,3494520000
002163.SZ,海南发展,2010-01-14,5.61,5.75,3596520000
002163.SZ,海南发展,2010-01-15,5.62,5.64,3527160000
002163.SZ,海南发展,2010-01-18,5.63,5.78,3610800000
002163.SZ,海南发展,2010-01-19,5.78,5.62,3512880000
002163.SZ,海南发展,2010-01-20,5.62,5.16,3223200000
002163.SZ,海南发展,2010-01-21,5.16,5.20,3251760000
002163.SZ,海南发展,2010-01-22,5.10,4.93,3078360000
002163.SZ,海南发展,2010-01-25,4.94,5.01,3131400000
002163.SZ,海南发展,2010-01-26,5.00,4.85,3029400000
002163.SZ,海南发展,2010-01-27,4.89,4.86,3039600000
002163.SZ,海南发展,2010-01-28,4.83,5.03,3145680000
002163.SZ,海南发展,2010-01-29,5.01,5.04,3149760000
002163.SZ,海南发展,2010-02-01,5.09,5.07,3166080000
002163.SZ,海南发展,2010-02-02,5.10,4.72,2947800000
002163.SZ,海南发展,2010-02-03,4.64,4.60,2874360000
002163.SZ,海南发展,2010-02-04,4.57,4.69,2929440000
002163.SZ,海南发展,2010-02-05,4.56,4.58,2860080000
002163.SZ,海南发展,2010-02-08,4.62,4.51,2817240000
002163.SZ,海南发展,2010-02-09,4.51,4.49,2805000000
002163.SZ,海南发展,2010-02-10,4.51,4.59,2870280000
002163.SZ,海南发展,2010-02-11,4.60,4.57,2858040000
002163.SZ,海南发展,2010-02-12,4.61,4.65,2909040000
002163.SZ,海南发展,2010-02-22,4.64,4.72,2951880000
002163.SZ,海南发展,2010-02-23,4.72,4.68,2923320000
002163.SZ,海南发展,2010-02-24,4.68,4.91,3070200000
002163.SZ,海南发展,2010-02-25,4.94,5.11,3192600000
002163.SZ,海南发展,2010-02-26,5.11,5.03,3141600000
002163.SZ,海南发展,2010-03-01,5.03,5.03,3141600000
002163.SZ,海南发展,2010-03-02,5.11,5.12,3202800000
002163.SZ,海南发展,2010-03-03,5.12,5.28,3300720000
002163.SZ,海南发展,2010-03-04,5.23,4.98,3115080000
002163.SZ,海南发展,2010-03-05,5.01,4.93,3082440000
002163.SZ,海南发展,2010-03-08,4.90,4.95,3090600000
002163.SZ,海南发展,2010-03-09,4.99,4.97,3104880000
002163.SZ,海南发展,2010-03-10,4.98,4.94,3084480000
002163.SZ,海南发展,2010-03-11,4.95,4.88,3049800000
002163.SZ,海南发展,2010-03-12,4.88,4.70,2939640000
002163.SZ,海南发展,2010-03-15,4.70,4.72,2947800000
002163.SZ,海南发展,2010-03-16,4.75,4.78,2988600000
002163.SZ,海南发展,2010-03-17,4.80,5.00,3127320000
002163.SZ,海南发展,2010-03-18,5.03,4.98,3115080000
002163.SZ,海南发展,2010-03-19,4.96,5.08,3174240000
002163.SZ,海南发展,2010-03-22,5.08,5.12,3202800000
002163.SZ,海南发展,2010-03-23,5.16,5.02,3135480000
002163.SZ,海南发展,2010-03-24,5.02,5.02,3139560000
002163.SZ,海南发展,2010-03-25,4.99,5.19,3243600000
002163.SZ,海南发展,2010-03-26,5.14,5.25,3282360000
002163.SZ,海南发展,2010-03-29,5.29,5.43,3390480000
002163.SZ,海南发展,2010-03-30,5.40,5.61,3508800000
002163.SZ,海南发展,2010-03-31,5.58,5.56,3476160000
002163.SZ,海南发展,2010-04-01,5.57,5.73,3582240000
002163.SZ,海南发展,2010-04-02,5.75,5.74,3588360000
002163.SZ,海南发展,2010-04-06,5.74,5.68,3549600000
002163.SZ,海南发展,2010-04-07,5.71,5.97,3731160000
002163.SZ,海南发展,2010-04-08,5.96,5.89,3678120000
002163.SZ,海南发展,2010-04-09,5.87,5.84,3649560000
002163.SZ,海南发展,2010-04-12,5.92,5.91,3696480000
002163.SZ,海南发展,2010-04-13,5.90,5.75,3596520000
002163.SZ,海南发展,2010-04-14,5.75,5.78,3612840000
002163.SZ,海南发展,2010-04-15,5.76,5.88,3672000000
002163.SZ,海南发展,2010-04-16,5.80,6.08,3802560000
002163.SZ,海南发展,2010-04-19,6.03,5.78,3610800000
002163.SZ,海南发展,2010-04-20,5.85,6.12,3822960000
002163.SZ,海南发展,2010-04-21,6.27,6.56,5383785000
002163.SZ,海南发展,2010-04-22,6.59,6.81,5587351000
002163.SZ,海南发展,2010-04-23,6.72,6.81,5590029500
002163.SZ,海南发展,2010-04-26,6.82,6.85,5624850000
002163.SZ,海南发展,2010-04-27,6.87,6.66,5464140000
002163.SZ,海南发展,2010-04-28,6.53,6.67,5472175500
002163.SZ,海南发展,2010-04-29,6.64,6.49,5324858000
002163.SZ,海南发展,2010-04-30,6.39,6.27,5142720000
002163.SZ,海南发展,2010-05-04,6.09,6.31,5177540500
002163.SZ,海南发展,2010-05-05,6.21,6.57,5391820500
002163.SZ,海南发展,2010-05-06,6.57,6.57,5391820500
002163.SZ,海南发展,2010-05-07,6.20,6.47,5308787000
002163.SZ,海南发展,2010-05-10,6.37,6.20,5089150000
002163.SZ,海南发展,2010-05-11,6.33,5.65,4633805000
002163.SZ,海南发展,2010-05-12,5.65,5.65,4633805000
002163.SZ,海南发展,2010-05-13,5.52,5.91,4848085000
002163.SZ,海南发展,2010-05-14,5.93,6.11,5011473500
002163.SZ,海南发展,2010-05-17,6.04,5.84,4794515000
002163.SZ,海南发展,2010-05-18,5.74,5.83,4786479500
002163.SZ,海南发展,2010-05-19,5.68,5.72,4692732000
002163.SZ,海南发展,2010-05-20,5.43,5.66,4620412500
002163.SZ,海南发展,2010-05-21,5.57,5.81,4740945000
002163.SZ,海南发展,2010-05-24,5.86,6.06,4941832500
002163.SZ,海南发展,2010-05-25,6.03,6.06,4941832500
002163.SZ,海南发展,2010-05-26,6.05,6.02,4909690500
002163.SZ,海南发展,2010-05-27,6.01,6.14,5006116500
002163.SZ,海南发展,2010-05-28,6.17,6.23,5078436000
002163.SZ,海南发展,2010-05-31,6.16,6.06,4945850250
002163.SZ,海南发展,2010-06-01,6.01,5.96,4861477500
002163.SZ,海南发展,2010-06-02,5.92,6.00,4897637250
002163.SZ,海南发展,2010-06-03,6.06,5.74,4684696500
002163.SZ,海南发展,2010-06-04,5.74,5.74,4684696500
002163.SZ,海南发展,2010-06-07,5.64,5.76,4700767500
002163.SZ,海南发展,2010-06-08,5.76,6.15,5018169750
002163.SZ,海南发展,2010-06-09,6.21,6.26,5106560250
002163.SZ,海南发展,2010-06-10,6.21,6.45,5259234750
002163.SZ,海南发展,2010-06-11,6.47,6.40,5219057250
002163.SZ,海南发展,2010-06-17,6.45,6.42,5239146000
002163.SZ,海南发展,2010-06-18,6.40,6.06,4941832500
002163.SZ,海南发展,2010-06-21,6.06,6.43,5243163750
002163.SZ,海南发展,2010-06-22,6.43,6.61,5387802750
002163.SZ,海南发展,2010-06-23,6.60,6.63,5407891500
002163.SZ,海南发展,2010-06-24,6.65,6.58,5363696250
002163.SZ,海南发展,2010-06-25,6.58,6.58,5363696250
002163.SZ,海南发展,2010-06-28,6.50,6.28,5118613500
002163.SZ,海南发展,2010-06-29,6.30,6.13,4998081000
002163.SZ,海南发展,2010-06-30,6.07,6.13,5002098750
002163.SZ,海南发展,2010-07-01,6.08,6.06,4941832500
002163.SZ,海南发展,2010-07-02,6.05,5.86,4781122500
002163.SZ,海南发展,2010-07-05,5.71,5.79,4720856250
002163.SZ,海南发展,2010-07-06,5.79,6.13,4998081000
002163.SZ,海南发展,2010-07-07,6.16,6.40,5223075000
002163.SZ,海南发展,2010-07-08,6.40,6.35,5178879750
002163.SZ,海南发展,2010-07-09,6.35,6.51,5307447750
002163.SZ,海南发展,2010-07-12,6.48,6.64,5411909250
002163.SZ,海南发展,2010-07-13,6.60,6.58,5367714000
002163.SZ,海南发展,2010-07-14,6.58,6.64,5411909250
002163.SZ,海南发展,2010-07-15,6.80,6.34,5174862000
002163.SZ,海南发展,2010-07-16,6.33,6.28,5122631250
002163.SZ,海南发展,2010-07-19,6.16,6.33,5166826500
002163.SZ,海南发展,2010-07-20,6.34,6.63,5403873750
002163.SZ,海南发展,2010-07-21,6.67,7.00,5709222750
002163.SZ,海南发展,2010-07-22,6.95,7.02,5729311500
002163.SZ,海南发展,2010-07-23,7.00,6.88,5612796750
002163.SZ,海南发展,2010-07-26,6.90,7.19,5865915000
002163.SZ,海南发展,2010-07-27,7.14,7.19,5861897250
002163.SZ,海南发展,2010-07-28,7.17,7.29,5942252250
002163.SZ,海南发展,2010-07-29,7.29,7.18,5857879500
002163.SZ,海南发展,2010-07-30,7.15,7.20,5873950500
002163.SZ,海南发展,2010-08-02,7.24,7.33,5978412000
002163.SZ,海南发展,2010-08-03,7.35,7.07,5769489000
002163.SZ,海南发展,2010-08-04,7.03,7.26,5922163500
002163.SZ,海南发展,2010-08-05,7.29,7.48,6098944500
002163.SZ,海南发展,2010-08-06,7.47,7.90,6440453250
002163.SZ,海南发展,2010-08-09,7.88,8.02,6540897000
002163.SZ,海南发展,2010-08-10,7.98,7.86,6412329000
002163.SZ,海南发展,2010-08-11,7.86,7.96,6492684000
002163.SZ,海南发展,2010-08-12,7.88,7.69,6271707750
002163.SZ,海南发展,2010-08-13,7.69,7.69,6271707750
002163.SZ,海南发展,2010-08-16,7.89,7.97,6504737250
002163.SZ,海南发展,2010-08-17,7.97,7.98,6508755000
002163.SZ,海南发展,2010-08-18,7.97,8.01,6532861500
002163.SZ,海南发展,2010-08-19,8.00,8.29,6757855500
002163.SZ,海南发展,2010-08-20,8.30,7.93,6468577500
002163.SZ,海南发展,2010-08-23,7.88,7.87,6420364500
002163.SZ,海南发展,2010-08-24,7.87,8.28,6749820000
002163.SZ,海南发展,2010-08-25,8.16,8.11,6613216500
002163.SZ,海南发展,2010-08-26,8.11,8.05,6569021250
002163.SZ,海南发展,2010-08-27,8.13,8.15,6649376250
002163.SZ,海南发展,2010-08-30,8.17,8.43,6874370250
002163.SZ,海南发展,2010-08-31,8.36,8.37,6830175000
002163.SZ,海南发展,2010-09-01,8.42,8.13,6629287500
002163.SZ,海南发展,2010-09-02,8.23,8.22,6701607000
002163.SZ,海南发展,2010-09-03,8.31,8.38,6838210500
002163.SZ,海南发展,2010-09-06,8.42,7.93,6468577500
002163.SZ,海南发展,2010-09-07,7.96,7.95,6484648500
002163.SZ,海南发展,2010-09-08,7.93,8.14,6641340750
002163.SZ,海南发展,2010-09-09,8.16,7.95,6480630750
002163.SZ,海南发展,2010-09-10,7.91,8.02,6540897000
002163.SZ,海南发展,2010-09-13,7.94,8.12,6625269750
002163.SZ,海南发展,2010-09-14,8.28,8.60,7014991500
002163.SZ,海南发展,2010-09-15,8.51,8.32,6785979750
002163.SZ,海南发展,2010-09-16,8.36,8.25,6729731250
