代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
600209.SH,ST罗顿,2010-01-04,6.70,6.56,2893083604
600209.SH,ST罗顿,2010-01-05,6.80,7.22,3182830975
600209.SH,ST罗顿,2010-01-06,7.77,7.46,3288193656
600209.SH,ST罗顿,2010-01-07,7.37,8.21,3617452033
600209.SH,ST罗顿,2010-01-08,8.21,8.21,3617452033
600209.SH,ST罗顿,2010-01-11,8.21,8.21,3617452033
600209.SH,ST罗顿,2010-01-12,9.02,8.22,3621842144
600209.SH,ST罗顿,2010-01-13,7.97,7.74,3411116783
600209.SH,ST罗顿,2010-01-14,7.79,7.92,3490138794
600209.SH,ST罗顿,2010-01-15,7.82,7.92,3490138794
600209.SH,ST罗顿,2010-01-18,8.27,8.71,3841347729
600209.SH,ST罗顿,2010-01-19,9.25,9.59,4227677557
600209.SH,ST罗顿,2010-01-20,9.89,10.55,4649128280
600209.SH,ST罗顿,2010-01-21,10.55,10.55,4649128280
600209.SH,ST罗顿,2010-01-22,10.55,10.55,4649128280
600209.SH,ST罗顿,2010-01-25,10.76,10.22,4504254594
600209.SH,ST罗顿,2010-01-26,10.18,10.67,4701809620
600209.SH,ST罗顿,2010-01-27,10.41,10.06,4434012807
600209.SH,ST罗顿,2010-01-28,9.81,11.06,4877414088
600209.SH,ST罗顿,2010-01-29,11.40,12.17,5364716485
600209.SH,ST罗顿,2010-02-01,12.17,12.17,5364716485
600209.SH,ST罗顿,2010-02-02,12.92,13.39,5900310111
600209.SH,ST罗顿,2010-02-03,13.45,14.72,6488585078
600209.SH,ST罗顿,2010-02-04,15.26,16.19,7138321608
600209.SH,ST罗顿,2010-02-05,16.19,14.73,6492975190
600209.SH,ST罗顿,2010-02-08,14.24,16.20,7142711720
600209.SH,ST罗顿,2010-02-09,16.20,16.20,7142711720
600209.SH,ST罗顿,2010-02-10,16.20,16.20,7142711720
600209.SH,ST罗顿,2010-02-11,16.20,16.20,7142711720
600209.SH,ST罗顿,2010-02-12,15.19,17.02,7502700878
600209.SH,ST罗顿,2010-02-22,16.63,16.14,7116371049
600209.SH,ST罗顿,2010-02-23,15.85,16.26,7169052390
600209.SH,ST罗顿,2010-02-24,16.13,15.22,6708090662
600209.SH,ST罗顿,2010-02-25,15.13,15.54,6848574236
600209.SH,ST罗顿,2010-02-26,15.15,14.93,6580777423
600209.SH,ST罗顿,2010-03-01,15.04,16.42,7239294177
600209.SH,ST罗顿,2010-03-02,16.73,15.77,6949546805
600209.SH,ST罗顿,2010-03-03,15.34,15.30,6743211556
600209.SH,ST罗顿,2010-03-04,15.31,14.67,6466634519
600209.SH,ST罗顿,2010-03-05,14.75,14.79,6519315860
600209.SH,ST罗顿,2010-03-08,14.58,14.84,6541266418
600209.SH,ST罗顿,2010-03-09,14.64,14.44,6365661950
600209.SH,ST罗顿,2010-03-10,14.52,14.89,6563216977
600209.SH,ST罗顿,2010-03-11,14.39,14.49,6387612509
600209.SH,ST罗顿,2010-03-12,14.25,14.52,6400782844
600209.SH,ST罗顿,2010-03-15,14.55,15.09,6651019210
600209.SH,ST罗顿,2010-03-16,14.93,16.17,7129541385
600209.SH,ST罗顿,2010-03-17,15.93,16.19,7138321608
600209.SH,ST罗顿,2010-03-18,16.08,16.08,7090030379
600209.SH,ST罗顿,2010-03-19,16.25,15.51,6835403901
600209.SH,ST罗顿,2010-03-22,15.53,15.49,6826623678
600209.SH,ST罗顿,2010-03-23,15.32,15.55,6852964348
600209.SH,ST罗顿,2010-03-24,15.43,15.03,6624678540
600209.SH,ST罗顿,2010-03-25,14.84,14.27,6291030052
600209.SH,ST罗顿,2010-03-26,14.22,14.41,6352491615
600209.SH,ST罗顿,2010-03-29,14.22,14.20,6260299270
600209.SH,ST罗顿,2010-03-30,14.18,14.50,6392002621
600209.SH,ST罗顿,2010-03-31,14.44,14.25,6282249828
600209.SH,ST罗顿,2010-04-01,14.33,14.47,6378832286
600209.SH,ST罗顿,2010-04-02,14.42,14.31,6308590499
600209.SH,ST罗顿,2010-04-06,14.40,14.53,6405172956
600209.SH,ST罗顿,2010-04-07,14.44,14.28,6295420163
600209.SH,ST罗顿,2010-04-08,14.19,14.05,6194447595
600209.SH,ST罗顿,2010-04-09,13.85,14.08,6207617930
600209.SH,ST罗顿,2010-04-12,14.07,13.39,5900310111
600209.SH,ST罗顿,2010-04-13,13.30,13.38,5895920000
600209.SH,ST罗顿,2010-04-14,13.28,14.36,6330541057
600209.SH,ST罗顿,2010-04-15,13.94,13.63,6010062904
600209.SH,ST罗顿,2010-04-16,13.45,13.54,5970551898
600209.SH,ST罗顿,2010-04-19,13.20,13.18,5808117766
600209.SH,ST罗顿,2010-04-20,13.05,12.40,5465689054
600209.SH,ST罗顿,2010-04-21,12.19,12.50,5509590171
600209.SH,ST罗顿,2010-04-22,12.40,12.13,5347156038
600209.SH,ST罗顿,2010-04-23,11.94,11.40,5026677885
600209.SH,ST罗顿,2010-04-26,11.40,11.40,5026677885
600209.SH,ST罗顿,2010-04-27,10.84,10.84,4776441519
600209.SH,ST罗顿,2010-04-28,10.30,10.30,4539375487
600209.SH,ST罗顿,2010-04-29,9.78,9.78,4311089680
600209.SH,ST罗顿,2010-04-30,9.29,9.29,4095974207
600209.SH,ST罗顿,2010-05-04,8.82,8.82,3889638957
600209.SH,ST罗顿,2010-05-05,8.67,8.87,3911589516
600209.SH,ST罗顿,2010-05-06,8.81,8.74,3854518064
600209.SH,ST罗顿,2010-05-07,8.52,8.73,3850127952
600209.SH,ST罗顿,2010-05-10,8.81,8.30,3656963038
600209.SH,ST罗顿,2010-05-11,8.33,7.88,3472578347
600209.SH,ST罗顿,2010-05-12,7.67,8.04,3542820134
600209.SH,ST罗顿,2010-05-13,7.96,7.99,3520869575
600209.SH,ST罗顿,2010-05-14,7.88,7.94,3498919017
600209.SH,ST罗顿,2010-05-17,7.90,7.54,3323314549
600209.SH,ST罗顿,2010-05-18,7.18,7.20,3174050752
600209.SH,ST罗顿,2010-05-19,7.07,7.23,3187221087
600209.SH,ST罗顿,2010-05-20,7.10,6.96,3068688071
600209.SH,ST罗顿,2010-05-21,6.96,6.96,3068688071
600209.SH,ST罗顿,2010-05-24,7.18,7.31,3222341980
600209.SH,ST罗顿,2010-05-25,7.60,7.25,3196001310
600209.SH,ST罗顿,2010-05-26,7.25,7.40,3261852986
600209.SH,ST罗顿,2010-05-27,7.32,7.77,3424287118
600209.SH,ST罗顿,2010-05-28,7.77,7.79,3433067342
