代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
600939.SH,重庆建工,2017-02-21,3.58,4.29,8147105000
600939.SH,重庆建工,2017-02-22,4.72,4.72,8963630000
600939.SH,重庆建工,2017-02-23,5.19,5.19,9852735000
600939.SH,重庆建工,2017-02-24,5.71,5.71,10832565000
600939.SH,重庆建工,2017-02-27,6.28,6.28,11921265000
600939.SH,重庆建工,2017-02-28,6.91,6.91,13118835000
600939.SH,重庆建工,2017-03-01,7.60,7.60,14425275000
600939.SH,重庆建工,2017-03-02,8.36,8.36,15876875000
600939.SH,重庆建工,2017-03-03,9.21,9.21,17473635000
600939.SH,重庆建工,2017-03-06,10.12,10.12,19215555000
600939.SH,重庆建工,2017-03-07,11.14,11.14,21138925000
600939.SH,重庆建工,2017-03-08,12.26,12.26,23261890000
600939.SH,重庆建工,2017-03-09,13.48,13.48,25584450000
600939.SH,重庆建工,2017-03-10,14.83,14.83,28142895000
600939.SH,重庆建工,2017-03-13,16.31,16.04,30447310000
600939.SH,重庆建工,2017-03-14,15.30,16.95,32171085000
600939.SH,重庆建工,2017-03-15,16.25,17.14,32533985000
600939.SH,重庆建工,2017-03-16,16.91,18.85,35781940000
600939.SH,重庆建工,2017-03-17,19.41,19.18,36398870000
600939.SH,重庆建工,2017-03-20,18.28,18.69,35473475000
600939.SH,重庆建工,2017-03-21,18.47,20.56,39029895000
600939.SH,重庆建工,2017-03-22,20.46,21.05,39955290000
600939.SH,重庆建工,2017-03-23,20.46,21.05,39955290000
600939.SH,重庆建工,2017-03-24,20.83,20.26,38449255000
600939.SH,重庆建工,2017-03-27,20.20,19.48,36979510000
600939.SH,重庆建工,2017-03-28,19.51,18.43,34983560000
600939.SH,重庆建工,2017-03-29,17.97,19.91,37796035000
600939.SH,重庆建工,2017-03-30,19.17,18.18,34511790000
600939.SH,重庆建工,2017-03-31,17.91,16.71,31717460000
600939.SH,重庆建工,2017-04-05,16.35,16.94,32152940000
600939.SH,重庆建工,2017-04-06,16.83,17.13,32515840000
600939.SH,重庆建工,2017-04-07,17.02,16.92,32116650000
600939.SH,重庆建工,2017-04-10,16.61,15.33,29104580000
600939.SH,重庆建工,2017-04-11,15.04,15.44,29304175000
600939.SH,重庆建工,2017-04-12,15.15,14.37,27271935000
600939.SH,重庆建工,2017-04-13,14.34,14.41,27344515000
600939.SH,重庆建工,2017-04-14,14.25,13.58,25784045000
600939.SH,重庆建工,2017-04-17,12.89,12.23,23207455000
600939.SH,重庆建工,2017-04-18,12.02,11.72,22245770000
600939.SH,重庆建工,2017-04-19,11.73,12.90,24477605000
600939.SH,重庆建工,2017-04-20,12.95,13.48,25584450000
600939.SH,重庆建工,2017-04-21,13.27,12.79,24278010000
600939.SH,重庆建工,2017-04-24,12.52,13.36,25366710000
600939.SH,重庆建工,2017-04-25,13.15,13.55,25711465000
600939.SH,重庆建工,2017-04-26,13.38,13.36,25366710000
600939.SH,重庆建工,2017-04-27,13.07,14.19,26927180000
600939.SH,重庆建工,2017-04-28,14.01,13.77,26128800000
600939.SH,重庆建工,2017-05-02,13.60,13.63,25874770000
600939.SH,重庆建工,2017-05-03,13.63,13.94,26455410000
600939.SH,重庆建工,2017-05-04,13.69,13.48,25584450000
600939.SH,重庆建工,2017-05-05,13.38,12.44,23606645000
600939.SH,重庆建工,2017-05-08,12.15,11.67,22155045000
600939.SH,重庆建工,2017-05-09,11.69,11.96,22699395000
600939.SH,重庆建工,2017-05-10,12.05,11.82,22427220000
600939.SH,重庆建工,2017-05-11,11.66,11.94,22663105000
600939.SH,重庆建工,2017-05-12,11.88,12.16,23080440000
600939.SH,重庆建工,2017-05-15,12.21,12.08,22935280000
600939.SH,重庆建工,2017-05-16,11.93,12.32,23388905000
600939.SH,重庆建工,2017-05-17,12.28,12.27,23298180000
600939.SH,重庆建工,2017-05-18,12.01,11.86,22517945000
600939.SH,重庆建工,2017-05-19,11.84,11.72,22245770000
600939.SH,重庆建工,2017-05-22,11.54,11.27,21392955000
600939.SH,重庆建工,2017-05-23,11.36,10.53,19977645000
600939.SH,重庆建工,2017-05-24,10.18,10.46,19850630000
600939.SH,重庆建工,2017-05-25,10.38,10.52,19959500000
