代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
000829.SZ,天音控股,2010-01-04,13.41,13.76,13114580124
000829.SZ,天音控股,2010-01-05,13.64,13.80,13152456168
000829.SZ,天音控股,2010-01-06,13.96,13.80,13152456168
000829.SZ,天音控股,2010-01-07,13.91,13.21,12593784524
000829.SZ,天音控股,2010-01-08,13.01,13.73,13086173091
000829.SZ,天音控股,2010-01-11,13.80,13.54,12906261884
000829.SZ,天音控股,2010-01-12,13.51,13.42,12792633753
000829.SZ,天音控股,2010-01-13,13.11,13.40,12773695731
000829.SZ,天音控股,2010-01-14,13.35,14.74,14052012205
000829.SZ,天音控股,2010-01-15,14.91,14.74,14052012205
000829.SZ,天音控股,2010-01-18,14.57,15.53,14800064068
000829.SZ,天音控股,2010-01-19,15.46,15.40,14676966926
000829.SZ,天音控股,2010-01-20,15.45,14.55,13872100998
000829.SZ,天音控股,2010-01-21,14.55,14.17,13502809572
000829.SZ,天音控股,2010-01-22,13.91,13.41,12783164742
000829.SZ,天音控股,2010-01-25,13.36,13.64,13000951993
000829.SZ,天音控股,2010-01-26,13.81,13.01,12404404305
000829.SZ,天音控股,2010-01-27,12.93,13.37,12745288698
000829.SZ,天音控股,2010-01-28,13.41,13.74,13095642102
000829.SZ,天音控股,2010-01-29,13.94,14.27,13597499681
000829.SZ,天音控股,2010-02-01,14.30,13.96,13303960343
000829.SZ,天音控股,2010-02-02,14.10,13.88,13228208255
000829.SZ,天音控股,2010-02-03,13.81,13.17,12555908480
000829.SZ,天音控股,2010-02-04,13.01,13.04,12432811338
000829.SZ,天音控股,2010-02-05,13.04,13.04,12432811338
000829.SZ,天音控股,2010-02-08,12.71,12.57,11978298814
000829.SZ,天音控股,2010-02-09,12.45,12.19,11618476399
000829.SZ,天音控股,2010-02-10,12.42,13.07,12461218371
000829.SZ,天音控股,2010-02-11,12.93,13.11,12499094414
000829.SZ,天音控股,2010-02-12,13.32,13.30,12679005622
000829.SZ,天音控股,2010-02-22,13.21,13.31,12688474633
000829.SZ,天音控股,2010-02-23,13.32,13.45,12821040786
000829.SZ,天音控股,2010-02-24,13.36,14.40,13720596823
000829.SZ,天音控股,2010-02-25,14.33,14.44,13758472867
000829.SZ,天音控股,2010-02-26,14.41,14.13,13464933528
000829.SZ,天音控股,2010-03-01,14.10,14.22,13550154627
000829.SZ,天音控股,2010-03-02,14.21,14.49,13815286932
000829.SZ,天音控股,2010-03-03,14.45,14.62,13938384074
000829.SZ,天音控股,2010-03-04,14.61,13.90,13247146277
000829.SZ,天音控股,2010-03-05,13.86,13.70,13057766059
000829.SZ,天音控股,2010-03-08,13.73,13.74,13095642102
000829.SZ,天音控股,2010-03-09,13.79,13.55,12915730895
000829.SZ,天音控股,2010-03-10,13.56,13.33,12707412655
000829.SZ,天音控股,2010-03-11,13.27,13.40,12773695731
000829.SZ,天音控股,2010-03-12,13.40,12.98,12375997272
000829.SZ,天音控股,2010-03-15,13.00,12.52,11930953759
000829.SZ,天音控股,2010-03-16,12.62,12.47,11883608705
000829.SZ,天音控股,2010-03-17,12.56,13.31,12688474633
000829.SZ,天音控股,2010-03-18,13.31,13.53,12896792873
000829.SZ,天音控股,2010-03-19,13.54,13.45,12821040786
000829.SZ,天音控股,2010-03-22,13.42,13.59,12953606939
000829.SZ,天音控股,2010-03-23,13.66,13.33,12707412655
000829.SZ,天音控股,2010-03-24,13.33,12.93,12319183207
000829.SZ,天音控股,2010-03-25,12.92,12.83,12224493098
000829.SZ,天音控股,2010-03-26,12.74,12.82,12215024087
000829.SZ,天音控股,2010-03-29,12.92,13.76,13114580124
000829.SZ,天音控股,2010-03-30,13.69,13.96,13303960343
000829.SZ,天音控股,2010-03-31,14.08,14.42,13739534845
000829.SZ,天音控股,2010-04-01,14.32,14.43,13749003856
000829.SZ,天音控股,2010-04-02,14.45,14.38,13701658801
000829.SZ,天音控股,2010-04-06,14.50,14.29,13616437703
000829.SZ,天音控股,2010-04-07,14.28,14.80,14108826271
000829.SZ,天音控股,2010-04-08,14.80,15.40,14676966926
000829.SZ,天音控股,2010-04-09,15.40,16.17,15415549778
000829.SZ,天音控股,2010-04-12,16.10,16.24,15481832854
000829.SZ,天音控股,2010-04-13,16.34,16.19,15434487800
000829.SZ,天音控股,2010-04-14,16.14,16.90,16106787575
000829.SZ,天音控股,2010-04-15,16.90,16.42,15652275051
000829.SZ,天音控股,2010-04-16,16.42,16.27,15510239887
000829.SZ,天音控股,2010-04-19,16.04,15.60,14866347144
000829.SZ,天音控股,2010-04-20,15.40,15.06,14355020555
000829.SZ,天音控股,2010-04-21,15.06,15.47,14743250002
000829.SZ,天音控股,2010-04-22,15.47,15.10,14392896598
000829.SZ,天音控股,2010-04-23,15.08,15.71,14970506265
000829.SZ,天音控股,2010-04-26,15.69,16.29,15529177909
000829.SZ,天音控股,2010-04-27,16.28,15.91,15159886483
000829.SZ,天音控股,2010-04-28,15.62,14.91,14212985391
000829.SZ,天音控股,2010-04-29,15.25,14.21,13540685616
000829.SZ,天音控股,2010-04-30,13.98,13.26,12641129578
000829.SZ,天音控股,2010-05-04,12.93,13.80,13152456168
000829.SZ,天音控股,2010-05-05,13.68,14.73,14042543194
000829.SZ,天音控股,2010-05-06,14.78,14.03,13370243419
000829.SZ,天音控股,2010-05-07,14.03,14.03,13370243419
000829.SZ,天音控股,2010-05-10,13.96,13.32,12697943644
000829.SZ,天音控股,2010-05-11,13.79,13.63,12991482982
000829.SZ,天音控股,2010-05-12,13.33,13.73,13086173091
000829.SZ,天音控股,2010-05-13,13.60,14.29,13616437703
000829.SZ,天音控股,2010-05-14,14.12,14.80,14108826271
000829.SZ,天音控股,2010-05-17,14.62,13.89,13237677266
000829.SZ,天音控股,2010-05-18,13.66,14.11,13445995506
000829.SZ,天音控股,2010-05-19,14.11,14.65,13966791107
000829.SZ,天音控股,2010-05-20,14.50,14.19,13521747594
000829.SZ,天音控股,2010-05-21,13.70,14.41,13730065834
000829.SZ,天音控股,2010-05-24,14.46,15.02,14317144511
000829.SZ,天音控股,2010-05-25,14.88,15.26,14544400773
000829.SZ,天音控股,2010-05-26,15.10,15.02,14317144511
000829.SZ,天音控股,2010-05-27,14.99,15.19,14478117697
000829.SZ,天音控股,2010-05-28,15.33,14.97,14269799456
000829.SZ,天音控股,2010-05-31,14.81,14.24,13569092648
000829.SZ,天音控股,2010-06-01,14.05,13.51,12877854851
000829.SZ,天音控股,2010-06-02,13.56,13.60,12963075949
000829.SZ,天音控股,2010-06-03,13.61,13.28,12660067600
000829.SZ,天音控股,2010-06-04,13.14,13.39,12764226720
000829.SZ,天音控股,2010-06-07,13.11,13.63,12991482982
000829.SZ,天音控股,2010-06-08,13.64,13.53,12896792873
000829.SZ,天音控股,2010-06-09,13.70,13.70,13057766059
000829.SZ,天音控股,2010-06-10,13.76,14.51,13834224954
000829.SZ,天音控股,2010-06-11,14.55,14.55,13872100998
000829.SZ,天音控股,2010-06-17,14.72,14.64,13957322096
000829.SZ,天音控股,2010-06-18,14.49,13.87,13218739244
000829.SZ,天音控股,2010-06-21,13.83,14.21,13540685616
000829.SZ,天音控股,2010-06-22,13.91,14.23,13559623637
000829.SZ,天音控股,2010-06-23,14.15,13.96,13303960343
000829.SZ,天音控股,2010-06-24,14.01,14.01,13351305397
000829.SZ,天音控股,2010-06-25,14.02,14.69,14004667151
000829.SZ,天音控股,2010-06-28,14.78,14.45,13777410889
000829.SZ,天音控股,2010-06-29,14.32,14.14,13474402539
000829.SZ,天音控股,2010-06-30,13.98,14.37,13692189790
000829.SZ,天音控股,2010-07-01,14.33,14.68,13995198140
000829.SZ,天音控股,2010-07-02,14.69,13.93,13275553310
000829.SZ,天音控股,2010-07-05,13.71,14.04,13379712430
000829.SZ,天音控股,2010-07-06,13.81,14.20,13531216605
000829.SZ,天音控股,2010-07-07,14.21,14.43,13749003856
000829.SZ,天音控股,2010-07-08,14.45,14.06,13398650452
000829.SZ,天音控股,2010-07-09,14.09,15.47,14743250002
000829.SZ,天音控股,2010-07-12,15.47,15.59,14856878133
000829.SZ,天音控股,2010-07-13,15.37,15.40,14676966926
000829.SZ,天音控股,2010-07-14,15.33,15.26,14544400773
000829.SZ,天音控股,2010-07-15,15.32,14.43,13749003856
000829.SZ,天音控股,2010-07-16,14.36,14.71,14023605173
000829.SZ,天音控股,2010-07-19,14.60,14.85,14156171325
000829.SZ,天音控股,2010-07-20,14.86,15.22,14506524729
000829.SZ,天音控股,2010-07-21,15.33,14.82,14127764293
000829.SZ,天音控股,2010-07-22,14.48,14.96,14260330446
000829.SZ,天音控股,2010-07-23,14.98,14.76,14070950227
000829.SZ,天音控股,2010-07-26,14.75,15.06,14355020555
000829.SZ,天音控股,2010-07-27,15.11,15.80,15055727363
000829.SZ,天音控股,2010-07-28,15.70,15.82,15074665385
000829.SZ,天音控股,2010-07-29,15.89,15.93,15178824505
000829.SZ,天音控股,2010-07-30,15.99,16.62,15841655269
000829.SZ,天音控股,2010-08-02,16.69,16.67,15889000324
000829.SZ,天音控股,2010-08-03,16.71,16.00,15254576592
000829.SZ,天音控股,2010-08-04,15.94,16.44,15671213073
000829.SZ,天音控股,2010-08-05,16.45,16.67,15889000324
000829.SZ,天音控股,2010-08-06,16.59,16.78,15993159444
000829.SZ,天音控股,2010-08-09,16.87,16.78,15993159444
000829.SZ,天音控股,2010-08-10,16.81,15.84,15093603406
000829.SZ,天音控股,2010-08-11,15.83,15.77,15027320330
000829.SZ,天音控股,2010-08-12,15.58,15.72,14979975275
