代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
600546.SH,山煤国际,2010-01-04,15.91,15.61,25320000000
600546.SH,山煤国际,2010-01-05,15.60,15.78,25582500000
600546.SH,山煤国际,2010-01-06,15.67,16.28,26407500000
600546.SH,山煤国际,2010-01-07,16.37,15.98,25912500000
600546.SH,山煤国际,2010-01-08,15.80,15.51,25155000000
600546.SH,山煤国际,2010-01-11,15.72,14.30,23190000000
600546.SH,山煤国际,2010-01-12,14.33,14.20,23032500000
600546.SH,山煤国际,2010-01-13,13.78,13.64,22117500000
600546.SH,山煤国际,2010-01-14,13.64,13.87,22485000000
600546.SH,山煤国际,2010-01-15,13.87,13.69,22200000000
600546.SH,山煤国际,2010-01-18,13.66,13.51,21907500000
600546.SH,山煤国际,2010-01-19,13.55,13.81,22402500000
600546.SH,山煤国际,2010-01-20,13.87,13.05,21157500000
600546.SH,山煤国际,2010-01-21,13.04,12.37,20062500000
600546.SH,山煤国际,2010-01-22,12.35,12.02,19492500000
600546.SH,山煤国际,2010-01-25,11.87,12.20,19777500000
600546.SH,山煤国际,2010-01-26,12.21,11.38,18450000000
600546.SH,山煤国际,2010-01-27,11.40,11.28,18300000000
600546.SH,山煤国际,2010-01-28,11.28,11.42,18525000000
600546.SH,山煤国际,2010-01-29,11.41,11.44,18555000000
600546.SH,山煤国际,2010-02-01,11.37,10.94,17745000000
600546.SH,山煤国际,2010-02-02,11.10,11.16,18090000000
600546.SH,山煤国际,2010-02-03,11.37,11.69,18952500000
600546.SH,山煤国际,2010-02-04,11.56,11.35,18412500000
600546.SH,山煤国际,2010-02-05,11.01,10.71,17370000000
600546.SH,山煤国际,2010-02-08,10.81,10.97,17790000000
600546.SH,山煤国际,2010-02-09,10.98,11.25,18247500000
600546.SH,山煤国际,2010-02-10,11.41,11.90,19305000000
600546.SH,山煤国际,2010-02-11,11.82,11.94,19357500000
600546.SH,山煤国际,2010-02-12,11.97,12.24,19852500000
600546.SH,山煤国际,2010-02-22,12.31,12.06,19560000000
600546.SH,山煤国际,2010-02-23,12.02,12.32,19972500000
600546.SH,山煤国际,2010-02-24,12.12,12.47,20220000000
600546.SH,山煤国际,2010-02-25,12.47,12.60,20430000000
600546.SH,山煤国际,2010-02-26,12.54,12.33,19995000000
600546.SH,山煤国际,2010-03-01,12.31,12.39,20100000000
600546.SH,山煤国际,2010-03-02,12.43,11.91,19320000000
600546.SH,山煤国际,2010-03-03,11.91,12.12,19650000000
600546.SH,山煤国际,2010-03-04,12.07,11.78,19102500000
600546.SH,山煤国际,2010-03-05,11.83,11.75,19050000000
600546.SH,山煤国际,2010-03-08,11.75,11.86,19230000000
600546.SH,山煤国际,2010-03-09,11.85,12.23,19837500000
600546.SH,山煤国际,2010-03-10,12.30,12.21,19800000000
600546.SH,山煤国际,2010-03-11,12.28,11.96,19387500000
600546.SH,山煤国际,2010-03-12,12.02,11.84,19200000000
600546.SH,山煤国际,2010-03-15,11.84,11.40,18480000000
600546.SH,山煤国际,2010-03-16,11.38,11.37,18435000000
600546.SH,山煤国际,2010-03-17,11.43,11.85,19215000000
600546.SH,山煤国际,2010-03-18,11.77,11.91,19320000000
600546.SH,山煤国际,2010-03-19,11.91,11.91,19320000000
600546.SH,山煤国际,2010-03-22,12.02,12.44,20175000000
600546.SH,山煤国际,2010-03-23,12.35,12.53,20325000000
600546.SH,山煤国际,2010-03-24,12.84,12.65,20520000000
600546.SH,山煤国际,2010-03-25,12.67,12.70,20595000000
600546.SH,山煤国际,2010-03-26,12.71,12.83,20797500000
600546.SH,山煤国际,2010-03-29,12.95,13.26,21495000000
600546.SH,山煤国际,2010-03-30,13.26,13.36,21667500000
600546.SH,山煤国际,2010-03-31,13.41,13.29,21547500000
600546.SH,山煤国际,2010-04-01,13.24,13.53,21945000000
600546.SH,山煤国际,2010-04-02,13.64,13.74,22275000000
600546.SH,山煤国际,2010-04-06,13.87,14.15,22942500000
600546.SH,山煤国际,2010-04-07,14.15,14.24,23092500000
600546.SH,山煤国际,2010-04-08,14.23,13.42,21765000000
600546.SH,山煤国际,2010-04-09,13.42,13.55,21975000000
600546.SH,山煤国际,2010-04-12,13.58,13.36,21660000000
600546.SH,山煤国际,2010-04-13,13.37,13.63,22095000000
600546.SH,山煤国际,2010-04-14,13.63,13.63,22095000000
600546.SH,山煤国际,2010-04-15,13.81,14.00,22702500000
600546.SH,山煤国际,2010-04-16,13.92,13.60,22057500000
600546.SH,山煤国际,2010-04-19,13.32,12.53,20317500000
600546.SH,山煤国际,2010-04-20,12.52,12.40,20115000000
600546.SH,山煤国际,2010-04-21,12.46,12.78,20730000000
600546.SH,山煤国际,2010-04-22,12.75,12.47,20227500000
600546.SH,山煤国际,2010-04-23,12.35,12.40,20115000000
600546.SH,山煤国际,2010-04-26,12.42,12.10,19627500000
600546.SH,山煤国际,2010-04-27,11.93,11.38,18457500000
600546.SH,山煤国际,2010-04-28,11.15,11.13,18052500000
600546.SH,山煤国际,2010-04-29,11.16,11.12,18037500000
600546.SH,山煤国际,2010-04-30,11.12,11.38,18457500000
600546.SH,山煤国际,2010-05-04,11.22,11.33,18367500000
600546.SH,山煤国际,2010-05-05,11.15,11.24,18225000000
600546.SH,山煤国际,2010-05-06,11.10,10.39,16852500000
600546.SH,山煤国际,2010-05-07,9.94,9.76,15832500000
600546.SH,山煤国际,2010-05-10,9.62,9.82,15922500000
600546.SH,山煤国际,2010-05-11,10.05,9.91,16065000000
600546.SH,山煤国际,2010-05-12,9.71,10.17,16492500000
600546.SH,山煤国际,2010-05-13,10.24,10.44,16927500000
600546.SH,山煤国际,2010-05-14,10.36,10.22,16575000000
600546.SH,山煤国际,2010-05-17,9.99,9.30,15075000000
600546.SH,山煤国际,2010-05-18,9.25,9.67,15682500000
600546.SH,山煤国际,2010-05-19,9.54,9.52,15435000000
600546.SH,山煤国际,2010-05-20,9.47,9.42,15277500000
600546.SH,山煤国际,2010-05-21,9.20,9.60,15562500000
600546.SH,山煤国际,2010-05-24,9.72,10.32,16732500000
600546.SH,山煤国际,2010-05-25,10.17,10.21,16552500000
600546.SH,山煤国际,2010-05-26,10.17,10.23,16582500000
600546.SH,山煤国际,2010-05-27,10.36,10.51,17047500000
600546.SH,山煤国际,2010-05-28,10.72,10.38,16837500000
600546.SH,山煤国际,2010-05-31,10.18,10.05,16290000000
600546.SH,山煤国际,2010-06-01,9.98,11.04,17902500000
600546.SH,山煤国际,2010-06-02,10.04,10.34,16762500000
600546.SH,山煤国际,2010-06-03,10.17,10.44,16927500000
600546.SH,山煤国际,2010-06-04,10.18,10.26,16642500000
600546.SH,山煤国际,2010-06-07,9.90,9.75,15810000000
600546.SH,山煤国际,2010-06-08,9.75,9.78,15705000000
600546.SH,山煤国际,2010-06-09,9.76,10.01,16072500000
600546.SH,山煤国际,2010-06-10,9.95,9.78,15705000000
600546.SH,山煤国际,2010-06-11,9.86,10.07,16170000000
600546.SH,山煤国际,2010-06-17,10.07,10.07,16170000000
600546.SH,山煤国际,2010-06-18,9.83,9.59,15397500000
600546.SH,山煤国际,2010-06-21,9.62,10.05,16147500000
600546.SH,山煤国际,2010-06-22,10.08,10.17,16342500000
600546.SH,山煤国际,2010-06-23,10.05,10.09,16200000000
600546.SH,山煤国际,2010-06-24,10.04,10.02,16102500000
600546.SH,山煤国际,2010-06-25,10.04,9.96,16005000000
600546.SH,山煤国际,2010-06-28,10.12,9.77,15697500000
600546.SH,山煤国际,2010-06-29,9.69,9.04,14520000000
600546.SH,山煤国际,2010-06-30,9.01,8.29,13312500000
600546.SH,山煤国际,2010-07-01,8.32,8.32,13357500000
600546.SH,山煤国际,2010-07-02,8.40,8.03,12900000000
600546.SH,山煤国际,2010-07-05,7.82,7.74,12427500000
600546.SH,山煤国际,2010-07-06,7.61,8.17,13125000000
600546.SH,山煤国际,2010-07-07,8.08,8.12,13035000000
600546.SH,山煤国际,2010-07-08,8.13,8.03,12900000000
600546.SH,山煤国际,2010-07-09,8.08,8.73,14017500000
600546.SH,山煤国际,2010-07-12,8.73,9.08,14587500000
600546.SH,山煤国际,2010-07-13,8.90,8.96,14385000000
600546.SH,山煤国际,2010-07-14,9.03,9.22,14805000000
600546.SH,山煤国际,2010-07-15,9.11,8.81,14145000000
600546.SH,山煤国际,2010-07-16,8.80,8.98,14422500000
600546.SH,山煤国际,2010-07-19,8.80,9.43,15142500000
600546.SH,山煤国际,2010-07-20,9.41,9.58,15390000000
600546.SH,山煤国际,2010-07-21,9.61,9.39,15090000000
600546.SH,山煤国际,2010-07-22,9.35,9.46,15187500000
600546.SH,山煤国际,2010-07-23,9.46,9.56,15352500000
600546.SH,山煤国际,2010-07-26,9.57,9.74,15637500000
600546.SH,山煤国际,2010-07-27,9.61,9.54,15330000000
600546.SH,山煤国际,2010-07-28,9.53,9.81,15757500000
600546.SH,山煤国际,2010-07-29,9.85,9.89,15885000000
600546.SH,山煤国际,2010-07-30,9.78,9.56,15352500000
600546.SH,山煤国际,2010-08-02,9.59,9.69,15562500000
600546.SH,山煤国际,2010-08-03,9.80,9.91,15915000000
600546.SH,山煤国际,2010-08-04,9.86,9.78,15712500000
600546.SH,山煤国际,2010-08-05,9.79,9.57,15367500000
600546.SH,山煤国际,2010-08-06,9.56,9.73,15630000000
600546.SH,山煤国际,2010-08-09,9.67,9.94,15960000000
600546.SH,山煤国际,2010-08-10,10.00,9.37,15052500000
600546.SH,山煤国际,2010-08-11,9.34,9.58,15382500000
600546.SH,山煤国际,2010-08-12,9.43,9.39,15082500000
600546.SH,山煤国际,2010-08-13,9.42,9.58,15390000000
600546.SH,山煤国际,2010-08-16,9.53,9.87,15847500000
600546.SH,山煤国际,2010-08-17,9.88,10.12,16252500000
600546.SH,山煤国际,2010-08-18,10.12,10.05,16147500000
600546.SH,山煤国际,2010-08-19,10.08,10.28,16507500000
600546.SH,山煤国际,2010-08-20,10.27,9.90,15907500000
600546.SH,山煤国际,2010-08-23,9.85,9.86,15832500000
600546.SH,山煤国际,2010-08-24,9.88,10.10,16230000000
600546.SH,山煤国际,2010-08-25,10.03,9.96,16005000000
600546.SH,山煤国际,2010-08-26,10.11,10.03,16117500000
600546.SH,山煤国际,2010-08-27,10.03,10.03,16117500000
600546.SH,山煤国际,2010-08-30,10.04,10.29,16522500000
600546.SH,山煤国际,2010-08-31,10.14,10.37,16650000000
600546.SH,山煤国际,2010-09-01,10.31,10.23,16425000000
600546.SH,山煤国际,2010-09-02,10.46,10.44,16770000000
600546.SH,山煤国际,2010-09-03,10.53,10.53,16920000000
600546.SH,山煤国际,2010-09-06,10.81,11.34,18217500000
600546.SH,山煤国际,2010-09-07,11.33,11.22,18015000000
600546.SH,山煤国际,2010-09-08,11.17,11.44,18375000000
600546.SH,山煤国际,2010-09-09,11.47,10.87,17460000000
600546.SH,山煤国际,2010-09-10,10.87,10.75,17265000000
600546.SH,山煤国际,2010-09-13,10.72,11.20,17992500000
600546.SH,山煤国际,2010-09-14,11.17,11.18,17955000000
600546.SH,山煤国际,2010-09-15,11.16,10.62,17055000000
600546.SH,山煤国际,2010-09-16,10.62,10.15,16297500000
600546.SH,山煤国际,2010-09-17,10.23,10.11,16245000000
600546.SH,山煤国际,2010-09-20,10.11,10.33,16590000000
600546.SH,山煤国际,2010-09-21,10.32,10.25,16470000000
600546.SH,山煤国际,2010-09-27,10.11,10.76,17280000000
600546.SH,山煤国际,2010-09-28,10.75,10.78,17317500000
600546.SH,山煤国际,2010-09-29,10.78,11.02,17700000000
600546.SH,山煤国际,2010-09-30,11.11,11.43,18360000000
600546.SH,山煤国际,2010-10-08,11.76,12.57,20197500000
600546.SH,山煤国际,2010-10-11,13.83,13.46,21615000000
600546.SH,山煤国际,2010-10-12,13.43,14.80,23775000000
600546.SH,山煤国际,2010-10-13,14.80,14.80,23775000000
600546.SH,山煤国际,2010-10-14,14.80,14.80,23775000000
600546.SH,山煤国际,2010-10-15,14.80,14.80,23775000000
600546.SH,山煤国际,2010-10-18,14.80,14.80,23775000000
600546.SH,山煤国际,2010-10-19,14.80,14.80,23775000000
600546.SH,山煤国际,2010-10-20,14.80,14.80,23775000000
600546.SH,山煤国际,2010-10-21,16.28,16.28,26152500000
600546.SH,山煤国际,2010-10-22,17.91,17.91,28770000000
600546.SH,山煤国际,2010-10-25,17.93,18.35,29467500000
600546.SH,山煤国际,2010-10-26,18.21,17.87,28710000000
600546.SH,山煤国际,2010-10-27,17.63,17.04,27375000000
600546.SH,山煤国际,2010-10-28,16.76,16.79,26962500000
600546.SH,山煤国际,2010-10-29,16.81,17.12,27495000000
600546.SH,山煤国际,2010-11-01,17.02,18.22,29265000000
600546.SH,山煤国际,2010-11-02,18.02,17.61,28290000000
600546.SH,山煤国际,2010-11-03,17.36,16.76,26925000000
600546.SH,山煤国际,2010-11-04,16.75,16.89,27135000000
600546.SH,山煤国际,2010-11-05,17.27,16.52,26535000000
600546.SH,山煤国际,2010-11-08,16.54,16.37,26287500000
600546.SH,山煤国际,2010-11-09,16.34,17.00,27300000000
600546.SH,山煤国际,2010-11-10,16.94,16.71,26842500000
600546.SH,山煤国际,2010-11-11,16.59,16.95,27225000000
600546.SH,山煤国际,2010-11-12,16.81,15.43,24780000000
600546.SH,山煤国际,2010-11-15,15.46,15.04,24150000000
600546.SH,山煤国际,2010-11-16,14.98,13.72,22042500000
600546.SH,山煤国际,2010-11-17,13.35,13.46,21615000000
600546.SH,山煤国际,2010-11-18,13.68,13.80,22162500000
600546.SH,山煤国际,2010-11-19,13.98,13.88,22297500000
600546.SH,山煤国际,2010-11-22,13.63,13.91,22335000000
600546.SH,山煤国际,2010-11-23,13.59,13.82,22200000000
600546.SH,山煤国际,2010-11-24,13.76,14.27,22927500000
600546.SH,山煤国际,2010-11-25,14.47,14.57,23400000000
600546.SH,山煤国际,2010-11-26,14.58,14.68,23587500000
600546.SH,山煤国际,2010-11-29,14.47,14.03,22537500000
600546.SH,山煤国际,2010-11-30,14.06,13.75,22080000000
600546.SH,山煤国际,2010-12-01,13.58,13.72,22042500000
600546.SH,山煤国际,2010-12-02,14.08,14.19,22792500000
600546.SH,山煤国际,2010-12-03,14.19,14.04,22545000000
600546.SH,山煤国际,2010-12-06,14.16,14.29,22957500000
600546.SH,山煤国际,2010-12-07,14.16,14.65,23535000000
600546.SH,山煤国际,2010-12-08,14.89,14.82,23805000000
600546.SH,山煤国际,2010-12-09,14.64,15.19,24397500000
600546.SH,山煤国际,2010-12-10,15.19,15.19,24397500000
600546.SH,山煤国际,2010-12-13,15.50,15.91,25552500000
600546.SH,山煤国际,2010-12-14,15.97,15.88,25507500000
600546.SH,山煤国际,2010-12-15,15.85,15.93,25582500000
600546.SH,山煤国际,2010-12-16,15.88,15.81,25395000000
600546.SH,山煤国际,2010-12-17,15.74,15.56,24997500000
600546.SH,山煤国际,2010-12-20,15.65,15.56,24997500000
600546.SH,山煤国际,2010-12-21,15.65,16.07,25807500000
600546.SH,山煤国际,2010-12-22,16.09,15.74,25290000000
600546.SH,山煤国际,2010-12-23,15.64,15.34,24645000000
600546.SH,山煤国际,2010-12-24,15.12,15.11,24262500000
600546.SH,山煤国际,2010-12-27,15.22,15.39,24720000000
600546.SH,山煤国际,2010-12-28,15.32,14.79,23752500000
600546.SH,山煤国际,2010-12-29,14.80,14.62,23490000000
600546.SH,山煤国际,2010-12-30,14.67,15.11,24270000000
600546.SH,山煤国际,2010-12-31,15.06,16.16,25950000000
600546.SH,山煤国际,2011-01-04,16.46,16.84,27052500000
600546.SH,山煤国际,2011-01-05,16.84,16.84,27052500000
600546.SH,山煤国际,2011-01-06,17.04,16.22,26047500000
600546.SH,山煤国际,2011-01-07,16.18,15.78,25350000000
600546.SH,山煤国际,2011-01-10,15.66,15.44,24802500000
600546.SH,山煤国际,2011-01-11,15.49,15.43,24780000000
600546.SH,山煤国际,2011-01-12,15.55,15.47,24847500000
600546.SH,山煤国际,2011-01-13,15.71,15.53,24945000000
600546.SH,山煤国际,2011-01-14,15.35,14.71,23632500000
600546.SH,山煤国际,2011-01-17,14.47,13.44,21585000000
600546.SH,山煤国际,2011-01-18,13.41,12.98,20850000000
600546.SH,山煤国际,2011-01-19,13.07,13.81,22185000000
600546.SH,山煤国际,2011-01-20,13.63,13.01,20902500000
600546.SH,山煤国际,2011-01-21,12.82,13.09,21022500000
600546.SH,山煤国际,2011-01-24,13.21,12.63,20287500000
600546.SH,山煤国际,2011-01-25,12.68,12.69,20385000000
600546.SH,山煤国际,2011-01-26,12.66,12.99,20857500000
600546.SH,山煤国际,2011-01-27,12.71,13.30,21367500000
600546.SH,山煤国际,2011-01-28,13.26,13.32,21390000000
600546.SH,山煤国际,2011-01-31,13.33,13.53,21727500000
600546.SH,山煤国际,2011-02-01,13.61,13.58,21817500000
