代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
002659.SZ,凯文教育,2012-03-09,6.90,7.79,2456900000
002659.SZ,凯文教育,2012-03-12,8.12,8.57,2702590000
002659.SZ,凯文教育,2012-03-13,8.19,8.89,2803665000
002659.SZ,凯文教育,2012-03-14,8.80,8.37,2641945000
002659.SZ,凯文教育,2012-03-15,8.19,8.43,2659050000
002659.SZ,凯文教育,2012-03-16,8.26,8.18,2579745000
002659.SZ,凯文教育,2012-03-19,8.07,7.94,2506660000
002659.SZ,凯文教育,2012-03-20,7.92,7.78,2453790000
002659.SZ,凯文教育,2012-03-21,7.74,7.28,2298290000
002659.SZ,凯文教育,2012-03-22,7.20,7.33,2313840000
002659.SZ,凯文教育,2012-03-23,7.29,7.22,2278075000
002659.SZ,凯文教育,2012-03-26,7.15,7.20,2270300000
002659.SZ,凯文教育,2012-03-27,7.25,7.24,2284295000
002659.SZ,凯文教育,2012-03-28,7.13,6.52,2058820000
002659.SZ,凯文教育,2012-03-29,6.41,6.10,1925090000
002659.SZ,凯文教育,2012-03-30,6.04,5.85,1847340000
002659.SZ,凯文教育,2012-04-05,5.82,6.31,1991955000
002659.SZ,凯文教育,2012-04-06,6.25,6.36,2005950000
002659.SZ,凯文教育,2012-04-09,6.31,6.05,1909540000
002659.SZ,凯文教育,2012-04-10,5.97,6.66,2100805000
002659.SZ,凯文教育,2012-04-11,6.95,7.12,2245420000
002659.SZ,凯文教育,2012-04-12,7.02,7.17,2262525000
002659.SZ,凯文教育,2012-04-13,7.10,6.98,2201880000
002659.SZ,凯文教育,2012-04-16,6.90,6.87,2167670000
002659.SZ,凯文教育,2012-04-17,6.88,7.07,2231425000
002659.SZ,凯文教育,2012-04-18,6.95,7.20,2270300000
002659.SZ,凯文教育,2012-04-19,7.12,7.09,2236090000
002659.SZ,凯文教育,2012-04-20,7.02,7.27,2293625000
002659.SZ,凯文教育,2012-04-23,7.27,6.54,2065040000
002659.SZ,凯文教育,2012-04-24,6.23,6.40,2019945000
002659.SZ,凯文教育,2012-04-25,6.38,6.31,1991955000
002659.SZ,凯文教育,2012-04-26,6.29,6.94,2190995000
002659.SZ,凯文教育,2012-04-27,7.26,6.73,2122575000
002659.SZ,凯文教育,2012-05-02,6.85,7.40,2335610000
002659.SZ,凯文教育,2012-05-03,7.59,7.54,2379150000
002659.SZ,凯文教育,2012-05-04,7.40,7.74,2441350000
002659.SZ,凯文教育,2012-05-07,7.57,7.54,2380705000
002659.SZ,凯文教育,2012-05-08,7.54,7.54,2380705000
002659.SZ,凯文教育,2012-05-09,7.47,7.31,2307620000
002659.SZ,凯文教育,2012-05-10,7.29,7.36,2321615000
002659.SZ,凯文教育,2012-05-11,7.37,7.15,2254750000
002659.SZ,凯文教育,2012-05-14,7.22,7.23,2281185000
002659.SZ,凯文教育,2012-05-15,7.04,7.01,2212765000
002659.SZ,凯文教育,2012-05-16,6.96,6.96,2197215000
002659.SZ,凯文教育,2012-05-17,7.01,7.22,2278075000
002659.SZ,凯文教育,2012-05-18,7.09,6.98,2203435000
002659.SZ,凯文教育,2012-05-21,6.92,7.01,2212765000
002659.SZ,凯文教育,2012-05-22,7.10,7.27,2293625000
002659.SZ,凯文教育,2012-05-23,7.22,7.43,2343385000
002659.SZ,凯文教育,2012-05-24,7.30,7.35,2320060000
002659.SZ,凯文教育,2012-05-25,7.22,7.06,2226760000
002659.SZ,凯文教育,2012-05-28,7.06,7.61,2400920000
002659.SZ,凯文教育,2012-05-29,7.61,7.62,2404030000
002659.SZ,凯文教育,2012-05-30,7.56,7.77,2452235000
002659.SZ,凯文教育,2012-05-31,7.67,7.67,2421135000
002659.SZ,凯文教育,2012-06-01,7.72,7.50,2349605000
002659.SZ,凯文教育,2012-06-04,7.34,7.13,2234535000
002659.SZ,凯文教育,2012-06-05,7.12,7.03,2203435000
002659.SZ,凯文教育,2012-06-06,7.03,7.03,2203435000
002659.SZ,凯文教育,2012-06-07,7.11,6.92,2169225000
002659.SZ,凯文教育,2012-06-08,6.94,6.81,2133460000
002659.SZ,凯文教育,2012-06-11,6.80,6.85,2147455000
002659.SZ,凯文教育,2012-06-12,6.77,6.67,2089920000
002659.SZ,凯文教育,2012-06-13,6.68,6.82,2136570000
002659.SZ,凯文教育,2012-06-14,6.85,6.91,2166115000
002659.SZ,凯文教育,2012-06-15,6.85,6.86,2149010000
002659.SZ,凯文教育,2012-06-18,6.90,7.05,2209655000
002659.SZ,凯文教育,2012-06-19,6.97,6.86,2150565000
002659.SZ,凯文教育,2012-06-20,6.88,6.96,2181665000
002659.SZ,凯文教育,2012-06-21,6.95,6.72,2103915000
002659.SZ,凯文教育,2012-06-25,6.62,6.32,1979515000
002659.SZ,凯文教育,2012-06-26,6.24,6.37,1996620000
002659.SZ,凯文教育,2012-06-27,6.38,6.33,1982625000
002659.SZ,凯文教育,2012-06-28,6.31,6.19,1940640000
002659.SZ,凯文教育,2012-06-29,6.13,6.32,1981070000
002659.SZ,凯文教育,2012-07-02,6.32,6.36,1993510000
002659.SZ,凯文教育,2012-07-03,6.37,6.44,2016835000
002659.SZ,凯文教育,2012-07-04,6.45,6.28,1967075000
002659.SZ,凯文教育,2012-07-05,6.25,6.06,1897100000
002659.SZ,凯文教育,2012-07-06,6.08,6.31,1977960000
002659.SZ,凯文教育,2012-07-09,6.32,6.11,1914205000
002659.SZ,凯文教育,2012-07-10,6.04,6.08,1904875000
002659.SZ,凯文教育,2012-07-11,6.08,6.22,1949970000
002659.SZ,凯文教育,2012-07-12,6.20,6.27,1965520000
002659.SZ,凯文教育,2012-07-13,6.24,6.11,1914205000
002659.SZ,凯文教育,2012-07-16,6.07,5.50,1722940000
002659.SZ,凯文教育,2012-07-17,5.46,5.46,1710500000
002659.SZ,凯文教育,2012-07-18,5.47,5.52,1730715000
002659.SZ,凯文教育,2012-07-19,5.52,5.59,1750930000
002659.SZ,凯文教育,2012-07-20,5.59,5.50,1724495000
002659.SZ,凯文教育,2012-07-23,5.50,5.39,1690285000
002659.SZ,凯文教育,2012-07-24,5.28,5.50,1722940000
002659.SZ,凯文教育,2012-07-25,5.42,5.50,1724495000
002659.SZ,凯文教育,2012-07-26,5.46,5.46,1710500000
002659.SZ,凯文教育,2012-07-27,5.47,5.52,1729160000
002659.SZ,凯文教育,2012-07-30,5.54,5.34,1671625000
002659.SZ,凯文教育,2012-07-31,5.39,5.04,1578325000
002659.SZ,凯文教育,2012-08-01,5.04,5.13,1606315000
002659.SZ,凯文教育,2012-08-02,5.27,5.00,1567440000
002659.SZ,凯文教育,2012-08-03,5.01,5.16,1617200000
002659.SZ,凯文教育,2012-08-06,5.11,5.36,1677845000
002659.SZ,凯文教育,2012-08-07,5.31,5.46,1712055000
002659.SZ,凯文教育,2012-08-08,5.41,5.38,1684065000
002659.SZ,凯文教育,2012-08-09,5.36,5.48,1716720000
002659.SZ,凯文教育,2012-08-10,5.44,5.46,1710500000
002659.SZ,凯文教育,2012-08-13,5.41,5.26,1646745000
002659.SZ,凯文教育,2012-08-14,5.26,5.32,1665405000
002659.SZ,凯文教育,2012-08-15,5.31,5.23,1638970000
002659.SZ,凯文教育,2012-08-16,5.20,5.18,1623420000
002659.SZ,凯文教育,2012-08-17,5.18,5.22,1634305000
002659.SZ,凯文教育,2012-08-20,5.19,5.23,1638970000
002659.SZ,凯文教育,2012-08-21,5.23,5.34,1671625000
002659.SZ,凯文教育,2012-08-22,5.34,5.47,1713610000
002659.SZ,凯文教育,2012-08-23,5.41,5.51,1726050000
002659.SZ,凯文教育,2012-08-24,5.50,5.46,1710500000
002659.SZ,凯文教育,2012-08-27,5.48,5.32,1666960000
002659.SZ,凯文教育,2012-08-28,5.39,5.36,1679400000
002659.SZ,凯文教育,2012-08-29,5.36,5.51,1726050000
002659.SZ,凯文教育,2012-08-30,5.51,5.65,1769590000
002659.SZ,凯文教育,2012-08-31,5.63,5.60,1754040000
002659.SZ,凯文教育,2012-09-03,5.64,5.64,1768035000
002659.SZ,凯文教育,2012-09-04,5.66,5.55,1738490000
002659.SZ,凯文教育,2012-09-05,5.53,5.55,1740045000
002659.SZ,凯文教育,2012-09-06,5.63,5.61,1757150000
002659.SZ,凯文教育,2012-09-07,5.68,5.86,1834900000
002659.SZ,凯文教育,2012-09-10,5.80,6.44,2018390000
002659.SZ,凯文教育,2012-09-11,6.45,6.50,2035495000
002659.SZ,凯文教育,2012-09-12,6.46,6.47,2026165000
002659.SZ,凯文教育,2012-09-13,6.43,6.15,1928200000
002659.SZ,凯文教育,2012-09-14,6.16,6.35,1988845000
002659.SZ,凯文教育,2012-09-17,6.26,5.99,1876885000
002659.SZ,凯文教育,2012-09-18,5.97,6.02,1886215000
002659.SZ,凯文教育,2012-09-19,5.98,6.06,1897100000
002659.SZ,凯文教育,2012-09-20,6.06,5.71,1788250000
002659.SZ,凯文教育,2012-09-21,5.71,5.56,1743155000
002659.SZ,凯文教育,2012-09-24,5.50,5.71,1788250000
002659.SZ,凯文教育,2012-09-25,5.62,5.52,1730715000
002659.SZ,凯文教育,2012-09-26,5.51,5.22,1635860000
002659.SZ,凯文教育,2012-09-27,5.26,5.40,1691840000
002659.SZ,凯文教育,2012-09-28,5.36,5.43,1702725000
002659.SZ,凯文教育,2012-10-08,5.43,5.39,1688730000
002659.SZ,凯文教育,2012-10-09,5.37,5.63,1763370000
002659.SZ,凯文教育,2012-10-10,5.57,5.67,1777365000
002659.SZ,凯文教育,2012-10-11,5.66,5.55,1738490000
002659.SZ,凯文教育,2012-10-12,5.54,5.56,1741600000
002659.SZ,凯文教育,2012-10-15,5.51,5.42,1699615000
002659.SZ,凯文教育,2012-10-16,5.41,5.42,1699615000
002659.SZ,凯文教育,2012-10-17,5.40,5.46,1712055000
002659.SZ,凯文教育,2012-10-18,5.47,5.56,1743155000
002659.SZ,凯文教育,2012-10-19,5.56,5.58,1749375000
002659.SZ,凯文教育,2012-10-22,5.55,5.60,1755595000
