代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
600730.SH,中国高科,2010-01-04,3.96,4.05,2455155368
600730.SH,中国高科,2010-01-05,4.03,4.03,2443422248
600730.SH,中国高科,2010-01-06,4.02,3.96,2405289608
600730.SH,中国高科,2010-01-07,3.92,3.84,2331957608
600730.SH,中国高科,2010-01-08,3.80,3.95,2396489768
600730.SH,中国高科,2010-01-11,3.92,4.10,2487421448
600730.SH,中国高科,2010-01-12,4.07,4.12,2502087849
600730.SH,中国高科,2010-01-13,4.02,4.10,2487421448
600730.SH,中国高科,2010-01-14,4.12,4.20,2546087049
600730.SH,中国高科,2010-01-15,4.20,4.14,2513820969
600730.SH,中国高科,2010-01-18,4.12,4.21,2554886889
600730.SH,中国高科,2010-01-19,4.29,4.22,2560753449
600730.SH,中国高科,2010-01-20,4.19,3.97,2408222888
600730.SH,中国高科,2010-01-21,3.94,4.06,2461021928
600730.SH,中国高科,2010-01-22,3.94,4.02,2437555688
600730.SH,中国高科,2010-01-25,3.99,4.06,2461021928
600730.SH,中国高科,2010-01-26,4.06,3.80,2305558088
600730.SH,中国高科,2010-01-27,3.83,3.74,2267425448
600730.SH,中国高科,2010-01-28,3.75,3.79,2299691528
600730.SH,中国高科,2010-01-29,3.77,3.79,2302624808
600730.SH,中国高科,2010-02-01,3.84,3.66,2223426248
600730.SH,中国高科,2010-02-02,3.66,3.67,2226359528
600730.SH,中国高科,2010-02-03,3.67,3.77,2285025128
600730.SH,中国高科,2010-02-04,3.76,3.81,2314357928
600730.SH,中国高科,2010-02-05,3.73,3.70,2243959208
600730.SH,中国高科,2010-02-08,3.76,3.80,2305558088
600730.SH,中国高科,2010-02-09,3.76,3.81,2311424648
600730.SH,中国高科,2010-02-10,3.85,3.84,2329024328
600730.SH,中国高科,2010-02-11,3.82,3.79,2299691528
600730.SH,中国高科,2010-02-12,3.83,3.84,2329024328
600730.SH,中国高科,2010-02-22,3.83,3.91,2370090248
600730.SH,中国高科,2010-02-23,3.89,3.96,2402356328
600730.SH,中国高科,2010-02-24,3.96,4.02,2440488968
600730.SH,中国高科,2010-02-25,4.02,4.06,2463955208
600730.SH,中国高科,2010-02-26,4.05,4.03,2443422248
600730.SH,中国高科,2010-03-01,4.03,4.08,2472755048
600730.SH,中国高科,2010-03-02,4.11,4.09,2484488168
600730.SH,中国高科,2010-03-03,4.07,4.16,2522620809
600730.SH,中国高科,2010-03-04,4.15,3.96,2402356328
600730.SH,中国高科,2010-03-05,3.96,4.09,2484488168
600730.SH,中国高科,2010-03-08,4.11,4.23,2563686729
600730.SH,中国高科,2010-03-09,4.20,4.18,2534353929
600730.SH,中国高科,2010-03-10,4.18,4.08,2475688328
600730.SH,中国高科,2010-03-11,4.08,4.01,2434622408
600730.SH,中国高科,2010-03-12,4.02,3.91,2370090248
600730.SH,中国高科,2010-03-15,3.90,3.92,2375956808
600730.SH,中国高科,2010-03-16,3.94,3.99,2419956008
600730.SH,中国高科,2010-03-17,3.99,4.08,2478621608
600730.SH,中国高科,2010-03-18,4.08,4.14,2513820969
600730.SH,中国高科,2010-03-19,4.14,4.17,2528487369
600730.SH,中国高科,2010-03-22,4.15,4.25,2578353129
600730.SH,中国高科,2010-03-23,4.25,4.25,2578353129
600730.SH,中国高科,2010-03-24,4.21,4.14,2510887689
600730.SH,中国高科,2010-03-25,4.14,4.04,2452222088
600730.SH,中国高科,2010-03-26,4.02,4.20,2549020329
600730.SH,中国高科,2010-03-29,4.25,4.30,2610619209
600730.SH,中国高科,2010-03-30,4.29,4.28,2598886089
600730.SH,中国高科,2010-03-31,4.29,4.33,2628218889
600730.SH,中国高科,2010-04-01,4.57,4.77,2892214090
600730.SH,中国高科,2010-04-02,4.71,4.56,2766083049
600730.SH,中国高科,2010-04-06,4.52,4.54,2757283209
600730.SH,中国高科,2010-04-07,4.54,4.47,2713284009
600730.SH,中国高科,2010-04-08,4.47,4.53,2748483369
600730.SH,中国高科,2010-04-09,4.53,4.53,2751416649
600730.SH,中国高科,2010-04-12,4.55,4.55,2763149769
600730.SH,中国高科,2010-04-13,4.55,4.37,2648751849
600730.SH,中国高科,2010-04-14,4.34,4.36,2642885289
600730.SH,中国高科,2010-04-15,4.36,4.30,2610619209
600730.SH,中国高科,2010-04-16,4.30,4.34,2634085449
600730.SH,中国高科,2010-04-19,4.34,4.13,2505021129
