代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
300144.SZ,宋城演艺,2010-12-09,4.23,4.26,10834320000
300144.SZ,宋城演艺,2010-12-10,4.26,4.26,10844400000
300144.SZ,宋城演艺,2010-12-13,4.28,4.35,11072880000
300144.SZ,宋城演艺,2010-12-14,4.29,4.15,10565520000
300144.SZ,宋城演艺,2010-12-15,4.21,4.15,10552080000
300144.SZ,宋城演艺,2010-12-16,4.09,4.19,10671360000
300144.SZ,宋城演艺,2010-12-17,4.16,4.30,10950240000
300144.SZ,宋城演艺,2010-12-20,4.30,4.19,10654560000
300144.SZ,宋城演艺,2010-12-21,4.23,4.19,10662960000
300144.SZ,宋城演艺,2010-12-22,4.16,4.06,10326960000
300144.SZ,宋城演艺,2010-12-23,4.09,3.97,10088400000
300144.SZ,宋城演艺,2010-12-24,3.90,3.80,9660000000
300144.SZ,宋城演艺,2010-12-27,3.80,3.74,9525600000
300144.SZ,宋城演艺,2010-12-28,3.69,3.66,9298800000
300144.SZ,宋城演艺,2010-12-29,3.66,3.73,9476880000
300144.SZ,宋城演艺,2010-12-30,3.73,3.69,9382800000
300144.SZ,宋城演艺,2010-12-31,3.69,3.72,9456720000
300144.SZ,宋城演艺,2011-01-04,3.72,3.80,9668400000
300144.SZ,宋城演艺,2011-01-05,3.77,3.81,9686880000
300144.SZ,宋城演艺,2011-01-06,3.81,3.70,9406320000
300144.SZ,宋城演艺,2011-01-07,3.70,3.68,9374400000
300144.SZ,宋城演艺,2011-01-10,3.69,3.61,9182880000
300144.SZ,宋城演艺,2011-01-11,3.60,3.49,8878800000
300144.SZ,宋城演艺,2011-01-12,3.51,3.52,8966160000
300144.SZ,宋城演艺,2011-01-13,3.55,3.46,8808240000
300144.SZ,宋城演艺,2011-01-14,3.48,3.37,8571360000
300144.SZ,宋城演艺,2011-01-17,3.34,3.25,8262240000
300144.SZ,宋城演艺,2011-01-18,3.23,3.23,8215200000
300144.SZ,宋城演艺,2011-01-19,3.25,3.27,8331120000
300144.SZ,宋城演艺,2011-01-20,3.26,3.06,7785120000
300144.SZ,宋城演艺,2011-01-21,3.04,3.02,7694400000
300144.SZ,宋城演艺,2011-01-24,3.02,3.01,7660800000
300144.SZ,宋城演艺,2011-01-25,3.01,3.11,7906080000
300144.SZ,宋城演艺,2011-01-26,3.09,3.09,7855680000
300144.SZ,宋城演艺,2011-01-27,3.04,3.09,7850640000
300144.SZ,宋城演艺,2011-01-28,3.09,3.10,7896000000
300144.SZ,宋城演艺,2011-01-31,3.10,3.16,8050560000
300144.SZ,宋城演艺,2011-02-01,3.13,3.11,7912800000
300144.SZ,宋城演艺,2011-02-09,3.08,3.03,7709520000
300144.SZ,宋城演艺,2011-02-10,3.04,3.16,8033760000
300144.SZ,宋城演艺,2011-02-11,3.16,3.19,8124480000
300144.SZ,宋城演艺,2011-02-14,3.19,3.23,8210160000
300144.SZ,宋城演艺,2011-02-15,3.22,3.21,8163120000
300144.SZ,宋城演艺,2011-02-16,3.21,3.25,8262240000
300144.SZ,宋城演艺,2011-02-17,3.25,3.23,8218560000
300144.SZ,宋城演艺,2011-02-18,3.22,3.16,8038800000
300144.SZ,宋城演艺,2011-02-21,3.16,3.35,8524320000
300144.SZ,宋城演艺,2011-02-22,3.32,3.22,8183280000
300144.SZ,宋城演艺,2011-02-23,3.24,3.33,8480640000
300144.SZ,宋城演艺,2011-02-24,3.33,3.31,8426880000
300144.SZ,宋城演艺,2011-02-25,3.32,3.27,8327760000
300144.SZ,宋城演艺,2011-02-28,3.30,3.35,8517600000
300144.SZ,宋城演艺,2011-03-01,3.36,3.35,8526000000
300144.SZ,宋城演艺,2011-03-02,3.32,3.28,8349600000
300144.SZ,宋城演艺,2011-03-03,3.26,3.18,8089200000
300144.SZ,宋城演艺,2011-03-04,3.19,3.18,8095920000
300144.SZ,宋城演艺,2011-03-07,3.19,3.22,8203440000
300144.SZ,宋城演艺,2011-03-08,3.22,3.23,8208480000
300144.SZ,宋城演艺,2011-03-09,3.23,3.23,8208480000
300144.SZ,宋城演艺,2011-03-10,3.23,3.23,8223600000
300144.SZ,宋城演艺,2011-03-11,3.23,3.22,8184960000
300144.SZ,宋城演艺,2011-03-14,3.20,3.16,8045520000
300144.SZ,宋城演艺,2011-03-15,3.16,3.08,7830480000
300144.SZ,宋城演艺,2011-03-16,3.08,3.12,7946400000
300144.SZ,宋城演艺,2011-03-17,3.12,3.09,7860720000
300144.SZ,宋城演艺,2011-03-18,3.09,3.10,7884240000
300144.SZ,宋城演艺,2011-03-21,3.10,3.12,7929600000
300144.SZ,宋城演艺,2011-03-22,3.12,3.11,7912800000
300144.SZ,宋城演艺,2011-03-23,3.12,3.17,8062320000
300144.SZ,宋城演艺,2011-03-24,3.17,3.16,8027040000
300144.SZ,宋城演艺,2011-03-25,3.16,3.15,8008560000
300144.SZ,宋城演艺,2011-03-28,3.15,3.09,7862400000
300144.SZ,宋城演艺,2011-03-29,3.07,3.02,7677600000
300144.SZ,宋城演艺,2011-03-30,3.02,3.00,7620480000
300144.SZ,宋城演艺,2011-03-31,3.01,3.00,7630560000
300144.SZ,宋城演艺,2011-04-01,2.99,3.04,7729680000
300144.SZ,宋城演艺,2011-04-06,3.04,3.05,7753200000
300144.SZ,宋城演艺,2011-04-07,3.06,3.14,7976640000
300144.SZ,宋城演艺,2011-04-08,3.15,3.14,7980000000
300144.SZ,宋城演艺,2011-04-11,3.13,3.11,7906080000
300144.SZ,宋城演艺,2011-04-12,3.18,3.16,8040480000
300144.SZ,宋城演艺,2011-04-13,3.16,3.26,8289120000
300144.SZ,宋城演艺,2011-04-14,3.27,3.22,8196720000
300144.SZ,宋城演艺,2011-04-15,3.21,3.18,8097600000
300144.SZ,宋城演艺,2011-04-18,3.19,3.23,8220240000
300144.SZ,宋城演艺,2011-04-19,3.20,3.16,8038800000
300144.SZ,宋城演艺,2011-04-20,3.16,3.17,8064000000
300144.SZ,宋城演艺,2011-04-21,3.21,3.26,8299200000
300144.SZ,宋城演艺,2011-04-22,3.24,3.26,8285760000
300144.SZ,宋城演艺,2011-04-25,3.29,3.25,8265600000
300144.SZ,宋城演艺,2011-04-26,3.24,3.15,8025360000
300144.SZ,宋城演艺,2011-04-27,3.14,3.14,7990080000
300144.SZ,宋城演艺,2011-04-28,3.16,2.95,7506240000
300144.SZ,宋城演艺,2011-04-29,2.96,2.98,7585200000
300144.SZ,宋城演艺,2011-05-03,2.98,2.98,7593600000
300144.SZ,宋城演艺,2011-05-04,2.98,2.98,7593600000
300144.SZ,宋城演艺,2011-05-05,2.91,2.99,7610400000
300144.SZ,宋城演艺,2011-05-06,2.97,3.00,7627200000
300144.SZ,宋城演艺,2011-05-09,3.03,3.04,7744800000
300144.SZ,宋城演艺,2011-05-10,3.06,3.04,7736400000
300144.SZ,宋城演艺,2011-05-11,3.04,3.08,7833840000
300144.SZ,宋城演艺,2011-05-12,3.07,3.05,7758240000
300144.SZ,宋城演艺,2011-05-13,3.00,3.01,7613760000
300144.SZ,宋城演艺,2011-05-16,3.06,3.06,7720944000
300144.SZ,宋城演艺,2011-05-17,3.05,3.07,7768992000
300144.SZ,宋城演艺,2011-05-18,3.04,3.12,7894656000
300144.SZ,宋城演艺,2011-05-19,3.14,3.07,7746816000
300144.SZ,宋城演艺,2011-05-20,3.07,3.04,7691376000
300144.SZ,宋城演艺,2011-05-23,3.05,2.97,7502880000
300144.SZ,宋城演艺,2011-05-24,2.93,2.99,7558320000
300144.SZ,宋城演艺,2011-05-25,2.95,2.81,7092624000
300144.SZ,宋城演艺,2011-05-26,2.81,2.77,6992832000
300144.SZ,宋城演艺,2011-05-27,2.78,2.76,6985440000
300144.SZ,宋城演艺,2011-05-30,2.75,2.82,7136976000
300144.SZ,宋城演艺,2011-05-31,2.83,2.87,7244160000
300144.SZ,宋城演艺,2011-06-01,2.87,3.00,7591584000
300144.SZ,宋城演艺,2011-06-02,2.95,3.00,7576800000
300144.SZ,宋城演艺,2011-06-03,3.00,3.03,7669200000
300144.SZ,宋城演艺,2011-06-07,3.04,3.02,7621152000
300144.SZ,宋城演艺,2011-06-08,3.02,2.99,7550928000
300144.SZ,宋城演艺,2011-06-09,2.98,2.93,7395696000
