代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
603466.SH,风语筑,2017-10-20,9.77,11.73,3434400000
603466.SH,风语筑,2017-10-23,12.90,12.90,3778560000
603466.SH,风语筑,2017-10-24,14.19,14.19,4155840000
603466.SH,风语筑,2017-10-25,15.61,15.61,4572000000
603466.SH,风语筑,2017-10-26,17.18,17.18,5029920000
603466.SH,风语筑,2017-10-27,18.89,18.89,5532480000
603466.SH,风语筑,2017-10-30,20.78,20.78,6085440000
603466.SH,风语筑,2017-10-31,22.86,22.86,6694560000
603466.SH,风语筑,2017-11-01,25.15,25.15,7364160000
603466.SH,风语筑,2017-11-02,27.66,27.66,8100000000
603466.SH,风语筑,2017-11-03,30.43,30.43,8910720000
603466.SH,风语筑,2017-11-06,33.48,33.48,9802080000
603466.SH,风语筑,2017-11-07,35.85,36.83,10782720000
603466.SH,风语筑,2017-11-08,35.46,36.45,10673280000
603466.SH,风语筑,2017-11-09,37.43,40.10,11740320000
603466.SH,风语筑,2017-11-10,40.82,38.66,11319840000
603466.SH,风语筑,2017-11-13,39.64,38.92,11396160000
603466.SH,风语筑,2017-11-14,38.17,36.88,10798560000
603466.SH,风语筑,2017-11-15,36.06,33.92,9933120000
603466.SH,风语筑,2017-11-16,33.93,32.66,9563040000
603466.SH,风语筑,2017-11-17,32.25,30.69,8985600000
603466.SH,风语筑,2017-11-20,30.76,31.28,9159840000
603466.SH,风语筑,2017-11-21,30.98,30.05,8798400000
603466.SH,风语筑,2017-11-22,29.95,29.50,8637120000
603466.SH,风语筑,2017-11-23,29.27,28.95,8475840000
603466.SH,风语筑,2017-11-24,28.77,29.12,8527680000
603466.SH,风语筑,2017-11-27,28.81,28.91,8465760000
603466.SH,风语筑,2017-11-28,29.07,30.03,8794080000
603466.SH,风语筑,2017-11-29,29.80,28.23,8265600000
603466.SH,风语筑,2017-11-30,28.16,27.81,8143200000
603466.SH,风语筑,2017-12-01,27.82,27.73,8120160000
603466.SH,风语筑,2017-12-04,27.37,25.05,7333920000
603466.SH,风语筑,2017-12-05,24.66,24.85,7276320000
603466.SH,风语筑,2017-12-06,25.00,25.59,7493760000
603466.SH,风语筑,2017-12-07,25.52,25.10,7349760000
603466.SH,风语筑,2017-12-08,24.95,25.86,7571520000
603466.SH,风语筑,2017-12-11,25.97,26.33,7708320000
603466.SH,风语筑,2017-12-12,26.27,25.37,7427520000
603466.SH,风语筑,2017-12-13,25.23,26.19,7669440000
603466.SH,风语筑,2017-12-14,26.07,26.64,7800480000
603466.SH,风语筑,2017-12-15,26.80,26.44,7742880000
603466.SH,风语筑,2017-12-18,26.56,26.63,7797600000
603466.SH,风语筑,2017-12-19,26.55,26.38,7722720000
603466.SH,风语筑,2017-12-20,26.29,25.04,7332480000
603466.SH,风语筑,2017-12-21,25.08,25.23,7388640000
603466.SH,风语筑,2017-12-22,25.01,25.03,7329600000
603466.SH,风语筑,2017-12-25,24.84,24.37,7136640000
603466.SH,风语筑,2017-12-26,24.26,25.82,7561440000
603466.SH,风语筑,2017-12-27,26.04,25.84,7567200000
603466.SH,风语筑,2017-12-28,25.72,26.31,7702560000
603466.SH,风语筑,2017-12-29,26.16,26.67,7807680000
603466.SH,风语筑,2018-01-02,26.85,26.68,7812000000
603466.SH,风语筑,2018-01-03,26.34,26.37,7719840000
603466.SH,风语筑,2018-01-04,26.27,26.25,7685280000
603466.SH,风语筑,2018-01-05,26.29,26.09,7639200000
603466.SH,风语筑,2018-01-08,26.04,25.40,7437600000
