代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
300654.SZ,世纪天鸿,2017-09-26,4.67,5.60,1036185000
300654.SZ,世纪天鸿,2017-09-27,6.16,6.16,1139803500
300654.SZ,世纪天鸿,2017-09-28,6.78,6.78,1253690500
300654.SZ,世纪天鸿,2017-09-29,7.46,7.46,1378779500
300654.SZ,世纪天鸿,2017-10-09,8.20,8.20,1516937500
300654.SZ,世纪天鸿,2017-10-10,9.03,9.03,1669098000
300654.SZ,世纪天鸿,2017-10-11,9.93,9.93,1836194500
300654.SZ,世纪天鸿,2017-10-12,10.92,10.92,2020094000
300654.SZ,世纪天鸿,2017-10-13,12.01,12.01,2221730000
300654.SZ,世纪天鸿,2017-10-16,13.22,13.22,2443903000
300654.SZ,世纪天鸿,2017-10-17,14.54,14.54,2688480000
300654.SZ,世纪天鸿,2017-10-18,15.99,15.99,2957328000
300654.SZ,世纪天鸿,2017-10-19,17.59,17.59,3253247500
300654.SZ,世纪天鸿,2017-10-20,19.35,19.35,3579039000
300654.SZ,世纪天鸿,2017-10-23,19.18,20.03,3705061500
300654.SZ,世纪天鸿,2017-10-24,18.90,18.03,3334462000
300654.SZ,世纪天鸿,2017-10-25,16.94,17.47,3229910000
300654.SZ,世纪天鸿,2017-10-26,17.16,16.11,2978798500
300654.SZ,世纪天鸿,2017-10-27,16.00,15.69,2902251500
300654.SZ,世纪天鸿,2017-10-30,15.47,14.87,2749157500
300654.SZ,世纪天鸿,2017-10-31,14.94,15.00,2773428500
300654.SZ,世纪天鸿,2017-11-01,14.99,15.09,2790231500
300654.SZ,世纪天鸿,2017-11-02,14.93,15.28,2825704500
300654.SZ,世纪天鸿,2017-11-03,15.09,14.90,2754758500
300654.SZ,世纪天鸿,2017-11-06,15.05,15.04,2781830000
300654.SZ,世纪天鸿,2017-11-07,14.96,14.82,2740756000
300654.SZ,世纪天鸿,2017-11-08,14.74,16.30,3015205000
300654.SZ,世纪天鸿,2017-11-09,16.00,16.85,3116956500
300654.SZ,世纪天鸿,2017-11-10,16.56,16.34,3021739500
300654.SZ,世纪天鸿,2017-11-13,16.39,16.08,2973197500
300654.SZ,世纪天鸿,2017-11-14,15.91,16.21,2997468500
300654.SZ,世纪天鸿,2017-11-15,16.13,14.99,2772495000
300654.SZ,世纪天鸿,2017-11-16,14.91,14.16,2619401000
300654.SZ,世纪天鸿,2017-11-17,14.30,12.81,2369223000
300654.SZ,世纪天鸿,2017-11-20,12.83,13.17,2435501500
300654.SZ,世纪天鸿,2017-11-21,13.01,12.92,2389760000
300654.SZ,世纪天鸿,2017-11-22,13.02,13.00,2403762500
300654.SZ,世纪天鸿,2017-11-23,13.06,12.32,2278673500
300654.SZ,世纪天鸿,2017-11-24,12.31,12.32,2278673500
300654.SZ,世纪天鸿,2017-11-27,12.24,12.27,2268405000
300654.SZ,世纪天鸿,2017-11-28,12.36,12.70,2348686000
300654.SZ,世纪天鸿,2017-11-29,12.62,12.77,2360821500
300654.SZ,世纪天鸿,2017-11-30,12.81,13.13,2428033500
300654.SZ,世纪天鸿,2017-12-01,13.03,13.19,2439235500
300654.SZ,世纪天鸿,2017-12-04,13.10,12.28,2271205500
300654.SZ,世纪天鸿,2017-12-05,12.37,11.63,2149850500
300654.SZ,世纪天鸿,2017-12-06,11.91,12.19,2253469000
300654.SZ,世纪天鸿,2017-12-07,12.19,12.87,2380425000
300654.SZ,世纪天鸿,2017-12-08,12.79,12.77,2361755000
300654.SZ,世纪天鸿,2017-12-11,12.42,13.10,2422432500
300654.SZ,世纪天鸿,2017-12-12,12.97,13.42,2482176500
300654.SZ,世纪天鸿,2017-12-13,13.26,14.11,2609132500
300654.SZ,世纪天鸿,2017-12-14,14.08,13.86,2562457500
300654.SZ,世纪天鸿,2017-12-15,14.08,13.55,2506447500
300654.SZ,世纪天鸿,2017-12-18,13.46,14.13,2612866500
300654.SZ,世纪天鸿,2017-12-19,14.03,14.53,2686613000
300654.SZ,世纪天鸿,2017-12-20,14.43,15.38,2843441000
300654.SZ,世纪天鸿,2017-12-21,15.68,15.40,2847175000
300654.SZ,世纪天鸿,2017-12-22,15.48,14.87,2750091000
300654.SZ,世纪天鸿,2017-12-25,14.87,15.35,2837840000
300654.SZ,世纪天鸿,2017-12-26,15.36,15.47,2860244000
300654.SZ,世纪天鸿,2017-12-27,15.43,14.79,2735155000
300654.SZ,世纪天鸿,2017-12-28,14.69,14.89,2753825000
300654.SZ,世纪天鸿,2017-12-29,14.97,14.90,2754758500
300654.SZ,世纪天鸿,2018-01-02,15.03,14.80,2737022000
300654.SZ,世纪天鸿,2018-01-03,14.97,15.57,2879847500
300654.SZ,世纪天鸿,2018-01-04,15.61,15.53,2871446000
300654.SZ,世纪天鸿,2018-01-05,15.45,15.53,2871446000
300654.SZ,世纪天鸿,2018-01-08,15.63,15.39,2846241500
300654.SZ,世纪天鸿,2018-01-09,15.26,15.01,2775295500
300654.SZ,世纪天鸿,2018-01-10,15.10,15.48,2862111000
300654.SZ,世纪天鸿,2018-01-11,15.44,16.44,3039476000
300654.SZ,世纪天鸿,2018-01-12,16.25,16.43,3037609000
300654.SZ,世纪天鸿,2018-01-15,16.31,15.94,2947993000
300654.SZ,世纪天鸿,2018-01-16,15.92,15.94,2947059500
300654.SZ,世纪天鸿,2018-01-17,15.77,16.58,3066547500
300654.SZ,世纪天鸿,2018-01-18,16.64,16.37,3026407000
300654.SZ,世纪天鸿,2018-01-19,16.96,15.80,2921855000
300654.SZ,世纪天鸿,2018-01-22,15.60,15.46,2858377000
300654.SZ,世纪天鸿,2018-01-23,15.49,15.69,2901318000
300654.SZ,世纪天鸿,2018-01-24,15.63,15.70,2904118500
300654.SZ,世纪天鸿,2018-01-25,15.40,15.86,2932123500
300654.SZ,世纪天鸿,2018-01-26,15.86,15.59,2883581500
300654.SZ,世纪天鸿,2018-01-29,15.60,15.62,2889182500
300654.SZ,世纪天鸿,2018-01-30,15.62,15.28,2826638000
300654.SZ,世纪天鸿,2018-01-31,15.20,15.26,2821970500
300654.SZ,世纪天鸿,2018-02-01,15.29,15.14,2800500000
300654.SZ,世纪天鸿,2018-02-02,15.04,15.10,2792098500
300654.SZ,世纪天鸿,2018-02-05,15.12,15.03,2779963000
300654.SZ,世纪天鸿,2018-02-06,14.65,14.64,2707150000
300654.SZ,世纪天鸿,2018-02-07,14.80,13.88,2567125000
300654.SZ,世纪天鸿,2018-02-08,13.97,14.23,2631536500
300654.SZ,世纪天鸿,2018-02-09,14.13,14.21,2627802500
300654.SZ,世纪天鸿,2018-02-12,14.47,15.06,2784630500
300654.SZ,世纪天鸿,2018-02-13,15.06,15.14,2800500000
300654.SZ,世纪天鸿,2018-02-14,15.14,15.31,2831305500
300654.SZ,世纪天鸿,2018-02-22,15.56,15.02,2778096000
300654.SZ,世纪天鸿,2018-02-23,15.02,15.12,2796766000
300654.SZ,世纪天鸿,2018-02-26,15.14,15.39,2846241500
300654.SZ,世纪天鸿,2018-02-27,15.39,15.20,2810768500
300654.SZ,世纪天鸿,2018-02-28,15.20,15.58,2880781000
300654.SZ,世纪天鸿,2018-03-01,15.58,15.61,2886382000
300654.SZ,世纪天鸿,2018-03-02,15.57,15.77,2916254000
300654.SZ,世纪天鸿,2018-03-05,15.65,15.61,2887315500
300654.SZ,世纪天鸿,2018-03-06,15.65,16.05,2968530000
300654.SZ,世纪天鸿,2018-03-07,15.89,15.89,2938658000
300654.SZ,世纪天鸿,2018-03-08,15.91,15.98,2955461000
300654.SZ,世纪天鸿,2018-03-09,15.98,16.24,3003069500
300654.SZ,世纪天鸿,2018-03-12,16.25,16.25,3005870000
300654.SZ,世纪天鸿,2018-03-13,16.25,15.89,2938658000
300654.SZ,世纪天鸿,2018-03-14,15.89,15.89,2937724500
300654.SZ,世纪天鸿,2018-03-15,15.89,15.89,2938658000
300654.SZ,世纪天鸿,2018-03-16,15.89,16.02,2961995500
300654.SZ,世纪天鸿,2018-03-19,16.04,17.05,3153363000
300654.SZ,世纪天鸿,2018-03-20,17.01,17.04,3150562500
300654.SZ,世纪天鸿,2018-03-21,16.96,17.46,3228976500
300654.SZ,世纪天鸿,2018-03-22,17.41,17.28,3196304000
300654.SZ,世纪天鸿,2018-03-23,17.26,16.15,2986266500
300654.SZ,世纪天鸿,2018-03-26,14.64,15.34,2836906500
300654.SZ,世纪天鸿,2018-03-27,15.27,15.80,2921855000
300654.SZ,世纪天鸿,2018-03-28,15.80,15.70,2903185000
300654.SZ,世纪天鸿,2018-03-29,15.70,16.05,2968530000
300654.SZ,世纪天鸿,2018-03-30,16.06,16.53,3057212500
300654.SZ,世纪天鸿,2018-04-02,16.56,16.55,3060946500
300654.SZ,世纪天鸿,2018-04-03,16.54,16.27,3008670500
300654.SZ,世纪天鸿,2018-04-04,16.25,16.25,3005870000
300654.SZ,世纪天鸿,2018-04-09,16.25,16.46,3043210000
300654.SZ,世纪天鸿,2018-04-10,16.56,17.16,3173900000
300654.SZ,世纪天鸿,2018-04-11,17.04,16.83,3113222500
300654.SZ,世纪天鸿,2018-04-12,16.81,16.84,3114156000
300654.SZ,世纪天鸿,2018-04-13,16.91,16.91,3127225000
300654.SZ,世纪天鸿,2018-04-16,16.82,17.20,3180434500
300654.SZ,世纪天鸿,2018-04-17,17.26,17.01,3145895000
300654.SZ,世纪天鸿,2018-04-18,17.09,18.03,3334462000
300654.SZ,世纪天鸿,2018-04-19,17.96,17.71,3275651500
300654.SZ,世纪天鸿,2018-04-20,17.67,17.67,3268183500
300654.SZ,世纪天鸿,2018-04-23,17.84,16.03,2963862500
300654.SZ,世纪天鸿,2018-04-24,14.89,15.58,2880781000
300654.SZ,世纪天鸿,2018-04-25,15.45,15.35,2837840000
300654.SZ,世纪天鸿,2018-04-26,15.24,15.27,2824771000
300654.SZ,世纪天鸿,2018-04-27,15.27,15.29,2828505000
300654.SZ,世纪天鸿,2018-05-02,15.28,15.34,2836906500
300654.SZ,世纪天鸿,2018-05-03,15.34,15.88,2935857500
300654.SZ,世纪天鸿,2018-05-04,15.87,15.91,2941458500
300654.SZ,世纪天鸿,2018-05-07,15.90,16.11,2978798500
300654.SZ,世纪天鸿,2018-05-08,16.10,16.11,2979732000
300654.SZ,世纪天鸿,2018-05-09,16.11,16.06,2969463500
300654.SZ,世纪天鸿,2018-05-10,16.06,16.25,3005870000
300654.SZ,世纪天鸿,2018-05-11,16.25,16.26,3006803500
300654.SZ,世纪天鸿,2018-05-14,16.25,16.40,3032008000
300654.SZ,世纪天鸿,2018-05-15,16.24,16.66,3080550000
300654.SZ,世纪天鸿,2018-05-16,16.56,16.76,3100153500
300654.SZ,世纪天鸿,2018-05-17,16.61,16.41,3034808500
300654.SZ,世纪天鸿,2018-05-18,16.31,16.58,3066547500
300654.SZ,世纪天鸿,2018-05-21,16.66,16.52,3055345500
300654.SZ,世纪天鸿,2018-05-22,16.66,16.63,3074949000
300654.SZ,世纪天鸿,2018-05-23,16.61,17.15,3171099500
300654.SZ,世纪天鸿,2018-05-24,16.99,17.29,3197237500
