代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
601019.SH,山东出版,2017-11-22,10.87,13.04,30531347000
601019.SH,山东出版,2017-11-23,14.34,14.34,33578221000
601019.SH,山东出版,2017-11-24,15.78,15.78,36938130000
601019.SH,山东出版,2017-11-27,14.89,14.97,35039051000
601019.SH,山东出版,2017-11-28,14.35,14.51,33974732000
601019.SH,山东出版,2017-11-29,14.45,13.83,32367819000
601019.SH,山东出版,2017-11-30,13.71,13.77,32242605000
601019.SH,山东出版,2017-12-01,13.65,13.39,31345238000
601019.SH,山东出版,2017-12-04,13.19,12.15,28444447000
601019.SH,山东出版,2017-12-05,11.94,11.79,27609687000
601019.SH,山东出版,2017-12-06,11.80,12.10,28340102000
601019.SH,山东出版,2017-12-07,12.00,11.74,27484473000
601019.SH,山东出版,2017-12-08,11.78,11.92,27901853000
601019.SH,山东出版,2017-12-11,11.86,11.92,27901853000
601019.SH,山东出版,2017-12-12,11.86,11.45,26816665000
601019.SH,山东出版,2017-12-13,11.44,11.47,26858403000
601019.SH,山东出版,2017-12-14,11.45,11.64,27254914000
601019.SH,山东出版,2017-12-15,11.60,11.45,26816665000
601019.SH,山东出版,2017-12-18,11.45,11.26,26357547000
601019.SH,山东出版,2017-12-19,11.26,11.30,26461892000
601019.SH,山东出版,2017-12-20,11.29,11.01,25773215000
601019.SH,山东出版,2017-12-21,10.97,10.92,25564525000
601019.SH,山东出版,2017-12-22,10.89,10.99,25731477000
601019.SH,山东出版,2017-12-25,11.00,11.11,26002774000
601019.SH,山东出版,2017-12-26,11.04,11.75,27505342000
601019.SH,山东出版,2017-12-27,11.59,11.45,26795796000
601019.SH,山东出版,2017-12-28,11.45,11.47,26858403000
601019.SH,山东出版,2017-12-29,11.42,11.47,26858403000
601019.SH,山东出版,2018-01-02,11.53,11.54,27025355000
601019.SH,山东出版,2018-01-03,11.52,11.43,26754058000
601019.SH,山东出版,2018-01-04,11.41,11.29,26441023000
601019.SH,山东出版,2018-01-05,11.29,11.20,26211464000
601019.SH,山东出版,2018-01-08,11.23,11.32,26503630000
601019.SH,山东出版,2018-01-09,11.30,11.31,26482761000
601019.SH,山东出版,2018-01-10,11.28,11.04,25835822000
601019.SH,山东出版,2018-01-11,10.98,11.16,26127988000
601019.SH,山东出版,2018-01-12,11.14,11.11,26002774000
601019.SH,山东出版,2018-01-15,11.09,10.78,25230621000
601019.SH,山东出版,2018-01-16,10.75,11.00,25752346000
601019.SH,山东出版,2018-01-17,11.02,11.30,26461892000
601019.SH,山东出版,2018-01-18,11.21,11.16,26127988000
601019.SH,山东出版,2018-01-19,11.19,11.02,25794084000
601019.SH,山东出版,2018-01-22,10.95,11.12,26044512000
601019.SH,山东出版,2018-01-23,11.05,11.04,25835822000
601019.SH,山东出版,2018-01-24,11.05,11.49,26900141000
601019.SH,山东出版,2018-01-25,11.42,11.35,26566237000
601019.SH,山东出版,2018-01-26,11.28,11.36,26587106000
601019.SH,山东出版,2018-01-29,11.33,11.17,26148857000
601019.SH,山东出版,2018-01-30,11.14,11.07,25919298000
601019.SH,山东出版,2018-01-31,11.06,10.84,25376704000
601019.SH,山东出版,2018-02-01,10.87,10.30,24124564000
601019.SH,山东出版,2018-02-02,10.21,10.25,23999350000
601019.SH,山东出版,2018-02-05,10.00,10.10,23644577000
601019.SH,山东出版,2018-02-06,9.94,9.39,21975057000
601019.SH,山东出版,2018-02-07,9.58,9.46,22142009000
601019.SH,山东出版,2018-02-08,9.41,9.54,22329830000
601019.SH,山东出版,2018-02-09,9.27,9.17,21474201000
601019.SH,山东出版,2018-02-12,9.24,9.34,21870712000
