代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
002738.SZ,中矿资源,2014-12-30,5.93,7.12,1308000000
002738.SZ,中矿资源,2014-12-31,7.83,7.83,1438800000
002738.SZ,中矿资源,2015-01-05,8.62,8.62,1582800000
002738.SZ,中矿资源,2015-01-06,9.48,9.48,1741200000
002738.SZ,中矿资源,2015-01-07,10.43,10.43,1915200000
002738.SZ,中矿资源,2015-01-08,11.47,11.47,2107200000
002738.SZ,中矿资源,2015-01-09,12.62,12.62,2318400000
002738.SZ,中矿资源,2015-01-12,13.85,13.89,2550000000
002738.SZ,中矿资源,2015-01-13,14.02,15.28,2805600000
002738.SZ,中矿资源,2015-01-14,16.01,16.81,3086400000
002738.SZ,中矿资源,2015-01-15,17.38,18.49,3394800000
002738.SZ,中矿资源,2015-01-16,19.74,20.34,3734400000
002738.SZ,中矿资源,2015-01-19,21.78,22.37,4107600000
002738.SZ,中矿资源,2015-01-20,21.96,24.60,4518000000
002738.SZ,中矿资源,2015-01-21,27.04,25.03,4596000000
002738.SZ,中矿资源,2015-01-22,24.33,26.27,4824000000
002738.SZ,中矿资源,2015-01-23,25.71,24.42,4484400000
002738.SZ,中矿资源,2015-01-26,24.16,24.76,4546800000
002738.SZ,中矿资源,2015-01-27,24.25,24.58,4514400000
002738.SZ,中矿资源,2015-01-28,24.26,27.04,4965600000
002738.SZ,中矿资源,2015-01-29,26.14,26.14,4801200000
002738.SZ,中矿资源,2015-01-30,25.23,23.53,4321200000
002738.SZ,中矿资源,2015-02-02,22.87,22.15,4068000000
002738.SZ,中矿资源,2015-02-03,22.41,22.96,4215600000
002738.SZ,中矿资源,2015-02-04,22.53,22.73,4173600000
002738.SZ,中矿资源,2015-02-05,22.70,22.69,4166400000
002738.SZ,中矿资源,2015-02-06,21.56,20.56,3776400000
002738.SZ,中矿资源,2015-02-09,20.45,20.70,3800400000
002738.SZ,中矿资源,2015-02-10,20.70,20.94,3844800000
002738.SZ,中矿资源,2015-02-11,21.09,20.85,3829200000
002738.SZ,中矿资源,2015-02-12,20.58,21.17,3888000000
002738.SZ,中矿资源,2015-02-13,20.90,22.09,4056000000
002738.SZ,中矿资源,2015-02-16,21.56,21.50,3948000000
002738.SZ,中矿资源,2015-02-17,21.56,21.24,3901200000
002738.SZ,中矿资源,2015-02-25,21.34,21.97,4034400000
002738.SZ,中矿资源,2015-02-26,21.67,21.50,3948000000
002738.SZ,中矿资源,2015-02-27,21.50,21.92,4024800000
002738.SZ,中矿资源,2015-03-02,22.05,22.21,4078800000
002738.SZ,中矿资源,2015-03-03,21.96,23.00,4224000000
002738.SZ,中矿资源,2015-03-04,22.40,23.02,4227600000
002738.SZ,中矿资源,2015-03-05,22.75,21.94,4029600000
002738.SZ,中矿资源,2015-03-06,21.56,21.17,3886800000
002738.SZ,中矿资源,2015-03-09,20.83,21.05,3865200000
002738.SZ,中矿资源,2015-03-10,21.24,21.28,3907200000
002738.SZ,中矿资源,2015-03-11,21.15,21.00,3855600000
002738.SZ,中矿资源,2015-03-12,20.79,20.17,3704400000
002738.SZ,中矿资源,2015-03-13,20.17,20.64,3790800000
002738.SZ,中矿资源,2015-03-16,20.83,21.30,3912000000
002738.SZ,中矿资源,2015-03-17,21.56,21.53,3954000000
002738.SZ,中矿资源,2015-03-18,21.56,21.75,3993600000
002738.SZ,中矿资源,2015-03-19,21.73,23.92,4393200000
002738.SZ,中矿资源,2015-03-20,24.50,23.39,4296000000
002738.SZ,中矿资源,2015-03-23,23.54,23.59,4332000000
002738.SZ,中矿资源,2015-03-24,23.62,23.28,4274400000
002738.SZ,中矿资源,2015-03-25,22.88,23.32,4282800000
002738.SZ,中矿资源,2015-03-26,23.30,24.03,4412400000
002738.SZ,中矿资源,2015-03-27,23.79,23.24,4267200000
002738.SZ,中矿资源,2015-03-30,23.30,23.34,4285200000
002738.SZ,中矿资源,2015-03-31,23.34,22.87,4200000000
002738.SZ,中矿资源,2015-04-01,22.94,23.05,4233600000
002738.SZ,中矿资源,2015-04-02,23.08,23.56,4326000000
002738.SZ,中矿资源,2015-04-03,23.52,23.73,4358400000
002738.SZ,中矿资源,2015-04-07,23.73,24.84,4562400000
002738.SZ,中矿资源,2015-04-08,24.69,23.94,4395600000
002738.SZ,中矿资源,2015-04-09,23.85,23.07,4237200000
002738.SZ,中矿资源,2015-04-10,22.87,23.39,4296000000
002738.SZ,中矿资源,2015-04-13,23.41,24.54,4506000000
002738.SZ,中矿资源,2015-04-14,24.16,25.90,4756800000
002738.SZ,中矿资源,2015-04-15,25.48,24.28,4458000000
