代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
600531.SH,豫光金铅,2010-01-04,5.47,5.38,4763977369
600531.SH,豫光金铅,2010-01-05,5.48,5.60,4960288847
600531.SH,豫光金铅,2010-01-06,5.56,5.60,4955723464
600531.SH,豫光金铅,2010-01-07,5.73,5.57,4926048473
600531.SH,豫光金铅,2010-01-08,5.62,5.41,4786804285
600531.SH,豫光金铅,2010-01-11,5.57,5.47,4839306192
600531.SH,豫光金铅,2010-01-12,5.45,5.49,4857567725
600531.SH,豫光金铅,2010-01-13,5.29,5.25,4647560098
600531.SH,豫光金铅,2010-01-14,5.29,5.34,4722888920
600531.SH,豫光金铅,2010-01-15,5.33,5.34,4725171612
600531.SH,豫光金铅,2010-01-18,5.33,5.41,4791369668
600531.SH,豫光金铅,2010-01-19,5.39,5.44,4816479276
600531.SH,豫光金铅,2010-01-20,5.46,5.24,4640712023
600531.SH,豫光金铅,2010-01-21,5.24,5.14,4553969742
600531.SH,豫光金铅,2010-01-22,5.07,4.94,4375919797
600531.SH,豫光金铅,2010-01-25,4.94,4.88,4323417890
600531.SH,豫光金铅,2010-01-26,4.86,4.68,4143085254
600531.SH,豫光金铅,2010-01-27,4.67,4.66,4122541030
600531.SH,豫光金铅,2010-01-28,4.62,4.66,4124823721
600531.SH,豫光金铅,2010-01-29,4.64,4.64,4108844880
600531.SH,豫光金铅,2010-02-01,4.64,4.50,3983296842
600531.SH,豫光金铅,2010-02-02,4.57,4.70,4156781404
600531.SH,豫光金铅,2010-02-03,4.76,4.80,4250371759
600531.SH,豫光金铅,2010-02-04,4.72,4.69,4149933329
600531.SH,豫光金铅,2010-02-05,4.51,4.49,3971883384
600531.SH,豫光金铅,2010-02-08,4.50,4.52,3999275683
600531.SH,豫光金铅,2010-02-09,4.52,4.62,4092866039
600531.SH,豫光金铅,2010-02-10,4.72,4.70,4156781404
600531.SH,豫光金铅,2010-02-11,4.65,4.77,4220696768
600531.SH,豫光金铅,2010-02-12,4.77,4.89,4325700582
600531.SH,豫光金铅,2010-02-22,4.98,4.80,4250371759
600531.SH,豫光金铅,2010-02-23,4.81,4.69,4147650637
600531.SH,豫光金铅,2010-02-24,4.62,4.75,4207000619
600531.SH,豫光金铅,2010-02-25,4.75,4.92,4357658264
600531.SH,豫光金铅,2010-02-26,4.88,4.83,4275481367
600531.SH,豫光金铅,2010-03-01,4.97,4.98,4405594788
600531.SH,豫光金铅,2010-03-02,4.92,4.88,4318852507
600531.SH,豫光金铅,2010-03-03,4.93,4.91,4348527498
600531.SH,豫光金铅,2010-03-04,4.96,4.75,4204717927
600531.SH,豫光金铅,2010-03-05,4.76,4.74,4195587161
600531.SH,豫光金铅,2010-03-08,4.75,4.78,4234392918
600531.SH,豫光金铅,2010-03-09,4.73,4.83,4270915984
600531.SH,豫光金铅,2010-03-10,4.81,4.88,4321135199
600531.SH,豫光金铅,2010-03-11,4.82,4.77,4222979460
600531.SH,豫光金铅,2010-03-12,4.77,4.67,4133954488
