代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
300736.SZ,百邦科技,2018-01-09,9.34,11.20,1500006294
300736.SZ,百邦科技,2018-01-10,12.32,12.32,1649898306
300736.SZ,百邦科技,2018-01-11,13.56,13.56,1814996754
300736.SZ,百邦科技,2018-01-12,14.91,14.91,1996387812
300736.SZ,百邦科技,2018-01-15,16.40,16.40,2196243828
300736.SZ,百邦科技,2018-01-16,18.04,18.04,2415650976
300736.SZ,百邦科技,2018-01-17,19.85,19.85,2657324691
300736.SZ,百邦科技,2018-01-18,21.83,21.83,2922894234
300736.SZ,百邦科技,2018-01-19,24.01,24.01,3215075040
300736.SZ,百邦科技,2018-01-22,24.01,21.61,2893567536
300736.SZ,百邦科技,2018-01-23,20.28,20.82,2787665571
300736.SZ,百邦科技,2018-01-24,20.91,20.55,2751821829
300736.SZ,百邦科技,2018-01-25,19.91,20.26,2713262652
300736.SZ,百邦科技,2018-01-26,19.96,19.27,2579663250
300736.SZ,百邦科技,2018-01-29,19.46,19.74,2643204429
300736.SZ,百邦科技,2018-01-30,19.51,19.98,2675789649
300736.SZ,百邦科技,2018-01-31,18.66,17.98,2408047758
300736.SZ,百邦科技,2018-02-01,18.03,17.52,2346135840
300736.SZ,百邦科技,2018-02-02,17.56,17.82,2386324278
300736.SZ,百邦科技,2018-02-05,17.07,16.17,2164744782
300736.SZ,百邦科技,2018-02-06,15.39,14.99,2006706465
300736.SZ,百邦科技,2018-02-07,15.41,15.56,2083824819
300736.SZ,百邦科技,2018-02-08,15.51,15.62,2091428037
300736.SZ,百邦科技,2018-02-09,15.01,15.62,2091428037
300736.SZ,百邦科技,2018-02-12,16.08,16.02,2145193650
300736.SZ,百邦科技,2018-02-13,15.90,15.25,2042007120
300736.SZ,百邦科技,2018-02-14,15.21,14.99,2006706465
300736.SZ,百邦科技,2018-02-22,15.21,15.31,2050153425
300736.SZ,百邦科技,2018-02-23,15.27,15.66,2097401994
300736.SZ,百邦科技,2018-02-26,16.19,16.34,2188097523
300736.SZ,百邦科技,2018-02-27,16.38,16.78,2246750919
300736.SZ,百邦科技,2018-02-28,16.14,15.73,2106634473
300736.SZ,百邦科技,2018-03-01,15.77,16.05,2148452172
300736.SZ,百邦科技,2018-03-02,16.04,16.24,2174520348
300736.SZ,百邦科技,2018-03-05,16.39,16.67,2231544483
300736.SZ,百邦科技,2018-03-06,16.67,16.58,2220139656
300736.SZ,百邦科技,2018-03-07,16.61,17.08,2286396270
300736.SZ,百邦科技,2018-03-08,17.07,17.72,2372747103
300736.SZ,百邦科技,2018-03-09,17.72,18.18,2434659021
300736.SZ,百邦科技,2018-03-12,18.22,18.04,2415107889
300736.SZ,百邦科技,2018-03-13,18.02,17.62,2359169928
300736.SZ,百邦科技,2018-03-14,17.50,17.44,2335274100
300736.SZ,百邦科技,2018-03-15,17.24,16.41,2197873089
300736.SZ,百邦科技,2018-03-16,16.27,16.42,2198959263
300736.SZ,百邦科技,2018-03-19,16.68,17.21,2303775054
300736.SZ,百邦科技,2018-03-20,16.83,18.04,2416194063
300736.SZ,百邦科技,2018-03-21,17.96,17.60,2356454493
300736.SZ,百邦科技,2018-03-22,17.33,18.41,2465614980
300736.SZ,百邦科技,2018-03-23,17.44,16.57,2219053482
300736.SZ,百邦科技,2018-03-26,15.62,16.73,2240776962
300736.SZ,百邦科技,2018-03-27,16.70,17.20,2302688880
300736.SZ,百邦科技,2018-03-28,16.87,17.29,2315722968
300736.SZ,百邦科技,2018-03-29,17.44,17.81,2385238104
300736.SZ,百邦科技,2018-03-30,17.66,18.25,2443891500
300736.SZ,百邦科技,2018-04-02,18.37,18.22,2439546804
300736.SZ,百邦科技,2018-04-03,17.93,18.80,2517208245
300736.SZ,百邦科技,2018-04-04,18.71,18.84,2523182202
300736.SZ,百邦科技,2018-04-09,18.85,19.62,2627454906
300736.SZ,百邦科技,2018-04-10,19.43,18.74,2509605027
300736.SZ,百邦科技,2018-04-11,19.04,19.08,2555224335
300736.SZ,百邦科技,2018-04-12,19.13,18.70,2504174157
300736.SZ,百邦科技,2018-04-13,19.86,19.04,2549793465
300736.SZ,百邦科技,2018-04-16,19.05,18.29,2449322370
300736.SZ,百邦科技,2018-04-17,18.40,17.82,2386324278
300736.SZ,百邦科技,2018-04-18,17.97,17.64,2361885363
300736.SZ,百邦科技,2018-04-19,17.64,17.31,2317352229
300736.SZ,百邦科技,2018-04-20,17.28,16.39,2194614567
300736.SZ,百邦科技,2018-04-23,16.39,16.73,2239690788
300736.SZ,百邦科技,2018-04-24,16.81,17.42,2333101752
300736.SZ,百邦科技,2018-04-25,17.85,17.81,2384151930
300736.SZ,百邦科技,2018-04-26,17.68,17.04,2281508487
300736.SZ,百邦科技,2018-04-27,17.11,17.36,2324955447
300736.SZ,百邦科技,2018-05-02,17.37,16.99,2274991443
300736.SZ,百邦科技,2018-05-03,16.99,17.69,2368402407
300736.SZ,百邦科技,2018-05-04,17.54,17.40,2330386317
300736.SZ,百邦科技,2018-05-07,17.94,18.05,2416737150
300736.SZ,百邦科技,2018-05-08,17.87,18.65,2497114026
300736.SZ,百邦科技,2018-05-09,18.63,18.46,2472132024
300736.SZ,百邦科技,2018-05-10,18.59,18.88,2527526898
300736.SZ,百邦科技,2018-05-11,18.70,18.30,2450951631
300736.SZ,百邦科技,2018-05-14,18.30,17.84,2388496626
300736.SZ,百邦科技,2018-05-15,17.79,18.99,2543276421
300736.SZ,百邦科技,2018-05-16,19.14,19.20,2571516945
300736.SZ,百邦科技,2018-05-17,18.99,19.14,2562284466
300736.SZ,百邦科技,2018-05-18,19.30,19.91,2666557170
300736.SZ,百邦科技,2018-05-21,19.82,20.18,2701857825
300736.SZ,百邦科技,2018-05-22,19.73,20.14,2659768582
300736.SZ,百邦科技,2018-05-23,19.99,20.07,2650807647
