代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
300905.SZ,宝丽迪,2020-11-05,110.00,102.06,7348320000
300905.SZ,宝丽迪,2020-11-06,94.01,97.20,6998400000
300905.SZ,宝丽迪,2020-11-09,97.00,97.48,7018560000
300905.SZ,宝丽迪,2020-11-10,96.00,94.50,6804000000
300905.SZ,宝丽迪,2020-11-11,93.80,95.40,6868800000
300905.SZ,宝丽迪,2020-11-12,93.50,85.99,6191280000
300905.SZ,宝丽迪,2020-11-13,84.99,85.38,6147360000
300905.SZ,宝丽迪,2020-11-16,86.96,86.10,6199200000
300905.SZ,宝丽迪,2020-11-17,85.30,88.78,6392160000
300905.SZ,宝丽迪,2020-11-18,87.83,89.60,6451200000
300905.SZ,宝丽迪,2020-11-19,89.58,86.29,6212880000
300905.SZ,宝丽迪,2020-11-20,86.20,84.18,6060960000
300905.SZ,宝丽迪,2020-11-23,84.00,81.91,5897520000
300905.SZ,宝丽迪,2020-11-24,81.53,82.42,5934240000
300905.SZ,宝丽迪,2020-11-25,82.78,78.95,5684400000
300905.SZ,宝丽迪,2020-11-26,78.60,78.89,5680080000
300905.SZ,宝丽迪,2020-11-27,78.81,75.84,5460480000
300905.SZ,宝丽迪,2020-11-30,76.29,75.87,5462640000
300905.SZ,宝丽迪,2020-12-01,75.88,77.46,5577120000
300905.SZ,宝丽迪,2020-12-02,77.00,77.41,5573520000
300905.SZ,宝丽迪,2020-12-03,76.59,75.78,5456160000
300905.SZ,宝丽迪,2020-12-04,75.59,76.85,5533200000
300905.SZ,宝丽迪,2020-12-07,76.70,78.79,5672880000
300905.SZ,宝丽迪,2020-12-08,78.90,77.65,5590800000
300905.SZ,宝丽迪,2020-12-09,76.75,73.36,5281920000
300905.SZ,宝丽迪,2020-12-10,71.90,70.66,5087520000
300905.SZ,宝丽迪,2020-12-11,70.65,67.98,4894560000
300905.SZ,宝丽迪,2020-12-14,67.52,68.88,4959360000
300905.SZ,宝丽迪,2020-12-15,68.58,68.22,4911840000
300905.SZ,宝丽迪,2020-12-16,68.20,65.61,4723920000
300905.SZ,宝丽迪,2020-12-17,66.39,66.80,4809600000
300905.SZ,宝丽迪,2020-12-18,66.78,65.54,4718880000
300905.SZ,宝丽迪,2020-12-21,65.17,64.76,4662720000
300905.SZ,宝丽迪,2020-12-22,64.90,62.50,4500000000
300905.SZ,宝丽迪,2020-12-23,62.47,60.85,4381200000
300905.SZ,宝丽迪,2020-12-24,60.77,59.45,4280400000
300905.SZ,宝丽迪,2020-12-25,59.46,60.14,4330080000
300905.SZ,宝丽迪,2020-12-28,59.68,57.46,4137120000
300905.SZ,宝丽迪,2020-12-29,57.70,55.96,4029120000
300905.SZ,宝丽迪,2020-12-30,56.10,56.57,4073040000
300905.SZ,宝丽迪,2020-12-31,56.24,56.63,4077360000

数据来源: Wind
