代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
603212.SH,赛伍技术,2020-04-30,15.03,15.03,6024150600
603212.SH,赛伍技术,2020-05-06,16.54,16.54,6628165700
603212.SH,赛伍技术,2020-05-07,18.20,18.20,7292182300
603212.SH,赛伍技术,2020-05-08,20.01,20.01,8020200500
603212.SH,赛伍技术,2020-05-11,22.02,22.02,8824220600
603212.SH,赛伍技术,2020-05-12,24.23,24.23,9708242700
603212.SH,赛伍技术,2020-05-13,26.65,26.65,10680267000
603212.SH,赛伍技术,2020-05-14,29.32,29.32,11748293700
603212.SH,赛伍技术,2020-05-15,29.45,31.45,12604315100
603212.SH,赛伍技术,2020-05-18,29.94,28.75,11520288000
603212.SH,赛伍技术,2020-05-19,28.37,29.91,11988299700
603212.SH,赛伍技术,2020-05-20,29.36,32.13,12876321900
603212.SH,赛伍技术,2020-05-21,30.97,30.70,12304307600
603212.SH,赛伍技术,2020-05-22,30.34,28.66,11484287100
603212.SH,赛伍技术,2020-05-25,27.95,26.15,10480262000
603212.SH,赛伍技术,2020-05-26,26.35,26.27,10528263200
603212.SH,赛伍技术,2020-05-27,26.26,27.00,10820270500
603212.SH,赛伍技术,2020-05-28,26.40,24.85,9960249000
603212.SH,赛伍技术,2020-05-29,25.13,24.24,9716242900
603212.SH,赛伍技术,2020-06-01,24.44,24.96,10004250100
603212.SH,赛伍技术,2020-06-02,24.93,26.21,10504262600
603212.SH,赛伍技术,2020-06-03,25.95,25.46,10204255100
603212.SH,赛伍技术,2020-06-04,25.36,25.92,10388259700
603212.SH,赛伍技术,2020-06-05,25.90,25.01,10024250600
603212.SH,赛伍技术,2020-06-08,25.22,26.42,10588264700
603212.SH,赛伍技术,2020-06-09,26.24,27.32,10948273700
603212.SH,赛伍技术,2020-06-10,26.95,27.45,11000275000
603212.SH,赛伍技术,2020-06-11,27.95,26.99,10816270400
603212.SH,赛伍技术,2020-06-12,25.61,26.49,10616265400
603212.SH,赛伍技术,2020-06-15,26.15,25.15,10080252000
603212.SH,赛伍技术,2020-06-16,25.40,25.70,10300257500
603212.SH,赛伍技术,2020-06-17,25.82,25.09,10056251400
603212.SH,赛伍技术,2020-06-18,25.21,25.33,10152253800
603212.SH,赛伍技术,2020-06-19,25.39,25.65,10280257000
603212.SH,赛伍技术,2020-06-22,25.60,25.26,10124253100
603212.SH,赛伍技术,2020-06-23,25.14,24.78,9932248300
603212.SH,赛伍技术,2020-06-24,24.66,25.11,10064251600
603212.SH,赛伍技术,2020-06-29,25.36,25.70,10300257500
