代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
002320.SZ,海峡股份,2010-01-04,5.80,6.00,8358525000
002320.SZ,海峡股份,2010-01-05,6.11,5.94,8268750000
002320.SZ,海峡股份,2010-01-06,5.97,5.97,8317575000
002320.SZ,海峡股份,2010-01-07,5.93,6.39,8898750000
002320.SZ,海峡股份,2010-01-08,6.33,6.55,9120825000
002320.SZ,海峡股份,2010-01-11,6.40,6.74,9383850000
002320.SZ,海峡股份,2010-01-12,6.67,6.57,9150750000
002320.SZ,海峡股份,2010-01-13,6.40,6.29,8757000000
002320.SZ,海峡股份,2010-01-14,6.26,6.31,8788500000
002320.SZ,海峡股份,2010-01-15,6.30,6.32,8804250000
002320.SZ,海峡股份,2010-01-18,6.28,6.53,9087750000
002320.SZ,海峡股份,2010-01-19,6.53,6.28,8744400000
002320.SZ,海峡股份,2010-01-20,6.22,5.89,8194725000
002320.SZ,海峡股份,2010-01-21,5.98,6.03,8394750000
002320.SZ,海峡股份,2010-01-22,5.92,5.76,8016750000
002320.SZ,海峡股份,2010-01-25,5.66,5.62,7827750000
002320.SZ,海峡股份,2010-01-26,5.64,5.70,7936425000
002320.SZ,海峡股份,2010-01-27,5.70,5.97,8316000000
002320.SZ,海峡股份,2010-01-28,5.87,5.99,8347500000
002320.SZ,海峡股份,2010-01-29,5.95,5.93,8260875000
002320.SZ,海峡股份,2010-02-01,5.92,5.66,7876575000
002320.SZ,海峡股份,2010-02-02,5.65,5.40,7512750000
002320.SZ,海峡股份,2010-02-03,5.40,5.40,7512750000
002320.SZ,海峡股份,2010-02-04,5.54,5.93,8264025000
002320.SZ,海峡股份,2010-02-05,5.83,5.54,7720650000
002320.SZ,海峡股份,2010-02-08,5.43,5.51,7673400000
002320.SZ,海峡股份,2010-02-09,5.40,5.30,7386750000
002320.SZ,海峡股份,2010-02-10,5.37,5.43,7556850000
002320.SZ,海峡股份,2010-02-11,5.43,5.56,7736400000
002320.SZ,海峡股份,2010-02-12,5.57,5.79,8056125000
002320.SZ,海峡股份,2010-02-22,5.75,5.68,7914375000
002320.SZ,海峡股份,2010-02-23,5.68,5.60,7793100000
002320.SZ,海峡股份,2010-02-24,5.60,5.68,7911225000
002320.SZ,海峡股份,2010-02-25,5.75,5.88,8185275000
002320.SZ,海峡股份,2010-02-26,5.88,5.97,8316000000
002320.SZ,海峡股份,2010-03-01,5.99,5.99,8344350000
002320.SZ,海峡股份,2010-03-02,5.99,6.02,8375850000
002320.SZ,海峡股份,2010-03-03,6.05,6.09,8473500000
002320.SZ,海峡股份,2010-03-04,6.20,5.86,8160075000
002320.SZ,海峡股份,2010-03-05,5.86,5.72,7961625000
002320.SZ,海峡股份,2010-03-08,5.68,5.75,8001000000
002320.SZ,海峡股份,2010-03-09,5.75,5.69,7922250000
002320.SZ,海峡股份,2010-03-10,5.72,5.71,7947450000
002320.SZ,海峡股份,2010-03-11,5.66,5.53,7693875000
002320.SZ,海峡股份,2010-03-12,5.53,5.48,7624575000
002320.SZ,海峡股份,2010-03-15,5.54,5.56,7742700000
002320.SZ,海峡股份,2010-03-16,5.49,5.49,7638750000
002320.SZ,海峡股份,2010-03-17,5.49,5.66,7878150000
002320.SZ,海峡股份,2010-03-18,5.67,5.83,8111250000
002320.SZ,海峡股份,2010-03-19,5.80,6.39,8890875000
002320.SZ,海峡股份,2010-03-22,6.52,6.64,9245250000
002320.SZ,海峡股份,2010-03-23,6.63,6.65,9261000000
002320.SZ,海峡股份,2010-03-24,6.64,6.85,9544500000
002320.SZ,海峡股份,2010-03-25,6.85,6.90,9605925000
002320.SZ,海峡股份,2010-03-26,6.82,6.58,9161775000
002320.SZ,海峡股份,2010-03-29,6.56,6.54,9103500000
002320.SZ,海峡股份,2010-03-30,6.54,6.88,9583875000
