代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
601975.SH,招商南油,2019-01-08,2.81,3.31,16627454079
601975.SH,招商南油,2019-01-09,3.14,3.14,15773476075
601975.SH,招商南油,2019-01-10,2.98,2.98,14969732072
601975.SH,招商南油,2019-01-11,2.83,2.83,14216222068
601975.SH,招商南油,2019-01-14,2.69,2.71,13613414065
601975.SH,招商南油,2019-01-15,2.69,2.57,12910138062
601975.SH,招商南油,2019-01-16,2.52,2.59,13010606062
601975.SH,招商南油,2019-01-17,2.60,2.53,12709202061
601975.SH,招商南油,2019-01-18,2.51,2.42,12156628058
601975.SH,招商南油,2019-01-21,2.42,2.48,12458032060
601975.SH,招商南油,2019-01-22,2.45,2.45,12307330059
601975.SH,招商南油,2019-01-23,2.44,2.44,12257096059
601975.SH,招商南油,2019-01-24,2.46,2.42,12156628058
601975.SH,招商南油,2019-01-25,2.42,2.33,11704522056
601975.SH,招商南油,2019-01-28,2.33,2.22,11151948053
601975.SH,招商南油,2019-01-29,2.21,2.11,10599374051
601975.SH,招商南油,2019-01-30,2.07,2.09,10498906050
601975.SH,招商南油,2019-01-31,2.08,2.05,10297970049
601975.SH,招商南油,2019-02-01,2.05,2.09,10498906050
601975.SH,招商南油,2019-02-11,2.09,2.14,10750076051
601975.SH,招商南油,2019-02-12,2.14,2.15,10800310052
601975.SH,招商南油,2019-02-13,2.16,2.16,10850544052
601975.SH,招商南油,2019-02-14,2.15,2.27,11403118054
601975.SH,招商南油,2019-02-15,2.30,2.28,11453352055
601975.SH,招商南油,2019-02-18,2.27,2.30,11553820055
601975.SH,招商南油,2019-02-19,2.29,2.30,11553820055
601975.SH,招商南油,2019-02-20,2.29,2.27,11403118054
601975.SH,招商南油,2019-02-21,2.27,2.25,11302650054
601975.SH,招商南油,2019-02-22,2.25,2.26,11352884054
601975.SH,招商南油,2019-02-25,2.26,2.32,11654288056
601975.SH,招商南油,2019-02-26,2.31,2.32,11654288056
601975.SH,招商南油,2019-02-27,2.31,2.33,11704522056
601975.SH,招商南油,2019-02-28,2.34,2.38,11955692057
601975.SH,招商南油,2019-03-01,2.39,2.39,12005926057
601975.SH,招商南油,2019-03-04,2.39,2.39,12005926057
601975.SH,招商南油,2019-03-05,2.37,2.39,12005926057
601975.SH,招商南油,2019-03-06,2.39,2.51,12608734060
601975.SH,招商南油,2019-03-07,2.60,2.64,13261776063
601975.SH,招商南油,2019-03-08,2.77,2.77,13914818066
601975.SH,招商南油,2019-03-11,2.91,2.73,13713882066
601975.SH,招商南油,2019-03-12,2.78,2.87,14417158069
601975.SH,招商南油,2019-03-13,2.90,3.00,15070200072
601975.SH,招商南油,2019-03-14,2.93,2.85,14316690068
601975.SH,招商南油,2019-03-15,2.85,2.88,14467392069
601975.SH,招商南油,2019-03-18,2.93,2.95,14819030071
601975.SH,招商南油,2019-03-19,2.99,3.10,15572540074
601975.SH,招商南油,2019-03-20,3.03,3.06,15371604073
601975.SH,招商南油,2019-03-21,3.09,3.14,15773476075
601975.SH,招商南油,2019-03-22,3.15,3.30,16577220079
601975.SH,招商南油,2019-03-25,3.25,3.44,17280496083
601975.SH,招商南油,2019-03-26,3.47,3.44,17280496083
601975.SH,招商南油,2019-03-27,3.43,3.27,16426518078
601975.SH,招商南油,2019-03-28,3.27,3.27,16426518078
601975.SH,招商南油,2019-03-29,3.30,3.18,15974412076
601975.SH,招商南油,2019-04-01,3.16,3.50,17581900084
601975.SH,招商南油,2019-04-02,3.80,3.85,19340090092
601975.SH,招商南油,2019-04-03,4.23,4.24,21299216102
601975.SH,招商南油,2019-04-04,4.66,4.66,23409044112
601975.SH,招商南油,2019-04-08,4.92,4.66,23409044112
601975.SH,招商南油,2019-04-09,4.53,5.13,25770042123
601975.SH,招商南油,2019-04-10,5.06,4.90,24614660118
601975.SH,招商南油,2019-04-11,4.80,4.42,22203428106
601975.SH,招商南油,2019-04-12,4.48,4.29,21550386103
601975.SH,招商南油,2019-04-15,4.37,4.46,22404364107
601975.SH,招商南油,2019-04-16,4.33,4.39,22052726105
601975.SH,招商南油,2019-04-17,4.33,4.36,21902024105
601975.SH,招商南油,2019-04-18,4.29,4.30,21600620103
601975.SH,招商南油,2019-04-19,4.27,4.26,21399684102
601975.SH,招商南油,2019-04-22,4.28,4.18,20997812100
601975.SH,招商南油,2019-04-23,4.19,4.17,20947578100
601975.SH,招商南油,2019-04-24,4.15,4.06,20395004097
601975.SH,招商南油,2019-04-25,4.06,3.87,19440558093
601975.SH,招商南油,2019-04-26,3.85,3.88,19490792093
601975.SH,招商南油,2019-04-29,3.88,3.50,17581900084
601975.SH,招商南油,2019-04-30,3.50,3.54,17782836085
601975.SH,招商南油,2019-05-06,3.39,3.20,16074880077
601975.SH,招商南油,2019-05-07,3.24,3.22,16175348077
601975.SH,招商南油,2019-05-08,3.12,3.31,16627454079
601975.SH,招商南油,2019-05-09,3.24,3.16,15873944076
601975.SH,招商南油,2019-05-10,3.22,3.28,16476752079
601975.SH,招商南油,2019-05-13,3.23,3.33,16727922080
601975.SH,招商南油,2019-05-14,3.27,3.24,16275816078
601975.SH,招商南油,2019-05-15,3.28,3.31,16627454079
601975.SH,招商南油,2019-05-16,3.30,3.31,16627454079
601975.SH,招商南油,2019-05-17,3.32,3.13,15723242075
601975.SH,招商南油,2019-05-20,3.06,3.01,15120434072
601975.SH,招商南油,2019-05-21,3.03,3.07,15421838074
601975.SH,招商南油,2019-05-22,3.08,3.01,15120434072
601975.SH,招商南油,2019-05-23,2.99,2.96,14869264071
601975.SH,招商南油,2019-05-24,2.96,2.97,14919498071
601975.SH,招商南油,2019-05-27,2.99,3.03,15220902073
601975.SH,招商南油,2019-05-28,3.03,3.07,15421838074
601975.SH,招商南油,2019-05-29,3.04,3.38,16979092081
601975.SH,招商南油,2019-05-30,3.44,3.72,18687048089
601975.SH,招商南油,2019-05-31,4.09,4.09,20545706098
601975.SH,招商南油,2019-06-03,4.18,3.98,19993132096
601975.SH,招商南油,2019-06-04,4.02,3.97,19942898095
601975.SH,招商南油,2019-06-05,3.85,3.70,18586580089
601975.SH,招商南油,2019-06-06,3.55,3.33,16727922080
601975.SH,招商南油,2019-06-10,3.29,3.35,16828390080
601975.SH,招商南油,2019-06-11,3.29,3.46,17380964083
601975.SH,招商南油,2019-06-12,3.41,3.31,16627454079
601975.SH,招商南油,2019-06-13,3.26,3.41,17129794082
601975.SH,招商南油,2019-06-14,3.39,3.25,16326050078
601975.SH,招商南油,2019-06-17,3.22,3.24,16275816078
601975.SH,招商南油,2019-06-18,3.23,3.27,16426518078
601975.SH,招商南油,2019-06-19,3.36,3.32,16677688080
601975.SH,招商南油,2019-06-20,3.30,3.38,16979092081
601975.SH,招商南油,2019-06-21,3.41,3.41,17129794082
601975.SH,招商南油,2019-06-24,3.40,3.35,16828390080
601975.SH,招商南油,2019-06-25,3.34,3.27,16426518078
601975.SH,招商南油,2019-06-26,3.26,3.31,16627454079
601975.SH,招商南油,2019-06-27,3.29,3.28,16476752079
601975.SH,招商南油,2019-06-28,3.27,3.21,16125114077
601975.SH,招商南油,2019-07-01,3.28,3.29,16526986079
601975.SH,招商南油,2019-07-02,3.29,3.37,16928858081
601975.SH,招商南油,2019-07-03,3.34,3.26,16376284078
601975.SH,招商南油,2019-07-04,3.27,3.27,16426518078
601975.SH,招商南油,2019-07-05,3.27,3.29,16526986079
601975.SH,招商南油,2019-07-08,3.26,3.15,15823710076
601975.SH,招商南油,2019-07-09,3.14,3.23,16225582078
601975.SH,招商南油,2019-07-10,3.19,3.16,15873944076
601975.SH,招商南油,2019-07-11,3.18,3.17,15924178076
601975.SH,招商南油,2019-07-12,3.17,3.16,15873944076
601975.SH,招商南油,2019-07-15,3.16,3.18,15974412076
601975.SH,招商南油,2019-07-16,3.19,3.18,15974412076
601975.SH,招商南油,2019-07-17,3.17,3.17,15924178076
601975.SH,招商南油,2019-07-18,3.16,3.11,15622774075
601975.SH,招商南油,2019-07-19,3.10,3.14,15773476075
601975.SH,招商南油,2019-07-22,3.15,3.03,15220902073
601975.SH,招商南油,2019-07-23,3.03,3.05,15321370073
601975.SH,招商南油,2019-07-24,3.05,3.07,15421838074
601975.SH,招商南油,2019-07-25,3.05,3.04,15271136073
601975.SH,招商南油,2019-07-26,3.03,3.04,15271136073
601975.SH,招商南油,2019-07-29,3.04,3.04,15271136073
601975.SH,招商南油,2019-07-30,3.05,3.04,15271136073
601975.SH,招商南油,2019-07-31,3.04,3.01,15120434072
601975.SH,招商南油,2019-08-01,2.99,3.04,15271136073
601975.SH,招商南油,2019-08-02,2.99,2.98,14969732072
601975.SH,招商南油,2019-08-05,2.97,2.93,14718562070
601975.SH,招商南油,2019-08-06,2.86,2.78,13965052067
601975.SH,招商南油,2019-08-07,2.80,2.78,13965052067
601975.SH,招商南油,2019-08-08,2.77,2.78,13965052067
601975.SH,招商南油,2019-08-09,2.79,2.95,14819030071
601975.SH,招商南油,2019-08-12,2.96,2.93,14718562070
601975.SH,招商南油,2019-08-13,2.88,2.89,14517626069
601975.SH,招商南油,2019-08-14,2.98,2.91,14618094070
601975.SH,招商南油,2019-08-15,2.82,2.91,14618094070
601975.SH,招商南油,2019-08-16,2.94,2.91,14618094070
601975.SH,招商南油,2019-08-19,2.93,2.97,14919498071
601975.SH,招商南油,2019-08-20,2.96,3.07,15421838074
601975.SH,招商南油,2019-08-21,3.08,3.15,15823710076
601975.SH,招商南油,2019-08-22,3.15,3.11,15622774075
601975.SH,招商南油,2019-08-23,3.11,3.06,15371604073
601975.SH,招商南油,2019-08-26,2.93,3.01,15120434072
601975.SH,招商南油,2019-08-27,3.03,3.04,15271136073
601975.SH,招商南油,2019-08-28,3.04,3.02,15170668072
601975.SH,招商南油,2019-08-29,3.04,3.07,15421838074
601975.SH,招商南油,2019-08-30,3.09,3.00,15070200072
601975.SH,招商南油,2019-09-02,2.99,3.06,15371604073
601975.SH,招商南油,2019-09-03,3.08,3.03,15220902073
601975.SH,招商南油,2019-09-04,3.03,3.06,15371604073
601975.SH,招商南油,2019-09-05,3.06,3.08,15472072074
601975.SH,招商南油,2019-09-06,3.08,3.13,15723242075
601975.SH,招商南油,2019-09-09,3.15,3.14,15773476075
601975.SH,招商南油,2019-09-10,3.14,3.17,15924178076
601975.SH,招商南油,2019-09-11,3.16,3.13,15723242075
601975.SH,招商南油,2019-09-12,3.13,3.13,15723242075
601975.SH,招商南油,2019-09-16,3.21,3.17,15924178076
601975.SH,招商南油,2019-09-17,3.20,3.12,15673008075
601975.SH,招商南油,2019-09-18,3.08,3.05,15321370073
601975.SH,招商南油,2019-09-19,3.06,3.07,15421838074
601975.SH,招商南油,2019-09-20,3.08,3.07,15421838074
601975.SH,招商南油,2019-09-23,3.06,3.00,15070200072
601975.SH,招商南油,2019-09-24,3.01,3.00,15070200072
601975.SH,招商南油,2019-09-25,2.98,2.93,14718562070
601975.SH,招商南油,2019-09-26,2.94,2.94,14768796071
601975.SH,招商南油,2019-09-27,2.93,2.92,14668328070
601975.SH,招商南油,2019-09-30,2.93,2.89,14517626069
601975.SH,招商南油,2019-10-08,2.93,2.92,14668328070
601975.SH,招商南油,2019-10-09,2.89,2.93,14718562070
601975.SH,招商南油,2019-10-10,2.95,3.22,16175348077
601975.SH,招商南油,2019-10-11,3.28,3.13,15723242075
601975.SH,招商南油,2019-10-14,3.28,3.21,16125114077
601975.SH,招商南油,2019-10-15,3.16,3.10,15572540074
601975.SH,招商南油,2019-10-16,3.08,3.02,15170668072
601975.SH,招商南油,2019-10-17,3.04,2.99,15019966072
601975.SH,招商南油,2019-10-18,3.00,3.00,15070200072
601975.SH,招商南油,2019-10-21,2.98,2.97,14919498071
601975.SH,招商南油,2019-10-22,2.97,3.00,15070200072
601975.SH,招商南油,2019-10-23,3.03,3.02,15170668072
601975.SH,招商南油,2019-10-24,3.03,2.99,15019966072
601975.SH,招商南油,2019-10-25,2.98,2.99,15019966072
601975.SH,招商南油,2019-10-28,2.99,3.01,15120434072
