代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
000598.SZ,兴蓉环境,2010-01-04,2.45,2.45,3599401770
000598.SZ,兴蓉环境,2010-01-05,2.43,2.41,3535882916
000598.SZ,兴蓉环境,2010-01-06,2.42,2.42,3551006452
000598.SZ,兴蓉环境,2010-01-07,2.42,2.36,3460265231
000598.SZ,兴蓉环境,2010-01-08,2.34,2.38,3484462890
000598.SZ,兴蓉环境,2010-01-11,2.36,2.31,3393721669
000598.SZ,兴蓉环境,2010-01-12,2.30,2.38,3484462890
000598.SZ,兴蓉环境,2010-01-13,2.33,2.43,3563105282
000598.SZ,兴蓉环境,2010-01-14,2.46,2.64,3877674848
000598.SZ,兴蓉环境,2010-01-15,2.60,2.55,3741563017
000598.SZ,兴蓉环境,2010-01-18,2.57,2.57,3765760676
000598.SZ,兴蓉环境,2010-01-19,2.58,2.60,3814155994
000598.SZ,兴蓉环境,2010-01-20,2.59,2.53,3708291236
000598.SZ,兴蓉环境,2010-01-21,2.54,2.66,3895823093
000598.SZ,兴蓉环境,2010-01-22,2.61,2.70,3953292533
000598.SZ,兴蓉环境,2010-01-25,2.68,2.56,3750637139
000598.SZ,兴蓉环境,2010-01-26,2.54,2.39,3502611134
000598.SZ,兴蓉环境,2010-01-27,2.38,2.37,3481438183
000598.SZ,兴蓉环境,2010-01-28,2.31,2.36,3463289939
000598.SZ,兴蓉环境,2010-01-29,2.37,2.38,3484462890
000598.SZ,兴蓉环境,2010-02-01,2.38,2.31,3390696962
000598.SZ,兴蓉环境,2010-02-02,2.33,2.32,3399771084
000598.SZ,兴蓉环境,2010-02-03,2.33,2.38,3484462890
000598.SZ,兴蓉环境,2010-02-04,2.38,2.50,3659895918
000598.SZ,兴蓉环境,2010-02-05,2.44,2.44,3575204111
000598.SZ,兴蓉环境,2010-02-08,2.47,2.48,3635698259
000598.SZ,兴蓉环境,2010-02-09,2.49,2.45,3593352356
000598.SZ,兴蓉环境,2010-02-10,2.47,2.45,3593352356
000598.SZ,兴蓉环境,2010-02-11,2.49,2.47,3620574722
000598.SZ,兴蓉环境,2010-02-12,2.47,2.48,3629648844
000598.SZ,兴蓉环境,2010-02-22,2.49,2.53,3714340650
000598.SZ,兴蓉环境,2010-02-23,2.53,2.62,3841378360
000598.SZ,兴蓉环境,2010-02-24,2.61,2.67,3916996044
000598.SZ,兴蓉环境,2010-02-25,2.68,2.75,4034959632
000598.SZ,兴蓉环境,2010-02-26,2.74,2.71,3980514899
000598.SZ,兴蓉环境,2010-03-01,2.74,2.78,4077305535
000598.SZ,兴蓉环境,2010-03-02,2.77,2.79,4089404364
000598.SZ,兴蓉环境,2010-03-03,2.79,2.90,4258787977
000598.SZ,兴蓉环境,2010-03-04,2.91,2.78,4083354950
000598.SZ,兴蓉环境,2010-03-05,2.78,2.83,4155947926
000598.SZ,兴蓉环境,2010-03-08,2.87,2.80,4107552608
000598.SZ,兴蓉环境,2010-03-09,2.80,2.80,4107552608
000598.SZ,兴蓉环境,2010-03-10,2.71,2.74,4016811387
000598.SZ,兴蓉环境,2010-03-11,2.73,2.66,3898847800
000598.SZ,兴蓉环境,2010-03-12,2.66,2.67,3920020752
000598.SZ,兴蓉环境,2010-03-15,2.69,2.81,4116626731
000598.SZ,兴蓉环境,2010-03-16,2.79,2.94,4307183295
000598.SZ,兴蓉环境,2010-03-17,2.95,2.97,4349529198
000598.SZ,兴蓉环境,2010-03-18,2.94,2.95,4319282124
000598.SZ,兴蓉环境,2010-03-19,2.92,3.06,4485641030
000598.SZ,兴蓉环境,2010-03-22,3.09,3.08,4521937518
000598.SZ,兴蓉环境,2010-03-23,3.06,3.07,4497739859
000598.SZ,兴蓉环境,2010-03-24,3.07,3.07,4506813981
000598.SZ,兴蓉环境,2010-03-25,3.11,3.09,4524962226
000598.SZ,兴蓉环境,2010-03-26,3.18,3.24,4751815278
000598.SZ,兴蓉环境,2010-03-29,3.33,3.39,4975643624
000598.SZ,兴蓉环境,2010-03-30,3.38,3.39,4972618916
000598.SZ,兴蓉环境,2010-03-31,3.39,3.39,4972618916
000598.SZ,兴蓉环境,2010-04-01,3.49,3.51,5142002529
000598.SZ,兴蓉环境,2010-04-02,3.51,3.51,5142002529
000598.SZ,兴蓉环境,2010-04-06,3.53,3.54,5187373140
000598.SZ,兴蓉环境,2010-04-07,3.54,3.50,5135953114
000598.SZ,兴蓉环境,2010-04-08,3.50,3.55,5199471969
