代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
600874.SH,创业环保,2010-01-04,6.82,6.79,10775574646
600874.SH,创业环保,2010-01-05,6.75,6.83,10832663784
600874.SH,创业环保,2010-01-06,6.82,6.76,10718485509
600874.SH,创业环保,2010-01-07,6.73,6.51,10318861549
600874.SH,创业环保,2010-01-08,6.43,6.57,10418767539
600874.SH,创业环保,2010-01-11,6.62,6.58,10433039823
600874.SH,创业环保,2010-01-12,6.58,6.73,10675668656
600874.SH,创业环保,2010-01-13,6.57,6.78,10747030078
600874.SH,创业环保,2010-01-14,6.75,7.01,11118109470
600874.SH,创业环保,2010-01-15,6.94,6.97,11061020332
600874.SH,创业环保,2010-01-18,6.93,7.04,11160926323
600874.SH,创业环保,2010-01-19,7.15,7.00,11103837185
600874.SH,创业环保,2010-01-20,6.99,6.69,10618579519
600874.SH,创业环保,2010-01-21,6.69,6.80,10789846931
600874.SH,创业环保,2010-01-22,6.73,6.55,10390222970
600874.SH,创业环保,2010-01-25,6.56,6.52,10347406118
600874.SH,创业环保,2010-01-26,6.60,6.34,10061960432
600874.SH,创业环保,2010-01-27,6.34,6.31,10004871294
600874.SH,创业环保,2010-01-28,6.40,6.49,10290316980
600874.SH,创业环保,2010-01-29,6.40,6.40,10147594137
600874.SH,创业环保,2010-02-01,6.39,6.22,9862148451
600874.SH,创业环保,2010-02-02,6.21,6.15,9762242461
600874.SH,创业环保,2010-02-03,6.17,6.40,10147594137
600874.SH,创业环保,2010-02-04,6.33,6.46,10247500127
600874.SH,创业环保,2010-02-05,6.29,6.74,10689940941
600874.SH,创业环保,2010-02-08,6.67,6.73,10675668656
600874.SH,创业环保,2010-02-09,6.64,7.02,11132381754
600874.SH,创业环保,2010-02-10,6.98,6.85,10861208352
600874.SH,创业环保,2010-02-11,6.85,6.67,10575762666
600874.SH,创业环保,2010-02-12,6.69,6.71,10647124088
600874.SH,创业环保,2010-02-22,6.76,6.83,10832663784
600874.SH,创业环保,2010-02-23,6.81,7.02,11132381754
600874.SH,创业环保,2010-02-24,6.99,7.15,11346466018
600874.SH,创业环保,2010-02-25,7.12,7.52,11931629675
600874.SH,创业环保,2010-02-26,7.45,7.52,11931629675
600874.SH,创业环保,2010-03-01,7.47,7.93,12573882468
600874.SH,创业环保,2010-03-02,7.92,7.86,12473976478
600874.SH,创业环保,2010-03-03,7.87,7.95,12602427037
600874.SH,创业环保,2010-03-04,7.95,7.45,11817451400
600874.SH,创业环保,2010-03-05,7.45,7.36,11674728557
600874.SH,创业环保,2010-03-08,7.40,7.48,11860268253
600874.SH,创业环保,2010-03-09,7.42,7.49,11874540538
600874.SH,创业环保,2010-03-10,7.50,7.36,11674728557
600874.SH,创业环保,2010-03-11,7.36,7.20,11417827440
600874.SH,创业环保,2010-03-12,7.21,7.10,11260832313
600874.SH,创业环保,2010-03-15,7.06,7.18,11389282871
600874.SH,创业环保,2010-03-16,7.17,7.18,11389282871
600874.SH,创业环保,2010-03-17,7.20,7.41,11760362263
600874.SH,创业环保,2010-03-18,7.41,7.41,11746089979
600874.SH,创业环保,2010-03-19,7.36,7.46,11831723685
600874.SH,创业环保,2010-03-22,7.47,7.44,11803179116
600874.SH,创业环保,2010-03-23,7.43,7.28,11546277999
600874.SH,创业环保,2010-03-24,7.29,7.30,11574822567
600874.SH,创业环保,2010-03-25,7.30,7.09,11246560028
600874.SH,创业环保,2010-03-26,7.07,7.33,11631911704
600874.SH,创业环保,2010-03-29,7.38,7.41,11746089979
600874.SH,创业环保,2010-03-30,7.38,7.42,11774634548
600874.SH,创业环保,2010-03-31,7.41,7.36,11674728557
600874.SH,创业环保,2010-04-01,7.38,7.60,12060080233
600874.SH,创业环保,2010-04-02,7.59,7.55,11974446528
600874.SH,创业环保,2010-04-06,7.55,7.62,12088624802
600874.SH,创业环保,2010-04-07,7.61,7.59,12045807949
600874.SH,创业环保,2010-04-08,7.61,7.51,11917357390
600874.SH,创业环保,2010-04-09,7.51,7.53,11945901959
600874.SH,创业环保,2010-04-12,7.56,7.65,12131441655
600874.SH,创业环保,2010-04-13,7.65,7.39,11717545410
600874.SH,创业环保,2010-04-14,7.39,7.41,11760362263
600874.SH,创业环保,2010-04-15,7.38,7.28,11546277999
600874.SH,创业环保,2010-04-16,7.27,7.28,11546277999
600874.SH,创业环保,2010-04-19,7.25,6.87,10889752921
600874.SH,创业环保,2010-04-20,6.81,6.98,11075292617
600874.SH,创业环保,2010-04-21,6.98,7.12,11289376881
600874.SH,创业环保,2010-04-22,7.12,7.11,11275104597
600874.SH,创业环保,2010-04-23,7.10,7.05,11175198607
600874.SH,创业环保,2010-04-26,6.97,7.02,11132381754
600874.SH,创业环保,2010-04-27,6.97,6.74,10689940941
600874.SH,创业环保,2010-04-28,6.67,6.70,10632851804
600874.SH,创业环保,2010-04-29,6.84,6.82,10818391499
600874.SH,创业环保,2010-04-30,6.85,6.57,10418767539
600874.SH,创业环保,2010-05-04,6.39,6.49,10290316980
600874.SH,创业环保,2010-05-05,6.43,6.65,10547218098
600874.SH,创业环保,2010-05-06,6.74,6.63,10518673529
600874.SH,创业环保,2010-05-07,6.39,6.42,10190410990
600874.SH,创业环保,2010-05-10,6.43,6.51,10318861549
600874.SH,创业环保,2010-05-11,6.65,6.37,10104777284
600874.SH,创业环保,2010-05-12,6.32,6.15,9762242461
600874.SH,创业环保,2010-05-13,6.15,6.15,9762242461
600874.SH,创业环保,2010-05-14,6.27,6.33,10033415863
600874.SH,创业环保,2010-05-17,6.25,5.85,9276984795
600874.SH,创业环保,2010-05-18,5.83,5.88,9319801648
600874.SH,创业环保,2010-05-19,5.79,5.80,9205623374
600874.SH,创业环保,2010-05-20,5.72,5.66,8977266825
600874.SH,创业环保,2010-05-21,5.44,5.68,9005811393
600874.SH,创业环保,2010-05-24,5.71,5.93,9405435354
600874.SH,创业环保,2010-05-25,5.93,5.90,9362618501
600874.SH,创业环保,2010-05-26,5.86,5.89,9348346216
600874.SH,创业环保,2010-05-27,5.92,6.04,9576702765
600874.SH,创业环保,2010-05-28,6.12,6.03,9562430481
600874.SH,创业环保,2010-05-31,6.29,5.91,9376890785
600874.SH,创业环保,2010-06-01,5.85,5.74,9105717383
600874.SH,创业环保,2010-06-02,5.72,5.82,9234167942
600874.SH,创业环保,2010-06-03,5.85,5.93,9405435354
600874.SH,创业环保,2010-06-04,5.85,5.88,9334073932
