代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
200550.SZ,江铃B,2010-01-04,7.06,7.10,10153132045
200550.SZ,江铃B,2010-01-05,7.11,7.08,10129182432
200550.SZ,江铃B,2010-01-06,7.07,6.99,9992063737
200550.SZ,江铃B,2010-01-07,6.90,6.61,9462423681
200550.SZ,江铃B,2010-01-08,6.70,6.80,9727220186
200550.SZ,江铃B,2010-01-11,6.82,6.79,9711911086
200550.SZ,江铃B,2010-01-12,6.85,6.97,9970853705
200550.SZ,江铃B,2010-01-13,6.81,6.82,9750129109
200550.SZ,江铃B,2010-01-14,6.91,6.92,9901106360
200550.SZ,江铃B,2010-01-15,6.92,7.00,10003622863
200550.SZ,江铃B,2010-01-18,6.94,7.02,10039433468
200550.SZ,江铃B,2010-01-19,7.02,7.04,10058098313
200550.SZ,江铃B,2010-01-20,7.07,6.99,9991142342
200550.SZ,江铃B,2010-01-21,7.00,7.05,10075254259
200550.SZ,江铃B,2010-01-22,6.99,6.78,9675784717
200550.SZ,江铃B,2010-01-25,6.71,6.59,9401515732
200550.SZ,江铃B,2010-01-26,6.58,6.42,9172113418
200550.SZ,江铃B,2010-01-27,6.32,6.41,9147771647
200550.SZ,江铃B,2010-01-28,6.37,6.41,9147771647
200550.SZ,江铃B,2010-01-29,6.41,6.36,9075598756
200550.SZ,江铃B,2010-02-01,6.36,6.20,8854990261
200550.SZ,江铃B,2010-02-02,6.20,6.17,8808160470
200550.SZ,江铃B,2010-02-03,6.32,6.37,9105284858
200550.SZ,江铃B,2010-02-04,6.40,6.36,9082418319
200550.SZ,江铃B,2010-02-05,6.31,6.26,8934185484
200550.SZ,江铃B,2010-02-08,6.25,6.26,8941159045
200550.SZ,江铃B,2010-02-09,6.24,6.27,8956326405
200550.SZ,江铃B,2010-02-10,6.37,6.35,9064767319
200550.SZ,江铃B,2010-02-11,6.35,6.37,9101762945
200550.SZ,江铃B,2010-02-12,6.38,6.45,9216164264
200550.SZ,江铃B,2010-02-22,6.43,6.44,9205286646
200550.SZ,江铃B,2010-02-23,6.43,6.45,9223401019
200550.SZ,江铃B,2010-02-24,6.39,6.61,9451139316
200550.SZ,江铃B,2010-02-25,6.63,6.71,9585819863
200550.SZ,江铃B,2010-02-26,6.69,6.74,9632015451
200550.SZ,江铃B,2010-03-01,6.74,6.77,9672056150
200550.SZ,江铃B,2010-03-02,6.84,6.63,9471435376
200550.SZ,江铃B,2010-03-03,6.63,6.78,9693729468
200550.SZ,江铃B,2010-03-04,6.87,6.71,9595155350
200550.SZ,江铃B,2010-03-05,6.68,6.81,9731241900
200550.SZ,江铃B,2010-03-08,6.90,6.95,9937884973
200550.SZ,江铃B,2010-03-09,6.95,6.96,9949547858
200550.SZ,江铃B,2010-03-10,6.98,6.90,9856614238
200550.SZ,江铃B,2010-03-11,6.92,6.85,9797423654
200550.SZ,江铃B,2010-03-12,6.95,6.83,9765489916
200550.SZ,江铃B,2010-03-15,6.83,6.82,9744923842
200550.SZ,江铃B,2010-03-16,6.82,6.85,9797089590
200550.SZ,江铃B,2010-03-17,6.85,6.99,9992278332
200550.SZ,江铃B,2010-03-18,7.16,6.91,9869557269
200550.SZ,江铃B,2010-03-19,6.99,7.11,10159437996
200550.SZ,江铃B,2010-03-22,7.11,7.16,10236531639
200550.SZ,江铃B,2010-03-23,7.18,7.12,10181638220
200550.SZ,江铃B,2010-03-24,7.12,7.18,10256047871
200550.SZ,江铃B,2010-03-25,7.12,7.07,10098005128
200550.SZ,江铃B,2010-03-26,7.10,7.16,10227309924
200550.SZ,江铃B,2010-03-29,7.17,7.20,10292132288
200550.SZ,江铃B,2010-03-30,7.24,7.24,10345027453
200550.SZ,江铃B,2010-03-31,7.27,7.19,10268661327
200550.SZ,江铃B,2010-04-01,7.28,7.26,10366617988
200550.SZ,江铃B,2010-04-02,7.26,7.41,10575260265
200550.SZ,江铃B,2010-04-06,7.48,7.44,10622469784
200550.SZ,江铃B,2010-04-07,7.48,7.39,10556343794
200550.SZ,江铃B,2010-04-08,7.43,7.46,10666228691
200550.SZ,江铃B,2010-04-09,7.48,7.60,10866946059
200550.SZ,江铃B,2010-04-12,7.49,7.62,10900666392
200550.SZ,江铃B,2010-04-13,7.62,7.52,10743488502
200550.SZ,江铃B,2010-04-14,7.46,7.52,10753281234
200550.SZ,江铃B,2010-04-15,7.52,7.71,11023912289
200550.SZ,江铃B,2010-04-16,7.70,7.86,11228902393
200550.SZ,江铃B,2010-04-19,7.78,7.50,10710804026
200550.SZ,江铃B,2010-04-20,7.51,7.66,10946122896
200550.SZ,江铃B,2010-04-21,7.68,7.81,11166005945
200550.SZ,江铃B,2010-04-22,7.80,7.68,10968396752
200550.SZ,江铃B,2010-04-23,7.69,7.54,10780593325
200550.SZ,江铃B,2010-04-26,7.60,8.12,11599470582
200550.SZ,江铃B,2010-04-27,8.13,8.08,11543311864
200550.SZ,江铃B,2010-04-28,8.02,8.29,11846479268
200550.SZ,江铃B,2010-04-29,8.44,8.13,11607653333
200550.SZ,江铃B,2010-04-30,8.13,8.40,11996758697
200550.SZ,江铃B,2010-05-04,8.29,8.45,12069443473
200550.SZ,江铃B,2010-05-05,8.43,8.36,11936597169
200550.SZ,江铃B,2010-05-06,8.39,7.95,11350867712
200550.SZ,江铃B,2010-05-07,7.82,7.96,11347034179
200550.SZ,江铃B,2010-05-10,7.87,8.03,11449288955
200550.SZ,江铃B,2010-05-11,8.05,8.04,11467054590
200550.SZ,江铃B,2010-05-12,7.97,7.65,10906204773
200550.SZ,江铃B,2010-05-13,7.70,7.97,11358299294
200550.SZ,江铃B,2010-05-14,7.97,8.13,11586257710
200550.SZ,江铃B,2010-05-17,8.13,7.60,10828776549
200550.SZ,江铃B,2010-05-18,7.62,7.70,10957534930
200550.SZ,江铃B,2010-05-19,7.65,7.65,10877863731
200550.SZ,江铃B,2010-05-20,7.60,7.38,10503039811
200550.SZ,江铃B,2010-05-21,7.22,7.32,10399579901
200550.SZ,江铃B,2010-05-24,7.33,7.50,10663790112
200550.SZ,江铃B,2010-05-25,7.56,7.51,10675001535
200550.SZ,江铃B,2010-05-26,7.49,7.45,10592503310
200550.SZ,江铃B,2010-05-27,7.45,7.58,10798079623
200550.SZ,江铃B,2010-05-28,7.65,7.58,10794879171
200550.SZ,江铃B,2010-05-31,7.64,7.44,10593586644
200550.SZ,江铃B,2010-06-01,7.41,7.44,10592136444
200550.SZ,江铃B,2010-06-02,7.35,7.53,10717085721
200550.SZ,江铃B,2010-06-03,7.49,7.53,10719042800
200550.SZ,江铃B,2010-06-04,7.52,7.55,10760302789
200550.SZ,江铃B,2010-06-07,7.34,7.48,10647801317
200550.SZ,江铃B,2010-06-08,7.49,7.37,10473906080
200550.SZ,江铃B,2010-06-09,7.37,7.59,10792918639
200550.SZ,江铃B,2010-06-10,7.54,7.54,10727640325
200550.SZ,江铃B,2010-06-11,7.54,7.55,10752245118
200550.SZ,江铃B,2010-06-17,7.44,7.43,10575315338
200550.SZ,江铃B,2010-06-18,7.44,7.52,10710387267
200550.SZ,江铃B,2010-06-21,7.43,7.60,10844909673
200550.SZ,江铃B,2010-06-22,7.64,7.57,10756188107
200550.SZ,江铃B,2010-06-23,7.57,7.54,10728498360
200550.SZ,江铃B,2010-06-24,7.54,7.58,10777769061
200550.SZ,江铃B,2010-06-25,7.64,7.56,10721806552
200550.SZ,江铃B,2010-06-28,7.58,7.55,10713044412
200550.SZ,江铃B,2010-06-29,7.57,7.43,10528733894
200550.SZ,江铃B,2010-06-30,7.43,7.43,10527768475
200550.SZ,江铃B,2010-07-01,7.43,7.42,10500656823
200550.SZ,江铃B,2010-07-02,7.39,7.50,10596509141
200550.SZ,江铃B,2010-07-05,7.50,7.45,10515653957
200550.SZ,江铃B,2010-07-06,7.54,7.55,10673618321
200550.SZ,江铃B,2010-07-07,7.55,7.55,10672514357
200550.SZ,江铃B,2010-07-08,7.64,7.55,10681620660
200550.SZ,江铃B,2010-07-09,7.55,7.71,10897956591
200550.SZ,江铃B,2010-07-12,7.76,7.93,11231833523
200550.SZ,江铃B,2010-07-13,7.95,7.94,11245933692
200550.SZ,江铃B,2010-07-14,7.97,8.47,11997389274
200550.SZ,江铃B,2010-07-15,8.48,8.33,11798223879
200550.SZ,江铃B,2010-07-16,8.64,8.61,11758308346
200550.SZ,江铃B,2010-07-19,8.54,8.83,12057648172
200550.SZ,江铃B,2010-07-20,8.82,9.15,12496771522
200550.SZ,江铃B,2010-07-21,9.17,9.23,12602753915
200550.SZ,江铃B,2010-07-22,9.21,9.15,12504795959
200550.SZ,江铃B,2010-07-23,9.15,9.05,12358996525
200550.SZ,江铃B,2010-07-26,9.07,9.01,12314918228
200550.SZ,江铃B,2010-07-27,9.00,9.01,12310119622
200550.SZ,江铃B,2010-07-28,8.99,9.47,12949095140
200550.SZ,江铃B,2010-07-29,9.48,9.59,13108488123
200550.SZ,江铃B,2010-07-30,9.54,9.53,13027477215
200550.SZ,江铃B,2010-08-02,9.46,9.64,13177479638
200550.SZ,江铃B,2010-08-03,9.65,9.57,13085469485
200550.SZ,江铃B,2010-08-04,9.62,9.77,13360649506
200550.SZ,江铃B,2010-08-05,9.77,9.63,13170567711
200550.SZ,江铃B,2010-08-06,9.66,9.67,13224478533
200550.SZ,江铃B,2010-08-09,9.67,9.93,13570187885
200550.SZ,江铃B,2010-08-10,9.92,10.02,13696423869
200550.SZ,江铃B,2010-08-11,9.99,10.28,14059012075
200550.SZ,江铃B,2010-08-12,10.19,10.07,13818942594
200550.SZ,江铃B,2010-08-13,9.96,10.33,14175214750
200550.SZ,江铃B,2010-08-16,10.38,10.49,14390677885
200550.SZ,江铃B,2010-08-17,10.49,10.67,14615826194
200550.SZ,江铃B,2010-08-18,10.38,10.67,14600618435
200550.SZ,江铃B,2010-08-19,10.67,10.61,14528527118
200550.SZ,江铃B,2010-08-20,10.58,10.31,14108312126
200550.SZ,江铃B,2010-08-23,10.35,10.10,13844510993
200550.SZ,江铃B,2010-08-24,9.98,10.42,14283648326
200550.SZ,江铃B,2010-08-25,10.44,10.15,13904583436
