代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
603358.SH,华达科技,2017-01-25,17.52,21.02,7184000000
603358.SH,华达科技,2017-01-26,23.13,23.13,7902400000
603358.SH,华达科技,2017-02-03,25.44,25.44,8692800000
603358.SH,华达科技,2017-02-06,27.98,27.98,9561600000
603358.SH,华达科技,2017-02-07,27.79,27.96,9555200000
603358.SH,华达科技,2017-02-08,27.53,29.46,10067200000
603358.SH,华达科技,2017-02-09,29.08,28.83,9851200000
603358.SH,华达科技,2017-02-10,28.89,28.43,9713600000
603358.SH,华达科技,2017-02-13,28.33,29.31,10014400000
603358.SH,华达科技,2017-02-14,29.27,29.42,10052800000
603358.SH,华达科技,2017-02-15,29.17,29.99,10246400000
603358.SH,华达科技,2017-02-16,29.50,30.38,10379200000
603358.SH,华达科技,2017-02-17,30.16,29.25,9993600000
603358.SH,华达科技,2017-02-20,28.94,27.81,9502400000
603358.SH,华达科技,2017-02-21,27.81,28.12,9608000000
603358.SH,华达科技,2017-02-22,28.17,28.13,9611200000
603358.SH,华达科技,2017-02-23,28.09,29.02,9915200000
603358.SH,华达科技,2017-02-24,29.03,29.35,10028800000
603358.SH,华达科技,2017-02-27,29.39,29.26,9996800000
603358.SH,华达科技,2017-02-28,29.08,30.36,10372800000
603358.SH,华达科技,2017-03-01,30.34,29.94,10228800000
603358.SH,华达科技,2017-03-02,29.75,30.14,10297600000
603358.SH,华达科技,2017-03-03,29.97,29.66,10134400000
603358.SH,华达科技,2017-03-06,29.67,30.76,10512000000
603358.SH,华达科技,2017-03-07,30.72,30.99,10590400000
603358.SH,华达科技,2017-03-08,30.82,30.84,10539200000
603358.SH,华达科技,2017-03-09,30.67,29.93,10225600000
603358.SH,华达科技,2017-03-10,29.97,29.81,10185600000
603358.SH,华达科技,2017-03-13,29.86,30.11,10289600000
603358.SH,华达科技,2017-03-14,29.97,30.97,10584000000
603358.SH,华达科技,2017-03-15,30.79,31.14,10641600000
603358.SH,华达科技,2017-03-16,31.30,31.67,10820800000
603358.SH,华达科技,2017-03-17,31.65,30.48,10414400000
603358.SH,华达科技,2017-03-20,30.21,31.50,10763200000
603358.SH,华达科技,2017-03-21,31.39,32.28,11028800000
603358.SH,华达科技,2017-03-22,31.89,32.39,11068800000
603358.SH,华达科技,2017-03-23,32.31,31.71,10836800000
603358.SH,华达科技,2017-03-24,31.71,33.13,11320000000
603358.SH,华达科技,2017-03-27,33.25,33.46,11433600000
603358.SH,华达科技,2017-03-28,33.20,32.18,10995200000
603358.SH,华达科技,2017-03-29,32.16,30.59,10451200000
603358.SH,华达科技,2017-03-30,30.30,29.06,9931200000
603358.SH,华达科技,2017-03-31,29.15,29.46,10065600000
603358.SH,华达科技,2017-04-05,29.39,30.00,10249600000
603358.SH,华达科技,2017-04-06,29.50,29.58,10108800000
603358.SH,华达科技,2017-04-07,29.61,28.36,9689600000
603358.SH,华达科技,2017-04-10,28.10,26.52,9062400000
603358.SH,华达科技,2017-04-11,26.32,27.08,9254400000
603358.SH,华达科技,2017-04-12,26.92,26.35,9003200000
603358.SH,华达科技,2017-04-13,26.46,26.58,9081600000
603358.SH,华达科技,2017-04-14,26.55,26.32,8993600000
603358.SH,华达科技,2017-04-17,25.36,25.37,8670400000
603358.SH,华达科技,2017-04-18,25.37,25.48,8707200000
603358.SH,华达科技,2017-04-19,25.47,26.18,8945600000
603358.SH,华达科技,2017-04-20,26.06,25.77,8806400000
603358.SH,华达科技,2017-04-21,25.82,25.56,8734400000
603358.SH,华达科技,2017-04-24,25.29,24.72,8448000000
603358.SH,华达科技,2017-04-25,24.93,24.82,8481600000
603358.SH,华达科技,2017-04-26,24.96,25.00,8542400000
603358.SH,华达科技,2017-04-27,24.76,25.75,8800000000
603358.SH,华达科技,2017-04-28,25.57,25.85,8833600000
603358.SH,华达科技,2017-05-02,26.07,25.99,8881600000
603358.SH,华达科技,2017-05-03,25.93,26.27,8977600000
603358.SH,华达科技,2017-05-04,26.23,25.90,8851200000
603358.SH,华达科技,2017-05-05,25.76,25.44,8694400000
603358.SH,华达科技,2017-05-08,25.19,24.86,8494400000
603358.SH,华达科技,2017-05-09,24.81,25.28,8638400000
603358.SH,华达科技,2017-05-10,25.25,24.59,8403200000
603358.SH,华达科技,2017-05-11,24.34,24.87,8497600000
603358.SH,华达科技,2017-05-12,24.78,24.74,8454400000
603358.SH,华达科技,2017-05-15,24.82,24.52,8377600000
603358.SH,华达科技,2017-05-16,24.46,25.06,8563200000
603358.SH,华达科技,2017-05-17,25.03,25.16,8596800000
603358.SH,华达科技,2017-05-18,24.95,24.79,8470400000
603358.SH,华达科技,2017-05-19,24.76,24.44,8350400000
603358.SH,华达科技,2017-05-22,24.35,23.30,7963200000
603358.SH,华达科技,2017-05-23,23.17,22.06,7537600000
603358.SH,华达科技,2017-05-24,22.01,22.39,7651200000
603358.SH,华达科技,2017-05-25,22.29,22.48,7681600000
603358.SH,华达科技,2017-05-26,22.41,22.67,7745600000
603358.SH,华达科技,2017-05-31,23.41,22.70,7756800000
603358.SH,华达科技,2017-06-01,22.57,21.78,7441600000
603358.SH,华达科技,2017-06-02,21.78,22.37,7643200000
603358.SH,华达科技,2017-06-05,22.78,22.90,7824000000
603358.SH,华达科技,2017-06-06,22.48,22.97,7849600000
603358.SH,华达科技,2017-06-07,22.94,23.60,8062400000
603358.SH,华达科技,2017-06-08,23.56,23.28,7953600000
603358.SH,华达科技,2017-06-09,23.25,23.45,8014400000
603358.SH,华达科技,2017-06-12,23.22,22.48,7680000000
603358.SH,华达科技,2017-06-13,22.49,23.00,7857600000
603358.SH,华达科技,2017-06-14,23.07,23.60,8064000000
603358.SH,华达科技,2017-06-15,23.46,24.08,8228800000
603358.SH,华达科技,2017-06-16,24.16,23.94,8180800000
603358.SH,华达科技,2017-06-19,23.94,23.97,8080000000
603358.SH,华达科技,2017-06-20,24.05,23.68,7984000000
603358.SH,华达科技,2017-06-21,23.69,23.60,7955200000
603358.SH,华达科技,2017-06-22,23.60,23.38,7883200000
603358.SH,华达科技,2017-06-23,23.26,23.37,7878400000
603358.SH,华达科技,2017-06-26,23.37,23.79,8020800000
603358.SH,华达科技,2017-06-27,23.70,23.83,8035200000
603358.SH,华达科技,2017-06-28,23.80,23.43,7900800000
603358.SH,华达科技,2017-06-29,23.44,23.64,7971200000
603358.SH,华达科技,2017-06-30,23.50,24.04,8105600000
603358.SH,华达科技,2017-07-03,24.08,24.20,8160000000
603358.SH,华达科技,2017-07-04,24.11,23.97,8083200000
603358.SH,华达科技,2017-07-05,24.06,24.38,8220800000
603358.SH,华达科技,2017-07-06,24.42,24.24,8172800000
603358.SH,华达科技,2017-07-07,24.37,25.12,8470400000
603358.SH,华达科技,2017-07-10,24.91,24.62,8302400000
603358.SH,华达科技,2017-07-11,24.63,24.01,8096000000
603358.SH,华达科技,2017-07-12,23.97,24.47,8249600000
603358.SH,华达科技,2017-07-13,24.20,24.15,8142400000
603358.SH,华达科技,2017-07-14,24.15,23.63,7966400000
603358.SH,华达科技,2017-07-17,23.48,21.46,7236800000
603358.SH,华达科技,2017-07-18,21.52,21.80,7348800000
603358.SH,华达科技,2017-07-19,21.78,21.93,7395200000
603358.SH,华达科技,2017-07-20,21.84,21.88,7376000000
603358.SH,华达科技,2017-07-21,21.83,21.67,7305600000
603358.SH,华达科技,2017-07-24,21.45,21.96,7404800000
603358.SH,华达科技,2017-07-25,21.85,21.85,7366400000
603358.SH,华达科技,2017-07-26,21.86,21.68,7308800000
603358.SH,华达科技,2017-07-27,21.55,22.19,7480000000
603358.SH,华达科技,2017-07-28,22.11,22.08,7443200000
603358.SH,华达科技,2017-07-31,22.07,22.12,7457600000
603358.SH,华达科技,2017-08-01,22.07,22.19,7480000000
603358.SH,华达科技,2017-08-02,22.24,21.73,7328000000
603358.SH,华达科技,2017-08-03,21.62,21.76,7337600000
603358.SH,华达科技,2017-08-04,21.71,21.46,7235200000
603358.SH,华达科技,2017-08-07,21.59,21.65,7300800000
603358.SH,华达科技,2017-08-08,21.65,21.66,7302400000
603358.SH,华达科技,2017-08-09,21.64,21.72,7323200000
603358.SH,华达科技,2017-08-10,21.78,21.46,7236800000
603358.SH,华达科技,2017-08-11,21.26,21.23,7156800000
603358.SH,华达科技,2017-08-14,21.21,21.64,7296000000
603358.SH,华达科技,2017-08-15,21.64,21.80,7348800000
603358.SH,华达科技,2017-08-16,21.80,21.98,7409600000
603358.SH,华达科技,2017-08-17,21.90,21.93,7395200000
603358.SH,华达科技,2017-08-18,21.78,22.19,7480000000
603358.SH,华达科技,2017-08-21,21.50,21.54,7262400000
603358.SH,华达科技,2017-08-22,21.51,21.34,7193600000
603358.SH,华达科技,2017-08-23,21.34,21.34,7195200000
603358.SH,华达科技,2017-08-24,21.30,21.17,7137600000
603358.SH,华达科技,2017-08-25,21.15,21.37,7204800000
603358.SH,华达科技,2017-08-28,21.42,22.17,7473600000
603358.SH,华达科技,2017-08-29,22.17,22.18,7478400000
