代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
000552.SZ,靖远煤电,2010-01-04,3.83,3.84,3169643400
000552.SZ,靖远煤电,2010-01-05,3.89,4.03,3326169000
000552.SZ,靖远煤电,2010-01-06,4.07,3.96,3274586700
000552.SZ,靖远煤电,2010-01-07,3.97,3.85,3182094300
000552.SZ,靖远煤电,2010-01-08,3.86,3.83,3162528600
000552.SZ,靖远煤电,2010-01-11,3.87,3.79,3128733300
000552.SZ,靖远煤电,2010-01-12,3.77,3.85,3180315600
000552.SZ,靖远煤电,2010-01-13,3.77,3.70,3057585300
000552.SZ,靖远煤电,2010-01-14,3.70,3.76,3109167600
000552.SZ,靖远煤电,2010-01-15,3.76,3.81,3144741600
000552.SZ,靖远煤电,2010-01-18,3.80,3.80,3142962900
000552.SZ,靖远煤电,2010-01-19,3.81,3.89,3217668300
000552.SZ,靖远煤电,2010-01-20,3.89,3.73,3084265800
000552.SZ,靖远煤电,2010-01-21,3.77,3.68,3043355700
000552.SZ,靖远煤电,2010-01-22,3.67,3.59,2965092900
000552.SZ,靖远煤电,2010-01-25,3.55,3.56,2945527200
000552.SZ,靖远煤电,2010-01-26,3.56,3.42,2824575600
000552.SZ,靖远煤电,2010-01-27,3.40,3.42,2824575600
000552.SZ,靖远煤电,2010-01-28,3.43,3.44,2845920000
000552.SZ,靖远煤电,2010-01-29,3.45,3.42,2822796900
000552.SZ,靖远煤电,2010-02-01,3.42,3.28,2707181400
000552.SZ,靖远煤电,2010-02-02,3.34,3.30,2723189700
000552.SZ,靖远煤电,2010-02-03,3.36,3.55,2931297600
000552.SZ,靖远煤电,2010-02-04,3.52,3.47,2870821800
000552.SZ,靖远煤电,2010-02-05,3.36,3.31,2737419300
000552.SZ,靖远煤电,2010-02-08,3.36,3.37,2787222900
000552.SZ,靖远煤电,2010-02-09,3.41,3.38,2796116400
000552.SZ,靖远煤电,2010-02-10,3.43,3.42,2829911700
000552.SZ,靖远煤电,2010-02-11,3.42,3.40,2812124700
000552.SZ,靖远煤电,2010-02-12,3.41,3.45,2849477400
000552.SZ,靖远煤电,2010-02-22,3.46,3.43,2835247800
000552.SZ,靖远煤电,2010-02-23,3.43,3.36,2778329400
000552.SZ,靖远煤电,2010-02-24,3.32,3.42,2822796900
000552.SZ,靖远煤电,2010-02-25,3.42,3.49,2879715300
000552.SZ,靖远煤电,2010-02-26,3.48,3.43,2837026500
000552.SZ,靖远煤电,2010-03-01,3.44,3.51,2901059700
000552.SZ,靖远煤电,2010-03-02,3.51,3.46,2861928300
000552.SZ,靖远煤电,2010-03-03,3.46,3.62,2988216000
000552.SZ,靖远煤电,2010-03-04,3.66,3.63,3002445600
000552.SZ,靖远煤电,2010-03-05,3.55,3.55,2933076300
000552.SZ,靖远煤电,2010-03-08,3.58,3.52,2908174500
000552.SZ,靖远煤电,2010-03-09,3.52,3.64,3006003000
000552.SZ,靖远煤电,2010-03-10,3.57,3.52,2909953200
000552.SZ,靖远煤电,2010-03-11,3.52,3.50,2890387500
000552.SZ,靖远煤电,2010-03-12,3.47,3.46,2856592200
000552.SZ,靖远煤电,2010-03-15,3.45,3.40,2808567300
000552.SZ,靖远煤电,2010-03-16,3.37,3.41,2817460800
000552.SZ,靖远煤电,2010-03-17,3.41,3.48,2876157900
000552.SZ,靖远煤电,2010-03-18,3.49,3.51,2899281000
000552.SZ,靖远煤电,2010-03-19,3.51,3.53,2917068000
000552.SZ,靖远煤电,2010-03-22,3.52,3.54,2922404100
000552.SZ,靖远煤电,2010-03-23,3.54,3.51,2902838400
000552.SZ,靖远煤电,2010-03-24,3.51,3.50,2895723600
000552.SZ,靖远煤电,2010-03-25,3.48,3.41,2813903400
000552.SZ,靖远煤电,2010-03-26,3.41,3.43,2837026500
000552.SZ,靖远煤电,2010-03-29,3.47,3.55,2931297600
000552.SZ,靖远煤电,2010-03-30,3.55,3.56,2940191100
000552.SZ,靖远煤电,2010-03-31,3.57,3.52,2911731900
000552.SZ,靖远煤电,2010-04-01,3.53,3.55,2933076300
000552.SZ,靖远煤电,2010-04-02,3.55,3.63,2997109500
000552.SZ,靖远煤电,2010-04-06,3.63,3.68,3043355700
000552.SZ,靖远煤电,2010-04-07,3.68,3.63,3002445600
000552.SZ,靖远煤电,2010-04-08,3.63,3.56,2945527200
000552.SZ,靖远煤电,2010-04-09,3.56,3.58,2961535500
000552.SZ,靖远煤电,2010-04-12,3.61,3.56,2943748500
000552.SZ,靖远煤电,2010-04-13,3.57,3.61,2979322500
000552.SZ,靖远煤电,2010-04-14,3.63,3.65,3014896500
000552.SZ,靖远煤电,2010-04-15,3.65,3.73,3080708400
000552.SZ,靖远煤电,2010-04-16,3.73,3.73,3080708400
000552.SZ,靖远煤电,2010-04-19,3.64,3.42,2829911700
000552.SZ,靖远煤电,2010-04-20,3.42,3.39,2805009900
000552.SZ,靖远煤电,2010-04-21,3.40,3.47,2865485700
000552.SZ,靖远煤电,2010-04-22,3.44,3.42,2829911700
000552.SZ,靖远煤电,2010-04-23,3.42,3.50,2892166200
000552.SZ,靖远煤电,2010-04-26,3.51,3.55,2929518900
000552.SZ,靖远煤电,2010-04-27,3.53,3.43,2831690400
000552.SZ,靖远煤电,2010-04-28,3.40,3.43,2831690400
000552.SZ,靖远煤电,2010-04-29,3.48,3.34,2762321100
000552.SZ,靖远煤电,2010-04-30,3.35,3.29,2721411000
000552.SZ,靖远煤电,2010-05-04,3.23,3.24,2680500900
000552.SZ,靖远煤电,2010-05-05,3.21,3.25,2682279600
000552.SZ,靖远煤电,2010-05-06,3.23,3.05,2516860500
000552.SZ,靖远煤电,2010-05-07,2.97,2.92,2411917200
000552.SZ,靖远煤电,2010-05-10,2.92,2.96,2443933800
000552.SZ,靖远煤电,2010-05-11,3.02,2.94,2433261600
000552.SZ,靖远煤电,2010-05-12,2.91,2.93,2417253300
000552.SZ,靖远煤电,2010-05-13,2.96,3.02,2493737400
000552.SZ,靖远煤电,2010-05-14,2.97,2.97,2454606000
000552.SZ,靖远煤电,2010-05-17,2.96,2.67,2209145400
000552.SZ,靖远煤电,2010-05-18,2.68,2.73,2258949000
000552.SZ,靖远煤电,2010-05-19,2.72,2.69,2223375000
000552.SZ,靖远煤电,2010-05-20,2.67,2.62,2164677900
000552.SZ,靖远煤电,2010-05-21,2.50,2.64,2180686200
000552.SZ,靖远煤电,2010-05-24,2.63,2.77,2292744300
000552.SZ,靖远煤电,2010-05-25,2.76,2.71,2237604600
000552.SZ,靖远煤电,2010-05-26,2.71,2.73,2246498100
000552.SZ,靖远煤电,2010-05-27,2.73,2.83,2328318300
000552.SZ,靖远煤电,2010-05-28,2.89,2.85,2347884000
000552.SZ,靖远煤电,2010-05-31,2.81,2.73,2250055500
000552.SZ,靖远煤电,2010-06-01,2.70,2.63,2164677900
000552.SZ,靖远煤电,2010-06-02,2.62,2.66,2187801000
000552.SZ,靖远煤电,2010-06-03,2.67,2.61,2148669600
000552.SZ,靖远煤电,2010-06-04,2.61,2.64,2173571400
000552.SZ,靖远煤电,2010-06-07,2.53,2.57,2116653000
000552.SZ,靖远煤电,2010-06-08,2.57,2.59,2134440000
000552.SZ,靖远煤电,2010-06-09,2.61,2.72,2239383300
