代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
600803.SH,新奥股份,2010-01-04,9.64,9.89,2716734965
600803.SH,新奥股份,2010-01-05,9.94,10.15,2790032427
600803.SH,新奥股份,2010-01-06,10.14,9.98,2742743742
600803.SH,新奥股份,2010-01-07,10.01,9.99,2745108176
600803.SH,新奥股份,2010-01-08,9.99,10.28,2825498941
600803.SH,新奥股份,2010-01-11,10.33,10.08,2768752518
600803.SH,新奥股份,2010-01-12,10.16,10.38,2851507718
600803.SH,新奥股份,2010-01-13,10.16,10.16,2792396861
600803.SH,新奥股份,2010-01-14,10.16,10.49,2882245363
600803.SH,新奥股份,2010-01-15,10.54,10.39,2853872152
600803.SH,新奥股份,2010-01-18,10.39,10.24,2813676769
600803.SH,新奥股份,2010-01-19,10.19,10.22,2808947901
600803.SH,新奥股份,2010-01-20,10.20,10.58,2905889706
600803.SH,新奥股份,2010-01-21,10.49,10.32,2834956678
600803.SH,新奥股份,2010-01-22,10.06,9.79,2690726188
600803.SH,新奥股份,2010-01-25,9.65,9.42,2589055515
600803.SH,新奥股份,2010-01-26,9.46,9.14,2511029184
600803.SH,新奥股份,2010-01-27,9.14,9.12,2506300316
600803.SH,新奥股份,2010-01-28,9.04,9.30,2555953435
600803.SH,新奥股份,2010-01-29,9.21,9.30,2555953435
600803.SH,新奥股份,2010-02-01,9.34,8.75,2404629642
600803.SH,新奥股份,2010-02-02,8.86,8.52,2340789917
600803.SH,新奥股份,2010-02-03,8.60,8.85,2430638419
600803.SH,新奥股份,2010-02-04,8.83,8.76,2406994077
600803.SH,新奥股份,2010-02-05,8.61,8.59,2359705391
600803.SH,新奥股份,2010-02-08,8.59,8.53,2343154352
600803.SH,新奥股份,2010-02-09,8.57,8.59,2359705391
600803.SH,新奥股份,2010-02-10,8.59,8.58,2357340957
600803.SH,新奥股份,2010-02-11,8.60,8.47,2326603312
600803.SH,新奥股份,2010-02-12,8.48,8.61,2366798694
600803.SH,新奥股份,2010-02-22,8.62,8.63,2371527563
600803.SH,新奥股份,2010-02-23,8.70,8.82,2423545116
600803.SH,新奥股份,2010-02-24,8.80,8.88,2440096156
600803.SH,新奥股份,2010-02-25,8.88,8.98,2468469367
600803.SH,新奥股份,2010-02-26,8.97,9.04,2482655973
600803.SH,新奥股份,2010-03-01,9.16,9.16,2518122487
600803.SH,新奥股份,2010-03-02,9.16,9.18,2522851355
600803.SH,新奥股份,2010-03-03,9.18,9.40,2581962212
600803.SH,新奥股份,2010-03-04,9.38,8.89,2442460591
600803.SH,新奥股份,2010-03-05,8.86,8.85,2430638419
600803.SH,新奥股份,2010-03-08,8.91,8.98,2466104933
600803.SH,新奥股份,2010-03-09,9.01,8.97,2463740499
600803.SH,新奥股份,2010-03-10,9.08,8.79,2414087379
600803.SH,新奥股份,2010-03-11,8.82,8.63,2371527563
600803.SH,新奥股份,2010-03-12,8.61,8.56,2352612089
600803.SH,新奥股份,2010-03-15,8.56,8.38,2302958969
600803.SH,新奥股份,2010-03-16,8.38,8.48,2331332180
600803.SH,新奥股份,2010-03-17,8.52,8.65,2376256431
600803.SH,新奥股份,2010-03-18,8.67,8.73,2399900774
600803.SH,新奥股份,2010-03-19,8.73,8.73,2399900774
600803.SH,新奥股份,2010-03-22,8.73,8.76,2406994077
600803.SH,新奥股份,2010-03-23,8.77,8.61,2366798694
600803.SH,新奥股份,2010-03-24,8.65,8.98,2466104933
600803.SH,新奥股份,2010-03-25,8.91,8.90,2444825025
600803.SH,新奥股份,2010-03-26,8.90,8.83,2425909551
600803.SH,新奥股份,2010-03-29,8.83,8.85,2430638419
600803.SH,新奥股份,2010-03-30,8.86,9.13,2508664750
600803.SH,新奥股份,2010-03-31,9.11,9.15,2513393618
600803.SH,新奥股份,2010-04-01,9.13,9.16,2515758053
600803.SH,新奥股份,2010-04-02,9.14,9.28,2551224567
600803.SH,新奥股份,2010-04-06,9.31,9.16,2515758053
600803.SH,新奥股份,2010-04-07,9.14,9.14,2511029184
600803.SH,新奥股份,2010-04-08,9.13,9.33,2563046738
600803.SH,新奥股份,2010-04-09,9.33,9.32,2560682304
600803.SH,新奥股份,2010-04-12,9.34,9.62,2643437503
600803.SH,新奥股份,2010-04-13,9.62,9.63,2645801937
600803.SH,新奥股份,2010-04-14,9.58,9.64,2648166371
600803.SH,新奥股份,2010-04-15,9.64,9.64,2648166371
600803.SH,新奥股份,2010-04-16,9.65,9.41,2584326646
600803.SH,新奥股份,2010-04-19,9.34,9.07,2492113710
600803.SH,新奥股份,2010-04-20,9.07,9.10,2499207013
600803.SH,新奥股份,2010-04-21,9.10,9.48,2605606555
600803.SH,新奥股份,2010-04-22,9.34,9.70,2664717411
600803.SH,新奥股份,2010-04-23,9.71,9.72,2671810714
600803.SH,新奥股份,2010-04-26,9.74,9.82,2697819491
600803.SH,新奥股份,2010-04-27,9.82,10.00,2747472610
600803.SH,新奥股份,2010-04-28,9.90,10.15,2790032427
600803.SH,新奥股份,2010-04-29,10.15,9.71,2667081845
600803.SH,新奥股份,2010-04-30,9.65,9.85,2707277228
600803.SH,新奥股份,2010-05-04,9.62,9.99,2745108176
600803.SH,新奥股份,2010-05-05,9.93,10.22,2808947901
600803.SH,新奥股份,2010-05-06,10.09,9.80,2693090622
600803.SH,新奥股份,2010-05-07,9.38,9.98,2742743742
600803.SH,新奥股份,2010-05-10,9.81,9.88,2714370530
600803.SH,新奥股份,2010-05-11,10.05,9.39,2579597778
600803.SH,新奥股份,2010-05-12,9.04,8.96,2461376065
600803.SH,新奥股份,2010-05-13,9.01,9.85,2707277228
600803.SH,新奥股份,2010-05-14,9.88,10.26,2818405638
600803.SH,新奥股份,2010-05-17,10.09,9.78,2685997319
600803.SH,新奥股份,2010-05-18,9.65,10.58,2908254140
600803.SH,新奥股份,2010-05-19,10.58,10.56,2901160837
600803.SH,新奥股份,2010-05-20,10.47,10.30,2830227809
600803.SH,新奥股份,2010-05-21,9.81,10.81,2969729431
600803.SH,新奥股份,2010-05-24,10.81,10.98,3017018116
600803.SH,新奥股份,2010-05-25,10.74,10.65,2927169614
600803.SH,新奥股份,2010-05-26,10.63,10.83,2974458299
600803.SH,新奥股份,2010-05-27,10.61,11.02,3028840287
600803.SH,新奥股份,2010-05-28,11.08,11.03,3031204721
600803.SH,新奥股份,2010-05-31,11.01,10.66,2929534048
600803.SH,新奥股份,2010-06-01,10.45,10.38,2851507718
600803.SH,新奥股份,2010-06-02,10.24,10.34,2842049981
600803.SH,新奥股份,2010-06-03,10.27,10.36,2846778849
600803.SH,新奥股份,2010-06-04,10.02,10.40,2858601020
600803.SH,新奥股份,2010-06-07,10.11,10.75,2953178391
600803.SH,新奥股份,2010-06-08,10.58,10.89,2993373773
600803.SH,新奥股份,2010-06-09,10.90,11.09,3047755761
600803.SH,新奥股份,2010-06-10,11.02,11.06,3038298024
600803.SH,新奥股份,2010-06-11,11.06,10.89,2991009339
600803.SH,新奥股份,2010-06-17,10.89,10.73,2948449522
600803.SH,新奥股份,2010-06-18,10.71,10.06,2764023650
600803.SH,新奥股份,2010-06-21,9.99,10.34,2842049981
600803.SH,新奥股份,2010-06-22,10.40,10.54,2896431968
600803.SH,新奥股份,2010-06-23,10.46,10.52,2891703100
600803.SH,新奥股份,2010-06-24,10.50,10.57,2903525271
600803.SH,新奥股份,2010-06-25,10.54,10.56,2901160837
600803.SH,新奥股份,2010-06-28,10.50,10.89,2991009339
600803.SH,新奥股份,2010-06-29,10.89,10.89,2991009339
600803.SH,新奥股份,2010-06-30,10.29,10.19,2799490164
600803.SH,新奥股份,2010-07-01,9.98,10.08,2768752518
600803.SH,新奥股份,2010-07-02,10.07,10.35,2844414415
600803.SH,新奥股份,2010-07-05,10.25,10.18,2797125730
600803.SH,新奥股份,2010-07-06,10.11,10.21,2806583467
600803.SH,新奥股份,2010-07-07,10.12,10.26,2818405638
600803.SH,新奥股份,2010-07-08,10.23,10.38,2851507718
600803.SH,新奥股份,2010-07-09,10.33,10.58,2908254140
600803.SH,新奥股份,2010-07-12,10.46,10.57,2903525271
600803.SH,新奥股份,2010-07-13,10.47,10.60,2912983008
600803.SH,新奥股份,2010-07-14,10.59,10.68,2934262917
600803.SH,新奥股份,2010-07-15,10.54,10.15,2790032427
600803.SH,新奥股份,2010-07-16,10.07,10.19,2799490164
600803.SH,新奥股份,2010-07-19,10.05,10.25,2816041204
600803.SH,新奥股份,2010-07-20,10.20,10.57,2903525271
600803.SH,新奥股份,2010-07-21,10.54,10.52,2889338666
600803.SH,新奥股份,2010-07-22,10.50,10.78,2962636128
600803.SH,新奥股份,2010-07-23,10.76,10.96,3012289247
600803.SH,新奥股份,2010-07-26,11.01,10.97,3014653682
600803.SH,新奥股份,2010-07-27,10.97,10.79,2965000562
600803.SH,新奥股份,2010-07-28,10.68,11.12,3054849064
600803.SH,新奥股份,2010-07-29,11.07,11.45,3147062000
600803.SH,新奥股份,2010-07-30,11.38,11.33,3113959920
600803.SH,新奥股份,2010-08-02,11.41,11.43,3139968697
600803.SH,新奥股份,2010-08-03,11.44,10.92,3000467076
600803.SH,新奥股份,2010-08-04,10.92,11.22,3083222275
600803.SH,新奥股份,2010-08-05,11.15,11.26,3095044446
600803.SH,新奥股份,2010-08-06,11.20,11.38,3128146526
600803.SH,新奥股份,2010-08-09,11.45,11.56,3175435211
600803.SH,新奥股份,2010-08-10,11.57,11.13,3057213498
600803.SH,新奥股份,2010-08-11,11.13,11.16,3066671235
600803.SH,新奥股份,2010-08-12,11.00,10.88,2988644905
600803.SH,新奥股份,2010-08-13,10.91,11.15,3064306801
600803.SH,新奥股份,2010-08-16,11.19,11.45,3147062000
600803.SH,新奥股份,2010-08-17,11.43,11.56,3175435211
600803.SH,新奥股份,2010-08-18,11.56,11.40,3132875394
600803.SH,新奥股份,2010-08-19,11.39,11.69,3210901725
600803.SH,新奥股份,2010-08-20,11.62,11.27,3097408881
600803.SH,新奥股份,2010-08-23,11.14,11.32,3109231052
600803.SH,新奥股份,2010-08-24,11.22,11.29,3102137749
600803.SH,新奥股份,2010-08-25,11.21,10.87,2986280470
600803.SH,新奥股份,2010-08-26,10.87,11.04,3033569156
600803.SH,新奥股份,2010-08-27,10.94,11.19,3073764538
600803.SH,新奥股份,2010-08-30,11.24,11.36,3121053223
600803.SH,新奥股份,2010-08-31,11.34,11.50,3158884171
600803.SH,新奥股份,2010-09-01,11.52,11.15,3064306801
600803.SH,新奥股份,2010-09-02,11.14,11.25,3090315578
600803.SH,新奥股份,2010-09-03,11.27,11.31,3106866618
600803.SH,新奥股份,2010-09-06,11.36,12.15,3338581175
600803.SH,新奥股份,2010-09-07,11.87,11.93,3277105884
600803.SH,新奥股份,2010-09-08,11.87,12.03,3305479095
600803.SH,新奥股份,2010-09-09,12.20,11.61,3189621817
600803.SH,新奥股份,2010-09-10,11.75,11.94,3281834753
600803.SH,新奥股份,2010-09-13,12.06,12.13,3333852307
600803.SH,新奥股份,2010-09-14,12.06,11.92,3274741450
600803.SH,新奥股份,2010-09-15,11.92,12.07,3317301267
600803.SH,新奥股份,2010-09-16,12.05,12.46,3423700808
600803.SH,新奥股份,2010-09-17,12.53,12.31,3383505426
600803.SH,新奥股份,2010-09-20,12.21,11.65,3201443988
600803.SH,新奥股份,2010-09-21,11.65,11.44,3144697566
600803.SH,新奥股份,2010-09-27,11.53,11.78,3236910502
600803.SH,新奥股份,2010-09-28,11.62,11.44,3142333132
600803.SH,新奥股份,2010-09-29,11.38,11.44,3142333132
600803.SH,新奥股份,2010-09-30,11.28,11.45,3147062000
600803.SH,新奥股份,2010-10-08,11.50,11.47,3151790869
600803.SH,新奥股份,2010-10-11,11.50,11.63,3196715120
600803.SH,新奥股份,2010-10-12,11.62,11.75,3227452765
600803.SH,新奥股份,2010-10-13,11.63,11.57,3177799645
600803.SH,新奥股份,2010-10-14,11.52,10.75,2953178391
600803.SH,新奥股份,2010-10-15,10.55,10.75,2953178391
600803.SH,新奥股份,2010-10-18,10.68,10.12,2780574690
600803.SH,新奥股份,2010-10-19,10.03,10.54,2896431968
600803.SH,新奥股份,2010-10-20,10.37,10.63,2920076311
600803.SH,新奥股份,2010-10-21,10.63,10.64,2922440745
600803.SH,新奥股份,2010-10-22,10.64,10.56,2901160837
600803.SH,新奥股份,2010-10-25,10.48,10.72,2946085088
600803.SH,新奥股份,2010-10-26,10.73,10.64,2922440745
600803.SH,新奥股份,2010-10-27,10.76,10.79,2965000562
600803.SH,新奥股份,2010-10-28,10.79,10.78,2962636128
600803.SH,新奥股份,2010-10-29,10.78,10.69,2936627351
600803.SH,新奥股份,2010-11-01,10.67,10.99,3019382550
600803.SH,新奥股份,2010-11-02,10.98,11.35,3118688789
600803.SH,新奥股份,2010-11-03,11.38,11.38,3128146526
600803.SH,新奥股份,2010-11-04,11.43,11.50,3161248606
600803.SH,新奥股份,2010-11-05,11.60,11.41,3135239829
600803.SH,新奥股份,2010-11-08,11.43,11.42,3137604263
600803.SH,新奥股份,2010-11-09,11.45,11.51,3163613040
