代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
000005.SZ,世纪星源,2010-01-04,6.01,5.99,5476858306
000005.SZ,世纪星源,2010-01-05,5.95,6.20,5668868363
000005.SZ,世纪星源,2010-01-06,6.13,6.08,5559148331
000005.SZ,世纪星源,2010-01-07,6.03,5.83,5330564929
000005.SZ,世纪星源,2010-01-08,5.80,5.89,5385424945
000005.SZ,世纪星源,2010-01-11,5.90,5.82,5321421593
000005.SZ,世纪星源,2010-01-12,5.80,6.13,5604865011
000005.SZ,世纪星源,2010-01-13,6.00,6.04,5522574986
000005.SZ,世纪星源,2010-01-14,5.99,6.07,5550004994
000005.SZ,世纪星源,2010-01-15,6.07,6.09,5568291667
000005.SZ,世纪星源,2010-01-18,6.08,6.22,5687155036
000005.SZ,世纪星源,2010-01-19,6.21,6.10,5577435003
000005.SZ,世纪星源,2010-01-20,6.10,5.89,5385424945
000005.SZ,世纪星源,2010-01-21,5.85,5.89,5385424945
000005.SZ,世纪星源,2010-01-22,5.81,5.64,5156841543
000005.SZ,世纪星源,2010-01-25,5.60,5.45,4983118158
000005.SZ,世纪星源,2010-01-26,5.45,5.15,4708818076
000005.SZ,世纪星源,2010-01-27,5.15,5.11,4672244732
000005.SZ,世纪星源,2010-01-28,5.11,5.13,4690531404
000005.SZ,世纪星源,2010-01-29,5.10,5.39,4928258142
000005.SZ,世纪星源,2010-02-01,5.40,5.43,4964831486
000005.SZ,世纪星源,2010-02-02,5.43,5.29,4836824781
000005.SZ,世纪星源,2010-02-03,5.29,5.30,4845968117
000005.SZ,世纪星源,2010-02-04,5.26,5.52,5047121511
000005.SZ,世纪星源,2010-02-05,5.34,5.39,4928258142
000005.SZ,世纪星源,2010-02-08,5.33,5.42,4955688150
000005.SZ,世纪星源,2010-02-09,5.40,5.26,4809394773
000005.SZ,世纪星源,2010-02-10,5.28,5.31,4855111453
000005.SZ,世纪星源,2010-02-11,5.32,5.31,4855111453
000005.SZ,世纪星源,2010-02-12,5.35,5.35,4891684797
000005.SZ,世纪星源,2010-02-22,5.33,5.31,4855111453
