代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
601827.SH,三峰环境,2020-06-05,8.21,9.85,16530939800
601827.SH,三峰环境,2020-06-08,10.84,10.84,18192425120
601827.SH,三峰环境,2020-06-09,11.92,11.92,20004954560
601827.SH,三峰环境,2020-06-10,11.71,11.26,18897297680
601827.SH,三峰环境,2020-06-11,11.01,10.78,18091729040
601827.SH,三峰环境,2020-06-12,10.44,10.84,18192425120
601827.SH,三峰环境,2020-06-15,10.65,10.27,17235812360
601827.SH,三峰环境,2020-06-16,10.42,10.28,17252595040
601827.SH,三峰环境,2020-06-17,10.22,10.10,16950506800
601827.SH,三峰环境,2020-06-18,10.13,9.99,16765897320
601827.SH,三峰环境,2020-06-19,9.96,10.06,16883376080
601827.SH,三峰环境,2020-06-22,10.00,9.98,16749114640
601827.SH,三峰环境,2020-06-23,10.02,9.98,16749114640
601827.SH,三峰环境,2020-06-24,9.98,9.77,16396678360
601827.SH,三峰环境,2020-06-29,9.70,9.42,15809284560
601827.SH,三峰环境,2020-06-30,9.42,9.49,15926763320
601827.SH,三峰环境,2020-07-01,9.51,9.47,15893197960
601827.SH,三峰环境,2020-07-02,9.47,9.83,16497374440
601827.SH,三峰环境,2020-07-03,9.77,9.80,16447026400
601827.SH,三峰环境,2020-07-06,9.82,10.11,16967289480
601827.SH,三峰环境,2020-07-07,10.16,10.09,16933724120
601827.SH,三峰环境,2020-07-08,10.05,10.11,16967289480
601827.SH,三峰环境,2020-07-09,10.11,10.43,17504335240
601827.SH,三峰环境,2020-07-10,10.44,10.21,17135116280
601827.SH,三峰环境,2020-07-13,10.24,10.39,17437204520
601827.SH,三峰环境,2020-07-14,10.39,10.16,17051202880
601827.SH,三峰环境,2020-07-15,10.18,9.89,16598070520
601827.SH,三峰环境,2020-07-16,9.93,9.61,16128155480
601827.SH,三峰环境,2020-07-17,9.75,10.05,16866593400
601827.SH,三峰环境,2020-07-20,10.27,10.45,17537900600
601827.SH,三峰环境,2020-07-21,10.37,10.15,17034420200
601827.SH,三峰环境,2020-07-22,10.07,10.25,17202247000
601827.SH,三峰环境,2020-07-23,10.13,10.00,16782680000
601827.SH,三峰环境,2020-07-24,9.94,9.62,16144938160
