代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
300310.SZ,宜通世纪,2012-04-25,2.47,2.57,1742400000
300310.SZ,宜通世纪,2012-04-26,2.63,2.67,1812800000
300310.SZ,宜通世纪,2012-04-27,2.62,2.70,1827760000
300310.SZ,宜通世纪,2012-05-02,2.73,2.70,1826880000
300310.SZ,宜通世纪,2012-05-03,2.68,2.72,1842720000
300310.SZ,宜通世纪,2012-05-04,2.73,2.77,1874400000
300310.SZ,宜通世纪,2012-05-07,2.75,2.78,1882320000
300310.SZ,宜通世纪,2012-05-08,2.76,2.74,1856800000
300310.SZ,宜通世纪,2012-05-09,2.71,2.76,1869120000
300310.SZ,宜通世纪,2012-05-10,2.76,2.79,1893760000
300310.SZ,宜通世纪,2012-05-11,2.79,2.72,1840080000
300310.SZ,宜通世纪,2012-05-14,2.72,2.66,1804000000
300310.SZ,宜通世纪,2012-05-15,2.63,2.66,1802240000
300310.SZ,宜通世纪,2012-05-16,2.66,2.64,1790800000
300310.SZ,宜通世纪,2012-05-17,2.65,2.67,1811920000
300310.SZ,宜通世纪,2012-05-18,2.65,2.68,1817200000
300310.SZ,宜通世纪,2012-05-21,2.69,2.70,1829520000
300310.SZ,宜通世纪,2012-05-22,2.72,2.73,1849760000
300310.SZ,宜通世纪,2012-05-23,2.75,2.77,1874400000
300310.SZ,宜通世纪,2012-05-24,2.77,2.72,1842720000
300310.SZ,宜通世纪,2012-05-25,2.72,2.61,1770560000
300310.SZ,宜通世纪,2012-05-28,2.60,2.61,1770560000
300310.SZ,宜通世纪,2012-05-29,2.63,2.64,1786400000
300310.SZ,宜通世纪,2012-05-30,2.63,2.64,1789920000
300310.SZ,宜通世纪,2012-05-31,2.64,2.68,1816320000
300310.SZ,宜通世纪,2012-06-01,2.69,2.65,1794320000
300310.SZ,宜通世纪,2012-06-04,2.59,2.54,1723920000
300310.SZ,宜通世纪,2012-06-05,2.55,2.56,1736240000
300310.SZ,宜通世纪,2012-06-06,2.56,2.55,1729200000
300310.SZ,宜通世纪,2012-06-07,2.58,2.54,1723920000
300310.SZ,宜通世纪,2012-06-08,2.56,2.57,1742400000
300310.SZ,宜通世纪,2012-06-11,2.57,2.62,1773200000
300310.SZ,宜通世纪,2012-06-12,2.58,2.60,1764400000
300310.SZ,宜通世纪,2012-06-13,2.62,2.65,1797840000
300310.SZ,宜通世纪,2012-06-14,2.64,2.65,1796080000
300310.SZ,宜通世纪,2012-06-15,2.66,2.63,1782000000
300310.SZ,宜通世纪,2012-06-18,2.65,2.89,1960640000
300310.SZ,宜通世纪,2012-06-19,2.92,2.92,1976480000
300310.SZ,宜通世纪,2012-06-20,2.91,2.94,1994080000
300310.SZ,宜通世纪,2012-06-21,2.89,2.81,1902560000
300310.SZ,宜通世纪,2012-06-25,2.80,2.77,1878800000
300310.SZ,宜通世纪,2012-06-26,2.75,2.84,1923680000
300310.SZ,宜通世纪,2012-06-27,2.82,2.85,1933360000
300310.SZ,宜通世纪,2012-06-28,2.85,2.76,1872640000
300310.SZ,宜通世纪,2012-06-29,2.74,2.87,1948320000
300310.SZ,宜通世纪,2012-07-02,2.89,2.89,1956240000
300310.SZ,宜通世纪,2012-07-03,2.87,2.90,1962400000
300310.SZ,宜通世纪,2012-07-04,2.91,2.95,1999360000
